City/Municipality, Number of Households* , Electricity , Kerosene (Gaas) , Liquified Petroleum Gas (LPG) , Oil (vegetable animal and others) , Solar panel , Solar lamp , Others , None , Not Reported 
MAYANTOC,  7.571 ,  6.974 ,  477 ,  67 ,  4 ,  4 ,  15 ,  27 ,  3 ,  -   
MONCADA,  13.793 ,  12.982 ,  754 ,  9 ,  4 ,  5 ,  6 ,  27 ,  6 ,  -   
PANIQUI,  22.412 ,  21.717 ,  592 ,  18 ,  5 ,  10 ,  5 ,  37 ,  28 ,  -   
PURA,  5.602 ,  5.311 ,  226 ,  -   ,  -   ,  -   ,  4 ,  25 ,  36 ,  -   
RAMOS,  4.785 ,  4.591 ,  175 ,  -   ,  -   ,  1 ,  1 ,  8 ,  9 ,  -   
SAN CLEMENTE,  3.031 ,  2.913 ,  111 ,  1 ,  -   ,  -   ,  3 ,  3 ,  -   ,  -   
SAN MANUEL,  5.706 ,  5.414 ,  276 ,  1 ,  1 ,  2 ,  6 ,  2 ,  4 ,  -   
SANTA IGNACIA,  11.519 ,  10.896 ,  575 ,  3 ,  2 ,  3 ,  3 ,  8 ,  29 ,  -   
CITY OF TARLAC (Capital),  75.546 ,  73.775 ,  1.242 ,  55 ,  64 ,  25 ,  63 ,  176 ,  146 ,  -   
VICTORIA,  15.192 ,  14.521 ,  599 ,  4 ,  2 ,  2 ,  16 ,  24 ,  24 ,  -   
SAN JOSE,  8.417 ,  7.374 ,  810 ,  4 ,  1 ,  160 ,  45 ,  20 ,  3 ,  -   
ZAMBALES (excluding Olongapo City),  142.184 ,  130.853 ,  10.026 ,  79 ,  19 ,  222 ,  222 ,  630 ,  133 ,  -   
BOTOLAN,  13.668 ,  11.094 ,  2.504 ,  1 ,  2 ,  15 ,  14 ,  24 ,  14 ,  -   
CABANGAN,  5.989 ,  5.334 ,  603 ,  3 ,  -   ,  -   ,  8 ,  15 ,  26 ,  -   
CANDELARIA,  6.061 ,  5.880 ,  129 ,  21 ,  2 ,  1 ,  16 ,  12 ,  -   ,  -   
CASTILLEJOS,  17.230 ,  16.468 ,  710 ,  10 ,  1 ,  7 ,  21 ,  8 ,  5 ,  -   
IBA (Capital),  11.909 ,  11.336 ,  545 ,  1 ,  -   ,  3 ,  2 ,  16 ,  6 ,  -   
MASINLOC,  10.894 ,  10.159 ,  556 ,  18 ,  2 ,  74 ,  23 ,  53 ,  9 ,  -   
PALAUIG,  7.861 ,  7.347 ,  427 ,  2 ,  -   ,  6 ,  3 ,  72 ,  4 ,  -   
SAN ANTONIO,  8.709 ,  8.302 ,  364 ,  1 ,  1 ,  6 ,  15 ,  16 ,  4 ,  -   
SAN FELIPE,  5.725 ,  5.146 ,  541 ,  7 ,  -   ,  3 ,  11 ,  14 ,  3 ,  -   
SAN MARCELINO,  8.098 ,  7.147 ,  848 ,  1 ,  1 ,  15 ,  46 ,  29 ,  11 ,  -   
SAN NARCISO,  7.161 ,  6.806 ,  328 ,  1 ,  3 ,  4 ,  2 ,  15 ,  2 ,  -   
SANTA CRUZ,  13.865 ,  13.028 ,  656 ,  2 ,  -   ,  79 ,  39 ,  54 ,  7 ,  -   
SUBIC,  25.014 ,  22.806 ,  1.815 ,  11 ,  7 ,  9 ,  22 ,  302 ,  42 ,  -   
OLONGAPO CITY,  56.482 ,  54.858 ,  1.380 ,  57 ,  7 ,  28 ,  17 ,  103 ,  32 ,  -   
,,,,,,,,,,
REGION IV-A - CALABARZON,  3.395.332 ,  3.232.948 ,  100.250 ,  9.606 ,  692 ,  12.169 ,  14.207 ,  20.433 ,  5.016 ,  11 
BATANGAS,  613.825 ,  597.198 ,  10.092 ,  1.756 ,  82 ,  647 ,  801 ,  2.156 ,  1.093 ,  -   
AGONCILLO,  7.826 ,  7.687 ,  82 ,  2 ,  -   ,  1 ,  1 ,  15 ,  38 ,  -   
ALITAGTAG,  5.556 ,  5.432 ,  81 ,  6 ,  -   ,  1 ,  2 ,  14 ,  20 ,  -   
BALAYAN,  22.001 ,  21.083 ,  639 ,  127 ,  3 ,  3 ,  7 ,  79 ,  60 ,  -   
BALETE,  4.732 ,  4.445 ,  116 ,  1 ,  -   ,  1 ,  135 ,  29 ,  5 ,  -   
BATANGAS CITY (Capital),  77.990 ,  75.282 ,  1.451 ,  169 ,  13 ,  522 ,  140 ,  361 ,  52 ,  -   
BAUAN,  20.694 ,  20.413 ,  185 ,  2 ,  -   ,  7 ,  7 ,  50 ,  30 ,  -   
CALACA,  18.459 ,  17.892 ,  468 ,  11 ,  2 ,  1 ,  18 ,  23 ,  44 ,  -   
CALATAGAN,  13.717 ,  13.169 ,  442 ,  3 ,  2 ,  1 ,  40 ,  27 ,  33 ,  -   
CUENCA,  7.213 ,  7.096 ,  88 ,  -   ,  -   ,  -   ,  5 ,  10 ,  14 ,  -   
IBAAN,  12.307 ,  12.168 ,  109 ,  -   ,  1 ,  -   ,  5 ,  15 ,  9 ,  -   
LAUREL,  8.563 ,  8.330 ,  147 ,  1 ,  5 ,  1 ,  2 ,  7 ,  70 ,  -   
LEMERY,  20.141 ,  19.633 ,  342 ,  23 ,  1 ,  1 ,  5 ,  115 ,  21 ,  -   
LIAN,  12.956 ,  12.525 ,  338 ,  2 ,  2 ,  3 ,  5 ,  46 ,  35 ,  -   
LIPA CITY,  73.607 ,  72.985 ,  312 ,  69 ,  3 ,  6 ,  20 ,  174 ,  38 ,  -   
LOBO,  9.052 ,  8.870 ,  142 ,  17 ,  2 ,  2 ,  1 ,  11 ,  7 ,  -   
MABINI,  9.954 ,  9.843 ,  76 ,  1 ,  2 ,  2 ,  -   ,  12 ,  18 ,  -   
MALVAR,  13.761 ,  13.626 ,  67 ,  5 ,  2 ,  -   ,  1 ,  54 ,  6 ,  -   
MATAASNAKAHOY,  6.901 ,  6.862 ,  28 ,  4 ,  -   ,  -   ,  -   ,  7 ,  -   ,  -   
NASUGBU,  30.751 ,  28.742 ,  1.196 ,  511 ,  3 ,  5 ,  27 ,  71 ,  196 ,  -   
PADRE GARCIA,  11.109 ,  10.756 ,  41 ,  120 ,  7 ,  -   ,  2 ,  163 ,  20 ,  -   
ROSARIO,  26.906 ,  26.512 ,  305 ,  7 ,  4 ,  4 ,  8 ,  37 ,  29 ,  -   
SAN JOSE,  18.458 ,  18.323 ,  65 ,  43 ,  1 ,  4 ,  3 ,  8 ,  11 ,  -   
SAN JUAN,  23.911 ,  23.265 ,  536 ,  55 ,  -   ,  4 ,  2 ,  18 ,  31 ,  -   
SAN LUIS,  7.368 ,  7.221 ,  107 ,  -   ,  2 ,  -   ,  1 ,  3 ,  34 ,  -   
SAN NICOLAS,  4.485 ,  3.996 ,  384 ,  4 ,  1 ,  21 ,  41 ,  12 ,  26 ,  -   
SAN PASCUAL,  15.212 ,  14.991 ,  156 ,  11 ,  3 ,  8 ,  -   ,  30 ,  13 ,  -   
SANTA TERESITA,  4.309 ,  4.252 ,  47 ,  2 ,  -   ,  -   ,  -   ,  4 ,  4 ,  -   
SANTO TOMAS,  42.629 ,  41.411 ,  900 ,  106 ,  10 ,  14 ,  35 ,  78 ,  75 ,  -   
TAAL,  12.293 ,  11.536 ,  157 ,  402 ,  2 ,  1 ,  9 ,  173 ,  13 ,  -   
TALISAY,  9.825 ,  8.896 ,  290 ,  6 ,  3 ,  10 ,  153 ,  437 ,  30 ,  -   
CITY OF TANAUAN,  38.239 ,  37.850 ,  249 ,  17 ,  5 ,  3 ,  7 ,  42 ,  66 ,  -   
TAYSAN,  8.512 ,  8.416 ,  81 ,  3 ,  1 ,  -   ,  2 ,  3 ,  6 ,  -   
TINGLOY,  4.315 ,  3.981 ,  193 ,  -   ,  -   ,  20 ,  117 ,  3 ,  1 ,  -   
TUY,  10.073 ,  9.709 ,  272 ,  26 ,  2 ,  1 ,  -   ,  25 ,  38 ,  -   
CAVITE,  877.743 ,  849.198 ,  15.209 ,  4.126 ,  191 ,  869 ,  824 ,  5.809 ,  1.506 ,  11 
ALFONSO,  11.820 ,  11.600 ,  134 ,  5 ,  1 ,  2 ,  1 ,  44 ,  33 ,  -   
AMADEO,  8.811 ,  8.559 ,  155 ,  2 ,  1 ,  13 ,  16 ,  29 ,  36 ,  -   
BACOOR CITY,  149.160 ,  144.974 ,  2.431 ,  988 ,  18 ,  43 ,  135 ,  360 ,  211 ,  -   
CARMONA,  24.427 ,  23.620 ,  676 ,  38 ,  1 ,  6 ,  12 ,  31 ,  43 ,  -   
CAVITE CITY,  25.997 ,  25.046 ,  443 ,  159 ,  1 ,  8 ,  29 ,  150 ,  161 ,  -   
CITY OF DASMARIÑAS,  147.799 ,  144.307 ,  2.362 ,  311 ,  29 ,  131 ,  71 ,  350 ,  238 ,  -   
GENERAL EMILIO AGUINALDO,  4.414 ,  4.300 ,  103 ,  1 ,  -   ,  -   ,  6 ,  4 ,  -   ,  -   
CITY OF GENERAL TRIAS,  80.142 ,  78.503 ,  856 ,  142 ,  35 ,  279 ,  55 ,  176 ,  96 ,  -   
IMUS CITY,  97.373 ,  94.868 ,  763 ,  1.320 ,  23 ,  5 ,  33 ,  162 ,  199 ,  -   
INDANG,  15.016 ,  14.462 ,  340 ,  4 ,  5 ,  41 ,  39 ,  121 ,  4 ,  -   
KAWIT,  21.018 ,  20.412 ,  399 ,  85 ,  2 ,  3 ,  5 ,  83 ,  29 ,  -   
MAGALLANES,  4.777 ,  4.376 ,  335 ,  -   ,  1 ,  31 ,  6 ,  21 ,  7 ,  -   
MARAGONDON,  8.339 ,  7.582 ,  485 ,  1 ,  5 ,  28 ,  33 ,  204 ,  1 ,  -   
MENDEZ (MENDEZ-NUÑEZ),  7.179 ,  7.017 ,  112 ,  11 ,  2 ,  5 ,  2 ,  27 ,  3 ,  -   
NAIC,  26.131 ,  24.791 ,  777 ,  39 ,  19 ,  51 ,  67 ,  341 ,  46 ,  -   
NOVELETA,  11.648 ,  11.506 ,  110 ,  1 ,  -   ,  2 ,  -   ,  17 ,  12 ,  -   
ROSARIO,  29.316 ,  28.466 ,  467 ,  21 ,  5 ,  31 ,  28 ,  278 ,  20 ,  -   
SILANG,  58.196 ,  56.793 ,  1.008 ,  45 ,  5 ,  9 ,  37 ,  161 ,  138 ,  -   
TAGAYTAY CITY,  16.095 ,  15.705 ,  248 ,  29 ,  3 ,  19 ,  25 ,  48 ,  18 ,  -   
TANZA,  54.446 ,  51.903 ,  1.133 ,  863 ,  10 ,  93 ,  124 ,  269 ,  51 ,  -   
TERNATE,  5.673 ,  5.297 ,  315 ,  6 ,  7 ,  26 ,  15 ,  7 ,  -   ,  -   
TRECE MARTIRES CITY (Capital),  35.193 ,  31.825 ,  513 ,  32 ,  9 ,  23 ,  51 ,  2.639 ,  90 ,  11 
GEN. MARIANO ALVAREZ,  34.773 ,  33.286 ,  1.044 ,  23 ,  9 ,  20 ,  34 ,  287 ,  70 ,  -   
LAGUNA,  765.513 ,  742.706 ,  13.938 ,  1.724 ,  128 ,  1.047 ,  943 ,  4.162 ,  865 ,  -   
ALAMINOS,  11.154 ,  10.516 ,  489 ,  62 ,  -   ,  11 ,  9 ,  63 ,  4 ,  -   
BAY,  15.149 ,  14.750 ,  266 ,  7 ,  3 ,  5 ,  13 ,  84 ,  21 ,  -   
CITY OF BIÑAN,  86.752 ,  84.870 ,  990 ,  402 ,  10 ,  94 ,  104 ,  194 ,  88 ,  -   
CABUYAO CITY,  81.573 ,  80.090 ,  692 ,  388 ,  12 ,  129 ,  64 ,  168 ,  30 ,  -   
CITY OF CALAMBA,  123.071 ,  119.146 ,  1.517 ,  193 ,  21 ,  459 ,  257 ,  1.189 ,  289 ,  -   
CALAUAN,  17.669 ,  16.462 ,  725 ,  17 ,  6 ,  53 ,  94 ,  299 ,  13 ,  -   
CAVINTI,  5.359 ,  5.025 ,  317 ,  4 ,  1 ,  1 ,  6 ,  5 ,  -   ,  -   
FAMY,  4.117 ,  3.647 ,  421 ,  1 ,  9 ,  1 ,  2 ,  36 ,  -   ,  -   
KALAYAAN,  5.147 ,  4.421 ,  574 ,  -   ,  -   ,  -   ,  36 ,  111 ,  5 ,  -   
LILIW,  9.309 ,  8.749 ,  468 ,  1 ,  -   ,  -   ,  5 ,  83 ,  3 ,  -   
LOS BAÑOS,  29.020 ,  28.357 ,  397 ,  15 ,  5 ,  129 ,  32 ,  67 ,  18 ,  -   
LUISIANA,  4.847 ,  4.730 ,  82 ,  -   ,  -   ,  5 ,  14 ,  12 ,  4 ,  -   
LUMBAN,  7.350 ,  6.951 ,  265 ,  2 ,  1 ,  4 ,  5 ,  93 ,  29 ,  -   
MABITAC,  4.575 ,  4.300 ,  214 ,  1 ,  1 ,  1 ,  5 ,  43 ,  10 ,  -   
MAGDALENA,  5.850 ,  5.309 ,  450 ,  -   ,  -   ,  1 ,  25 ,  44 ,  21 ,  -   
MAJAYJAY,  6.624 ,  6.229 ,  279 ,  3 ,  -   ,  4 ,  19 ,  69 ,  21 ,  -   
NAGCARLAN,  15.692 ,  15.129 ,  362 ,  16 ,  6 ,  15 ,  21 ,  133 ,  10 ,  -   
PAETE,  5.602 ,  5.247 ,  269 ,  -   ,  1 ,  2 ,  1 ,  77 ,  5 ,  -   
PAGSANJAN,  9.747 ,  9.215 ,  401 ,  1 ,  1 ,  8 ,  8 ,  105 ,  8 ,  -   
PAKIL,  4.597 ,  4.387 ,  149 ,  6 ,  1 ,  12 ,  11 ,  6 ,  25 ,  -   
PANGIL,  5.492 ,  5.096 ,  342 ,  -   ,  -   ,  2 ,  8 ,  42 ,  2 ,  -   
PILA,  11.447 ,  11.059 ,  302 ,  1 ,  -   ,  4 ,  16 ,  52 ,  13 ,  -   
RIZAL,  4.065 ,  3.943 ,  51 ,  -   ,  1 ,  6 ,  12 ,  52 ,  -   ,  -   
SAN PABLO CITY,  62.289 ,  60.371 ,  1.236 ,  23 ,  11 ,  37 ,  43 ,  515 ,  53 ,  -   
CITY OF SAN PEDRO,  73.030 ,  72.079 ,  604 ,  75 ,  13 ,  17 ,  33 ,  165 ,  44 ,  -   
SANTA CRUZ (Capital),  27.982 ,  27.141 ,  498 ,  8 ,  3 ,  11 ,  48 ,  223 ,  50 ,  -   
SANTA MARIA,  7.308 ,  6.885 ,  363 ,  1 ,  -   ,  2 ,  10 ,  13 ,  34 ,  -   
CITY OF SANTA ROSA,  101.385 ,  100.061 ,  632 ,  484 ,  12 ,  11 ,  30 ,  109 ,  46 ,  -   
SINILOAN,  8.489 ,  7.981 ,  395 ,  4 ,  5 ,  19 ,  4 ,  66 ,  15 ,  -   
VICTORIA,  10.822 ,  10.560 ,  188 ,  9 ,  5 ,  4 ,  8 ,  44 ,  4 ,  -   
QUEZON (excluding Lucena City),  425.837 ,  362.404 ,  43.200 ,  532 ,  148 ,  6.665 ,  9.382 ,  2.946 ,  560 ,  -   
AGDANGAN,  3.171 ,  2.733 ,  256 ,  -   ,  -   ,  33 ,  135 ,  10 ,  4 ,  -   
ALABAT,  3.566 ,  3.074 ,  319 ,  1 ,  -   ,  16 ,  115 ,  21 ,  20 ,  -   
ATIMONAN,  15.001 ,  12.611 ,  1.787 ,  80 ,  13 ,  82 ,  280 ,  121 ,  27 ,  -   
BUENAVISTA,  6.765 ,  4.806 ,  1.452 ,  28 ,  -   ,  41 ,  423 ,  11 ,  4 ,  -   
BURDEOS,  5.652 ,  2.254 ,  711 ,  3 ,  -   ,  2.316 ,  322 ,  41 ,  5 ,  -   
CALAUAG,  16.881 ,  14.099 ,  2.370 ,  9 ,  2 ,  69 ,  229 ,  66 ,  37 ,  -   
CANDELARIA,  28.055 ,  27.746 ,  222 ,  17 ,  7 ,  7 ,  13 ,  19 ,  24 ,  -   
CATANAUAN,  15.334 ,  13.362 ,  1.705 ,  15 ,  3 ,  21 ,  190 ,  21 ,  17 ,  -   
DOLORES,  6.510 ,  6.357 ,  103 ,  3 ,  2 ,  -   ,  6 ,  33 ,  6 ,  -   
GENERAL LUNA,  5.680 ,  4.923 ,  648 ,  -   ,  1 ,  17 ,  60 ,  3 ,  28 ,  -   
GENERAL NAKAR,  6.451 ,  4.717 ,  1.182 ,  5 ,  -   ,  93 ,  167 ,  276 ,  11 ,  -   
GUINAYANGAN,  10.304 ,  8.596 ,  1.550 ,  2 ,  2 ,  16 ,  109 ,  26 ,  3 ,  -   
GUMACA,  18.445 ,  16.248 ,  1.842 ,  13 ,  3 ,  31 ,  170 ,  117 ,  21 ,  -   
INFANTA,  16.449 ,  15.341 ,  854 ,  16 ,  1 ,  37 ,  89 ,  96 ,  15 ,  -   
JOMALIG,  1.532 ,  717 ,  400 ,  1 ,  -   ,  202 ,  199 ,  13 ,  -   ,  -   
LOPEZ,  20.863 ,  15.556 ,  4.407 ,  22 ,  7 ,  203 ,  525 ,  130 ,  13 ,  -   
LUCBAN,  11.969 ,  11.453 ,  325 ,  4 ,  7 ,  34 ,  73 ,  53 ,  20 ,  -   
MACALELON,  5.931 ,  4.811 ,  934 ,  5 ,  -   ,  30 ,  120 ,  19 ,  12 ,  -   
MAUBAN,  15.381 ,  11.898 ,  1.938 ,  15 ,  2 ,  168 ,  571 ,  752 ,  37 ,  -   
MULANAY,  11.718 ,  9.120 ,  1.692 ,  13 ,  1 ,  179 ,  636 ,  65 ,  12 ,  -   
PADRE BURGOS,  5.182 ,  4.325 ,  507 ,  -   ,  -   ,  120 ,  181 ,  48 ,  1 ,  -   
PAGBILAO,  17.284 ,  15.834 ,  1.020 ,  4 ,  1 ,  35 ,  292 ,  78 ,  20 ,  -   
PANUKULAN,  2.891 ,  1.937 ,  289 ,  1 ,  -   ,  554 ,  64 ,  45 ,  1 ,  -   
PATNANUNGAN,  3.287 ,  1.200 ,  423 ,  4 ,  1 ,  1.329 ,  277 ,  6 ,  47 ,  -   
PEREZ,  2.776 ,  2.283 ,  353 ,  1 ,  -   ,  2 ,  68 ,  36 ,  33 ,  -   
PITOGO,  5.222 ,  4.680 ,  451 ,  16 ,  14 ,  7 ,  33 ,  13 ,  8 ,  -   
PLARIDEL,  2.380 ,  2.085 ,  253 ,  -   ,  -   ,  9 ,  21 ,  9 ,  3 ,  -   
POLILLO,  6.965 ,  5.433 ,  937 ,  4 ,  3 ,  105 ,  210 ,  272 ,  1 ,  -   
QUEZON,  3.681 ,  3.153 ,  406 ,  3 ,  3 ,  5 ,  99 ,  7 ,  5 ,  -   
REAL,  8.015 ,  7.081 ,  680 ,  4 ,  28 ,  12 ,  89 ,  115 ,  6 ,  -   
SAMPALOC,  3.035 ,  2.782 ,  116 ,  17 ,  1 ,  27 ,  37 ,  53 ,  2 ,  -   
SAN ANDRES,  8.745 ,  5.259 ,  1.895 ,  9 ,  2 ,  268 ,  1.281 ,  23 ,  8 ,  -   
SAN ANTONIO,  7.383 ,  7.300 ,  76 ,  -   ,  1 ,  1 ,  -   ,  5 ,  -   ,  -   
SAN FRANCISCO (AURORA),  13.903 ,  8.827 ,  4.032 ,  48 ,  -   ,  108 ,  833 ,  42 ,  13 ,  -   
SAN NARCISO,  10.700 ,  6.632 ,  2.644 ,  87 ,  25 ,  321 ,  932 ,  55 ,  4 ,  -   
SARIAYA,  34.592 ,  33.987 ,  462 ,  23 ,  7 ,  3 ,  51 ,  30 ,  29 ,  -   
TAGKAWAYAN,  11.645 ,  10.213 ,  1.293 ,  4 ,  2 ,  16 ,  104 ,  8 ,  5 ,  -   
CITY OF TAYABAS,  23.837 ,  21.903 ,  1.372 ,  35 ,  3 ,  125 ,  241 ,  137 ,  21 ,  -   
TIAONG,  22.366 ,  21.861 ,  399 ,  17 ,  6 ,  -   ,  11 ,  53 ,  19 ,  -   
UNISAN,  6.290 ,  5.207 ,  895 ,  3 ,  -   ,  23 ,  126 ,  18 ,  18 ,  -   
LUCENA CITY (Capital),  59.836 ,  57.359 ,  1.839 ,  21 ,  7 ,  79 ,  293 ,  180 ,  58 ,  -   
RIZAL,  652.578 ,  624.083 ,  15.972 ,  1.447 ,  136 ,  2.862 ,  1.964 ,  5.180 ,  934 ,  -   
ANGONO,  25.325 ,  24.840 ,  327 ,  9 ,  3 ,  19 ,  9 ,  80 ,  38 ,  -   
CITY OF ANTIPOLO,  170.496 ,  165.089 ,  3.489 ,  162 ,  27 ,  522 ,  475 ,  506 ,  226 ,  -   
BARAS,  16.706 ,  14.706 ,  598 ,  21 ,  4 ,  48 ,  35 ,  1.267 ,  27 ,  -   
BINANGONAN,  69.786 ,  68.097 ,  1.171 ,  169 ,  23 ,  17 ,  32 ,  153 ,  124 ,  -   
CAINTA,  71.463 ,  70.129 ,  400 ,  516 ,  8 ,  35 ,  33 ,  304 ,  38 ,  -   
CARDONA,  12.114 ,  11.718 ,  322 ,  3 ,  1 ,  8 ,  6 ,  35 ,  21 ,  -   
JALA-JALA,  6.919 ,  6.732 ,  129 ,  1 ,  -   ,  2 ,  11 ,  23 ,  21 ,  -   
RODRIGUEZ (MONTALBAN),  82.348 ,  76.752 ,  3.262 ,  150 ,  26 ,  935 ,  638 ,  534 ,  51 ,  -   
MORONG,  13.180 ,  12.476 ,  525 ,  1 ,  1 ,  69 ,  23 ,  73 ,  12 ,  -   
PILILLA,  14.734 ,  13.334 ,  667 ,  199 ,  16 ,  82 ,  71 ,  294 ,  71 ,  -   
SAN MATEO,  56.379 ,  53.999 ,  1.572 ,  111 ,  11 ,  150 ,  144 ,  356 ,  36 ,  -   
TANAY,  25.836 ,  20.814 ,  2.318 ,  7 ,  11 ,  892 ,  414 ,  1.208 ,  172 ,  -   
TAYTAY,  73.835 ,  72.364 ,  904 ,  96 ,  4 ,  36 ,  51 ,  328 ,  52 ,  -   
TERESA,  13.457 ,  13.033 ,  288 ,  2 ,  1 ,  47 ,  22 ,  19 ,  45 ,  -   
,,,,,,,,,,
MIMAROPA REGION,  682.668 ,  507.417 ,  113.600 ,  758 ,  450 ,  30.989 ,  18.947 ,  9.112 ,  1.390 ,  5 
MARINDUQUE,  54.508 ,  46.679 ,  6.466 ,  22 ,  3 ,  444 ,  678 ,  165 ,  51 ,  -   
BOAC (Capital),  12.679 ,  11.066 ,  1.373 ,  11 ,  -   ,  70 ,  104 ,  36 ,  19 ,  -   
BUENAVISTA,  5.312 ,  4.404 ,  840 ,  -   ,  -   ,  33 ,  26 ,  9 ,  -   ,  -   
GASAN,  8.070 ,  6.924 ,  957 ,  4 ,  2 ,  103 ,  53 ,  25 ,  2 ,  -   
MOGPOG,  8.241 ,  7.219 ,  885 ,  4 ,  -   ,  43 ,  73 ,  13 ,  4 ,  -   
SANTA CRUZ,  13.340 ,  11.495 ,  1.411 ,  2 ,  -   ,  99 ,  248 ,  61 ,  24 ,  -   
TORRIJOS,  6.866 ,  5.571 ,  1.000 ,  1 ,  1 ,  96 ,  174 ,  21 ,  2 ,  -   
OCCIDENTAL MINDORO,  111.714 ,  85.113 ,  17.836 ,  265 ,  29 ,  1.436 ,  4.523 ,  1.853 ,  654 ,  5 
ABRA DE ILOG,  7.329 ,  4.773 ,  1.333 ,  30 ,  18 ,  20 ,  550 ,  578 ,  27 ,  -   
CALINTAAN,  6.451 ,  4.553 ,  1.495 ,  13 ,  1 ,  118 ,  134 ,  95 ,  42 ,  -   
LOOC,  2.421 ,  2.029 ,  212 ,  -   ,  -   ,  26 ,  113 ,  40 ,  1 ,  -   
LUBANG,  4.777 ,  4.673 ,  85 ,  -   ,  -   ,  2 ,  6 ,  7 ,  4 ,  -   
MAGSAYSAY,  7.819 ,  5.055 ,  2.090 ,  16 ,  -   ,  261 ,  304 ,  90 ,  3 ,  -   
MAMBURAO (Capital),  10.025 ,  8.534 ,  991 ,  4 ,  3 ,  37 ,  224 ,  164 ,  68 ,  -   
PALUAN,  3.603 ,  2.250 ,  820 ,  1 ,  -   ,  16 ,  265 ,  242 ,  9 ,  -   
RIZAL,  8.468 ,  6.292 ,  1.675 ,  2 ,  1 ,  115 ,  209 ,  172 ,  2 ,  -   
SABLAYAN,  18.558 ,  13.940 ,  3.447 ,  35 ,  2 ,  71 ,  594 ,  133 ,  336 ,  -   
SAN JOSE,  33.208 ,  26.330 ,  4.240 ,  158 ,  3 ,  706 ,  1.598 ,  131 ,  42 ,  -   
SANTA CRUZ,  9.055 ,  6.684 ,  1.448 ,  6 ,  1 ,  64 ,  526 ,  201 ,  120 ,  5 
ORIENTAL MINDORO,  190.763 ,  161.918 ,  23.252 ,  243 ,  174 ,  704 ,  1.938 ,  1.923 ,  611 ,  -   
BACO,  8.326 ,  6.866 ,  1.249 ,  -   ,  1 ,  23 ,  23 ,  70 ,  94 ,  -   
BANSUD,  9.250 ,  7.820 ,  1.152 ,  37 ,  1 ,  61 ,  113 ,  25 ,  41 ,  -   
BONGABONG,  16.753 ,  13.893 ,  2.036 ,  30 ,  131 ,  23 ,  235 ,  403 ,  2 ,  -   
BULALACAO (SAN PEDRO),  8.542 ,  4.939 ,  3.127 ,  17 ,  -   ,  29 ,  276 ,  27 ,  127 ,  -   
CITY OF CALAPAN (Capital),  30.734 ,  29.033 ,  1.084 ,  16 ,  4 ,  37 ,  93 ,  449 ,  18 ,  -   
GLORIA,  10.366 ,  8.897 ,  1.263 ,  2 ,  1 ,  31 ,  116 ,  51 ,  5 ,  -   
MANSALAY,  11.286 ,  7.093 ,  3.669 ,  6 ,  26 ,  89 ,  314 ,  86 ,  3 ,  -   
NAUJAN,  23.348 ,  20.709 ,  2.270 ,  19 ,  2 ,  46 ,  119 ,  106 ,  77 ,  -   
PINAMALAYAN,  19.551 ,  17.418 ,  1.867 ,  41 ,  1 ,  43 ,  98 ,  46 ,  37 ,  -   
POLA,  8.192 ,  6.841 ,  1.104 ,  -   ,  1 ,  43 ,  147 ,  21 ,  35 ,  -   
PUERTO GALERA,  8.322 ,  7.489 ,  342 ,  15 ,  2 ,  58 ,  169 ,  143 ,  104 ,  -   
ROXAS,  11.719 ,  10.185 ,  1.169 ,  18 ,  3 ,  134 ,  51 ,  157 ,  2 ,  -   
SAN TEODORO,  4.058 ,  3.305 ,  454 ,  2 ,  1 ,  10 ,  19 ,  252 ,  15 ,  -   
SOCORRO,  9.108 ,  7.622 ,  1.233 ,  5 ,  -   ,  47 ,  119 ,  43 ,  39 ,  -   
VICTORIA,  11.208 ,  9.808 ,  1.233 ,  35 ,  -   ,  30 ,  46 ,  44 ,  12 ,  -   
PALAWAN (excluding Puerto Princesa City),  195.074 ,  99.513 ,  53.084 ,  77 ,  219 ,  26.782 ,  10.529 ,  4.850 ,  20 ,  -   
ABORLAN,  8.294 ,  5.606 ,  1.436 ,  -   ,  -   ,  669 ,  472 ,  111 ,  -   ,  -   
AGUTAYA,  3.045 ,  1.407 ,  321 ,  -   ,  -   ,  863 ,  445 ,  9 ,  -   ,  -   
ARACELI,  3.294 ,  2.120 ,  646 ,  -   ,  -   ,  303 ,  213 ,  12 ,  -   ,  -   
BALABAC,  8.445 ,  2.495 ,  3.923 ,  -   ,  87 ,  914 ,  910 ,  116 ,  -   ,  -   
BATARAZA,  17.983 ,  9.119 ,  6.147 ,  -   ,  -   ,  1.262 ,  866 ,  589 ,  -   ,  -   
BROOKE'S POINT,  15.474 ,  8.054 ,  5.359 ,  -   ,  -   ,  874 ,  536 ,  651 ,  -   ,  -   
BUSUANGA,  5.051 ,  2.337 ,  1.485 ,  19 ,  2 ,  600 ,  497 ,  111 ,  -   ,  -   
CAGAYANCILLO,  1.184 ,  798 ,  166 ,  -   ,  -   ,  180 ,  36 ,  4 ,  -   ,  -   
CORON,  11.512 ,  7.021 ,  2.586 ,  -   ,  -   ,  1.443 ,  369 ,  93 ,  -   ,  -   
CUYO,  5.103 ,  4.187 ,  518 ,  -   ,  -   ,  245 ,  103 ,  50 ,  -   ,  -   
DUMARAN,  5.812 ,  2.296 ,  1.475 ,  -   ,  -   ,  1.386 ,  623 ,  32 ,  -   ,  -   
