City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,Lake river rain and others,Peddler,Bottled water,Others,Not Reported
BADIANGAN,  5.897 ,  1.487 ,  757 ,  1.123 ,  1.213 ,  559 ,  733 ,  -   ,  -   ,  4 ,  3 ,  7 ,  11 ,  -   
BALASAN,  8.090 ,  162 ,  744 ,  1.642 ,  3.319 ,  15 ,  1.582 ,  8 ,  1 ,  1 ,  5 ,  610 ,  1 ,  -   
BANATE,  7.993 ,  986 ,  427 ,  973 ,  2.049 ,  219 ,  1.000 ,  180 ,  3 ,  5 ,  1.903 ,  191 ,  57 ,  -   
BAROTAC NUEVO,  11.991 ,  1.713 ,  404 ,  2.065 ,  1.900 ,  2.843 ,  2.088 ,  325 ,  3 ,  6 ,  4 ,  636 ,  4 ,  -   
BAROTAC VIEJO,  11.091 ,  353 ,  1.594 ,  1.954 ,  3.600 ,  161 ,  590 ,  1.825 ,  85 ,  69 ,  398 ,  462 ,  -   ,  -   
BATAD,  5.154 ,  227 ,  810 ,  493 ,  2.494 ,  23 ,  960 ,  90 ,  3 ,  1 ,  4 ,  48 ,  1 ,  -   
BINGAWAN,  3.467 ,  9 ,  176 ,  281 ,  326 ,  22 ,  2.203 ,  101 ,  5 ,  151 ,  121 ,  72 ,  -   ,  -   
CABATUAN,  12.715 ,  2.328 ,  1.212 ,  2.030 ,  5.757 ,  206 ,  700 ,  261 ,  5 ,  48 ,  18 ,  150 ,  -   ,  -   
CALINOG,  13.155 ,  1.405 ,  879 ,  2.174 ,  2.444 ,  305 ,  3.286 ,  950 ,  828 ,  158 ,  672 ,  47 ,  7 ,  -   
CARLES,  15.278 ,  359 ,  1.115 ,  563 ,  2.805 ,  143 ,  6.535 ,  2.576 ,  386 ,  194 ,  437 ,  165 ,  -   ,  -   
CONCEPCION,  10.069 ,  594 ,  2.249 ,  1.056 ,  4.205 ,  361 ,  614 ,  733 ,  65 ,  26 ,  129 ,  23 ,  14 ,  -   
DINGLE,  10.414 ,  3.053 ,  259 ,  1.597 ,  2.328 ,  1.866 ,  472 ,  693 ,  43 ,  12 ,  16 ,  75 ,  -   ,  -   
DUEÑAS,  7.822 ,  1.039 ,  277 ,  978 ,  2.089 ,  767 ,  2.141 ,  350 ,  15 ,  11 ,  -   ,  155 ,  -   ,  -   
DUMANGAS,  15.793 ,  2.350 ,  1.319 ,  3.187 ,  5.721 ,  500 ,  930 ,  14 ,  3 ,  76 ,  166 ,  1.499 ,  28 ,  -   
ESTANCIA,  11.163 ,  790 ,  1.036 ,  1.563 ,  4.573 ,  259 ,  1.987 ,  26 ,  12 ,  4 ,  529 ,  372 ,  12 ,  -   
GUIMBAL,  7.470 ,  1.110 ,  184 ,  1.760 ,  2.045 ,  87 ,  2.017 ,  114 ,  16 ,  3 ,  1 ,  103 ,  30 ,  -   
IGBARAS,  7.022 ,  326 ,  182 ,  1.111 ,  1.553 ,  181 ,  203 ,  2.756 ,  597 ,  1 ,  6 ,  106 ,  -   ,  -   
JANIUAY,  13.865 ,  2.382 ,  1.434 ,  2.927 ,  4.175 ,  432 ,  1.218 ,  835 ,  192 ,  121 ,  12 ,  137 ,  -   ,  -   
LAMBUNAO,  15.934 ,  1.680 ,  1.508 ,  2.946 ,  6.016 ,  579 ,  2.257 ,  379 ,  10 ,  355 ,  140 ,  47 ,  17 ,  -   
LEGANES,  7.033 ,  620 ,  364 ,  1.414 ,  1.852 ,  34 ,  652 ,  4 ,  9 ,  7 ,  838 ,  1.228 ,  11 ,  -   
LEMERY,  7.839 ,  476 ,  741 ,  2.007 ,  3.583 ,  101 ,  483 ,  284 ,  159 ,  2 ,  1 ,  2 ,  -   ,  -   
LEON,  10.755 ,  969 ,  1.123 ,  1.776 ,  3.225 ,  201 ,  1.348 ,  1.489 ,  448 ,  4 ,  5 ,  167 ,  -   ,  -   
MAASIN,  7.384 ,  639 ,  458 ,  1.729 ,  3.261 ,  213 ,  197 ,  649 ,  51 ,  121 ,  11 ,  55 ,  -   ,  -   
MIAGAO,  14.124 ,  2.095 ,  2.306 ,  3.753 ,  4.392 ,  102 ,  453 ,  656 ,  99 ,  18 ,  79 ,  171 ,  -   ,  -   
MINA,  4.992 ,  397 ,  338 ,  2.181 ,  1.879 ,  30 ,  26 ,  3 ,  -   ,  -   ,  3 ,  134 ,  1 ,  -   
NEW LUCENA,  5.006 ,  550 ,  403 ,  1.292 ,  1.617 ,  57 ,  279 ,  104 ,  25 ,  1 ,  286 ,  392 ,  -   ,  -   
OTON,  20.460 ,  1.532 ,  364 ,  5.826 ,  4.418 ,  931 ,  3.533 ,  131 ,  26 ,  7 ,  307 ,  3.385 ,  -   ,  -   
CITY OF PASSI,  19.288 ,  2.974 ,  1.227 ,  3.398 ,  6.367 ,  937 ,  2.339 ,  942 ,  215 ,  108 ,  59 ,  722 ,  -   ,  -   
PAVIA,  12.825 ,  4.615 ,  1.327 ,  2.294 ,  1.678 ,  25 ,  94 ,  31 ,  1 ,  -   ,  27 ,  2.733 ,  -   ,  -   
POTOTAN,  16.000 ,  1.788 ,  826 ,  6.703 ,  4.875 ,  736 ,  351 ,  14 ,  4 ,  8 ,  250 ,  443 ,  2 ,  -   
SAN DIONISIO,  9.013 ,  675 ,  2.383 ,  1.370 ,  3.588 ,  96 ,  493 ,  355 ,  12 ,  14 ,  1 ,  26 ,  -   ,  -   
SAN ENRIQUE,  7.638 ,  493 ,  487 ,  1.636 ,  3.239 ,  69 ,  398 ,  1.167 ,  31 ,  10 ,  2 ,  106 ,  -   ,  -   
SAN JOAQUIN,  11.163 ,  1.495 ,  1.822 ,  1.344 ,  1.734 ,  326 ,  857 ,  3.032 ,  474 ,  43 ,  1 ,  26 ,  9 ,  -   
SAN MIGUEL,  6.046 ,  454 ,  171 ,  645 ,  1.389 ,  39 ,  3.064 ,  5 ,  3 ,  -   ,  1 ,  275 ,  -   ,  -   
SAN RAFAEL,  3.837 ,  183 ,  50 ,  823 ,  1.906 ,  480 ,  214 ,  168 ,  9 ,  -   ,  -   ,  4 ,  -   ,  -   
SANTA BARBARA,  13.608 ,  2.516 ,  1.376 ,  2.253 ,  4.592 ,  574 ,  1.608 ,  39 ,  5 ,  12 ,  88 ,  534 ,  11 ,  -   
SARA,  13.246 ,  583 ,  833 ,  3.993 ,  6.116 ,  143 ,  397 ,  737 ,  7 ,  58 ,  307 ,  71 ,  1 ,  -   
TIGBAUAN,  13.359 ,  425 ,  917 ,  3.688 ,  4.862 ,  249 ,  2.332 ,  216 ,  14 ,  10 ,  43 ,  603 ,  -   ,  -   
TUBUNGAN,  4.848 ,  585 ,  1.223 ,  991 ,  245 ,  200 ,  309 ,  1.166 ,  112 ,  3 ,  -   ,  14 ,  -   ,  -   
ZARRAGA,  5.853 ,  1.676 ,  358 ,  910 ,  1.885 ,  56 ,  87 ,  1 ,  2 ,  6 ,  327 ,  545 ,  -   ,  -   
ILOILO CITY (Capital),  95.100 ,  22.179 ,  13.465 ,  10.455 ,  9.912 ,  665 ,  2.085 ,  4 ,  7 ,  42 ,  8.949 ,  27.333 ,  4 ,  -   
GUIMARAS,  40.575 ,  6.600 ,  3.031 ,  3.578 ,  9.061 ,  744 ,  15.051 ,  1.448 ,  388 ,  34 ,  58 ,  568 ,  14 ,  -   
BUENAVISTA,  12.115 ,  4.223 ,  1.111 ,  947 ,  2.459 ,  361 ,  2.335 ,  552 ,  20 ,  11 ,  1 ,  95 ,  -   ,  -   
JORDAN (CAPITAL),  8.311 ,  827 ,  1.003 ,  833 ,  1.675 ,  186 ,  2.655 ,  471 ,  311 ,  10 ,  30 ,  309 ,  1 ,  -   
NUEVA VALENCIA,  9.173 ,  1.097 ,  613 ,  702 ,  2.778 ,  128 ,  3.455 ,  247 ,  31 ,  9 ,  23 ,  90 ,  -   ,  -   
SAN LORENZO,  5.995 ,  135 ,  34 ,  414 ,  75 ,  37 ,  5.285 ,  3 ,  1 ,  -   ,  -   ,  11 ,  -   ,  -   
SIBUNAG,  4.981 ,  318 ,  270 ,  682 ,  2.074 ,  32 ,  1.321 ,  175 ,  25 ,  4 ,  4 ,  63 ,  13 ,  -   
NEGROS OCCIDENTAL (excluding Bacolod City),  572.574 ,  119.295 ,  73.319 ,  33.555 ,  156.241 ,  13.242 ,  88.265 ,  46.584 ,  19.812 ,  2.974 ,  7.866 ,  11.159 ,  262 ,  -   
BAGO CITY,  39.949 ,  8.643 ,  3.698 ,  3.642 ,  15.442 ,  1.161 ,  2.447 ,  2.620 ,  822 ,  14 ,  866 ,  590 ,  4 ,  -   
BINALBAGAN,  15.092 ,  4.584 ,  1.529 ,  846 ,  3.381 ,  102 ,  3.307 ,  164 ,  878 ,  26 ,  28 ,  244 ,  3 ,  -   
CADIZ CITY,  35.657 ,  8.867 ,  5.495 ,  782 ,  10.815 ,  621 ,  6.372 ,  952 ,  654 ,  50 ,  453 ,  589 ,  7 ,  -   
CALATRAVA,  18.431 ,  2.801 ,  4.245 ,  1.212 ,  2.996 ,  480 ,  2.948 ,  2.579 ,  560 ,  417 ,  49 ,  134 ,  10 ,  -   
CANDONI,  4.962 ,  165 ,  1.266 ,  275 ,  594 ,  108 ,  1.389 ,  480 ,  261 ,  1 ,  417 ,  6 ,  -   ,  -   
CAUAYAN,  22.858 ,  994 ,  1.843 ,  2.825 ,  7.263 ,  300 ,  5.501 ,  3.001 ,  820 ,  172 ,  22 ,  112 ,  5 ,  -   
ENRIQUE B. MAGALONA (SARAVIA),  14.664 ,  1.574 ,  1.044 ,  800 ,  9.107 ,  120 ,  460 ,  719 ,  162 ,  9 ,  31 ,  637 ,  1 ,  -   
CITY OF ESCALANTE,  21.544 ,  3.664 ,  3.712 ,  1.240 ,  3.073 ,  213 ,  8.578 ,  278 ,  226 ,  23 ,  212 ,  322 ,  3 ,  -   
CITY OF HIMAMAYLAN,  25.677 ,  6.617 ,  5.310 ,  1.590 ,  3.792 ,  417 ,  3.863 ,  1.808 ,  991 ,  74 ,  449 ,  759 ,  7 ,  -   
HINIGARAN,  20.577 ,  2.892 ,  1.373 ,  1.402 ,  5.527 ,  1.315 ,  7.076 ,  124 ,  18 ,  4 ,  446 ,  359 ,  41 ,  -   
HINOBA-AN (ASIA),  12.538 ,  190 ,  426 ,  1.844 ,  6.823 ,  490 ,  1.327 ,  616 ,  588 ,  49 ,  60 ,  125 ,  -   ,  -   
ILOG,  13.066 ,  642 ,  2.123 ,  496 ,  2.311 ,  114 ,  5.558 ,  848 ,  212 ,  13 ,  327 ,  422 ,  -   ,  -   
ISABELA,  13.801 ,  530 ,  1.506 ,  1.536 ,  5.502 ,  621 ,  1.417 ,  1.993 ,  344 ,  27 ,  128 ,  196 ,  1 ,  -   
CITY OF KABANKALAN,  40.351 ,  5.551 ,  4.467 ,  2.634 ,  10.878 ,  1.603 ,  7.590 ,  4.539 ,  1.715 ,  111 ,  440 ,  821 ,  2 ,  -   
LA CARLOTA CITY,  16.287 ,  9.470 ,  1.914 ,  252 ,  1.481 ,  144 ,  288 ,  1.893 ,  609 ,  10 ,  53 ,  101 ,  72 ,  -   
LA CASTELLANA,  17.208 ,  3.205 ,  2.298 ,  825 ,  2.708 ,  255 ,  432 ,  4.636 ,  2.004 ,  172 ,  642 ,  25 ,  6 ,  -   
MANAPLA,  13.038 ,  1.919 ,  617 ,  829 ,  7.269 ,  71 ,  1.488 ,  703 ,  6 ,  14 ,  3 ,  119 ,  -   ,  -   
MOISES PADILLA (MAGALLON),  8.870 ,  1.447 ,  2.117 ,  554 ,  1.597 ,  246 ,  1.221 ,  460 ,  1.149 ,  20 ,  22 ,  36 ,  1 ,  -   
MURCIA,  18.517 ,  4.767 ,  1.444 ,  1.106 ,  2.870 ,  423 ,  1.711 ,  4.902 ,  807 ,  8 ,  336 ,  137 ,  6 ,  -   
PONTEVEDRA,  12.077 ,  1.284 ,  1.582 ,  1.038 ,  5.325 ,  136 ,  1.436 ,  889 ,  180 ,  1 ,  61 ,  139 ,  6 ,  -   
PULUPANDAN,  6.416 ,  1.919 ,  617 ,  331 ,  1.608 ,  344 ,  1.218 ,  12 ,  2 ,  -   ,  193 ,  168 ,  4 ,  -   
SAGAY CITY,  33.488 ,  13.002 ,  4.359 ,  627 ,  3.462 ,  342 ,  8.514 ,  1.387 ,  264 ,  992 ,  231 ,  301 ,  7 ,  -   
SAN CARLOS CITY,  31.002 ,  9.453 ,  5.155 ,  466 ,  4.485 ,  1.077 ,  2.660 ,  2.341 ,  3.931 ,  210 ,  992 ,  227 ,  5 ,  -   
SAN ENRIQUE,  5.587 ,  1.880 ,  399 ,  718 ,  2.388 ,  123 ,  26 ,  -   ,  -   ,  1 ,  1 ,  50 ,  1 ,  -   
SILAY CITY,  28.953 ,  5.939 ,  2.637 ,  1.452 ,  11.191 ,  444 ,  2.659 ,  1.511 ,  972 ,  44 ,  389 ,  1.675 ,  40 ,  -   
CITY OF SIPALAY,  14.803 ,  626 ,  1.852 ,  938 ,  3.247 ,  137 ,  3.848 ,  2.809 ,  142 ,  298 ,  721 ,  182 ,  3 ,  -   
CITY OF TALISAY,  23.107 ,  5.941 ,  1.777 ,  1.663 ,  7.730 ,  576 ,  1.560 ,  1.801 ,  232 ,  57 ,  125 ,  1.633 ,  12 ,  -   
TOBOSO,  9.745 ,  852 ,  2.974 ,  371 ,  2.476 ,  207 ,  1.458 ,  1.022 ,  64 ,  138 ,  9 ,  174 ,  -   ,  -   
VALLADOLID,  8.887 ,  1.721 ,  1.206 ,  517 ,  4.036 ,  823 ,  83 ,  1 ,  -   ,  -   ,  25 ,  466 ,  9 ,  -   
CITY OF VICTORIAS,  19.556 ,  7.772 ,  2.057 ,  676 ,  6.787 ,  221 ,  867 ,  362 ,  264 ,  3 ,  135 ,  406 ,  6 ,  -   
SALVADOR BENEDICTO,  5.866 ,  384 ,  2.277 ,  68 ,  77 ,  8 ,  963 ,  1.134 ,  935 ,  16 ,  -   ,  4 ,  -   ,  -   
BACOLOD CITY (Capital),  129.076 ,  53.482 ,  20.524 ,  5.650 ,  18.774 ,  1.987 ,  2.498 ,  1.661 ,  166 ,  53 ,  7.379 ,  16.713 ,  189 ,  -   
,,,,,,,,,,,,,,
REGION VII - CENTRAL VISAYAS,  1.699.058 ,  725.121 ,  356.924 ,  61.072 ,  201.955 ,  22.403 ,  129.341 ,  94.835 ,  27.626 ,  19.855 ,  25.679 ,  33.370 ,  877 ,  -   
BOHOL,  288.515 ,  138.520 ,  37.275 ,  6.149 ,  22.801 ,  2.463 ,  46.446 ,  12.111 ,  3.152 ,  12.322 ,  2.866 ,  4.389 ,  21 ,  -   
ALBURQUERQUE,  2.422 ,  1.891 ,  315 ,  4 ,  68 ,  56 ,  36 ,  5 ,  5 ,  17 ,  4 ,  21 ,  -   ,  -   
ALICIA,  5.105 ,  1.335 ,  1.678 ,  205 ,  1.089 ,  103 ,  477 ,  113 ,  71 ,  7 ,  1 ,  26 ,  -   ,  -   
ANDA,  3.764 ,  2.613 ,  846 ,  -   ,  1 ,  3 ,  41 ,  93 ,  16 ,  149 ,  -   ,  2 ,  -   ,  -   
ANTEQUERA,  3.482 ,  2.338 ,  282 ,  30 ,  156 ,  3 ,  36 ,  384 ,  200 ,  37 ,  1 ,  15 ,  -   ,  -   
BACLAYON,  4.397 ,  3.484 ,  480 ,  11 ,  27 ,  2 ,  1 ,  15 ,  1 ,  324 ,  -   ,  52 ,  -   ,  -   
BALILIHAN,  4.084 ,  2.611 ,  210 ,  18 ,  16 ,  4 ,  29 ,  690 ,  489 ,  13 ,  -   ,  4 ,  -   ,  -   
BATUAN,  2.853 ,  1.586 ,  522 ,  87 ,  393 ,  10 ,  22 ,  180 ,  41 ,  8 ,  -   ,  4 ,  -   ,  -   
BILAR,  3.768 ,  3.040 ,  391 ,  43 ,  77 ,  5 ,  61 ,  47 ,  23 ,  14 ,  42 ,  25 ,  -   ,  -   
BUENAVISTA,  6.034 ,  1.108 ,  880 ,  129 ,  586 ,  22 ,  1.917 ,  183 ,  75 ,  902 ,  189 ,  43 ,  -   ,  -   
CALAPE,  7.404 ,  3.794 ,  1.305 ,  66 ,  495 ,  105 ,  48 ,  488 ,  633 ,  285 ,  131 ,  54 ,  -   ,  -   
CANDIJAY,  6.771 ,  4.386 ,  1.371 ,  70 ,  510 ,  13 ,  57 ,  271 ,  39 ,  17 ,  1 ,  36 ,  -   ,  -   
CARMEN,  10.306 ,  1.710 ,  1.906 ,  1.061 ,  2.183 ,  253 ,  1.427 ,  1.058 ,  432 ,  98 ,  2 ,  176 ,  -   ,  -   
CATIGBIAN,  5.124 ,  1.009 ,  220 ,  348 ,  514 ,  12 ,  1.036 ,  1.056 ,  16 ,  844 ,  1 ,  68 ,  -   ,  -   
CLARIN,  4.623 ,  1.751 ,  1.206 ,  180 ,  374 ,  11 ,  522 ,  295 ,  40 ,  51 ,  103 ,  90 ,  -   ,  -   
CORELLA,  1.908 ,  1.827 ,  63 ,  2 ,  3 ,  1 ,  5 ,  1 ,  -   ,  -   ,  -   ,  6 ,  -   ,  -   
CORTES,  3.630 ,  2.837 ,  499 ,  9 ,  36 ,  6 ,  31 ,  166 ,  17 ,  4 ,  2 ,  23 ,  -   ,  -   
DAGOHOY,  4.176 ,  721 ,  115 ,  192 ,  838 ,  35 ,  1.708 ,  213 ,  58 ,  210 ,  -   ,  86 ,  -   ,  -   
DANAO,  3.921 ,  834 ,  554 ,  75 ,  523 ,  245 ,  1.141 ,  302 ,  105 ,  89 ,  2 ,  51 ,  -   ,  -   
DAUIS,  9.900 ,  8.052 ,  864 ,  30 ,  12 ,  1 ,  22 ,  2 ,  -   ,  294 ,  7 ,  616 ,  -   ,  -   
DIMIAO,  3.227 ,  1.456 ,  909 ,  17 ,  12 ,  3 ,  27 ,  677 ,  107 ,  6 ,  -   ,  13 ,  -   ,  -   
DUERO,  4.017 ,  2.750 ,  204 ,  284 ,  335 ,  10 ,  4 ,  313 ,  82 ,  8 ,  -   ,  27 ,  -   ,  -   
GARCIA HERNANDEZ,  4.993 ,  4.335 ,  292 ,  5 ,  49 ,  15 ,  2 ,  255 ,  11 ,  3 ,  3 ,  23 ,  -   ,  -   
GUINDULMAN,  7.234 ,  4.885 ,  1.164 ,  41 ,  386 ,  196 ,  167 ,  134 ,  40 ,  22 ,  173 ,  26 ,  -   ,  -   
INABANGA,  9.896 ,  2.701 ,  1.547 ,  392 ,  1.749 ,  49 ,  1.714 ,  198 ,  49 ,  938 ,  510 ,  49 ,  -   ,  -   
JAGNA,  7.506 ,  5.658 ,  1.368 ,  109 ,  142 ,  25 ,  10 ,  84 ,  5 ,  9 ,  1 ,  95 ,  -   ,  -   
GETAFE,  6.487 ,  956 ,  934 ,  135 ,  885 ,  74 ,  1.840 ,  121 ,  3 ,  640 ,  774 ,  125 ,  -   ,  -   
LILA,  2.090 ,  1.574 ,  463 ,  1 ,  2 ,  1 ,  2 ,  41 ,  -   ,  -   ,  -   ,  6 ,  -   ,  -   
LOAY,  3.578 ,  2.718 ,  384 ,  77 ,  181 ,  9 ,  18 ,  85 ,  1 ,  1 ,  3 ,  101 ,  -   ,  -   
LOBOC,  3.483 ,  2.303 ,  763 ,  23 ,  53 ,  34 ,  79 ,  171 ,  8 ,  19 ,  8 ,  22 ,  -   ,  -   
LOON,  9.952 ,  4.884 ,  1.495 ,  41 ,  161 ,  30 ,  67 ,  1.107 ,  129 ,  1.638 ,  285 ,  112 ,  3 ,  -   
MABINI,  6.254 ,  2.871 ,  934 ,  70 ,  1.468 ,  43 ,  200 ,  616 ,  23 ,  5 ,  1 ,  23 ,  -   ,  -   
MARIBOJOC,  4.748 ,  3.911 ,  654 ,  5 ,  14 ,  2 ,  16 ,  106 ,  3 ,  14 ,  4 ,  16 ,  3 ,  -   
PANGLAO,  7.020 ,  3.847 ,  951 ,  135 ,  360 ,  5 ,  347 ,  6 ,  1 ,  238 ,  83 ,  1.047 ,  -   ,  -   
PILAR,  5.975 ,  2.781 ,  1.301 ,  167 ,  835 ,  12 ,  452 ,  372 ,  20 ,  21 ,  -   ,  12 ,  2 ,  -   
PRES. CARLOS P. GARCIA (PITOGO),  5.164 ,  26 ,  109 ,  34 ,  7 ,  21 ,  4.282 ,  246 ,  3 ,  410 ,  9 ,  17 ,  -   ,  -   
SAGBAYAN (BORJA),  5.157 ,  2.929 ,  613 ,  203 ,  1.054 ,  111 ,  131 ,  25 ,  28 ,  12 ,  36 ,  15 ,  -   ,  -   
SAN ISIDRO,  2.198 ,  1.077 ,  133 ,  6 ,  9 ,  23 ,  102 ,  553 ,  256 ,  34 ,  -   ,  5 ,  -   ,  -   
SAN MIGUEL,  5.396 ,  141 ,  233 ,  82 ,  460 ,  75 ,  4.146 ,  118 ,  15 ,  58 ,  9 ,  58 ,  1 ,  -   
SEVILLA,  2.240 ,  979 ,  92 ,  57 ,  82 ,  4 ,  455 ,  421 ,  59 ,  80 ,  -   ,  10 ,  1 ,  -   
SIERRA BULLONES,  5.412 ,  4.388 ,  656 ,  30 ,  63 ,  14 ,  25 ,  89 ,  15 ,  16 ,  107 ,  9 ,  -   ,  -   
SIKATUNA,  1.515 ,  1.185 ,  72 ,  7 ,  83 ,  3 ,  66 ,  90 ,  -   ,  7 ,  -   ,  2 ,  -   ,  -   
TAGBILARAN CITY (Capital),  21.863 ,  18.348 ,  2.865 ,  50 ,  182 ,  4 ,  77 ,  1 ,  -   ,  1 ,  53 ,  276 ,  6 ,  -   
TALIBON,  14.335 ,  2.712 ,  471 ,  350 ,  938 ,  241 ,  7.100 ,  8 ,  1 ,  2.112 ,  17 ,  382 ,  3 ,  -   
TRINIDAD,  6.857 ,  160 ,  321 ,  83 ,  48 ,  11 ,  5.940 ,  14 ,  1 ,  5 ,  197 ,  77 ,  -   ,  -   
TUBIGON,  10.356 ,  5.832 ,  1.984 ,  103 ,  737 ,  46 ,  159 ,  504 ,  5 ,  873 ,  54 ,  59 ,  -   ,  -   
UBAY,  16.578 ,  2.405 ,  1.081 ,  918 ,  4.100 ,  486 ,  7.234 ,  65 ,  24 ,  63 ,  52 ,  149 ,  1 ,  -   
VALENCIA,  5.587 ,  3.378 ,  1.410 ,  141 ,  451 ,  20 ,  8 ,  129 ,  -   ,  30 ,  -   ,  20 ,  -   ,  -   
BIEN UNIDO,  5.725 ,  403 ,  165 ,  23 ,  54 ,  6 ,  3.159 ,  -   ,  2 ,  1.696 ,  1 ,  215 ,  1 ,  -   
"CEBU (excluding Cebu, Lapu-Lapu and Mandaue City)",  669.322 ,  274.119 ,  154.261 ,  21.975 ,  81.133 ,  9.248 ,  50.201 ,  41.538 ,  9.354 ,  5.950 ,  11.951 ,  9.436 ,  156 ,  -   
ALCANTARA,  3.444 ,  1.322 ,  662 ,  53 ,  271 ,  311 ,  24 ,  586 ,  17 ,  -   ,  198 ,  -   ,  -   ,  -   
ALCOY,  3.388 ,  1.557 ,  1.434 ,  1 ,  1 ,  2 ,  25 ,  55 ,  -   ,  179 ,  130 ,  -   ,  4 ,  -   
ALEGRIA,  5.028 ,  1.694 ,  1.392 ,  57 ,  107 ,  6 ,  20 ,  868 ,  734 ,  150 ,  -   ,  -   ,  -   ,  -   
ALOGUINSAN,  6.901 ,  2.130 ,  2.248 ,  99 ,  748 ,  23 ,  1.132 ,  218 ,  203 ,  42 ,  11 ,  46 ,  1 ,  -   
ARGAO,  16.574 ,  8.598 ,  2.058 ,  428 ,  829 ,  57 ,  182 ,  3.458 ,  884 ,  12 ,  66 ,  -   ,  2 ,  -   
ASTURIAS,  10.222 ,  4.341 ,  2.375 ,  221 ,  2.053 ,  49 ,  379 ,  595 ,  32 ,  25 ,  152 ,  -   ,  -   ,  -   
BADIAN,  8.218 ,  2.814 ,  3.999 ,  90 ,  422 ,  8 ,  34 ,  565 ,  194 ,  2 ,  90 ,  -   ,  -   ,  -   
BALAMBAN,  19.614 ,  9.637 ,  3.851 ,  523 ,  2.450 ,  475 ,  394 ,  1.710 ,  441 ,  56 ,  76 ,  -   ,  1 ,  -   
BANTAYAN,  18.494 ,  4.302 ,  3.887 ,  163 ,  500 ,  228 ,  5.287 ,  32 ,  1 ,  1.614 ,  2.322 ,  158 ,  -   ,  -   
BARILI,  15.778 ,  5.795 ,  5.284 ,  131 ,  748 ,  310 ,  1.536 ,  913 ,  685 ,  61 ,  188 ,  123 ,  4 ,  -   
CITY OF BOGO,  19.360 ,  7.913 ,  5.683 ,  218 ,  2.609 ,  255 ,  1.991 ,  60 ,  11 ,  43 ,  428 ,  106 ,  43 ,  -   
BOLJOON,  3.374 ,  1.999 ,  692 ,  5 ,  157 ,  20 ,  23 ,  278 ,  -   ,  142 ,  58 ,  -   ,  -   ,  -   
BORBON,  8.420 ,  3.476 ,  1.986 ,  28 ,  645 ,  33 ,  1.099 ,  187 ,  773 ,  40 ,  44 ,  103 ,  6 ,  -   
CITY OF CARCAR,  27.149 ,  14.478 ,  5.987 ,  461 ,  1.880 ,  292 ,  863 ,  1.947 ,  754 ,  13 ,  220 ,  253 ,  1 ,  -   
CARMEN,  11.265 ,  4.114 ,  2.594 ,  604 ,  2.058 ,  591 ,  215 ,  645 ,  90 ,  16 ,  332 ,  -   ,  6 ,  -   
CATMON,  6.940 ,  3.295 ,  1.821 ,  72 ,  374 ,  52 ,  621 ,  366 ,  124 ,  134 ,  51 ,  29 ,  1 ,  -   
COMPOSTELA,  10.880 ,  2.129 ,  1.018 ,  885 ,  4.227 ,  207 ,  803 ,  813 ,  58 ,  -   ,  289 ,  447 ,  4 ,  -   
CONSOLACION,  30.625 ,  16.832 ,  7.270 ,  641 ,  3.067 ,  71 ,  1.102 ,  111 ,  2 ,  18 ,  1.068 ,  443 ,  -   ,  -   
CORDOVA,  13.324 ,  1.753 ,  1.946 ,  2.511 ,  3.956 ,  161 ,  1.136 ,  62 ,  3 ,  113 ,  253 ,  1.421 ,  9 ,  -   
DAANBANTAYAN,  19.790 ,  6.902 ,  4.487 ,  643 ,  3.041 ,  126 ,  3.978 ,  132 ,  -   ,  263 ,  18 ,  199 ,  1 ,  -   
DALAGUETE,  14.433 ,  6.137 ,  2.956 ,  77 ,  187 ,  4 ,  102 ,  3.298 ,  707 ,  546 ,  413 ,  2 ,  4 ,  -   
DANAO CITY,  31.611 ,  12.830 ,  9.217 ,  778 ,  3.225 ,  166 ,  2.659 ,  1.279 ,  576 ,  56 ,  148 ,  673 ,  4 ,  -   
DUMANJUG,  10.960 ,  6.534 ,  2.611 ,  63 ,  528 ,  128 ,  122 ,  626 ,  160 ,  -   ,  138 ,  -   ,  50 ,  -   
GINATILAN,  3.380 ,  2.044 ,  775 ,  50 ,  134 ,  1 ,  37 ,  176 ,  162 ,  -   ,  1 ,  -   ,  -   ,  -   
LILOAN,  27.847 ,  14.586 ,  4.669 ,  1.657 ,  5.294 ,  372 ,  295 ,  215 ,  19 ,  1 ,  179 ,  557 ,  3 ,  -   
MADRIDEJOS,  8.113 ,  2.555 ,  3.341 ,  193 ,  529 ,  68 ,  1.205 ,  2 ,  -   ,  1 ,  128 ,  91 ,  -   ,  -   
MALABUYOC,  3.817 ,  1.674 ,  721 ,  191 ,  300 ,  69 ,  132 ,  234 ,  401 ,  8 ,  84 ,  3 ,  -   ,  -   
MEDELLIN,  12.836 ,  6.167 ,  3.785 ,  322 ,  1.123 ,  107 ,  587 ,  25 ,  38 ,  34 ,  569 ,  79 ,  -   ,  -   
MINGLANILLA,  30.599 ,  15.147 ,  4.689 ,  1.875 ,  4.893 ,  383 ,  538 ,  2.228 ,  2 ,  7 ,  145 ,  692 ,  -   ,  -   
