,city,region_name,province,Own use faucet community water system_count,Shared faucet community water system_count,Own use tubed/piped deep well_count,Shared tubed/piped deep well_count,Tubed/piped shallow well_count,Dug well_count,Protected spring_count,Unprotected spring_count,Lake river rain and others_count,Peddler_count,Bottled water_count,Others_count,Not Reported_count,year
10049,MURCIA,REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),4767.0,1444.0,1106.0,2870.0,423.0,1711.0,4902.0,807.0,8.0,336.0,137.0,6.0,,2015
10062,PONTEVEDRA,REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),1284.0,1582.0,1038.0,5325.0,136.0,1436.0,889.0,180.0,1.0,61.0,139.0,6.0,,2015
10075,PULUPANDAN,REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),1919.0,617.0,331.0,1608.0,344.0,1218.0,12.0,2.0,,193.0,168.0,4.0,,2015
10088,SAGAY CITY,REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),13002.0,4359.0,627.0,3462.0,342.0,8514.0,1387.0,264.0,992.0,231.0,301.0,7.0,,2015
10101,SAN CARLOS CITY,REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),9453.0,5155.0,466.0,4485.0,1077.0,2660.0,2341.0,3931.0,210.0,992.0,227.0,5.0,,2015
10114,SAN ENRIQUE,REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),1880.0,399.0,718.0,2388.0,123.0,26.0,,,1.0,1.0,50.0,1.0,,2015
10127,SILAY CITY,REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),5939.0,2637.0,1452.0,11191.0,444.0,2659.0,1511.0,972.0,44.0,389.0,1675.0,40.0,,2015
10140,CITY OF SIPALAY,REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),626.0,1852.0,938.0,3247.0,137.0,3848.0,2809.0,142.0,298.0,721.0,182.0,3.0,,2015
10153,CITY OF TALISAY,REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),5941.0,1777.0,1663.0,7730.0,576.0,1560.0,1801.0,232.0,57.0,125.0,1633.0,12.0,,2015
10166,TOBOSO,REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),852.0,2974.0,371.0,2476.0,207.0,1458.0,1022.0,64.0,138.0,9.0,174.0,,,2015
10179,VALLADOLID,REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),1721.0,1206.0,517.0,4036.0,823.0,83.0,1.0,,,25.0,466.0,9.0,,2015
10192,CITY OF VICTORIAS,REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),7772.0,2057.0,676.0,6787.0,221.0,867.0,362.0,264.0,3.0,135.0,406.0,6.0,,2015
10205,SALVADOR BENEDICTO,REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),384.0,2277.0,68.0,77.0,8.0,963.0,1134.0,935.0,16.0,,4.0,,,2015
10218,BACOLOD CITY (Capital),REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),53482.0,20524.0,5650.0,18774.0,1987.0,2498.0,1661.0,166.0,53.0,7379.0,16713.0,189.0,,2015
10231,ALBURQUERQUE,REGION VII (Central Visayas),BOHOL,1891.0,315.0,4.0,68.0,56.0,36.0,5.0,5.0,17.0,4.0,21.0,,,2015
10244,ALICIA,REGION VII (Central Visayas),BOHOL,1335.0,1678.0,205.0,1089.0,103.0,477.0,113.0,71.0,7.0,1.0,26.0,,,2015
10257,ANDA,REGION VII (Central Visayas),BOHOL,2613.0,846.0,,1.0,3.0,41.0,93.0,16.0,149.0,,2.0,,,2015
10270,ANTEQUERA,REGION VII (Central Visayas),BOHOL,2338.0,282.0,30.0,156.0,3.0,36.0,384.0,200.0,37.0,1.0,15.0,,,2015
10283,BACLAYON,REGION VII (Central Visayas),BOHOL,3484.0,480.0,11.0,27.0,2.0,1.0,15.0,1.0,324.0,,52.0,,,2015
10296,BALILIHAN,REGION VII (Central Visayas),BOHOL,2611.0,210.0,18.0,16.0,4.0,29.0,690.0,489.0,13.0,,4.0,,,2015
10309,BATUAN,REGION VII (Central Visayas),BOHOL,1586.0,522.0,87.0,393.0,10.0,22.0,180.0,41.0,8.0,,4.0,,,2015
10322,BILAR,REGION VII (Central Visayas),BOHOL,3040.0,391.0,43.0,77.0,5.0,61.0,47.0,23.0,14.0,42.0,25.0,,,2015
10335,BUENAVISTA,REGION VII (Central Visayas),BOHOL,1108.0,880.0,129.0,586.0,22.0,1917.0,183.0,75.0,902.0,189.0,43.0,,,2015
10348,CALAPE,REGION VII (Central Visayas),BOHOL,3794.0,1305.0,66.0,495.0,105.0,48.0,488.0,633.0,285.0,131.0,54.0,,,2015
10361,CANDIJAY,REGION VII (Central Visayas),BOHOL,4386.0,1371.0,70.0,510.0,13.0,57.0,271.0,39.0,17.0,1.0,36.0,,,2015
10374,CARMEN,REGION VII (Central Visayas),BOHOL,1710.0,1906.0,1061.0,2183.0,253.0,1427.0,1058.0,432.0,98.0,2.0,176.0,,,2015
10387,CATIGBIAN,REGION VII (Central Visayas),BOHOL,1009.0,220.0,348.0,514.0,12.0,1036.0,1056.0,16.0,844.0,1.0,68.0,,,2015
10400,CLARIN,REGION VII (Central Visayas),BOHOL,1751.0,1206.0,180.0,374.0,11.0,522.0,295.0,40.0,51.0,103.0,90.0,,,2015
10413,CORELLA,REGION VII (Central Visayas),BOHOL,1827.0,63.0,2.0,3.0,1.0,5.0,1.0,,,,6.0,,,2015
10426,CORTES,REGION VII (Central Visayas),BOHOL,2837.0,499.0,9.0,36.0,6.0,31.0,166.0,17.0,4.0,2.0,23.0,,,2015
10439,DAGOHOY,REGION VII (Central Visayas),BOHOL,721.0,115.0,192.0,838.0,35.0,1708.0,213.0,58.0,210.0,,86.0,,,2015
10452,DANAO,REGION VII (Central Visayas),BOHOL,834.0,554.0,75.0,523.0,245.0,1141.0,302.0,105.0,89.0,2.0,51.0,,,2015
10465,DAUIS,REGION VII (Central Visayas),BOHOL,8052.0,864.0,30.0,12.0,1.0,22.0,2.0,,294.0,7.0,616.0,,,2015
10478,DIMIAO,REGION VII (Central Visayas),BOHOL,1456.0,909.0,17.0,12.0,3.0,27.0,677.0,107.0,6.0,,13.0,,,2015
10491,DUERO,REGION VII (Central Visayas),BOHOL,2750.0,204.0,284.0,335.0,10.0,4.0,313.0,82.0,8.0,,27.0,,,2015
10504,GARCIA HERNANDEZ,REGION VII (Central Visayas),BOHOL,4335.0,292.0,5.0,49.0,15.0,2.0,255.0,11.0,3.0,3.0,23.0,,,2015
10517,GUINDULMAN,REGION VII (Central Visayas),BOHOL,4885.0,1164.0,41.0,386.0,196.0,167.0,134.0,40.0,22.0,173.0,26.0,,,2015
10530,INABANGA,REGION VII (Central Visayas),BOHOL,2701.0,1547.0,392.0,1749.0,49.0,1714.0,198.0,49.0,938.0,510.0,49.0,,,2015
10543,JAGNA,REGION VII (Central Visayas),BOHOL,5658.0,1368.0,109.0,142.0,25.0,10.0,84.0,5.0,9.0,1.0,95.0,,,2015
10556,GETAFE,REGION VII (Central Visayas),BOHOL,956.0,934.0,135.0,885.0,74.0,1840.0,121.0,3.0,640.0,774.0,125.0,,,2015
10569,LILA,REGION VII (Central Visayas),BOHOL,1574.0,463.0,1.0,2.0,1.0,2.0,41.0,,,,6.0,,,2015
10582,LOAY,REGION VII (Central Visayas),BOHOL,2718.0,384.0,77.0,181.0,9.0,18.0,85.0,1.0,1.0,3.0,101.0,,,2015
10595,LOBOC,REGION VII (Central Visayas),BOHOL,2303.0,763.0,23.0,53.0,34.0,79.0,171.0,8.0,19.0,8.0,22.0,,,2015
10608,LOON,REGION VII (Central Visayas),BOHOL,4884.0,1495.0,41.0,161.0,30.0,67.0,1107.0,129.0,1638.0,285.0,112.0,3.0,,2015
10621,MABINI,REGION VII (Central Visayas),BOHOL,2871.0,934.0,70.0,1468.0,43.0,200.0,616.0,23.0,5.0,1.0,23.0,,,2015
10634,MARIBOJOC,REGION VII (Central Visayas),BOHOL,3911.0,654.0,5.0,14.0,2.0,16.0,106.0,3.0,14.0,4.0,16.0,3.0,,2015
10647,PANGLAO,REGION VII (Central Visayas),BOHOL,3847.0,951.0,135.0,360.0,5.0,347.0,6.0,1.0,238.0,83.0,1047.0,,,2015
10660,PILAR,REGION VII (Central Visayas),BOHOL,2781.0,1301.0,167.0,835.0,12.0,452.0,372.0,20.0,21.0,,12.0,2.0,,2015
10673,PRES. CARLOS P. GARCIA (PITOGO),REGION VII (Central Visayas),BOHOL,26.0,109.0,34.0,7.0,21.0,4282.0,246.0,3.0,410.0,9.0,17.0,,,2015
10686,SAGBAYAN (BORJA),REGION VII (Central Visayas),BOHOL,2929.0,613.0,203.0,1054.0,111.0,131.0,25.0,28.0,12.0,36.0,15.0,,,2015
10699,SAN ISIDRO,REGION VII (Central Visayas),BOHOL,1077.0,133.0,6.0,9.0,23.0,102.0,553.0,256.0,34.0,,5.0,,,2015
10712,SAN MIGUEL,REGION VII (Central Visayas),BOHOL,141.0,233.0,82.0,460.0,75.0,4146.0,118.0,15.0,58.0,9.0,58.0,1.0,,2015
10725,SEVILLA,REGION VII (Central Visayas),BOHOL,979.0,92.0,57.0,82.0,4.0,455.0,421.0,59.0,80.0,,10.0,1.0,,2015
10738,SIERRA BULLONES,REGION VII (Central Visayas),BOHOL,4388.0,656.0,30.0,63.0,14.0,25.0,89.0,15.0,16.0,107.0,9.0,,,2015
10751,SIKATUNA,REGION VII (Central Visayas),BOHOL,1185.0,72.0,7.0,83.0,3.0,66.0,90.0,,7.0,,2.0,,,2015
10764,TAGBILARAN CITY (Capital),REGION VII (Central Visayas),BOHOL,18348.0,2865.0,50.0,182.0,4.0,77.0,1.0,,1.0,53.0,276.0,6.0,,2015
10777,TALIBON,REGION VII (Central Visayas),BOHOL,2712.0,471.0,350.0,938.0,241.0,7100.0,8.0,1.0,2112.0,17.0,382.0,3.0,,2015
10790,TRINIDAD,REGION VII (Central Visayas),BOHOL,160.0,321.0,83.0,48.0,11.0,5940.0,14.0,1.0,5.0,197.0,77.0,,,2015
10803,TUBIGON,REGION VII (Central Visayas),BOHOL,5832.0,1984.0,103.0,737.0,46.0,159.0,504.0,5.0,873.0,54.0,59.0,,,2015
10816,UBAY,REGION VII (Central Visayas),BOHOL,2405.0,1081.0,918.0,4100.0,486.0,7234.0,65.0,24.0,63.0,52.0,149.0,1.0,,2015
10829,VALENCIA,REGION VII (Central Visayas),BOHOL,3378.0,1410.0,141.0,451.0,20.0,8.0,129.0,,30.0,,20.0,,,2015
10842,BIEN UNIDO,REGION VII (Central Visayas),BOHOL,403.0,165.0,23.0,54.0,6.0,3159.0,,2.0,1696.0,1.0,215.0,1.0,,2015
10855,"CEBU (excluding Cebu, Lapu-Lapu and Mandaue City)",REGION VII (Central Visayas),BOHOL,274119.0,154261.0,21975.0,81133.0,9248.0,50201.0,41538.0,9354.0,5950.0,11951.0,9436.0,156.0,,2015
10868,ALCANTARA,REGION VII (Central Visayas),BOHOL,1322.0,662.0,53.0,271.0,311.0,24.0,586.0,17.0,,198.0,,,,2015
10881,ALCOY,REGION VII (Central Visayas),BOHOL,1557.0,1434.0,1.0,1.0,2.0,25.0,55.0,,179.0,130.0,,4.0,,2015
10894,ALEGRIA,REGION VII (Central Visayas),BOHOL,1694.0,1392.0,57.0,107.0,6.0,20.0,868.0,734.0,150.0,,,,,2015
10907,ALOGUINSAN,REGION VII (Central Visayas),BOHOL,2130.0,2248.0,99.0,748.0,23.0,1132.0,218.0,203.0,42.0,11.0,46.0,1.0,,2015
10920,ARGAO,REGION VII (Central Visayas),BOHOL,8598.0,2058.0,428.0,829.0,57.0,182.0,3458.0,884.0,12.0,66.0,,2.0,,2015
10933,ASTURIAS,REGION VII (Central Visayas),BOHOL,4341.0,2375.0,221.0,2053.0,49.0,379.0,595.0,32.0,25.0,152.0,,,,2015
10946,BADIAN,REGION VII (Central Visayas),BOHOL,2814.0,3999.0,90.0,422.0,8.0,34.0,565.0,194.0,2.0,90.0,,,,2015
10959,BALAMBAN,REGION VII (Central Visayas),BOHOL,9637.0,3851.0,523.0,2450.0,475.0,394.0,1710.0,441.0,56.0,76.0,,1.0,,2015
10972,BANTAYAN,REGION VII (Central Visayas),BOHOL,4302.0,3887.0,163.0,500.0,228.0,5287.0,32.0,1.0,1614.0,2322.0,158.0,,,2015
10985,BARILI,REGION VII (Central Visayas),BOHOL,5795.0,5284.0,131.0,748.0,310.0,1536.0,913.0,685.0,61.0,188.0,123.0,4.0,,2015
10998,CITY OF BOGO,REGION VII (Central Visayas),BOHOL,7913.0,5683.0,218.0,2609.0,255.0,1991.0,60.0,11.0,43.0,428.0,106.0,43.0,,2015
11011,BOLJOON,REGION VII (Central Visayas),BOHOL,1999.0,692.0,5.0,157.0,20.0,23.0,278.0,,142.0,58.0,,,,2015
11024,BORBON,REGION VII (Central Visayas),BOHOL,3476.0,1986.0,28.0,645.0,33.0,1099.0,187.0,773.0,40.0,44.0,103.0,6.0,,2015
11037,CITY OF CARCAR,REGION VII (Central Visayas),BOHOL,14478.0,5987.0,461.0,1880.0,292.0,863.0,1947.0,754.0,13.0,220.0,253.0,1.0,,2015
11050,CATMON,REGION VII (Central Visayas),BOHOL,3295.0,1821.0,72.0,374.0,52.0,621.0,366.0,124.0,134.0,51.0,29.0,1.0,,2015
11063,COMPOSTELA,REGION VII (Central Visayas),BOHOL,2129.0,1018.0,885.0,4227.0,207.0,803.0,813.0,58.0,,289.0,447.0,4.0,,2015
11076,CONSOLACION,REGION VII (Central Visayas),BOHOL,16832.0,7270.0,641.0,3067.0,71.0,1102.0,111.0,2.0,18.0,1068.0,443.0,,,2015
11089,CORDOVA,REGION VII (Central Visayas),BOHOL,1753.0,1946.0,2511.0,3956.0,161.0,1136.0,62.0,3.0,113.0,253.0,1421.0,9.0,,2015
11102,DAANBANTAYAN,REGION VII (Central Visayas),BOHOL,6902.0,4487.0,643.0,3041.0,126.0,3978.0,132.0,,263.0,18.0,199.0,1.0,,2015
11115,DALAGUETE,REGION VII (Central Visayas),BOHOL,6137.0,2956.0,77.0,187.0,4.0,102.0,3298.0,707.0,546.0,413.0,2.0,4.0,,2015
11128,DANAO CITY,REGION VII (Central Visayas),BOHOL,12830.0,9217.0,778.0,3225.0,166.0,2659.0,1279.0,576.0,56.0,148.0,673.0,4.0,,2015
11141,DUMANJUG,REGION VII (Central Visayas),BOHOL,6534.0,2611.0,63.0,528.0,128.0,122.0,626.0,160.0,,138.0,,50.0,,2015
11154,GINATILAN,REGION VII (Central Visayas),BOHOL,2044.0,775.0,50.0,134.0,1.0,37.0,176.0,162.0,,1.0,,,,2015
11167,LILOAN,REGION VII (Central Visayas),BOHOL,14586.0,4669.0,1657.0,5294.0,372.0,295.0,215.0,19.0,1.0,179.0,557.0,3.0,,2015
11180,MADRIDEJOS,REGION VII (Central Visayas),BOHOL,2555.0,3341.0,193.0,529.0,68.0,1205.0,2.0,,1.0,128.0,91.0,,,2015
11193,MALABUYOC,REGION VII (Central Visayas),BOHOL,1674.0,721.0,191.0,300.0,69.0,132.0,234.0,401.0,8.0,84.0,3.0,,,2015
11206,MEDELLIN,REGION VII (Central Visayas),BOHOL,6167.0,3785.0,322.0,1123.0,107.0,587.0,25.0,38.0,34.0,569.0,79.0,,,2015
11219,MINGLANILLA,REGION VII (Central Visayas),BOHOL,15147.0,4689.0,1875.0,4893.0,383.0,538.0,2228.0,2.0,7.0,145.0,692.0,,,2015
11232,MOALBOAL,REGION VII (Central Visayas),BOHOL,3497.0,1322.0,57.0,214.0,194.0,17.0,1196.0,299.0,14.0,365.0,109.0,,,2015
11245,CITY OF NAGA,REGION VII (Central Visayas),BOHOL,6640.0,3298.0,1834.0,5366.0,1029.0,2848.0,3921.0,136.0,252.0,59.0,793.0,1.0,,2015
11258,OSLOB,REGION VII (Central Visayas),BOHOL,3301.0,1902.0,64.0,209.0,5.0,25.0,372.0,91.0,18.0,2.0,7.0,2.0,,2015
11271,PINAMUNGAHAN,REGION VII (Central Visayas),BOHOL,6175.0,2363.0,48.0,470.0,95.0,2040.0,2176.0,236.0,10.0,225.0,36.0,,,2015
11284,PORO,REGION VII (Central Visayas),BOHOL,3040.0,1945.0,34.0,232.0,43.0,34.0,610.0,40.0,1.0,86.0,39.0,,,2015
11297,RONDA,REGION VII (Central Visayas),BOHOL,1807.0,1516.0,57.0,222.0,108.0,100.0,523.0,365.0,2.0,88.0,35.0,,,2015
11310,SAMBOAN,REGION VII (Central Visayas),BOHOL,3840.0,425.0,1.0,64.0,1.0,28.0,90.0,41.0,5.0,10.0,5.0,,,2015
11323,SAN FERNANDO,REGION VII (Central Visayas),BOHOL,5813.0,3556.0,311.0,2704.0,89.0,532.0,916.0,8.0,255.0,74.0,,,,2015
11336,SAN FRANCISCO,REGION VII (Central Visayas),BOHOL,4820.0,5149.0,65.0,463.0,69.0,245.0,43.0,182.0,119.0,1007.0,116.0,,,2015
11349,SAN REMIGIO,REGION VII (Central Visayas),BOHOL,4500.0,4876.0,239.0,1134.0,231.0,2598.0,561.0,114.0,2.0,165.0,49.0,1.0,,2015
11362,SANTA FE,REGION VII (Central Visayas),BOHOL,820.0,1957.0,314.0,1165.0,45.0,1491.0,5.0,,558.0,424.0,,,,2015
11375,SANTANDER,REGION VII (Central Visayas),BOHOL,2855.0,1101.0,7.0,40.0,7.0,125.0,24.0,10.0,68.0,3.0,15.0,1.0,,2015
11388,SIBONGA,REGION VII (Central Visayas),BOHOL,4599.0,2099.0,433.0,856.0,34.0,1142.0,1954.0,90.0,32.0,111.0,,,,2015
11401,SOGOD,REGION VII (Central Visayas),BOHOL,2604.0,2424.0,57.0,559.0,15.0,1608.0,481.0,87.0,128.0,439.0,50.0,,,2015
11414,TABOGON,REGION VII (Central Visayas),BOHOL,4977.0,2743.0,16.0,1098.0,10.0,641.0,45.0,1.0,94.0,2.0,1.0,,,2015
11427,TABUELAN,REGION VII (Central Visayas),BOHOL,3263.0,2597.0,3.0,64.0,126.0,37.0,64.0,,45.0,216.0,,,,2015
11440,CITY OF TALISAY,REGION VII (Central Visayas),BOHOL,19085.0,11110.0,3964.0,11704.0,680.0,1220.0,853.0,13.0,11.0,128.0,2466.0,5.0,,2015
11453,TOLEDO CITY,REGION VII (Central Visayas),BOHOL,12682.0,5185.0,953.0,4926.0,1279.0,6789.0,5156.0,348.0,60.0,593.0,286.0,2.0,,2015
11466,TUBURAN,REGION VII (Central Visayas),BOHOL,4665.0,2572.0,450.0,2821.0,606.0,2037.0,823.0,221.0,700.0,132.0,1.0,,,2015
11479,TUDELA,REGION VII (Central Visayas),BOHOL,1325.0,757.0,28.0,465.0,7.0,122.0,41.0,1.0,,19.0,2.0,,,2015
11492,CEBU CITY (Capital),REGION VII (Central Visayas),BOHOL,124251.0,42789.0,6645.0,15119.0,1105.0,2969.0,11553.0,1496.0,388.0,2898.0,4454.0,71.0,,2015
11505,LAPU-LAPU CITY (OPON),REGION VII (Central Visayas),BOHOL,21001.0,16515.0,10583.0,28751.0,3600.0,5414.0,37.0,23.0,943.0,2624.0,9757.0,325.0,,2015
11518,MANDAUE CITY,REGION VII (Central Visayas),BOHOL,41243.0,34721.0,2808.0,9940.0,221.0,209.0,12.0,3.0,,2314.0,2942.0,134.0,,2015
11531,ENRIQUE VILLANUEVA,REGION VII (Central Visayas),SIQUIJOR,550.0,797.0,4.0,24.0,2.0,2.0,4.0,1.0,3.0,86.0,3.0,,,2015
11544,LARENA,REGION VII (Central Visayas),SIQUIJOR,2155.0,705.0,6.0,45.0,,19.0,142.0,19.0,5.0,18.0,1.0,,,2015
11557,LAZI,REGION VII (Central Visayas),SIQUIJOR,1680.0,2503.0,36.0,287.0,31.0,192.0,131.0,116.0,17.0,17.0,1.0,,,2015
11570,MARIA,REGION VII (Central Visayas),SIQUIJOR,1173.0,1035.0,35.0,698.0,61.0,101.0,32.0,9.0,3.0,17.0,,,,2015
11583,SAN JUAN,REGION VII (Central Visayas),SIQUIJOR,1422.0,1598.0,37.0,403.0,1.0,1.0,97.0,,3.0,17.0,,,,2015
11596,SIQUIJOR (Capital),REGION VII (Central Visayas),SIQUIJOR,3955.0,1946.0,21.0,242.0,2.0,25.0,69.0,18.0,3.0,111.0,,,,2015
11609,AMLAN (AYUQUITAN),REGION VII (Central Visayas),NEGROS ORIENTAL,3733.0,1238.0,42.0,275.0,27.0,20.0,104.0,,,43.0,43.0,,,2015
11622,AYUNGON,REGION VII (Central Visayas),NEGROS ORIENTAL,4105.0,3816.0,95.0,596.0,68.0,278.0,993.0,532.0,,37.0,53.0,,,2015
11635,BACONG,REGION VII (Central Visayas),NEGROS ORIENTAL,5989.0,1443.0,106.0,643.0,10.0,23.0,3.0,,,,44.0,4.0,,2015
11648,BAIS CITY,REGION VII (Central Visayas),NEGROS ORIENTAL,6085.0,4000.0,470.0,2632.0,397.0,1190.0,2144.0,326.0,,178.0,230.0,41.0,,2015
11661,BASAY,REGION VII (Central Visayas),NEGROS ORIENTAL,289.0,1340.0,298.0,1263.0,652.0,664.0,330.0,499.0,,594.0,40.0,2.0,,2015
11674,CITY OF BAYAWAN (TULONG),REGION VII (Central Visayas),NEGROS ORIENTAL,5210.0,5174.0,1299.0,3948.0,570.0,4083.0,2421.0,2272.0,,207.0,414.0,48.0,,2015
11687,BINDOY (PAYABON),REGION VII (Central Visayas),NEGROS ORIENTAL,3156.0,2978.0,263.0,226.0,210.0,89.0,601.0,1009.0,,44.0,124.0,2.0,,2015
11700,CANLAON CITY,REGION VII (Central Visayas),NEGROS ORIENTAL,3974.0,2589.0,483.0,1421.0,283.0,719.0,2178.0,885.0,11.0,85.0,63.0,1.0,,2015
11713,DAUIN,REGION VII (Central Visayas),NEGROS ORIENTAL,3598.0,1869.0,85.0,266.0,219.0,152.0,,10.0,,248.0,72.0,1.0,,2015
11726,DUMAGUETE CITY (Capital),REGION VII (Central Visayas),NEGROS ORIENTAL,24508.0,3106.0,405.0,1270.0,91.0,47.0,7.0,3.0,,54.0,254.0,5.0,,2015
11739,CITY OF GUIHULNGAN,REGION VII (Central Visayas),NEGROS ORIENTAL,3549.0,6348.0,938.0,4038.0,465.0,1711.0,3763.0,1393.0,,144.0,143.0,2.0,,2015
11752,JIMALALUD,REGION VII (Central Visayas),NEGROS ORIENTAL,321.0,900.0,465.0,1718.0,97.0,1219.0,1866.0,541.0,,6.0,58.0,,,2015
11765,LA LIBERTAD,REGION VII (Central Visayas),NEGROS ORIENTAL,2144.0,2017.0,1165.0,1611.0,196.0,660.0,978.0,274.0,,98.0,14.0,7.0,,2015
11778,MABINAY,REGION VII (Central Visayas),NEGROS ORIENTAL,2248.0,4114.0,911.0,3945.0,605.0,4146.0,742.0,563.0,,372.0,60.0,3.0,,2015
11791,MANJUYOD,REGION VII (Central Visayas),NEGROS ORIENTAL,3053.0,1805.0,624.0,974.0,169.0,259.0,2746.0,24.0,,265.0,23.0,1.0,,2015
11804,PAMPLONA,REGION VII (Central Visayas),NEGROS ORIENTAL,3838.0,1326.0,149.0,857.0,6.0,1447.0,921.0,121.0,,34.0,15.0,,,2015
11817,SAN JOSE,REGION VII (Central Visayas),NEGROS ORIENTAL,2351.0,1502.0,83.0,555.0,15.0,79.0,2.0,,,1.0,19.0,,,2015
11830,SANTA CATALINA,REGION VII (Central Visayas),NEGROS ORIENTAL,2740.0,3610.0,1007.0,3587.0,471.0,1941.0,1405.0,1751.0,200.0,32.0,105.0,24.0,,2015
11843,SIATON,REGION VII (Central Visayas),NEGROS ORIENTAL,3377.0,4873.0,1662.0,4937.0,465.0,1315.0,846.0,233.0,,51.0,95.0,3.0,,2015
11856,SIBULAN,REGION VII (Central Visayas),NEGROS ORIENTAL,8692.0,2510.0,729.0,1488.0,17.0,67.0,129.0,82.0,5.0,10.0,158.0,16.0,,2015
11869,CITY OF TANJAY,REGION VII (Central Visayas),NEGROS ORIENTAL,8647.0,2736.0,724.0,3069.0,317.0,762.0,1972.0,609.0,,37.0,170.0,,,2015
11882,TAYASAN,REGION VII (Central Visayas),NEGROS ORIENTAL,2188.0,905.0,54.0,458.0,56.0,696.0,2590.0,1654.0,,5.0,16.0,1.0,,2015
11895,VALENCIA (LUZURRIAGA),REGION VII (Central Visayas),NEGROS ORIENTAL,7242.0,369.0,10.0,26.0,14.0,15.0,109.0,153.0,,1.0,50.0,1.0,,2015
11908,VALLEHERMOSO,REGION VII (Central Visayas),NEGROS ORIENTAL,1241.0,1259.0,143.0,1324.0,241.0,1507.0,2155.0,479.0,2.0,131.0,84.0,5.0,,2015
11921,ZAMBOANGUITA,REGION VII (Central Visayas),NEGROS ORIENTAL,2774.0,952.0,563.0,1385.0,8.0,673.0,104.0,22.0,,83.0,40.0,3.0,,2015
11934,ALMERIA,REGION VIII (Eastern Visayas),BILIRAN,3464.0,517.0,,4.0,1.0,,28.0,2.0,3.0,,24.0,,,2015
11947,CABUCGAYAN,REGION VIII (Eastern Visayas),BILIRAN,2450.0,1500.0,44.0,406.0,123.0,119.0,57.0,5.0,38.0,,9.0,,,2015
11960,CAIBIRAN,REGION VIII (Eastern Visayas),BILIRAN,2309.0,2137.0,15.0,118.0,4.0,25.0,30.0,101.0,,,24.0,45.0,,2015
11973,CULABA,REGION VIII (Eastern Visayas),BILIRAN,1550.0,829.0,33.0,16.0,,140.0,120.0,29.0,8.0,,2.0,,,2015
11986,KAWAYAN,REGION VIII (Eastern Visayas),BILIRAN,2758.0,1478.0,112.0,145.0,17.0,7.0,,29.0,7.0,69.0,9.0,,,2015
11999,MARIPIPI,REGION VIII (Eastern Visayas),BILIRAN,214.0,336.0,147.0,586.0,153.0,34.0,192.0,4.0,,1.0,1.0,,,2015
12012,NAVAL (Capital),REGION VIII (Eastern Visayas),BILIRAN,7200.0,3945.0,34.0,192.0,9.0,67.0,365.0,87.0,9.0,27.0,77.0,12.0,,2015
12025,ARTECHE,REGION VIII (Eastern Visayas),EASTERN SAMAR,172.0,908.0,92.0,1079.0,524.0,409.0,130.0,103.0,1.0,1.0,86.0,,,2015
12038,BALANGIGA,REGION VIII (Eastern Visayas),EASTERN SAMAR,825.0,1551.0,35.0,651.0,8.0,44.0,124.0,11.0,18.0,,10.0,,,2015
12051,BALANGKAYAN,REGION VIII (Eastern Visayas),EASTERN SAMAR,789.0,684.0,26.0,597.0,1.0,,20.0,1.0,253.0,,4.0,,,2015
12064,CITY OF BORONGAN (Capital),REGION VIII (Eastern Visayas),EASTERN SAMAR,2604.0,2412.0,1726.0,3758.0,2699.0,70.0,1217.0,184.0,19.0,1.0,430.0,,,2015
12077,CAN-AVID,REGION VIII (Eastern Visayas),EASTERN SAMAR,166.0,804.0,277.0,1833.0,184.0,185.0,885.0,128.0,19.0,1.0,23.0,,,2015
12090,DOLORES,REGION VIII (Eastern Visayas),EASTERN SAMAR,573.0,2482.0,619.0,4424.0,198.0,169.0,504.0,177.0,200.0,3.0,102.0,,,2015
12103,GENERAL MACARTHUR,REGION VIII (Eastern Visayas),EASTERN SAMAR,981.0,1606.0,12.0,75.0,2.0,6.0,22.0,78.0,225.0,,27.0,,,2015
12116,GIPORLOS,REGION VIII (Eastern Visayas),EASTERN SAMAR,155.0,957.0,255.0,1621.0,8.0,69.0,98.0,5.0,37.0,,19.0,,,2015
12129,GUIUAN,REGION VIII (Eastern Visayas),EASTERN SAMAR,2817.0,3177.0,236.0,2393.0,861.0,1369.0,645.0,7.0,727.0,4.0,212.0,,,2015
12142,HERNANI,REGION VIII (Eastern Visayas),EASTERN SAMAR,160.0,625.0,17.0,516.0,14.0,,694.0,26.0,4.0,1.0,3.0,,,2015
