Tenure Status of the Housing Unit and Lot and City/Municipality, Number of Households* , Single house , Duplex , Multi-unit residential , Commercial/ industrial/ agricultural , Institutional living quarter , Others , Not Reported 
Own house rent-free lot with consent of owner,  1.555 ,  1.412 ,  91 ,  51 ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  30 ,  24 ,  5 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  372 ,  297 ,  26 ,  49 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  10 ,  10 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SAN MANUEL,,,,,,,,
Total,  12.552 ,  11.976 ,  390 ,  162 ,  17 ,  -   ,  2 ,  5 
Own or owner like possession of house and lot,  7.648 ,  7.350 ,  193 ,  96 ,  9 ,  -   ,  -   ,  -   
Rent house/room including lot,  185 ,  165 ,  7 ,  10 ,  3 ,  -   ,  -   ,  -   
Own house rent lot,  217 ,  210 ,  6 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.280 ,  3.137 ,  109 ,  25 ,  5 ,  -   ,  1 ,  3 
Own house rent-free lot without consent of owner,  96 ,  95 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  1.119 ,  1.013 ,  74 ,  30 ,  -   ,  -   ,  -   ,  2 
Rent-free house and lot without consent of owner,  7 ,  6 ,  -   ,  -   ,  -   ,  -   ,  1 ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SAN NICOLAS,,,,,,,,
Total,  8.277 ,  7.948 ,  248 ,  75 ,  1 ,  -   ,  1 ,  4 
Own or owner like possession of house and lot,  5.288 ,  5.120 ,  130 ,  34 ,  -   ,  -   ,  1 ,  3 
Rent house/room including lot,  97 ,  85 ,  3 ,  8 ,  1 ,  -   ,  -   ,  -   
Own house rent lot,  64 ,  62 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.213 ,  2.106 ,  80 ,  26 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  16 ,  16 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  585 ,  546 ,  32 ,  7 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  14 ,  13 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SAN QUINTIN,,,,,,,,
Total,  8.584 ,  8.031 ,  341 ,  196 ,  5 ,  1 ,  -   ,  10 
Own or owner like possession of house and lot,  5.022 ,  4.738 ,  192 ,  86 ,  2 ,  1 ,  -   ,  3 
Rent house/room including lot,  99 ,  91 ,  5 ,  3 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  718 ,  701 ,  14 ,  3 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.727 ,  1.653 ,  52 ,  16 ,  2 ,  -   ,  -   ,  4 
Own house rent-free lot without consent of owner,  385 ,  373 ,  9 ,  -   ,  -   ,  -   ,  -   ,  3 
Rent-free house and lot with consent of owner,  602 ,  444 ,  69 ,  88 ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  31 ,  31 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SANTA BARBARA,,,,,,,,
Total,  18.636 ,  16.506 ,  1.552 ,  567 ,  10 ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  12.156 ,  11.057 ,  836 ,  260 ,  3 ,  -   ,  -   ,  -   
Rent house/room including lot,  597 ,  488 ,  46 ,  61 ,  2 ,  -   ,  -   ,  -   
Own house rent lot,  82 ,  79 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  4.102 ,  3.438 ,  475 ,  187 ,  1 ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  213 ,  187 ,  21 ,  5 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  1.366 ,  1.144 ,  165 ,  53 ,  4 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  120 ,  113 ,  6 ,  1 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SANTA MARIA,,,,,,,,
Total,  7.491 ,  7.069 ,  341 ,  68 ,  12 ,  1 ,  -   ,  -   
Own or owner like possession of house and lot,  5.939 ,  5.663 ,  243 ,  28 ,  5 ,  -   ,  -   ,  -   
Rent house/room including lot,  102 ,  85 ,  10 ,  5 ,  1 ,  1 ,  -   ,  -   
Own house rent lot,  34 ,  34 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  906 ,  845 ,  40 ,  21 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  19 ,  16 ,  2 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  484 ,  421 ,  45 ,  12 ,  6 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  7 ,  5 ,  1 ,  1 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SANTO TOMAS,,,,,,,,
Total,  3.374 ,  2.918 ,  323 ,  130 ,  2 ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  2.827 ,  2.447 ,  275 ,  104 ,  -   ,  -   ,  -   ,  1 
Rent house/room including lot,  29 ,  28 ,  -   ,  -   ,  1 ,  -   ,  -   ,  -   
Own house rent lot,  5 ,  2 ,  -   ,  3 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  435 ,  379 ,  37 ,  18 ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  23 ,  18 ,  3 ,  2 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  53 ,  42 ,  8 ,  3 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SISON,,,,,,,,
Total,  10.659 ,  9.736 ,  642 ,  271 ,  8 ,  2 ,  -   ,  -   
Own or owner like possession of house and lot,  7.259 ,  6.902 ,  283 ,  67 ,  7 ,  -   ,  -   ,  -   
Rent house/room including lot,  457 ,  284 ,  53 ,  117 ,  1 ,  2 ,  -   ,  -   
Own house rent lot,  121 ,  111 ,  10 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.873 ,  1.742 ,  104 ,  27 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  198 ,  168 ,  27 ,  3 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  737 ,  516 ,  164 ,  57 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  14 ,  13 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SUAL,,,,,,,,
Total,  7.859 ,  7.255 ,  352 ,  241 ,  7 ,  -   ,  -   ,  4 
Own or owner like possession of house and lot,  3.778 ,  3.619 ,  125 ,  30 ,  3 ,  -   ,  -   ,  1 
Rent house/room including lot,  228 ,  143 ,  44 ,  39 ,  2 ,  -   ,  -   ,  -   
Own house rent lot,  181 ,  174 ,  3 ,  4 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.870 ,  2.642 ,  135 ,  89 ,  1 ,  -   ,  -   ,  3 
Own house rent-free lot without consent of owner,  172 ,  170 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  590 ,  469 ,  42 ,  78 ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  40 ,  38 ,  1 ,  1 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 TAYUG,,,,,,,,
Total,  10.039 ,  9.341 ,  447 ,  239 ,  11 ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  7.010 ,  6.646 ,  259 ,  98 ,  6 ,  -   ,  -   ,  1 
Rent house/room including lot,  427 ,  317 ,  53 ,  55 ,  2 ,  -   ,  -   ,  -   
Own house rent lot,  66 ,  64 ,  1 ,  -   ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.808 ,  1.689 ,  77 ,  40 ,  2 ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  48 ,  45 ,  2 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  667 ,  567 ,  55 ,  45 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  13 ,  13 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 UMINGAN,,,,,,,,
Total,  17.261 ,  16.620 ,  476 ,  143 ,  13 ,  1 ,  -   ,  8 
Own or owner like possession of house and lot,  11.688 ,  11.325 ,  287 ,  68 ,  3 ,  -   ,  -   ,  5 
Rent house/room including lot,  142 ,  109 ,  8 ,  21 ,  4 ,  -   ,  -   ,  -   
Own house rent lot,  795 ,  776 ,  18 ,  -   ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.632 ,  3.484 ,  116 ,  26 ,  2 ,  1 ,  -   ,  3 
Own house rent-free lot without consent of owner,  231 ,  225 ,  4 ,  -   ,  2 ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  742 ,  670 ,  43 ,  28 ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  31 ,  31 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 URBIZTONDO,,,,,,,,
Total,  10.618 ,  9.890 ,  533 ,  181 ,  6 ,  -   ,  -   ,  8 
Own or owner like possession of house and lot,  5.810 ,  5.476 ,  267 ,  59 ,  4 ,  -   ,  -   ,  4 
Rent house/room including lot,  65 ,  45 ,  13 ,  6 ,  1 ,  -   ,  -   ,  -   
Own house rent lot,  26 ,  24 ,  1 ,  -   ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot with consent of owner,  3.609 ,  3.442 ,  125 ,  39 ,  1 ,  -   ,  -   ,  2 
Own house rent-free lot without consent of owner,  36 ,  35 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  1.015 ,  821 ,  116 ,  77 ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  57 ,  47 ,  10 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 CITY OF URDANETA,,,,,,,,
Total,  30.294 ,  26.722 ,  1.888 ,  1.627 ,  31 ,  2 ,  2 ,  22 
Own or owner like possession of house and lot,  21.470 ,  19.471 ,  1.199 ,  766 ,  12 ,  -   ,  1 ,  21 
Rent house/room including lot,  1.923 ,  1.245 ,  218 ,  450 ,  10 ,  -   ,  -   ,  -   
Own house rent lot,  805 ,  655 ,  78 ,  72 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  4.126 ,  3.733 ,  214 ,  176 ,  2 ,  1 ,  -   ,  -   
Own house rent-free lot without consent of owner,  180 ,  156 ,  15 ,  9 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  1.752 ,  1.432 ,  158 ,  152 ,  7 ,  1 ,  1 ,  1 
Rent-free house and lot without consent of owner,  38 ,  30 ,  6 ,  2 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 VILLASIS,,,,,,,,
Total,  14.631 ,  13.625 ,  634 ,  340 ,  20 ,  2 ,  -   ,  10 
Own or owner like possession of house and lot,  10.709 ,  10.129 ,  426 ,  138 ,  10 ,  2 ,  -   ,  4 
Rent house/room including lot,  345 ,  257 ,  32 ,  53 ,  3 ,  -   ,  -   ,  -   
Own house rent lot,  258 ,  226 ,  8 ,  24 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.439 ,  2.271 ,  105 ,  56 ,  2 ,  -   ,  -   ,  5 
Own house rent-free lot without consent of owner,  43 ,  43 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  794 ,  662 ,  63 ,  63 ,  5 ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  43 ,  37 ,  -   ,  6 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 LAOAC,,,,,,,,
Total,  7.429 ,  7.328 ,  72 ,  17 ,  4 ,  -   ,  -   ,  8 
Own or owner like possession of house and lot,  5.482 ,  5.430 ,  43 ,  -   ,  2 ,  -   ,  -   ,  7 
Rent house/room including lot,  53 ,  48 ,  3 ,  1 ,  1 ,  -   ,  -   ,  -   
Own house rent lot,  18 ,  16 ,  -   ,  2 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.247 ,  1.226 ,  10 ,  11 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  36 ,  35 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  586 ,  566 ,  15 ,  3 ,  1 ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  7 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,,,,,,,,
REGION II - CAGAYAN VALLEY,,,,,,,,
Total,  804.524 ,  749.819 ,  38.027 ,  15.341 ,  1.025 ,  80 ,  60 ,  172 
Own or owner like possession of house and lot,  594.366 ,  562.272 ,  24.583 ,  6.877 ,  487 ,  33 ,  28 ,  86 
Rent house/room including lot,  23.524 ,  15.701 ,  2.920 ,  4.589 ,  286 ,  17 ,  -   ,  11 
Own house rent lot,  15.809 ,  14.736 ,  763 ,  251 ,  44 ,  1 ,  11 ,  3 
Own house rent-free lot with consent of owner,  120.834 ,  113.649 ,  5.439 ,  1.618 ,  63 ,  1 ,  13 ,  51 
Own house rent-free lot without consent of owner,  7.469 ,  6.987 ,  349 ,  124 ,  4 ,  1 ,  1 ,  3 
Rent-free house and lot with consent of owner,  41.154 ,  35.199 ,  3.899 ,  1.867 ,  140 ,  27 ,  6 ,  16 
Rent-free house and lot without consent of owner,  1.368 ,  1.275 ,  74 ,  15 ,  1 ,  -   ,  1 ,  2 
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BATANES,,,,,,,,
Total,  4.761 ,  3.802 ,  588 ,  364 ,  5 ,  1 ,  -   ,  1 
Own or owner like possession of house and lot,  3.094 ,  2.741 ,  269 ,  80 ,  2 ,  1 ,  -   ,  1 
Rent house/room including lot,  786 ,  401 ,  157 ,  225 ,  3 ,  -   ,  -   ,  -   
Own house rent lot,  59 ,  58 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  258 ,  200 ,  45 ,  13 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  8 ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  556 ,  394 ,  116 ,  46 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BASCO (Capital),,,,,,,,
Total,  2.327 ,  1.637 ,  347 ,  337 ,  5 ,  1 ,  -   ,  -   
Own or owner like possession of house and lot,  1.303 ,  1.090 ,  146 ,  64 ,  2 ,  1 ,  -   ,  -   
Rent house/room including lot,  585 ,  244 ,  117 ,  221 ,  3 ,  -   ,  -   ,  -   
Own house rent lot,  54 ,  54 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  160 ,  115 ,  32 ,  13 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  223 ,  132 ,  52 ,  39 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 ITBAYAT,,,,,,,,
Total,  831 ,  809 ,  19 ,  3 ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  637 ,  627 ,  9 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  64 ,  58 ,  4 ,  2 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  1 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  59 ,  57 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  68 ,  65 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 IVANA,,,,,,,,
Total,  371 ,  328 ,  43 ,  -   ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  238 ,  217 ,  21 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  36 ,  29 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  16 ,  12 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  75 ,  64 ,  11 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 MAHATAO,,,,,,,,
Total,  443 ,  339 ,  88 ,  15 ,  -   ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  328 ,  267 ,  48 ,  12 ,  -   ,  -   ,  -   ,  1 
Rent house/room including lot,  43 ,  28 ,  13 ,  2 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  8 ,  5 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  62 ,  37 ,  24 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SABTANG,,,,,,,,
Total,  431 ,  378 ,  47 ,  6 ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  310 ,  290 ,  18 ,  2 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  29 ,  19 ,  10 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  88 ,  65 ,  19 ,  4 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 UYUGAN,,,,,,,,
Total,  358 ,  311 ,  44 ,  3 ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  278 ,  250 ,  27 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  29 ,  23 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  11 ,  7 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  40 ,  31 ,  7 ,  2 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 CAGAYAN,,,,,,,,
Total,  271.967 ,  255.045 ,  11.827 ,  4.574 ,  410 ,  29 ,  22 ,  60 
Own or owner like possession of house and lot,  200.744 ,  190.441 ,  7.885 ,  2.156 ,  211 ,  10 ,  9 ,  32 
Rent house/room including lot,  7.531 ,  4.882 ,  945 ,  1.595 ,  98 ,  9 ,  -   ,  2 
Own house rent lot,  5.940 ,  5.629 ,  222 ,  64 ,  23 ,  -   ,  2 ,  -   
Own house rent-free lot with consent of owner,  43.574 ,  41.567 ,  1.599 ,  345 ,  35 ,  -   ,  8 ,  20 
Own house rent-free lot without consent of owner,  2.957 ,  2.828 ,  97 ,  25 ,  3 ,  1 ,  1 ,  2 
Rent-free house and lot with consent of owner,  10.831 ,  9.322 ,  1.067 ,  389 ,  40 ,  9 ,  2 ,  2 
Rent-free house and lot without consent of owner,  390 ,  376 ,  12 ,  -   ,  -   ,  -   ,  -   ,  2 
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 ABULUG,,,,,,,,
Total,  7.405 ,  7.084 ,  243 ,  52 ,  23 ,  -   ,  -   ,  3 
Own or owner like possession of house and lot,  5.555 ,  5.360 ,  160 ,  31 ,  2 ,  -   ,  -   ,  2 
Rent house/room including lot,  111 ,  90 ,  2 ,  5 ,  14 ,  -   ,  -   ,  -   
Own house rent lot,  48 ,  41 ,  -   ,  -   ,  7 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.285 ,  1.239 ,  34 ,  12 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  101 ,  95 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  301 ,  255 ,  41 ,  4 ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
