,city,region_name,bldg_type,province,Occupied Housing Units,Number of Households*,Household Population*,Average Household Size,Ratio of Households to Occupied Housing Units,Ratio of Household Population to Occupied Housing Units,year
7416,MERCEDES,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, EASTERN SAMAR,,,,,,,2015
7417,MERCEDES,REGION VIII (Eastern Visayas),Institutional living quarter, EASTERN SAMAR,,,,,,,2015
7418,MERCEDES,REGION VIII (Eastern Visayas),Others, EASTERN SAMAR,,,,,,,2015
7419,MERCEDES,REGION VIII (Eastern Visayas),Not Reported, EASTERN SAMAR,,,,,,,2015
7420,ORAS,REGION VIII (Eastern Visayas),Single house, EASTERN SAMAR,8185.0,8345.0,35433.0,4.25,1.02,4.33,2015
7421,ORAS,REGION VIII (Eastern Visayas),Duplex, EASTERN SAMAR,223.0,224.0,841.0,3.75,1.0,3.77,2015
7422,ORAS,REGION VIII (Eastern Visayas),Multi-unit residential, EASTERN SAMAR,37.0,37.0,143.0,3.86,1.0,3.86,2015
7423,ORAS,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, EASTERN SAMAR,7.0,8.0,32.0,4.0,1.14,4.57,2015
7424,ORAS,REGION VIII (Eastern Visayas),Institutional living quarter, EASTERN SAMAR,,,,,,,2015
7425,ORAS,REGION VIII (Eastern Visayas),Others, EASTERN SAMAR,1.0,1.0,3.0,3.0,1.0,3.0,2015
7426,ORAS,REGION VIII (Eastern Visayas),Not Reported, EASTERN SAMAR,2.0,3.0,11.0,3.67,1.5,5.5,2015
7427,QUINAPONDAN,REGION VIII (Eastern Visayas),Single house, EASTERN SAMAR,3313.0,3323.0,14520.0,4.37,1.0,4.38,2015
7428,QUINAPONDAN,REGION VIII (Eastern Visayas),Duplex, EASTERN SAMAR,59.0,60.0,229.0,3.82,1.02,3.88,2015
7429,QUINAPONDAN,REGION VIII (Eastern Visayas),Multi-unit residential, EASTERN SAMAR,4.0,4.0,9.0,2.25,1.0,2.25,2015
7430,QUINAPONDAN,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, EASTERN SAMAR,1.0,1.0,6.0,6.0,1.0,6.0,2015
7431,QUINAPONDAN,REGION VIII (Eastern Visayas),Institutional living quarter, EASTERN SAMAR,,,,,,,2015
7432,QUINAPONDAN,REGION VIII (Eastern Visayas),Others, EASTERN SAMAR,,,,,,,2015
7433,QUINAPONDAN,REGION VIII (Eastern Visayas),Not Reported, EASTERN SAMAR,,,,,,,2015
7434,SALCEDO,REGION VIII (Eastern Visayas),Single house, EASTERN SAMAR,5101.0,5111.0,22085.0,4.32,1.0,4.33,2015
7435,SALCEDO,REGION VIII (Eastern Visayas),Duplex, EASTERN SAMAR,90.0,90.0,395.0,4.39,1.0,4.39,2015
7436,SALCEDO,REGION VIII (Eastern Visayas),Multi-unit residential, EASTERN SAMAR,9.0,9.0,44.0,4.89,1.0,4.89,2015
7437,SALCEDO,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, EASTERN SAMAR,1.0,1.0,2.0,2.0,1.0,2.0,2015
7438,SALCEDO,REGION VIII (Eastern Visayas),Institutional living quarter, EASTERN SAMAR,,,,,,,2015
7439,SALCEDO,REGION VIII (Eastern Visayas),Others, EASTERN SAMAR,,,,,,,2015
7440,SALCEDO,REGION VIII (Eastern Visayas),Not Reported, EASTERN SAMAR,,,,,,,2015
7441,SAN JULIAN,REGION VIII (Eastern Visayas),Single house, EASTERN SAMAR,3246.0,3252.0,13859.0,4.26,1.0,4.27,2015
7442,SAN JULIAN,REGION VIII (Eastern Visayas),Duplex, EASTERN SAMAR,90.0,90.0,371.0,4.12,1.0,4.12,2015
7443,SAN JULIAN,REGION VIII (Eastern Visayas),Multi-unit residential, EASTERN SAMAR,27.0,27.0,96.0,3.56,1.0,3.56,2015
7444,SAN JULIAN,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, EASTERN SAMAR,,,,,,,2015
7445,SAN JULIAN,REGION VIII (Eastern Visayas),Institutional living quarter, EASTERN SAMAR,,,,,,,2015
7446,SAN JULIAN,REGION VIII (Eastern Visayas),Others, EASTERN SAMAR,,,,,,,2015
7447,SAN JULIAN,REGION VIII (Eastern Visayas),Not Reported, EASTERN SAMAR,,,,,,,2015
7448,SAN POLICARPO,REGION VIII (Eastern Visayas),Single house, EASTERN SAMAR,3074.0,3082.0,13936.0,4.52,1.0,4.53,2015
7449,SAN POLICARPO,REGION VIII (Eastern Visayas),Duplex, EASTERN SAMAR,165.0,165.0,639.0,3.87,1.0,3.87,2015
7450,SAN POLICARPO,REGION VIII (Eastern Visayas),Multi-unit residential, EASTERN SAMAR,11.0,11.0,40.0,3.64,1.0,3.64,2015
7451,SAN POLICARPO,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, EASTERN SAMAR,,,,,,,2015
7452,SAN POLICARPO,REGION VIII (Eastern Visayas),Institutional living quarter, EASTERN SAMAR,,,,,,,2015
7453,SAN POLICARPO,REGION VIII (Eastern Visayas),Others, EASTERN SAMAR,13.0,13.0,59.0,4.54,1.0,4.54,2015
7454,SAN POLICARPO,REGION VIII (Eastern Visayas),Not Reported, EASTERN SAMAR,,,,,,,2015
7455,SULAT,REGION VIII (Eastern Visayas),Single house, EASTERN SAMAR,3455.0,3482.0,14566.0,4.18,1.01,4.22,2015
7456,SULAT,REGION VIII (Eastern Visayas),Duplex, EASTERN SAMAR,167.0,167.0,656.0,3.93,1.0,3.93,2015
7457,SULAT,REGION VIII (Eastern Visayas),Multi-unit residential, EASTERN SAMAR,27.0,27.0,128.0,4.74,1.0,4.74,2015
7458,SULAT,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, EASTERN SAMAR,1.0,1.0,3.0,3.0,1.0,3.0,2015
7459,SULAT,REGION VIII (Eastern Visayas),Institutional living quarter, EASTERN SAMAR,,,,,,,2015
7460,SULAT,REGION VIII (Eastern Visayas),Others, EASTERN SAMAR,,,,,,,2015
7461,SULAT,REGION VIII (Eastern Visayas),Not Reported, EASTERN SAMAR,,,,,,,2015
7462,TAFT,REGION VIII (Eastern Visayas),Single house, EASTERN SAMAR,4130.0,4138.0,17870.0,4.32,1.0,4.33,2015
7463,TAFT,REGION VIII (Eastern Visayas),Duplex, EASTERN SAMAR,174.0,176.0,693.0,3.94,1.01,3.98,2015
7464,TAFT,REGION VIII (Eastern Visayas),Multi-unit residential, EASTERN SAMAR,69.0,71.0,245.0,3.45,1.03,3.55,2015
7465,TAFT,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, EASTERN SAMAR,2.0,2.0,7.0,3.5,1.0,3.5,2015
7466,TAFT,REGION VIII (Eastern Visayas),Institutional living quarter, EASTERN SAMAR,1.0,1.0,1.0,1.0,1.0,1.0,2015
7467,TAFT,REGION VIII (Eastern Visayas),Others, EASTERN SAMAR,,,,,,,2015
7468,TAFT,REGION VIII (Eastern Visayas),Not Reported, EASTERN SAMAR,,,,,,,2015
7469,ABUYOG,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),12629.0,12826.0,54747.0,4.27,1.02,4.34,2015
7470,ABUYOG,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),480.0,495.0,1962.0,3.96,1.03,4.09,2015
7471,ABUYOG,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),165.0,166.0,615.0,3.7,1.01,3.73,2015
7472,ABUYOG,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),10.0,10.0,49.0,4.9,1.0,4.9,2015
7473,ABUYOG,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),1.0,1.0,3.0,3.0,1.0,3.0,2015
7474,ABUYOG,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7475,ABUYOG,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),9.0,10.0,48.0,4.8,1.11,5.33,2015
7476,ALANGALANG,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),12066.0,12118.0,52613.0,4.34,1.0,4.36,2015
7477,ALANGALANG,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),430.0,435.0,1665.0,3.83,1.01,3.87,2015
7478,ALANGALANG,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),201.0,203.0,902.0,4.44,1.01,4.49,2015
7479,ALANGALANG,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),8.0,8.0,27.0,3.38,1.0,3.38,2015
7480,ALANGALANG,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),2.0,2.0,9.0,4.5,1.0,4.5,2015
7481,ALANGALANG,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),1.0,1.0,1.0,1.0,1.0,1.0,2015
7482,ALANGALANG,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),1.0,1.0,2.0,2.0,1.0,2.0,2015
7483,ALBUERA,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),10259.0,10317.0,43313.0,4.2,1.01,4.22,2015
7484,ALBUERA,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),551.0,551.0,2172.0,3.94,1.0,3.94,2015
7485,ALBUERA,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),190.0,190.0,814.0,4.28,1.0,4.28,2015
7486,ALBUERA,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),3.0,3.0,10.0,3.33,1.0,3.33,2015
7487,ALBUERA,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7488,ALBUERA,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7489,ALBUERA,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),6.0,6.0,23.0,3.83,1.0,3.83,2015
7490,BABATNGON,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),5943.0,6002.0,27320.0,4.55,1.01,4.6,2015
7491,BABATNGON,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),84.0,84.0,330.0,3.93,1.0,3.93,2015
7492,BABATNGON,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),9.0,9.0,45.0,5.0,1.0,5.0,2015
7493,BABATNGON,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),3.0,3.0,10.0,3.33,1.0,3.33,2015
7494,BABATNGON,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7495,BABATNGON,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),1.0,1.0,3.0,3.0,1.0,3.0,2015
7496,BABATNGON,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),7.0,9.0,37.0,4.11,1.29,5.29,2015
7497,BARUGO,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),6693.0,6739.0,31948.0,4.74,1.01,4.77,2015
7498,BARUGO,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),146.0,148.0,671.0,4.53,1.01,4.6,2015
7499,BARUGO,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),24.0,25.0,88.0,3.52,1.04,3.67,2015
7500,BARUGO,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),3.0,3.0,9.0,3.0,1.0,3.0,2015
7501,BARUGO,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7502,BARUGO,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7503,BARUGO,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),3.0,4.0,17.0,4.25,1.33,5.67,2015
7504,BATO,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),8062.0,8223.0,36352.0,4.42,1.02,4.51,2015
7505,BATO,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),338.0,344.0,1584.0,4.6,1.02,4.69,2015
7506,BATO,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),96.0,96.0,300.0,3.13,1.0,3.13,2015
7507,BATO,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),11.0,11.0,41.0,3.73,1.0,3.73,2015
7508,BATO,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),1.0,1.0,8.0,8.0,1.0,8.0,2015
7509,BATO,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),3.0,3.0,5.0,1.67,1.0,1.67,2015
7510,BATO,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),6.0,13.0,53.0,4.08,2.17,8.83,2015
7511,CITY OF BAYBAY,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),22828.0,23067.0,96393.0,4.18,1.01,4.22,2015
7512,CITY OF BAYBAY,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),1875.0,1908.0,7502.0,3.93,1.02,4.0,2015
7513,CITY OF BAYBAY,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),1081.0,1140.0,4123.0,3.62,1.05,3.81,2015
7514,CITY OF BAYBAY,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),39.0,39.0,119.0,3.05,1.0,3.05,2015
7515,CITY OF BAYBAY,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),14.0,14.0,38.0,2.71,1.0,2.71,2015
7516,CITY OF BAYBAY,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),1.0,1.0,4.0,4.0,1.0,4.0,2015
7517,CITY OF BAYBAY,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),10.0,11.0,38.0,3.45,1.1,3.8,2015
7518,BURAUEN,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),12108.0,12156.0,50926.0,4.19,1.0,4.21,2015
7519,BURAUEN,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),286.0,293.0,1162.0,3.97,1.02,4.06,2015
7520,BURAUEN,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),84.0,85.0,296.0,3.48,1.01,3.52,2015
7521,BURAUEN,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),16.0,16.0,58.0,3.63,1.0,3.63,2015
7522,BURAUEN,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7523,BURAUEN,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),27.0,27.0,106.0,3.93,1.0,3.93,2015
7524,BURAUEN,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),,,,,,,2015
7525,CALUBIAN,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),7573.0,7633.0,30335.0,3.97,1.01,4.01,2015
7526,CALUBIAN,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),182.0,183.0,681.0,3.72,1.01,3.74,2015
7527,CALUBIAN,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),33.0,33.0,143.0,4.33,1.0,4.33,2015
7528,CALUBIAN,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),3.0,3.0,12.0,4.0,1.0,4.0,2015
7529,CALUBIAN,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),4.0,4.0,10.0,2.5,1.0,2.5,2015
7530,CALUBIAN,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7531,CALUBIAN,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),1.0,2.0,10.0,5.0,2.0,10.0,2015
7532,CAPOOCAN,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),6852.0,6889.0,31785.0,4.61,1.01,4.64,2015
7533,CAPOOCAN,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),344.0,346.0,1414.0,4.09,1.01,4.11,2015
7534,CAPOOCAN,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),89.0,90.0,388.0,4.31,1.01,4.36,2015
7535,CAPOOCAN,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),6.0,6.0,29.0,4.83,1.0,4.83,2015
7536,CAPOOCAN,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7537,CAPOOCAN,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7538,CAPOOCAN,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),1.0,1.0,1.0,1.0,1.0,1.0,2015
7539,CARIGARA,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),10687.0,10758.0,48832.0,4.54,1.01,4.57,2015
7540,CARIGARA,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),352.0,354.0,1550.0,4.38,1.01,4.4,2015
7541,CARIGARA,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),177.0,177.0,761.0,4.3,1.0,4.3,2015
7542,CARIGARA,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),13.0,13.0,53.0,4.08,1.0,4.08,2015
7543,CARIGARA,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7544,CARIGARA,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7545,CARIGARA,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),1.0,1.0,4.0,4.0,1.0,4.0,2015
7546,DAGAMI,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),8130.0,8189.0,34205.0,4.18,1.01,4.21,2015
7547,DAGAMI,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),206.0,206.0,768.0,3.73,1.0,3.73,2015
7548,DAGAMI,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),34.0,34.0,136.0,4.0,1.0,4.0,2015
7549,DAGAMI,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),2.0,2.0,9.0,4.5,1.0,4.5,2015
7550,DAGAMI,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7551,DAGAMI,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),2.0,2.0,9.0,4.5,1.0,4.5,2015
7552,DAGAMI,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),,,,,,,2015
7553,DULAG,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),11482.0,11543.0,46120.0,4.0,1.01,4.02,2015
7554,DULAG,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),243.0,244.0,928.0,3.8,1.0,3.82,2015
7555,DULAG,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),42.0,42.0,165.0,3.93,1.0,3.93,2015
7556,DULAG,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),7.0,7.0,23.0,3.29,1.0,3.29,2015
7557,DULAG,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7558,DULAG,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),1.0,1.0,1.0,1.0,1.0,1.0,2015
7559,DULAG,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),1.0,1.0,3.0,3.0,1.0,3.0,2015
7560,HILONGOS,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),13872.0,13901.0,61308.0,4.41,1.0,4.42,2015
7561,HILONGOS,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),382.0,382.0,1615.0,4.23,1.0,4.23,2015
7562,HILONGOS,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),97.0,97.0,365.0,3.76,1.0,3.76,2015
7563,HILONGOS,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),5.0,5.0,9.0,1.8,1.0,1.8,2015
7564,HILONGOS,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),1.0,1.0,1.0,1.0,1.0,1.0,2015
7565,HILONGOS,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7566,HILONGOS,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),8.0,8.0,32.0,4.0,1.0,4.0,2015
7567,HINDANG,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),4833.0,4838.0,20287.0,4.19,1.0,4.2,2015
7568,HINDANG,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),146.0,146.0,598.0,4.1,1.0,4.1,2015
7569,HINDANG,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),9.0,9.0,35.0,3.89,1.0,3.89,2015
7570,HINDANG,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),,,,,,,2015
7571,HINDANG,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7572,HINDANG,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7573,HINDANG,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),1.0,1.0,3.0,3.0,1.0,3.0,2015
7574,INOPACAN,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),4684.0,4696.0,19691.0,4.19,1.0,4.2,2015
7575,INOPACAN,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),186.0,186.0,737.0,3.96,1.0,3.96,2015
7576,INOPACAN,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),28.0,28.0,100.0,3.57,1.0,3.57,2015
7577,INOPACAN,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),2.0,2.0,9.0,4.5,1.0,4.5,2015
7578,INOPACAN,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7579,INOPACAN,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7580,INOPACAN,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),,,,,,,2015
7581,ISABEL,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),10523.0,10581.0,44305.0,4.19,1.01,4.21,2015
7582,ISABEL,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),472.0,474.0,1890.0,3.99,1.0,4.0,2015
7583,ISABEL,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),120.0,123.0,462.0,3.76,1.03,3.85,2015
7584,ISABEL,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),18.0,19.0,61.0,3.21,1.06,3.39,2015
7585,ISABEL,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),1.0,1.0,6.0,6.0,1.0,6.0,2015
7586,ISABEL,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7587,ISABEL,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),3.0,3.0,11.0,3.67,1.0,3.67,2015
7588,JARO,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),9359.0,9448.0,41988.0,4.44,1.01,4.49,2015
7589,JARO,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),232.0,236.0,988.0,4.19,1.02,4.26,2015
7590,JARO,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),50.0,50.0,173.0,3.46,1.0,3.46,2015
7591,JARO,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),7.0,7.0,22.0,3.14,1.0,3.14,2015
7592,JARO,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),2.0,2.0,4.0,2.0,1.0,2.0,2015
7593,JARO,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),2.0,2.0,6.0,3.0,1.0,3.0,2015
7594,JARO,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),2.0,2.0,8.0,4.0,1.0,4.0,2015
7595,JAVIER (BUGHO),REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),5788.0,5823.0,24549.0,4.22,1.01,4.24,2015
7596,JAVIER (BUGHO),REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),164.0,165.0,671.0,4.07,1.01,4.09,2015
7597,JAVIER (BUGHO),REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),30.0,31.0,99.0,3.19,1.03,3.3,2015
7598,JAVIER (BUGHO),REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),3.0,3.0,17.0,5.67,1.0,5.67,2015
7599,JAVIER (BUGHO),REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7600,JAVIER (BUGHO),REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7601,JAVIER (BUGHO),REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),1.0,2.0,7.0,3.5,2.0,7.0,2015
7602,JULITA,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),3780.0,3811.0,15009.0,3.94,1.01,3.97,2015
7603,JULITA,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),20.0,21.0,80.0,3.81,1.05,4.0,2015
7604,JULITA,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),,,,,,,2015
7605,JULITA,REGION VIII (Eastern Visayas),Commercial/industrial/agricultural, LEYTE (excluding Tacloban City),4.0,4.0,6.0,1.5,1.0,1.5,2015
7606,JULITA,REGION VIII (Eastern Visayas),Institutional living quarter, LEYTE (excluding Tacloban City),,,,,,,2015
7607,JULITA,REGION VIII (Eastern Visayas),Others, LEYTE (excluding Tacloban City),,,,,,,2015
7608,JULITA,REGION VIII (Eastern Visayas),Not Reported, LEYTE (excluding Tacloban City),2.0,4.0,15.0,3.75,2.0,7.5,2015
7609,KANANGA,REGION VIII (Eastern Visayas),Single house, LEYTE (excluding Tacloban City),12156.0,12286.0,53849.0,4.38,1.01,4.43,2015
7610,KANANGA,REGION VIII (Eastern Visayas),Duplex, LEYTE (excluding Tacloban City),456.0,459.0,1858.0,4.05,1.01,4.07,2015
7611,KANANGA,REGION VIII (Eastern Visayas),Multi-unit residential, LEYTE (excluding Tacloban City),152.0,153.0,611.0,3.99,1.01,4.02,2015
