Type of Building and City/Municipality, Occupied Housing Units , Number of Households* , Household Population* , Average Household Size , Ratio of Households to Occupied Housing Units , Ratio of Household Population to Occupied Housing Units ,,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  5 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  7 ,"  7,00 ","  1,00 ","  7,00 ",,,,,,,,,,,,
 LAGANGILANG,,,,,,,,,,,,,,,,,,
Total,  3.048 ,  3.147 ,  14.200 ,"  4,51 ","  1,03 ","  4,66 ",,,,,,,,,,,,
Single house,  2.859 ,  2.947 ,  13.394 ,"  4,54 ","  1,03 ","  4,68 ",,,,,,,,,,,,
Duplex,  129 ,  138 ,  588 ,"  4,26 ","  1,07 ","  4,56 ",,,,,,,,,,,,
Multi-unit residential,  54 ,  56 ,  191 ,"  3,41 ","  1,04 ","  3,54 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  5 ,  5 ,  26 ,"  5,20 ","  1,00 ","  5,20 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
 LAGAYAN,,,,,,,,,,,,,,,,,,
Total,  932 ,  932 ,  4.499 ,"  4,83 ","  1,00 ","  4,83 ",,,,,,,,,,,,
Single house,  878 ,  878 ,  4.267 ,"  4,86 ","  1,00 ","  4,86 ",,,,,,,,,,,,
Duplex,  48 ,  48 ,  200 ,"  4,17 ","  1,00 ","  4,17 ",,,,,,,,,,,,
Multi-unit residential,  6 ,  6 ,  32 ,"  5,33 ","  1,00 ","  5,33 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 LANGIDEN,,,,,,,,,,,,,,,,,,
Total,  660 ,  705 ,  3.197 ,"  4,53 ","  1,07 ","  4,84 ",,,,,,,,,,,,
Single house,  627 ,  672 ,  3.060 ,"  4,55 ","  1,07 ","  4,88 ",,,,,,,,,,,,
Duplex,  28 ,  28 ,  122 ,"  4,36 ","  1,00 ","  4,36 ",,,,,,,,,,,,
Multi-unit residential,  3 ,  3 ,  9 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  5 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
 LICUAN-BAAY (LICUAN),,,,,,,,,,,,,,,,,,
Total,  943 ,  968 ,  4.599 ,"  4,75 ","  1,03 ","  4,88 ",,,,,,,,,,,,
Single house,  902 ,  926 ,  4.435 ,"  4,79 ","  1,03 ","  4,92 ",,,,,,,,,,,,
Duplex,  40 ,  41 ,  161 ,"  3,93 ","  1,03 ","  4,03 ",,,,,,,,,,,,
Multi-unit residential,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 LUBA,,,,,,,,,,,,,,,,,,
Total,  1.358 ,  1.370 ,  6.335 ,"  4,62 ","  1,01 ","  4,66 ",,,,,,,,,,,,
Single house,  1.327 ,  1.339 ,  6.202 ,"  4,63 ","  1,01 ","  4,67 ",,,,,,,,,,,,
Duplex,  27 ,  27 ,  114 ,"  4,22 ","  1,00 ","  4,22 ",,,,,,,,,,,,
Multi-unit residential,  3 ,  3 ,  12 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  1 ,  1 ,  7 ,"  7,00 ","  1,00 ","  7,00 ",,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 MALIBCONG,,,,,,,,,,,,,,,,,,
Total,  743 ,  746 ,  3.380 ,"  4,53 ","  1,00 ","  4,55 ",,,,,,,,,,,,
Single house,  713 ,  716 ,  3.224 ,"  4,50 ","  1,00 ","  4,52 ",,,,,,,,,,,,
Duplex,  27 ,  27 ,  146 ,"  5,41 ","  1,00 ","  5,41 ",,,,,,,,,,,,
Multi-unit residential,  2 ,  2 ,  8 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  2 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 MANABO,,,,,,,,,,,,,,,,,,
Total,  2.410 ,  2.475 ,  10.724 ,"  4,33 ","  1,03 ","  4,45 ",,,,,,,,,,,,
Single house,  2.203 ,  2.263 ,  9.847 ,"  4,35 ","  1,03 ","  4,47 ",,,,,,,,,,,,
Duplex,  160 ,  163 ,  676 ,"  4,15 ","  1,02 ","  4,23 ",,,,,,,,,,,,
Multi-unit residential,  47 ,  49 ,  201 ,"  4,10 ","  1,04 ","  4,28 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 PEÑARRUBIA,,,,,,,,,,,,,,,,,,
Total,  1.463 ,  1.478 ,  6.640 ,"  4,49 ","  1,01 ","  4,54 ",,,,,,,,,,,,
Single house,  1.387 ,  1.401 ,  6.353 ,"  4,53 ","  1,01 ","  4,58 ",,,,,,,,,,,,
Duplex,  63 ,  64 ,  237 ,"  3,70 ","  1,02 ","  3,76 ",,,,,,,,,,,,
Multi-unit residential,  11 ,  11 ,  41 ,"  3,73 ","  1,00 ","  3,73 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  2 ,  2 ,  9 ,"  4,50 ","  1,00 ","  4,50 ",,,,,,,,,,,,
 PIDIGAN,,,,,,,,,,,,,,,,,,
Total,  2.600 ,  2.728 ,  12.090 ,"  4,43 ","  1,05 ","  4,65 ",,,,,,,,,,,,
Single house,  2.481 ,  2.605 ,  11.581 ,"  4,45 ","  1,05 ","  4,67 ",,,,,,,,,,,,
Duplex,  96 ,  99 ,  415 ,"  4,19 ","  1,03 ","  4,32 ",,,,,,,,,,,,
Multi-unit residential,  21 ,  22 ,  89 ,"  4,05 ","  1,05 ","  4,24 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  1 ,  1 ,  2 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 PILAR,,,,,,,,,,,,,,,,,,
Total,  2.262 ,  2.289 ,  10.216 ,"  4,46 ","  1,01 ","  4,52 ",,,,,,,,,,,,
Single house,  2.182 ,  2.208 ,  9.891 ,"  4,48 ","  1,01 ","  4,53 ",,,,,,,,,,,,
Duplex,  75 ,  76 ,  307 ,"  4,04 ","  1,01 ","  4,09 ",,,,,,,,,,,,
Multi-unit residential,  5 ,  5 ,  18 ,"  3,60 ","  1,00 ","  3,60 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 SALLAPADAN,,,,,,,,,,,,,,,,,,
Total,  1.341 ,  1.341 ,  6.614 ,"  4,93 ","  1,00 ","  4,93 ",,,,,,,,,,,,
Single house,  1.299 ,  1.299 ,  6.399 ,"  4,93 ","  1,00 ","  4,93 ",,,,,,,,,,,,
Duplex,  39 ,  39 ,  204 ,"  5,23 ","  1,00 ","  5,23 ",,,,,,,,,,,,
Multi-unit residential,  3 ,  3 ,  11 ,"  3,67 ","  1,00 ","  3,67 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 SAN ISIDRO,,,,,,,,,,,,,,,,,,
Total,  1.054 ,  1.082 ,  4.573 ,"  4,23 ","  1,03 ","  4,34 ",,,,,,,,,,,,
Single house,  993 ,  1.016 ,  4.324 ,"  4,26 ","  1,02 ","  4,35 ",,,,,,,,,,,,
Duplex,  49 ,  53 ,  216 ,"  4,08 ","  1,08 ","  4,41 ",,,,,,,,,,,,
Multi-unit residential,  10 ,  11 ,  28 ,"  2,55 ","  1,10 ","  2,80 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  2 ,  2 ,  5 ,"  2,50 ","  1,00 ","  2,50 ",,,,,,,,,,,,
 SAN JUAN,,,,,,,,,,,,,,,,,,
Total,  2.157 ,  2.217 ,  9.845 ,"  4,44 ","  1,03 ","  4,56 ",,,,,,,,,,,,
Single house,  2.065 ,  2.124 ,  9.473 ,"  4,46 ","  1,03 ","  4,59 ",,,,,,,,,,,,
Duplex,  76 ,  76 ,  310 ,"  4,08 ","  1,00 ","  4,08 ",,,,,,,,,,,,
Multi-unit residential,  6 ,  6 ,  23 ,"  3,83 ","  1,00 ","  3,83 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  9 ,  10 ,  38 ,"  3,80 ","  1,11 ","  4,22 ",,,,,,,,,,,,
 SAN QUINTIN,,,,,,,,,,,,,,,,,,
Total,  1.239 ,  1.249 ,  5.421 ,"  4,34 ","  1,01 ","  4,38 ",,,,,,,,,,,,
Single house,  1.172 ,  1.180 ,  5.107 ,"  4,33 ","  1,01 ","  4,36 ",,,,,,,,,,,,
Duplex,  60 ,  61 ,  277 ,"  4,54 ","  1,02 ","  4,62 ",,,,,,,,,,,,
Multi-unit residential,  6 ,  6 ,  28 ,"  4,67 ","  1,00 ","  4,67 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  2 ,  9 ,"  4,50 ","  2,00 ","  9,00 ",,,,,,,,,,,,
 TAYUM,,,,,,,,,,,,,,,,,,
Total,  3.016 ,  3.140 ,  14.445 ,"  4,60 ","  1,04 ","  4,79 ",,,,,,,,,,,,
Single house,  2.843 ,  2.958 ,  13.621 ,"  4,60 ","  1,04 ","  4,79 ",,,,,,,,,,,,
Duplex,  147 ,  154 ,  714 ,"  4,64 ","  1,05 ","  4,86 ",,,,,,,,,,,,
Multi-unit residential,  18 ,  20 ,  77 ,"  3,85 ","  1,11 ","  4,28 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  3 ,  3 ,  13 ,"  4,33 ","  1,00 ","  4,33 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  5 ,  5 ,  20 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
 TINEG,,,,,,,,,,,,,,,,,,
Total,  830 ,  980 ,  5.083 ,"  5,19 ","  1,18 ","  6,12 ",,,,,,,,,,,,
Single house,  824 ,  973 ,  5.044 ,"  5,18 ","  1,18 ","  6,12 ",,,,,,,,,,,,
Duplex,  6 ,  7 ,  39 ,"  5,57 ","  1,17 ","  6,50 ",,,,,,,,,,,,
Multi-unit residential,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 TUBO,,,,,,,,,,,,,,,,,,
Total,  982 ,  984 ,  5.678 ,"  5,77 ","  1,00 ","  5,78 ",,,,,,,,,,,,
Single house,  972 ,  974 ,  5.636 ,"  5,79 ","  1,00 ","  5,80 ",,,,,,,,,,,,
Duplex,  10 ,  10 ,  42 ,"  4,20 ","  1,00 ","  4,20 ",,,,,,,,,,,,
Multi-unit residential,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 VILLAVICIOSA,,,,,,,,,,,,,,,,,,
Total,  1.058 ,  1.087 ,  4.778 ,"  4,40 ","  1,03 ","  4,52 ",,,,,,,,,,,,
Single house,  1.004 ,  1.032 ,  4.539 ,"  4,40 ","  1,03 ","  4,52 ",,,,,,,,,,,,
Duplex,  53 ,  54 ,  237 ,"  4,39 ","  1,02 ","  4,47 ",,,,,,,,,,,,
Multi-unit residential,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  2 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
 APAYAO,,,,,,,,,,,,,,,,,,
Total,  25.418 ,  25.560 ,  118.653 ,"  4,64 ","  1,01 ","  4,67 ",,,,,,,,,,,,
Single house,  24.315 ,  24.454 ,  114.160 ,"  4,67 ","  1,01 ","  4,70 ",,,,,,,,,,,,
Duplex,  856 ,  857 ,  3.528 ,"  4,12 ","  1,00 ","  4,12 ",,,,,,,,,,,,
Multi-unit residential,  183 ,  183 ,  721 ,"  3,94 ","  1,00 ","  3,94 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  40 ,  41 ,  147 ,"  3,59 ","  1,03 ","  3,68 ",,,,,,,,,,,,
Institutional living quarter,  10 ,  10 ,  31 ,"  3,10 ","  1,00 ","  3,10 ",,,,,,,,,,,,
Others,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
Not Reported,  13 ,  14 ,  65 ,"  4,64 ","  1,08 ","  5,00 ",,,,,,,,,,,,
 CALANASAN (BAYAG),,,,,,,,,,,,,,,,,,
Total,  2.382 ,  2.384 ,  12.564 ,"  5,27 ","  1,00 ","  5,27 ",,,,,,,,,,,,
Single house,  2.361 ,  2.363 ,  12.431 ,"  5,26 ","  1,00 ","  5,27 ",,,,,,,,,,,,
Duplex,  13 ,  13 ,  105 ,"  8,08 ","  1,00 ","  8,08 ",,,,,,,,,,,,
Multi-unit residential,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Commercial/industrial/agricultural,  3 ,  3 ,  11 ,"  3,67 ","  1,00 ","  3,67 ",,,,,,,,,,,,
Institutional living quarter,  5 ,  5 ,  17 ,"  3,40 ","  1,00 ","  3,40 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 CONNER,,,,,,,,,,,,,,,,,,
Total,  5.466 ,  5.469 ,  26.023 ,"  4,76 ","  1,00 ","  4,76 ",,,,,,,,,,,,
Single house,  5.341 ,  5.344 ,  25.482 ,"  4,77 ","  1,00 ","  4,77 ",,,,,,,,,,,,
Duplex,  116 ,  116 ,  487 ,"  4,20 ","  1,00 ","  4,20 ",,,,,,,,,,,,
Multi-unit residential,  3 ,  3 ,  18 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  2 ,  2 ,  13 ,"  6,50 ","  1,00 ","  6,50 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  4 ,  4 ,  23 ,"  5,75 ","  1,00 ","  5,75 ",,,,,,,,,,,,
 FLORA,,,,,,,,,,,,,,,,,,
Total,  4.042 ,  4.056 ,  17.303 ,"  4,27 ","  1,00 ","  4,28 ",,,,,,,,,,,,
Single house,  3.820 ,  3.834 ,  16.420 ,"  4,28 ","  1,00 ","  4,30 ",,,,,,,,,,,,
Duplex,  133 ,  133 ,  537 ,"  4,04 ","  1,00 ","  4,04 ",,,,,,,,,,,,
Multi-unit residential,  76 ,  76 ,  295 ,"  3,88 ","  1,00 ","  3,88 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  10 ,  10 ,  36 ,"  3,60 ","  1,00 ","  3,60 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  5 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  2 ,  2 ,  10 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
 KABUGAO (Capital),,,,,,,,,,,,,,,,,,
Total,  3.130 ,  3.142 ,  15.446 ,"  4,92 ","  1,00 ","  4,93 ",,,,,,,,,,,,
Single house,  3.041 ,  3.052 ,  15.059 ,"  4,93 ","  1,00 ","  4,95 ",,,,,,,,,,,,
Duplex,  65 ,  65 ,  302 ,"  4,65 ","  1,00 ","  4,65 ",,,,,,,,,,,,
Multi-unit residential,  14 ,  14 ,  51 ,"  3,64 ","  1,00 ","  3,64 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  3 ,  3 ,  10 ,"  3,33 ","  1,00 ","  3,33 ",,,,,,,,,,,,
Institutional living quarter,  3 ,  3 ,  8 ,"  2,67 ","  1,00 ","  2,67 ",,,,,,,,,,,,
Others,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
Not Reported,  3 ,  4 ,  15 ,"  3,75 ","  1,33 ","  5,00 ",,,,,,,,,,,,
 LUNA,,,,,,,,,,,,,,,,,,
Total,  4.129 ,  4.174 ,  18.873 ,"  4,52 ","  1,01 ","  4,57 ",,,,,,,,,,,,
Single house,  3.926 ,  3.971 ,  18.061 ,"  4,55 ","  1,01 ","  4,60 ",,,,,,,,,,,,
Duplex,  170 ,  170 ,  687 ,"  4,04 ","  1,00 ","  4,04 ",,,,,,,,,,,,
Multi-unit residential,  30 ,  30 ,  116 ,"  3,87 ","  1,00 ","  3,87 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  3 ,  3 ,  9 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 PUDTOL,,,,,,,,,,,,,,,,,,
Total,  3.158 ,  3.207 ,  14.907 ,"  4,65 ","  1,02 ","  4,72 ",,,,,,,,,,,,
Single house,  2.963 ,  3.011 ,  14.107 ,"  4,69 ","  1,02 ","  4,76 ",,,,,,,,,,,,
Duplex,  165 ,  166 ,  679 ,"  4,09 ","  1,01 ","  4,12 ",,,,,,,,,,,,
Multi-unit residential,  27 ,  27 ,  105 ,"  3,89 ","  1,00 ","  3,89 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  5 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  2 ,  2 ,  11 ,"  5,50 ","  1,00 ","  5,50 ",,,,,,,,,,,,
 SANTA MARCELA,,,,,,,,,,,,,,,,,,
Total,  3.111 ,  3.128 ,  13.537 ,"  4,33 ","  1,01 ","  4,35 ",,,,,,,,,,,,
Single house,  2.863 ,  2.879 ,  12.600 ,"  4,38 ","  1,01 ","  4,40 ",,,,,,,,,,,,
Duplex,  194 ,  194 ,  731 ,"  3,77 ","  1,00 ","  3,77 ",,,,,,,,,,,,
Multi-unit residential,  33 ,  33 ,  136 ,"  4,12 ","  1,00 ","  4,12 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  18 ,  19 ,  63 ,"  3,32 ","  1,06 ","  3,50 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  2 ,  2 ,  6 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
 BENGUET (excluding Baguio City),,,,,,,,,,,,,,,,,,
Total,  106.117 ,  106.838 ,  444.634 ,"  4,16 ","  1,01 ","  4,19 ",,,,,,,,,,,,
Single house,  75.334 ,  75.536 ,  335.054 ,"  4,44 ","  1,00 ","  4,45 ",,,,,,,,,,,,
Duplex,  8.368 ,  8.457 ,  34.473 ,"  4,08 ","  1,01 ","  4,12 ",,,,,,,,,,,,
Multi-unit residential,  21.663 ,  22.082 ,  72.422 ,"  3,28 ","  1,02 ","  3,34 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  710 ,  721 ,  2.571 ,"  3,57 ","  1,02 ","  3,62 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  42 ,  42 ,  114 ,"  2,71 ","  1,00 ","  2,71 ",,,,,,,,,,,,
 ATOK,,,,,,,,,,,,,,,,,,
Total,  4.332 ,  4.378 ,  19.567 ,"  4,47 ","  1,01 ","  4,52 ",,,,,,,,,,,,
Single house,  3.925 ,  3.966 ,  17.994 ,"  4,54 ","  1,01 ","  4,58 ",,,,,,,,,,,,
Duplex,  278 ,  282 ,  1.123 ,"  3,98 ","  1,01 ","  4,04 ",,,,,,,,,,,,
Multi-unit residential,  127 ,  128 ,  446 ,"  3,48 ","  1,01 ","  3,51 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  2 ,  2 ,  4 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 BAKUN,,,,,,,,,,,,,,,,,,
Total,  3.347 ,  3.350 ,  15.146 ,"  4,52 ","  1,00 ","  4,53 ",,,,,,,,,,,,
Single house,  3.179 ,  3.180 ,  14.455 ,"  4,55 ","  1,00 ","  4,55 ",,,,,,,,,,,,
Duplex,  117 ,  119 ,  485 ,"  4,08 ","  1,02 ","  4,15 ",,,,,,,,,,,,
Multi-unit residential,  50 ,  50 ,  204 ,"  4,08 ","  1,00 ","  4,08 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  2 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 BOKOD,,,,,,,,,,,,,,,,,,
Total,  2.873 ,  2.877 ,  13.750 ,"  4,78 ","  1,00 ","  4,79 ",,,,,,,,,,,,
Single house,  2.767 ,  2.771 ,  13.294 ,"  4,80 ","  1,00 ","  4,80 ",,,,,,,,,,,,
Duplex,  74 ,  74 ,  320 ,"  4,32 ","  1,00 ","  4,32 ",,,,,,,,,,,,
Multi-unit residential,  28 ,  28 ,  117 ,"  4,18 ","  1,00 ","  4,18 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  4 ,  4 ,  19 ,"  4,75 ","  1,00 ","  4,75 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 BUGUIAS,,,,,,,,,,,,,,,,,,
Total,  10.863 ,  10.874 ,  43.546 ,"  4,00 ","  1,00 ","  4,01 ",,,,,,,,,,,,
Single house,  8.762 ,  8.772 ,  35.678 ,"  4,07 ","  1,00 ","  4,07 ",,,,,,,,,,,,
Duplex,  1.257 ,  1.257 ,  4.956 ,"  3,94 ","  1,00 ","  3,94 ",,,,,,,,,,,,
Multi-unit residential,  824 ,  825 ,  2.823 ,"  3,42 ","  1,00 ","  3,43 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  20 ,  20 ,  89 ,"  4,45 ","  1,00 ","  4,45 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
