City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,"Lake, river, rain and others",Peddler,Bottled water,Others,Not Reported,,,,,,,,,,,,,,
SIBUNAG,  4.981 ,  135 ,  277 ,  518 ,  2.015 ,  24 ,  967 ,  180 ,  25 ,  -   ,  41 ,  781 ,  18 ,  -   ,,,,,,,,,,,,,,
NEGROS OCCIDENTAL (excluding Bacolod City),  572.574 ,  71.548 ,  65.967 ,  24.278 ,  135.229 ,  11.548 ,  74.435 ,  49.096 ,  19.974 ,  2.747 ,  16.692 ,  100.572 ,  488 ,  -   ,,,,,,,,,,,,,,
BAGO CITY,  39.949 ,  5.143 ,  3.194 ,  2.917 ,  14.406 ,  986 ,  1.922 ,  2.823 ,  843 ,  11 ,  2.516 ,  5.171 ,  17 ,  -   ,,,,,,,,,,,,,,
BINALBAGAN,  15.092 ,  1.402 ,  1.078 ,  601 ,  3.435 ,  94 ,  2.462 ,  226 ,  874 ,  25 ,  237 ,  4.632 ,  26 ,  -   ,,,,,,,,,,,,,,
CADIZ CITY,  35.657 ,  6.584 ,  4.809 ,  783 ,  10.788 ,  447 ,  6.112 ,  1.070 ,  701 ,  39 ,  780 ,  3.531 ,  13 ,  -   ,,,,,,,,,,,,,,
CALATRAVA,  18.431 ,  2.414 ,  4.159 ,  1.109 ,  2.912 ,  468 ,  2.904 ,  2.664 ,  545 ,  416 ,  70 ,  643 ,  127 ,  -   ,,,,,,,,,,,,,,
CANDONI,  4.962 ,  165 ,  1.362 ,  188 ,  567 ,  88 ,  1.201 ,  497 ,  258 ,  1 ,  600 ,  35 ,  -   ,  -   ,,,,,,,,,,,,,,
CAUAYAN,  22.858 ,  896 ,  1.735 ,  2.302 ,  7.040 ,  238 ,  5.188 ,  3.112 ,  810 ,  169 ,  49 ,  1.307 ,  12 ,  -   ,,,,,,,,,,,,,,
ENRIQUE B. MAGALONA (SARAVIA),  14.664 ,  226 ,  866 ,  298 ,  5.319 ,  43 ,  350 ,  733 ,  157 ,  11 ,  96 ,  6.565 ,  -   ,  -   ,,,,,,,,,,,,,,
CITY OF ESCALANTE,  21.544 ,  1.329 ,  3.103 ,  693 ,  2.528 ,  200 ,  7.116 ,  329 ,  214 ,  108 ,  411 ,  5.507 ,  6 ,  -   ,,,,,,,,,,,,,,
CITY OF HIMAMAYLAN,  25.677 ,  4.826 ,  4.940 ,  1.230 ,  3.543 ,  429 ,  3.074 ,  1.916 ,  976 ,  63 ,  460 ,  4.211 ,  9 ,  -   ,,,,,,,,,,,,,,
HINIGARAN,  20.577 ,  1.319 ,  1.118 ,  1.070 ,  5.467 ,  1.542 ,  5.542 ,  139 ,  17 ,  18 ,  1.155 ,  3.152 ,  38 ,  -   ,,,,,,,,,,,,,,
HINOBA-AN (ASIA),  12.538 ,  110 ,  371 ,  1.293 ,  6.568 ,  390 ,  1.199 ,  662 ,  593 ,  42 ,  83 ,  1.226 ,  1 ,  -   ,,,,,,,,,,,,,,
ILOG,  13.066 ,  274 ,  1.784 ,  210 ,  1.323 ,  79 ,  4.118 ,  913 ,  209 ,  7 ,  360 ,  3.781 ,  8 ,  -   ,,,,,,,,,,,,,,
ISABELA,  13.801 ,  481 ,  1.436 ,  1.175 ,  5.071 ,  569 ,  1.319 ,  2.030 ,  343 ,  13 ,  105 ,  1.253 ,  6 ,  -   ,,,,,,,,,,,,,,
CITY OF KABANKALAN,  40.351 ,  2.613 ,  4.020 ,  1.912 ,  10.318 ,  1.479 ,  6.664 ,  4.602 ,  1.766 ,  101 ,  1.805 ,  5.043 ,  28 ,  -   ,,,,,,,,,,,,,,
LA CARLOTA CITY,  16.287 ,  8.926 ,  1.921 ,  241 ,  1.578 ,  25 ,  288 ,  1.897 ,  607 ,  10 ,  92 ,  629 ,  73 ,  -   ,,,,,,,,,,,,,,
LA CASTELLANA,  17.208 ,  3.008 ,  2.303 ,  760 ,  2.691 ,  241 ,  408 ,  4.659 ,  2.007 ,  167 ,  671 ,  286 ,  7 ,  -   ,,,,,,,,,,,,,,
MANAPLA,  13.038 ,  891 ,  540 ,  648 ,  7.313 ,  62 ,  1.194 ,  707 ,  4 ,  12 ,  3 ,  1.661 ,  3 ,  -   ,,,,,,,,,,,,,,
MOISES PADILLA (MAGALLON),  8.870 ,  1.425 ,  2.240 ,  481 ,  1.557 ,  243 ,  1.165 ,  483 ,  1.167 ,  19 ,  23 ,  63 ,  4 ,  -   ,,,,,,,,,,,,,,
MURCIA,  18.517 ,  4.075 ,  1.461 ,  902 ,  2.676 ,  336 ,  1.521 ,  4.880 ,  798 ,  7 ,  682 ,  1.169 ,  10 ,  -   ,,,,,,,,,,,,,,
PONTEVEDRA,  12.077 ,  1.053 ,  1.568 ,  685 ,  5.136 ,  110 ,  719 ,  1.134 ,  194 ,  2 ,  720 ,  747 ,  9 ,  -   ,,,,,,,,,,,,,,
PULUPANDAN,  6.416 ,  692 ,  619 ,  129 ,  1.224 ,  274 ,  676 ,  15 ,  -   ,  -   ,  170 ,  2.614 ,  3 ,  -   ,,,,,,,,,,,,,,
SAGAY CITY,  33.488 ,  9.698 ,  4.097 ,  536 ,  3.211 ,  309 ,  7.890 ,  2.009 ,  182 ,  925 ,  503 ,  4.118 ,  10 ,  -   ,,,,,,,,,,,,,,
SAN CARLOS CITY,  31.002 ,  4.741 ,  4.691 ,  395 ,  3.945 ,  986 ,  2.633 ,  2.321 ,  3.922 ,  212 ,  1.914 ,  5.230 ,  12 ,  -   ,,,,,,,,,,,,,,
SAN ENRIQUE,  5.587 ,  1.171 ,  348 ,  521 ,  2.262 ,  99 ,  3 ,  11 ,  -   ,  -   ,  1 ,  1.171 ,  -   ,  -   ,,,,,,,,,,,,,,
SILAY CITY,  28.953 ,  582 ,  1.328 ,  571 ,  5.233 ,  245 ,  1.997 ,  1.782 ,  1.097 ,  37 ,  1.307 ,  14.732 ,  42 ,  -   ,,,,,,,,,,,,,,
CITY OF SIPALAY,  14.803 ,  271 ,  1.840 ,  585 ,  3.366 ,  111 ,  2.773 ,  2.835 ,  145 ,  152 ,  1.340 ,  1.382 ,  3 ,  -   ,,,,,,,,,,,,,,
CITY OF TALISAY,  23.107 ,  1.074 ,  1.072 ,  859 ,  4.187 ,  359 ,  1.149 ,  2.004 ,  242 ,  28 ,  282 ,  11.838 ,  13 ,  -   ,,,,,,,,,,,,,,
TOBOSO,  9.745 ,  676 ,  2.774 ,  310 ,  2.308 ,  198 ,  1.165 ,  1.065 ,  63 ,  136 ,  11 ,  1.039 ,  -   ,  -   ,,,,,,,,,,,,,,
VALLADOLID,  8.887 ,  745 ,  936 ,  334 ,  3.402 ,  709 ,  31 ,  5 ,  1 ,  -   ,  47 ,  2.676 ,  1 ,  -   ,,,,,,,,,,,,,,
CITY OF VICTORIAS,  19.556 ,  4.358 ,  2.047 ,  473 ,  5.786 ,  180 ,  693 ,  418 ,  270 ,  3 ,  199 ,  5.122 ,  7 ,  -   ,,,,,,,,,,,,,,
SALVADOR BENEDICTO,  5.866 ,  380 ,  2.207 ,  67 ,  69 ,  9 ,  959 ,  1.155 ,  969 ,  13 ,  -   ,  38 ,  -   ,  -   ,,,,,,,,,,,,,,
BACOLOD CITY (Capital),  129.076 ,  14.209 ,  8.678 ,  1.628 ,  7.371 ,  948 ,  1.255 ,  1.785 ,  155 ,  18 ,  11.772 ,  81.000 ,  257 ,  -   ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VII - CENTRAL VISAYAS,  1.699.058 ,  281.479 ,  214.400 ,  25.201 ,  113.215 ,  15.112 ,  90.611 ,  94.428 ,  27.175 ,  12.534 ,  24.951 ,  799.098 ,  854 ,  -   ,,,,,,,,,,,,,,
BOHOL,  288.515 ,  51.970 ,  24.967 ,  3.070 ,  18.909 ,  2.088 ,  31.143 ,  14.145 ,  3.215 ,  6.728 ,  3.978 ,  128.244 ,  58 ,  -   ,,,,,,,,,,,,,,
ALBURQUERQUE,  2.422 ,  456 ,  195 ,  3 ,  54 ,  38 ,  47 ,  5 ,  18 ,  17 ,  6 ,  1.583 ,  -   ,  -   ,,,,,,,,,,,,,,
ALICIA,  5.105 ,  801 ,  1.349 ,  105 ,  962 ,  83 ,  351 ,  128 ,  67 ,  1 ,  3 ,  1.255 ,  -   ,  -   ,,,,,,,,,,,,,,
ANDA,  3.764 ,  1.265 ,  593 ,  2 ,  1 ,  -   ,  40 ,  135 ,  21 ,  127 ,  1 ,  1.579 ,  -   ,  -   ,,,,,,,,,,,,,,
ANTEQUERA,  3.482 ,  639 ,  124 ,  15 ,  281 ,  3 ,  37 ,  562 ,  232 ,  3 ,  1 ,  1.585 ,  -   ,  -   ,,,,,,,,,,,,,,
BACLAYON,  4.397 ,  873 ,  218 ,  -   ,  19 ,  2 ,  -   ,  23 ,  -   ,  298 ,  2 ,  2.962 ,  -   ,  -   ,,,,,,,,,,,,,,
BALILIHAN,  4.084 ,  1.491 ,  175 ,  5 ,  11 ,  2 ,  14 ,  784 ,  570 ,  6 ,  2 ,  1.024 ,  -   ,  -   ,,,,,,,,,,,,,,
BATUAN,  2.853 ,  975 ,  535 ,  55 ,  382 ,  5 ,  5 ,  233 ,  44 ,  6 ,  -   ,  613 ,  -   ,  -   ,,,,,,,,,,,,,,
BILAR,  3.768 ,  1.923 ,  395 ,  34 ,  73 ,  2 ,  49 ,  44 ,  25 ,  5 ,  38 ,  1.180 ,  -   ,  -   ,,,,,,,,,,,,,,
BUENAVISTA,  6.034 ,  450 ,  699 ,  61 ,  380 ,  14 ,  1.601 ,  185 ,  70 ,  219 ,  615 ,  1.740 ,  -   ,  -   ,,,,,,,,,,,,,,
CALAPE,  7.404 ,  1.022 ,  629 ,  19 ,  365 ,  96 ,  21 ,  452 ,  489 ,  74 ,  88 ,  4.149 ,  -   ,  -   ,,,,,,,,,,,,,,
CANDIJAY,  6.771 ,  2.054 ,  1.238 ,  46 ,  514 ,  9 ,  53 ,  594 ,  51 ,  2 ,  -   ,  2.210 ,  -   ,  -   ,,,,,,,,,,,,,,
CARMEN,  10.306 ,  755 ,  1.573 ,  492 ,  1.697 ,  196 ,  1.006 ,  1.163 ,  394 ,  56 ,  55 ,  2.919 ,  -   ,  -   ,,,,,,,,,,,,,,
CATIGBIAN,  5.124 ,  516 ,  216 ,  200 ,  516 ,  13 ,  730 ,  1.358 ,  18 ,  340 ,  5 ,  1.212 ,  -   ,  -   ,,,,,,,,,,,,,,
CLARIN,  4.623 ,  606 ,  772 ,  119 ,  315 ,  7 ,  334 ,  335 ,  23 ,  29 ,  104 ,  1.976 ,  3 ,  -   ,,,,,,,,,,,,,,
CORELLA,  1.908 ,  890 ,  55 ,  1 ,  3 ,  -   ,  4 ,  2 ,  -   ,  -   ,  -   ,  953 ,  -   ,  -   ,,,,,,,,,,,,,,
CORTES,  3.630 ,  945 ,  309 ,  3 ,  25 ,  6 ,  9 ,  209 ,  47 ,  5 ,  2 ,  2.070 ,  -   ,  -   ,,,,,,,,,,,,,,
DAGOHOY,  4.176 ,  107 ,  94 ,  115 ,  720 ,  33 ,  1.368 ,  229 ,  63 ,  46 ,  -   ,  1.401 ,  -   ,  -   ,,,,,,,,,,,,,,
DANAO,  3.921 ,  287 ,  403 ,  31 ,  444 ,  278 ,  872 ,  322 ,  143 ,  10 ,  2 ,  1.129 ,  -   ,  -   ,,,,,,,,,,,,,,
DAUIS,  9.900 ,  1.688 ,  347 ,  17 ,  25 ,  -   ,  15 ,  9 ,  -   ,  123 ,  1 ,  7.675 ,  -   ,  -   ,,,,,,,,,,,,,,
DIMIAO,  3.227 ,  709 ,  374 ,  7 ,  6 ,  1 ,  1 ,  682 ,  93 ,  4 ,  -   ,  1.350 ,  -   ,  -   ,,,,,,,,,,,,,,
DUERO,  4.017 ,  1.193 ,  150 ,  181 ,  283 ,  9 ,  13 ,  312 ,  109 ,  6 ,  -   ,  1.760 ,  1 ,  -   ,,,,,,,,,,,,,,
GARCIA HERNANDEZ,  4.993 ,  2.214 ,  252 ,  2 ,  73 ,  8 ,  2 ,  201 ,  62 ,  3 ,  3 ,  2.172 ,  1 ,  -   ,,,,,,,,,,,,,,
GUINDULMAN,  7.234 ,  3.379 ,  1.016 ,  24 ,  354 ,  183 ,  111 ,  172 ,  77 ,  3 ,  189 ,  1.726 ,  -   ,  -   ,,,,,,,,,,,,,,
INABANGA,  9.896 ,  881 ,  970 ,  193 ,  1.483 ,  47 ,  1.191 ,  427 ,  49 ,  411 ,  348 ,  3.895 ,  1 ,  -   ,,,,,,,,,,,,,,
JAGNA,  7.506 ,  2.278 ,  1.212 ,  19 ,  52 ,  5 ,  5 ,  127 ,  4 ,  1 ,  7 ,  3.796 ,  -   ,  -   ,,,,,,,,,,,,,,
GETAFE,  6.487 ,  173 ,  627 ,  31 ,  699 ,  42 ,  1.079 ,  167 ,  -   ,  262 ,  440 ,  2.967 ,  -   ,  -   ,,,,,,,,,,,,,,
LILA,  2.090 ,  597 ,  456 ,  -   ,  1 ,  -   ,  -   ,  48 ,  -   ,  -   ,  -   ,  988 ,  -   ,  -   ,,,,,,,,,,,,,,
LOAY,  3.578 ,  777 ,  296 ,  54 ,  149 ,  13 ,  9 ,  88 ,  -   ,  -   ,  2 ,  2.190 ,  -   ,  -   ,,,,,,,,,,,,,,
LOBOC,  3.483 ,  750 ,  363 ,  6 ,  31 ,  39 ,  46 ,  137 ,  6 ,  9 ,  7 ,  2.089 ,  -   ,  -   ,,,,,,,,,,,,,,
LOON,  9.952 ,  1.889 ,  905 ,  25 ,  146 ,  30 ,  24 ,  1.143 ,  100 ,  1.247 ,  428 ,  4.005 ,  10 ,  -   ,,,,,,,,,,,,,,
MABINI,  6.254 ,  1.833 ,  821 ,  36 ,  1.270 ,  36 ,  156 ,  603 ,  14 ,  1 ,  4 ,  1.479 ,  1 ,  -   ,,,,,,,,,,,,,,
MARIBOJOC,  4.748 ,  1.716 ,  509 ,  6 ,  28 ,  2 ,  43 ,  180 ,  3 ,  13 ,  2 ,  2.246 ,  -   ,  -   ,,,,,,,,,,,,,,
PANGLAO,  7.020 ,  494 ,  162 ,  30 ,  124 ,  1 ,  220 ,  5 ,  1 ,  105 ,  17 ,  5.861 ,  -   ,  -   ,,,,,,,,,,,,,,
PILAR,  5.975 ,  1.832 ,  1.051 ,  93 ,  836 ,  8 ,  374 ,  359 ,  19 ,  14 ,  3 ,  1.384 ,  2 ,  -   ,,,,,,,,,,,,,,
PRES. CARLOS P. GARCIA (PITOGO),  5.164 ,  15 ,  105 ,  21 ,  9 ,  14 ,  3.593 ,  220 ,  5 ,  351 ,  12 ,  795 ,  24 ,  -   ,,,,,,,,,,,,,,
SAGBAYAN (BORJA),  5.157 ,  1.005 ,  433 ,  137 ,  1.002 ,  80 ,  99 ,  49 ,  18 ,  5 ,  35 ,  2.294 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN ISIDRO,  2.198 ,  496 ,  104 ,  1 ,  3 ,  14 ,  79 ,  781 ,  251 ,  9 ,  -   ,  460 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN MIGUEL,  5.396 ,  53 ,  246 ,  36 ,  387 ,  52 ,  2.557 ,  195 ,  17 ,  47 ,  9 ,  1.796 ,  1 ,  -   ,,,,,,,,,,,,,,
SEVILLA,  2.240 ,  334 ,  60 ,  17 ,  64 ,  5 ,  338 ,  435 ,  55 ,  18 ,  1 ,  913 ,  -   ,  -   ,,,,,,,,,,,,,,
SIERRA BULLONES,  5.412 ,  3.037 ,  576 ,  26 ,  93 ,  16 ,  77 ,  141 ,  27 ,  6 ,  109 ,  1.304 ,  -   ,  -   ,,,,,,,,,,,,,,
SIKATUNA,  1.515 ,  638 ,  60 ,  6 ,  79 ,  1 ,  59 ,  72 ,  -   ,  3 ,  -   ,  597 ,  -   ,  -   ,,,,,,,,,,,,,,
TAGBILARAN CITY (Capital),  21.863 ,  3.368 ,  917 ,  11 ,  73 ,  1 ,  -   ,  19 ,  1 ,  2 ,  29 ,  17.436 ,  6 ,  -   ,,,,,,,,,,,,,,
TALIBON,  14.335 ,  363 ,  192 ,  138 ,  711 ,  230 ,  4.546 ,  17 ,  1 ,  1.329 ,  13 ,  6.793 ,  2 ,  -   ,,,,,,,,,,,,,,
TRINIDAD,  6.857 ,  38 ,  210 ,  35 ,  48 ,  9 ,  3.502 ,  32 ,  -   ,  7 ,  1.195 ,  1.780 ,  1 ,  -   ,,,,,,,,,,,,,,
TUBIGON,  10.356 ,  1.897 ,  1.406 ,  35 ,  728 ,  47 ,  68 ,  568 ,  1 ,  455 ,  140 ,  5.009 ,  2 ,  -   ,,,,,,,,,,,,,,
UBAY,  16.578 ,  544 ,  587 ,  558 ,  3.106 ,  388 ,  5.053 ,  68 ,  25 ,  57 ,  55 ,  6.135 ,  2 ,  -   ,,,,,,,,,,,,,,
VALENCIA,  5.587 ,  1.564 ,  847 ,  12 ,  275 ,  16 ,  5 ,  125 ,  1 ,  29 ,  2 ,  2.710 ,  1 ,  -   ,,,,,,,,,,,,,,
BIEN UNIDO,  5.725 ,  160 ,  141 ,  7 ,  9 ,  4 ,  1.337 ,  -   ,  1 ,  964 ,  3 ,  3.099 ,  -   ,  -   ,,,,,,,,,,,,,,
"CEBU (excluding Cebu, Lapu Lapu and Mandaue City)",  669.322 ,  112.194 ,  101.587 ,  9.342 ,  45.025 ,  6.643 ,  34.513 ,  41.599 ,  9.081 ,  4.602 ,  13.488 ,  291.109 ,  139 ,  -   ,,,,,,,,,,,,,,
ALCANTARA,  3.444 ,  805 ,  556 ,  40 ,  194 ,  303 ,  16 ,  625 ,  17 ,  -   ,  182 ,  706 ,  -   ,  -   ,,,,,,,,,,,,,,
ALCOY,  3.388 ,  765 ,  1.294 ,  1 ,  2 ,  1 ,  26 ,  62 ,  -   ,  166 ,  127 ,  939 ,  5 ,  -   ,,,,,,,,,,,,,,
ALEGRIA,  5.028 ,  880 ,  1.170 ,  52 ,  106 ,  5 ,  9 ,  902 ,  748 ,  42 ,  2 ,  1.112 ,  -   ,  -   ,,,,,,,,,,,,,,
ALOGUINSAN,  6.901 ,  1.591 ,  2.008 ,  86 ,  701 ,  21 ,  851 ,  220 ,  159 ,  37 ,  4 ,  1.220 ,  3 ,  -   ,,,,,,,,,,,,,,
ARGAO,  16.574 ,  3.850 ,  1.610 ,  338 ,  736 ,  47 ,  147 ,  3.269 ,  862 ,  7 ,  122 ,  5.586 ,  -   ,  -   ,,,,,,,,,,,,,,
ASTURIAS,  10.222 ,  1.919 ,  1.853 ,  169 ,  1.919 ,  40 ,  346 ,  642 ,  44 ,  24 ,  131 ,  3.135 ,  -   ,  -   ,,,,,,,,,,,,,,
BADIAN,  8.218 ,  2.024 ,  3.790 ,  84 ,  412 ,  4 ,  39 ,  572 ,  195 ,  3 ,  94 ,  999 ,  2 ,  -   ,,,,,,,,,,,,,,
BALAMBAN,  19.614 ,  4.506 ,  2.956 ,  459 ,  2.414 ,  448 ,  341 ,  1.693 ,  409 ,  54 ,  161 ,  6.173 ,  -   ,  -   ,,,,,,,,,,,,,,
BANTAYAN,  18.494 ,  2.039 ,  2.623 ,  65 ,  202 ,  97 ,  2.878 ,  163 ,  -   ,  1.308 ,  2.309 ,  6.806 ,  4 ,  -   ,,,,,,,,,,,,,,
BARILI,  15.778 ,  3.898 ,  4.539 ,  109 ,  651 ,  289 ,  1.304 ,  922 ,  670 ,  57 ,  191 ,  3.148 ,  -   ,  -   ,,,,,,,,,,,,,,
CITY OF BOGO,  19.360 ,  3.387 ,  4.171 ,  74 ,  1.668 ,  119 ,  1.134 ,  56 ,  12 ,  38 ,  368 ,  8.299 ,  34 ,  -   ,,,,,,,,,,,,,,
BOLJOON,  3.374 ,  1.144 ,  610 ,  2 ,  156 ,  18 ,  26 ,  286 ,  -   ,  137 ,  58 ,  937 ,  -   ,  -   ,,,,,,,,,,,,,,
BORBON,  8.420 ,  1.148 ,  1.192 ,  20 ,  621 ,  36 ,  1.047 ,  178 ,  649 ,  20 ,  515 ,  2.990 ,  4 ,  -   ,,,,,,,,,,,,,,
CITY OF CARCAR,  27.149 ,  7.229 ,  4.514 ,  315 ,  1.486 ,  248 ,  650 ,  1.869 ,  736 ,  13 ,  511 ,  9.578 ,  -   ,  -   ,,,,,,,,,,,,,,
CARMEN,  11.265 ,  2.087 ,  1.839 ,  225 ,  1.520 ,  510 ,  189 ,  512 ,  97 ,  16 ,  7 ,  4.262 ,  1 ,  -   ,,,,,,,,,,,,,,
CATMON,  6.940 ,  1.545 ,  1.529 ,  75 ,  452 ,  38 ,  643 ,  405 ,  146 ,  101 ,  55 ,  1.951 ,  -   ,  -   ,,,,,,,,,,,,,,
COMPOSTELA,  10.880 ,  495 ,  307 ,  110 ,  1.296 ,  57 ,  404 ,  653 ,  55 ,  1 ,  153 ,  7.345 ,  4 ,  -   ,,,,,,,,,,,,,,
CONSOLACION,  30.625 ,  1.891 ,  2.109 ,  90 ,  536 ,  15 ,  480 ,  115 ,  2 ,  5 ,  485 ,  24.894 ,  3 ,  -   ,,,,,,,,,,,,,,
CORDOVA,  13.324 ,  227 ,  267 ,  346 ,  486 ,  41 ,  471 ,  535 ,  1 ,  71 ,  129 ,  10.750 ,  -   ,  -   ,,,,,,,,,,,,,,
DAANBANTAYAN,  19.790 ,  2.188 ,  2.748 ,  321 ,  2.472 ,  116 ,  2.620 ,  373 ,  2 ,  208 ,  20 ,  8.719 ,  3 ,  -   ,,,,,,,,,,,,,,
DALAGUETE,  14.433 ,  3.069 ,  2.080 ,  51 ,  156 ,  2 ,  95 ,  3.168 ,  763 ,  203 ,  467 ,  4.378 ,  1 ,  -   ,,,,,,,,,,,,,,
DANAO CITY,  31.611 ,  2.906 ,  4.062 ,  296 ,  1.395 ,  77 ,  1.386 ,  1.079 ,  510 ,  23 ,  209 ,  19.668 ,  -   ,  -   ,,,,,,,,,,,,,,
DUMANJUG,  10.960 ,  4.350 ,  2.106 ,  45 ,  499 ,  131 ,  110 ,  688 ,  156 ,  1 ,  116 ,  2.710 ,  48 ,  -   ,,,,,,,,,,,,,,
GINATILAN,  3.380 ,  1.535 ,  720 ,  48 ,  131 ,  1 ,  38 ,  175 ,  162 ,  -   ,  6 ,  564 ,  -   ,  -   ,,,,,,,,,,,,,,
LILOAN,  27.847 ,  1.207 ,  1.014 ,  445 ,  1.356 ,  20 ,  37 ,  224 ,  26 ,  1 ,  721 ,  22.793 ,  3 ,  -   ,,,,,,,,,,,,,,
MADRIDEJOS,  8.113 ,  955 ,  2.155 ,  64 ,  205 ,  14 ,  465 ,  6 ,  -   ,  -   ,  72 ,  4.171 ,  6 ,  -   ,,,,,,,,,,,,,,
MALABUYOC,  3.817 ,  1.375 ,  685 ,  180 ,  287 ,  68 ,  125 ,  241 ,  403 ,  11 ,  82 ,  360 ,  -   ,  -   ,,,,,,,,,,,,,,
MEDELLIN,  12.836 ,  1.338 ,  2.057 ,  70 ,  382 ,  46 ,  284 ,  69 ,  38 ,  4 ,  488 ,  8.060 ,  -   ,  -   ,,,,,,,,,,,,,,
MINGLANILLA,  30.599 ,  3.855 ,  2.132 ,  954 ,  1.798 ,  202 ,  271 ,  1.845 ,  1 ,  3 ,  404 ,  19.134 ,  -   ,  -   ,,,,,,,,,,,,,,
MOALBOAL,  7.284 ,  1.820 ,  1.008 ,  31 ,  160 ,  180 ,  15 ,  1.211 ,  299 ,  8 ,  197 ,  2.355 ,  -   ,  -   ,,,,,,,,,,,,,,
CITY OF NAGA,  26.177 ,  2.008 ,  1.837 ,  725 ,  3.188 ,  748 ,  2.369 ,  3.130 ,  144 ,  178 ,  32 ,  11.814 ,  4 ,  -   ,,,,,,,,,,,,,,
OSLOB,  5.998 ,  3.012 ,  1.792 ,  65 ,  216 ,  2 ,  20 ,  379 ,  93 ,  18 ,  3 ,  398 ,  -   ,  -   ,,,,,,,,,,,,,,
PILAR,  2.989 ,  869 ,  1.816 ,  -   ,  1 ,  -   ,  1 ,  -   ,  -   ,  -   ,  4 ,  298 ,  -   ,  -   ,,,,,,,,,,,,,,
PINAMUNGAHAN,  13.874 ,  3.378 ,  2.044 ,  38 ,  417 ,  77 ,  1.844 ,  2.537 ,  236 ,  8 ,  211 ,  3.084 ,  -   ,  -   ,,,,,,,,,,,,,,
PORO,  6.104 ,  2.859 ,  1.931 ,  34 ,  232 ,  43 ,  32 ,  620 ,  39 ,  2 ,  87 ,  225 ,  -   ,  -   ,,,,,,,,,,,,,,
RONDA,  4.823 ,  1.096 ,  1.307 ,  51 ,  205 ,  101 ,  102 ,  514 ,  337 ,  1 ,  132 ,  977 ,  -   ,  -   ,,,,,,,,,,,,,,
SAMBOAN,  4.510 ,  3.556 ,  424 ,  1 ,  63 ,  -   ,  28 ,  94 ,  51 ,  5 ,  10 ,  278 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN FERNANDO,  14.258 ,  2.774 ,  2.638 ,  207 ,  2.133 ,  118 ,  468 ,  941 ,  14 ,  252 ,  1.190 ,  3.523 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN FRANCISCO,  12.278 ,  4.166 ,  4.717 ,  57 ,  512 ,  65 ,  224 ,  44 ,  184 ,  94 ,  1.159 ,  1.056 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN REMIGIO,  14.470 ,  1.416 ,  3.208 ,  102 ,  680 ,  220 ,  1.515 ,  569 ,  111 ,  -   ,  309 ,  6.340 ,  -   ,  -   ,,,,,,,,,,,,,,
SANTA FE,  6.779 ,  143 ,  1.518 ,  66 ,  654 ,  26 ,  648 ,  49 ,  -   ,  463 ,  346 ,  2.860 ,  6 ,  -   ,,,,,,,,,,,,,,
SANTANDER,  4.256 ,  1.718 ,  1.016 ,  5 ,  30 ,  10 ,  124 ,  28 ,  10 ,  70 ,  3 ,  1.242 ,  -   ,  -   ,,,,,,,,,,,,,,
SIBONGA,  11.350 ,  1.875 ,  1.542 ,  321 ,  762 ,  33 ,  898 ,  1.857 ,  44 ,  33 ,  107 ,  3.876 ,  2 ,  -   ,,,,,,,,,,,,,,
SOGOD,  8.452 ,  818 ,  1.450 ,  17 ,  253 ,  19 ,  1.766 ,  489 ,  85 ,  73 ,  475 ,  3.007 ,  -   ,  -   ,,,,,,,,,,,,,,
TABOGON,  9.628 ,  2.913 ,  2.177 ,  20 ,  845 ,  4 ,  351 ,  56 ,  1 ,  88 ,  3 ,  3.170 ,  -   ,  -   ,,,,,,,,,,,,,,
TABUELAN,  6.415 ,  1.586 ,  1.990 ,  2 ,  54 ,  65 ,  32 ,  85 ,  -   ,  47 ,  184 ,  2.370 ,  -   ,  -   ,,,,,,,,,,,,,,
CITY OF TALISAY,  51.239 ,  4.997 ,  4.807 ,  1.631 ,  3.825 ,  478 ,  728 ,  1.284 ,  12 ,  10 ,  127 ,  33.340 ,  -   ,  -   ,,,,,,,,,,,,,,
TOLEDO CITY,  38.259 ,  4.192 ,  3.585 ,  547 ,  3.842 ,  1.037 ,  4.936 ,  5.290 ,  326 ,  39 ,  619 ,  13.840 ,  6 ,  -   ,,,,,,,,,,,,,,
TUBURAN,  15.028 ,  1.577 ,  1.373 ,  271 ,  2.318 ,  396 ,  1.899 ,  833 ,  231 ,  659 ,  101 ,  5.370 ,  -   ,  -   ,,,,,,,,,,,,,,
TUDELA,  2.767 ,  1.213 ,  711 ,  17 ,  396 ,  7 ,  81 ,  42 ,  1 ,  -   ,  -   ,  299 ,  -   ,  -   ,,,,,,,,,,,,,,
