,city,region_name,province,Own use faucet community water system_count,Shared faucet community water system_count,Own use tubed/piped deep well_count,Shared tubed/piped deep well_count,Tubed/piped shallow well_count,Dug well_count,Protected spring_count,Unprotected spring_count,"Lake, river, rain and others_count",Peddler_count,Bottled water_count,Others_count,Not Reported_count,year
10166,TOBOSO,REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),676.0,2774.0,310.0,2308.0,198.0,1165.0,1065.0,63.0,136.0,11.0,1039.0,,,2015
10179,VALLADOLID,REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),745.0,936.0,334.0,3402.0,709.0,31.0,5.0,1.0,,47.0,2676.0,1.0,,2015
10192,CITY OF VICTORIAS,REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),4358.0,2047.0,473.0,5786.0,180.0,693.0,418.0,270.0,3.0,199.0,5122.0,7.0,,2015
10205,SALVADOR BENEDICTO,REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),380.0,2207.0,67.0,69.0,9.0,959.0,1155.0,969.0,13.0,,38.0,,,2015
10218,BACOLOD CITY (Capital),REGION VI (Western Visayas),NEGROS OCCIDENTAL (excluding Bacolod City),14209.0,8678.0,1628.0,7371.0,948.0,1255.0,1785.0,155.0,18.0,11772.0,81000.0,257.0,,2015
10231,ALBURQUERQUE,REGION VII (Central Visayas),BOHOL,456.0,195.0,3.0,54.0,38.0,47.0,5.0,18.0,17.0,6.0,1583.0,,,2015
10244,ALICIA,REGION VII (Central Visayas),BOHOL,801.0,1349.0,105.0,962.0,83.0,351.0,128.0,67.0,1.0,3.0,1255.0,,,2015
10257,ANDA,REGION VII (Central Visayas),BOHOL,1265.0,593.0,2.0,1.0,,40.0,135.0,21.0,127.0,1.0,1579.0,,,2015
10270,ANTEQUERA,REGION VII (Central Visayas),BOHOL,639.0,124.0,15.0,281.0,3.0,37.0,562.0,232.0,3.0,1.0,1585.0,,,2015
10283,BACLAYON,REGION VII (Central Visayas),BOHOL,873.0,218.0,,19.0,2.0,,23.0,,298.0,2.0,2962.0,,,2015
10296,BALILIHAN,REGION VII (Central Visayas),BOHOL,1491.0,175.0,5.0,11.0,2.0,14.0,784.0,570.0,6.0,2.0,1024.0,,,2015
10309,BATUAN,REGION VII (Central Visayas),BOHOL,975.0,535.0,55.0,382.0,5.0,5.0,233.0,44.0,6.0,,613.0,,,2015
10322,BILAR,REGION VII (Central Visayas),BOHOL,1923.0,395.0,34.0,73.0,2.0,49.0,44.0,25.0,5.0,38.0,1180.0,,,2015
10335,BUENAVISTA,REGION VII (Central Visayas),BOHOL,450.0,699.0,61.0,380.0,14.0,1601.0,185.0,70.0,219.0,615.0,1740.0,,,2015
10348,CALAPE,REGION VII (Central Visayas),BOHOL,1022.0,629.0,19.0,365.0,96.0,21.0,452.0,489.0,74.0,88.0,4149.0,,,2015
10361,CANDIJAY,REGION VII (Central Visayas),BOHOL,2054.0,1238.0,46.0,514.0,9.0,53.0,594.0,51.0,2.0,,2210.0,,,2015
10374,CARMEN,REGION VII (Central Visayas),BOHOL,755.0,1573.0,492.0,1697.0,196.0,1006.0,1163.0,394.0,56.0,55.0,2919.0,,,2015
10387,CATIGBIAN,REGION VII (Central Visayas),BOHOL,516.0,216.0,200.0,516.0,13.0,730.0,1358.0,18.0,340.0,5.0,1212.0,,,2015
10400,CLARIN,REGION VII (Central Visayas),BOHOL,606.0,772.0,119.0,315.0,7.0,334.0,335.0,23.0,29.0,104.0,1976.0,3.0,,2015
10413,CORELLA,REGION VII (Central Visayas),BOHOL,890.0,55.0,1.0,3.0,,4.0,2.0,,,,953.0,,,2015
10426,CORTES,REGION VII (Central Visayas),BOHOL,945.0,309.0,3.0,25.0,6.0,9.0,209.0,47.0,5.0,2.0,2070.0,,,2015
10439,DAGOHOY,REGION VII (Central Visayas),BOHOL,107.0,94.0,115.0,720.0,33.0,1368.0,229.0,63.0,46.0,,1401.0,,,2015
10452,DANAO,REGION VII (Central Visayas),BOHOL,287.0,403.0,31.0,444.0,278.0,872.0,322.0,143.0,10.0,2.0,1129.0,,,2015
10465,DAUIS,REGION VII (Central Visayas),BOHOL,1688.0,347.0,17.0,25.0,,15.0,9.0,,123.0,1.0,7675.0,,,2015
10478,DIMIAO,REGION VII (Central Visayas),BOHOL,709.0,374.0,7.0,6.0,1.0,1.0,682.0,93.0,4.0,,1350.0,,,2015
10491,DUERO,REGION VII (Central Visayas),BOHOL,1193.0,150.0,181.0,283.0,9.0,13.0,312.0,109.0,6.0,,1760.0,1.0,,2015
10504,GARCIA HERNANDEZ,REGION VII (Central Visayas),BOHOL,2214.0,252.0,2.0,73.0,8.0,2.0,201.0,62.0,3.0,3.0,2172.0,1.0,,2015
10517,GUINDULMAN,REGION VII (Central Visayas),BOHOL,3379.0,1016.0,24.0,354.0,183.0,111.0,172.0,77.0,3.0,189.0,1726.0,,,2015
10530,INABANGA,REGION VII (Central Visayas),BOHOL,881.0,970.0,193.0,1483.0,47.0,1191.0,427.0,49.0,411.0,348.0,3895.0,1.0,,2015
10543,JAGNA,REGION VII (Central Visayas),BOHOL,2278.0,1212.0,19.0,52.0,5.0,5.0,127.0,4.0,1.0,7.0,3796.0,,,2015
10556,GETAFE,REGION VII (Central Visayas),BOHOL,173.0,627.0,31.0,699.0,42.0,1079.0,167.0,,262.0,440.0,2967.0,,,2015
10569,LILA,REGION VII (Central Visayas),BOHOL,597.0,456.0,,1.0,,,48.0,,,,988.0,,,2015
10582,LOAY,REGION VII (Central Visayas),BOHOL,777.0,296.0,54.0,149.0,13.0,9.0,88.0,,,2.0,2190.0,,,2015
10595,LOBOC,REGION VII (Central Visayas),BOHOL,750.0,363.0,6.0,31.0,39.0,46.0,137.0,6.0,9.0,7.0,2089.0,,,2015
10608,LOON,REGION VII (Central Visayas),BOHOL,1889.0,905.0,25.0,146.0,30.0,24.0,1143.0,100.0,1247.0,428.0,4005.0,10.0,,2015
10621,MABINI,REGION VII (Central Visayas),BOHOL,1833.0,821.0,36.0,1270.0,36.0,156.0,603.0,14.0,1.0,4.0,1479.0,1.0,,2015
10634,MARIBOJOC,REGION VII (Central Visayas),BOHOL,1716.0,509.0,6.0,28.0,2.0,43.0,180.0,3.0,13.0,2.0,2246.0,,,2015
10647,PANGLAO,REGION VII (Central Visayas),BOHOL,494.0,162.0,30.0,124.0,1.0,220.0,5.0,1.0,105.0,17.0,5861.0,,,2015
10660,PILAR,REGION VII (Central Visayas),BOHOL,1832.0,1051.0,93.0,836.0,8.0,374.0,359.0,19.0,14.0,3.0,1384.0,2.0,,2015
10673,PRES. CARLOS P. GARCIA (PITOGO),REGION VII (Central Visayas),BOHOL,15.0,105.0,21.0,9.0,14.0,3593.0,220.0,5.0,351.0,12.0,795.0,24.0,,2015
10686,SAGBAYAN (BORJA),REGION VII (Central Visayas),BOHOL,1005.0,433.0,137.0,1002.0,80.0,99.0,49.0,18.0,5.0,35.0,2294.0,,,2015
10699,SAN ISIDRO,REGION VII (Central Visayas),BOHOL,496.0,104.0,1.0,3.0,14.0,79.0,781.0,251.0,9.0,,460.0,,,2015
10712,SAN MIGUEL,REGION VII (Central Visayas),BOHOL,53.0,246.0,36.0,387.0,52.0,2557.0,195.0,17.0,47.0,9.0,1796.0,1.0,,2015
10725,SEVILLA,REGION VII (Central Visayas),BOHOL,334.0,60.0,17.0,64.0,5.0,338.0,435.0,55.0,18.0,1.0,913.0,,,2015
10738,SIERRA BULLONES,REGION VII (Central Visayas),BOHOL,3037.0,576.0,26.0,93.0,16.0,77.0,141.0,27.0,6.0,109.0,1304.0,,,2015
10751,SIKATUNA,REGION VII (Central Visayas),BOHOL,638.0,60.0,6.0,79.0,1.0,59.0,72.0,,3.0,,597.0,,,2015
10764,TAGBILARAN CITY (Capital),REGION VII (Central Visayas),BOHOL,3368.0,917.0,11.0,73.0,1.0,,19.0,1.0,2.0,29.0,17436.0,6.0,,2015
10777,TALIBON,REGION VII (Central Visayas),BOHOL,363.0,192.0,138.0,711.0,230.0,4546.0,17.0,1.0,1329.0,13.0,6793.0,2.0,,2015
10790,TRINIDAD,REGION VII (Central Visayas),BOHOL,38.0,210.0,35.0,48.0,9.0,3502.0,32.0,,7.0,1195.0,1780.0,1.0,,2015
10803,TUBIGON,REGION VII (Central Visayas),BOHOL,1897.0,1406.0,35.0,728.0,47.0,68.0,568.0,1.0,455.0,140.0,5009.0,2.0,,2015
10816,UBAY,REGION VII (Central Visayas),BOHOL,544.0,587.0,558.0,3106.0,388.0,5053.0,68.0,25.0,57.0,55.0,6135.0,2.0,,2015
10829,VALENCIA,REGION VII (Central Visayas),BOHOL,1564.0,847.0,12.0,275.0,16.0,5.0,125.0,1.0,29.0,2.0,2710.0,1.0,,2015
10842,BIEN UNIDO,REGION VII (Central Visayas),BOHOL,160.0,141.0,7.0,9.0,4.0,1337.0,,1.0,964.0,3.0,3099.0,,,2015
10855,"CEBU (excluding Cebu, Lapu Lapu and Mandaue City)",REGION VII (Central Visayas),BOHOL,112194.0,101587.0,9342.0,45025.0,6643.0,34513.0,41599.0,9081.0,4602.0,13488.0,291109.0,139.0,,2015
10868,ALCANTARA,REGION VII (Central Visayas),BOHOL,805.0,556.0,40.0,194.0,303.0,16.0,625.0,17.0,,182.0,706.0,,,2015
10881,ALCOY,REGION VII (Central Visayas),BOHOL,765.0,1294.0,1.0,2.0,1.0,26.0,62.0,,166.0,127.0,939.0,5.0,,2015
10894,ALEGRIA,REGION VII (Central Visayas),BOHOL,880.0,1170.0,52.0,106.0,5.0,9.0,902.0,748.0,42.0,2.0,1112.0,,,2015
10907,ALOGUINSAN,REGION VII (Central Visayas),BOHOL,1591.0,2008.0,86.0,701.0,21.0,851.0,220.0,159.0,37.0,4.0,1220.0,3.0,,2015
10920,ARGAO,REGION VII (Central Visayas),BOHOL,3850.0,1610.0,338.0,736.0,47.0,147.0,3269.0,862.0,7.0,122.0,5586.0,,,2015
10933,ASTURIAS,REGION VII (Central Visayas),BOHOL,1919.0,1853.0,169.0,1919.0,40.0,346.0,642.0,44.0,24.0,131.0,3135.0,,,2015
10946,BADIAN,REGION VII (Central Visayas),BOHOL,2024.0,3790.0,84.0,412.0,4.0,39.0,572.0,195.0,3.0,94.0,999.0,2.0,,2015
10959,BALAMBAN,REGION VII (Central Visayas),BOHOL,4506.0,2956.0,459.0,2414.0,448.0,341.0,1693.0,409.0,54.0,161.0,6173.0,,,2015
10972,BANTAYAN,REGION VII (Central Visayas),BOHOL,2039.0,2623.0,65.0,202.0,97.0,2878.0,163.0,,1308.0,2309.0,6806.0,4.0,,2015
10985,BARILI,REGION VII (Central Visayas),BOHOL,3898.0,4539.0,109.0,651.0,289.0,1304.0,922.0,670.0,57.0,191.0,3148.0,,,2015
10998,CITY OF BOGO,REGION VII (Central Visayas),BOHOL,3387.0,4171.0,74.0,1668.0,119.0,1134.0,56.0,12.0,38.0,368.0,8299.0,34.0,,2015
11011,BOLJOON,REGION VII (Central Visayas),BOHOL,1144.0,610.0,2.0,156.0,18.0,26.0,286.0,,137.0,58.0,937.0,,,2015
11024,BORBON,REGION VII (Central Visayas),BOHOL,1148.0,1192.0,20.0,621.0,36.0,1047.0,178.0,649.0,20.0,515.0,2990.0,4.0,,2015
11037,CITY OF CARCAR,REGION VII (Central Visayas),BOHOL,7229.0,4514.0,315.0,1486.0,248.0,650.0,1869.0,736.0,13.0,511.0,9578.0,,,2015
11050,CATMON,REGION VII (Central Visayas),BOHOL,1545.0,1529.0,75.0,452.0,38.0,643.0,405.0,146.0,101.0,55.0,1951.0,,,2015
11063,COMPOSTELA,REGION VII (Central Visayas),BOHOL,495.0,307.0,110.0,1296.0,57.0,404.0,653.0,55.0,1.0,153.0,7345.0,4.0,,2015
11076,CONSOLACION,REGION VII (Central Visayas),BOHOL,1891.0,2109.0,90.0,536.0,15.0,480.0,115.0,2.0,5.0,485.0,24894.0,3.0,,2015
11089,CORDOVA,REGION VII (Central Visayas),BOHOL,227.0,267.0,346.0,486.0,41.0,471.0,535.0,1.0,71.0,129.0,10750.0,,,2015
11102,DAANBANTAYAN,REGION VII (Central Visayas),BOHOL,2188.0,2748.0,321.0,2472.0,116.0,2620.0,373.0,2.0,208.0,20.0,8719.0,3.0,,2015
11115,DALAGUETE,REGION VII (Central Visayas),BOHOL,3069.0,2080.0,51.0,156.0,2.0,95.0,3168.0,763.0,203.0,467.0,4378.0,1.0,,2015
11128,DANAO CITY,REGION VII (Central Visayas),BOHOL,2906.0,4062.0,296.0,1395.0,77.0,1386.0,1079.0,510.0,23.0,209.0,19668.0,,,2015
11141,DUMANJUG,REGION VII (Central Visayas),BOHOL,4350.0,2106.0,45.0,499.0,131.0,110.0,688.0,156.0,1.0,116.0,2710.0,48.0,,2015
11154,GINATILAN,REGION VII (Central Visayas),BOHOL,1535.0,720.0,48.0,131.0,1.0,38.0,175.0,162.0,,6.0,564.0,,,2015
11167,LILOAN,REGION VII (Central Visayas),BOHOL,1207.0,1014.0,445.0,1356.0,20.0,37.0,224.0,26.0,1.0,721.0,22793.0,3.0,,2015
11180,MADRIDEJOS,REGION VII (Central Visayas),BOHOL,955.0,2155.0,64.0,205.0,14.0,465.0,6.0,,,72.0,4171.0,6.0,,2015
11193,MALABUYOC,REGION VII (Central Visayas),BOHOL,1375.0,685.0,180.0,287.0,68.0,125.0,241.0,403.0,11.0,82.0,360.0,,,2015
11206,MEDELLIN,REGION VII (Central Visayas),BOHOL,1338.0,2057.0,70.0,382.0,46.0,284.0,69.0,38.0,4.0,488.0,8060.0,,,2015
11219,MINGLANILLA,REGION VII (Central Visayas),BOHOL,3855.0,2132.0,954.0,1798.0,202.0,271.0,1845.0,1.0,3.0,404.0,19134.0,,,2015
11232,MOALBOAL,REGION VII (Central Visayas),BOHOL,1820.0,1008.0,31.0,160.0,180.0,15.0,1211.0,299.0,8.0,197.0,2355.0,,,2015
11245,CITY OF NAGA,REGION VII (Central Visayas),BOHOL,2008.0,1837.0,725.0,3188.0,748.0,2369.0,3130.0,144.0,178.0,32.0,11814.0,4.0,,2015
11258,OSLOB,REGION VII (Central Visayas),BOHOL,3012.0,1792.0,65.0,216.0,2.0,20.0,379.0,93.0,18.0,3.0,398.0,,,2015
11271,PINAMUNGAHAN,REGION VII (Central Visayas),BOHOL,3378.0,2044.0,38.0,417.0,77.0,1844.0,2537.0,236.0,8.0,211.0,3084.0,,,2015
11284,PORO,REGION VII (Central Visayas),BOHOL,2859.0,1931.0,34.0,232.0,43.0,32.0,620.0,39.0,2.0,87.0,225.0,,,2015
11297,RONDA,REGION VII (Central Visayas),BOHOL,1096.0,1307.0,51.0,205.0,101.0,102.0,514.0,337.0,1.0,132.0,977.0,,,2015
11310,SAMBOAN,REGION VII (Central Visayas),BOHOL,3556.0,424.0,1.0,63.0,,28.0,94.0,51.0,5.0,10.0,278.0,,,2015
11323,SAN FERNANDO,REGION VII (Central Visayas),BOHOL,2774.0,2638.0,207.0,2133.0,118.0,468.0,941.0,14.0,252.0,1190.0,3523.0,,,2015
11336,SAN FRANCISCO,REGION VII (Central Visayas),BOHOL,4166.0,4717.0,57.0,512.0,65.0,224.0,44.0,184.0,94.0,1159.0,1056.0,,,2015
11349,SAN REMIGIO,REGION VII (Central Visayas),BOHOL,1416.0,3208.0,102.0,680.0,220.0,1515.0,569.0,111.0,,309.0,6340.0,,,2015
11362,SANTA FE,REGION VII (Central Visayas),BOHOL,143.0,1518.0,66.0,654.0,26.0,648.0,49.0,,463.0,346.0,2860.0,6.0,,2015
11375,SANTANDER,REGION VII (Central Visayas),BOHOL,1718.0,1016.0,5.0,30.0,10.0,124.0,28.0,10.0,70.0,3.0,1242.0,,,2015
11388,SIBONGA,REGION VII (Central Visayas),BOHOL,1875.0,1542.0,321.0,762.0,33.0,898.0,1857.0,44.0,33.0,107.0,3876.0,2.0,,2015
11401,SOGOD,REGION VII (Central Visayas),BOHOL,818.0,1450.0,17.0,253.0,19.0,1766.0,489.0,85.0,73.0,475.0,3007.0,,,2015
11414,TABOGON,REGION VII (Central Visayas),BOHOL,2913.0,2177.0,20.0,845.0,4.0,351.0,56.0,1.0,88.0,3.0,3170.0,,,2015
11427,TABUELAN,REGION VII (Central Visayas),BOHOL,1586.0,1990.0,2.0,54.0,65.0,32.0,85.0,,47.0,184.0,2370.0,,,2015
11440,CITY OF TALISAY,REGION VII (Central Visayas),BOHOL,4997.0,4807.0,1631.0,3825.0,478.0,728.0,1284.0,12.0,10.0,127.0,33340.0,,,2015
11453,TOLEDO CITY,REGION VII (Central Visayas),BOHOL,4192.0,3585.0,547.0,3842.0,1037.0,4936.0,5290.0,326.0,39.0,619.0,13840.0,6.0,,2015
11466,TUBURAN,REGION VII (Central Visayas),BOHOL,1577.0,1373.0,271.0,2318.0,396.0,1899.0,833.0,231.0,659.0,101.0,5370.0,,,2015
11479,TUDELA,REGION VII (Central Visayas),BOHOL,1213.0,711.0,17.0,396.0,7.0,81.0,42.0,1.0,,,299.0,,,2015
11492,CEBU CITY (Capital),REGION VII (Central Visayas),BOHOL,24843.0,15378.0,1670.0,5075.0,483.0,1165.0,8011.0,1222.0,201.0,1768.0,153647.0,275.0,,2015
11505,LAPU-LAPU CITY (OPON),REGION VII (Central Visayas),BOHOL,1570.0,2358.0,767.0,2754.0,739.0,702.0,104.0,7.0,767.0,1650.0,88150.0,5.0,,2015
11518,MANDAUE CITY,REGION VII (Central Visayas),BOHOL,4023.0,4805.0,417.0,1054.0,26.0,9.0,162.0,,,792.0,83244.0,15.0,,2015
11531,ENRIQUE VILLANUEVA,REGION VII (Central Visayas),SIQUIJOR,386.0,703.0,3.0,18.0,2.0,2.0,5.0,1.0,3.0,31.0,322.0,,,2015
11544,LARENA,REGION VII (Central Visayas),SIQUIJOR,1134.0,683.0,3.0,34.0,,22.0,183.0,16.0,2.0,1.0,1037.0,,,2015
11557,LAZI,REGION VII (Central Visayas),SIQUIJOR,959.0,2070.0,32.0,333.0,62.0,159.0,253.0,175.0,3.0,6.0,959.0,,,2015
11570,MARIA,REGION VII (Central Visayas),SIQUIJOR,617.0,860.0,19.0,630.0,51.0,82.0,48.0,29.0,2.0,3.0,823.0,,,2015
11583,SAN JUAN,REGION VII (Central Visayas),SIQUIJOR,781.0,1499.0,39.0,533.0,4.0,2.0,121.0,,,22.0,578.0,,,2015
11596,SIQUIJOR (Capital),REGION VII (Central Visayas),SIQUIJOR,2660.0,1745.0,18.0,367.0,1.0,33.0,155.0,23.0,1.0,68.0,1321.0,,,2015
11609,AMLAN (AYUQUITAN),REGION VII (Central Visayas),NEGROS ORIENTAL,2855.0,1143.0,31.0,261.0,24.0,21.0,107.0,,,46.0,1037.0,,,2015
11622,AYUNGON,REGION VII (Central Visayas),NEGROS ORIENTAL,3986.0,3807.0,104.0,593.0,71.0,290.0,998.0,534.0,,36.0,154.0,,,2015
11635,BACONG,REGION VII (Central Visayas),NEGROS ORIENTAL,4810.0,1398.0,70.0,511.0,10.0,15.0,5.0,,,6.0,1438.0,2.0,,2015
11648,BAIS CITY,REGION VII (Central Visayas),NEGROS ORIENTAL,5035.0,3903.0,607.0,2577.0,383.0,1130.0,2144.0,330.0,,186.0,1361.0,37.0,,2015
11661,BASAY,REGION VII (Central Visayas),NEGROS ORIENTAL,155.0,1235.0,158.0,1056.0,522.0,561.0,448.0,436.0,,557.0,842.0,1.0,,2015
11674,CITY OF BAYAWAN (TULONG),REGION VII (Central Visayas),NEGROS ORIENTAL,2198.0,4382.0,801.0,3166.0,435.0,3692.0,2597.0,2327.0,,175.0,5819.0,54.0,,2015
11687,BINDOY (PAYABON),REGION VII (Central Visayas),NEGROS ORIENTAL,3089.0,2954.0,257.0,226.0,211.0,87.0,559.0,987.0,,57.0,269.0,6.0,,2015
11700,CANLAON CITY,REGION VII (Central Visayas),NEGROS ORIENTAL,3465.0,2410.0,409.0,1328.0,267.0,671.0,2097.0,816.0,12.0,103.0,1111.0,3.0,,2015
11713,DAUIN,REGION VII (Central Visayas),NEGROS ORIENTAL,2806.0,1522.0,80.0,241.0,141.0,109.0,1.0,10.0,,173.0,1397.0,40.0,,2015
11726,DUMAGUETE CITY (Capital),REGION VII (Central Visayas),NEGROS ORIENTAL,17008.0,2933.0,267.0,927.0,54.0,32.0,176.0,5.0,,220.0,8036.0,92.0,,2015
11739,CITY OF GUIHULNGAN,REGION VII (Central Visayas),NEGROS ORIENTAL,1347.0,5075.0,782.0,3764.0,429.0,1667.0,3726.0,1389.0,,221.0,4087.0,7.0,,2015
11752,JIMALALUD,REGION VII (Central Visayas),NEGROS ORIENTAL,257.0,846.0,228.0,1318.0,80.0,1225.0,1859.0,540.0,,52.0,783.0,3.0,,2015
11765,LA LIBERTAD,REGION VII (Central Visayas),NEGROS ORIENTAL,1740.0,1852.0,1143.0,1541.0,193.0,640.0,961.0,264.0,18.0,126.0,672.0,14.0,,2015
11778,MABINAY,REGION VII (Central Visayas),NEGROS ORIENTAL,1696.0,3977.0,758.0,3889.0,629.0,4213.0,757.0,565.0,,49.0,1171.0,5.0,,2015
11791,MANJUYOD,REGION VII (Central Visayas),NEGROS ORIENTAL,2250.0,1566.0,511.0,897.0,164.0,262.0,2651.0,23.0,1.0,268.0,1349.0,1.0,,2015
11804,PAMPLONA,REGION VII (Central Visayas),NEGROS ORIENTAL,3232.0,1275.0,120.0,802.0,2.0,1479.0,1023.0,125.0,,73.0,583.0,,,2015
11817,SAN JOSE,REGION VII (Central Visayas),NEGROS ORIENTAL,2031.0,1448.0,70.0,515.0,14.0,78.0,4.0,,,4.0,443.0,,,2015
11830,SANTA CATALINA,REGION VII (Central Visayas),NEGROS ORIENTAL,1352.0,3164.0,580.0,3030.0,409.0,1773.0,1512.0,1759.0,193.0,161.0,2916.0,24.0,,2015
11843,SIATON,REGION VII (Central Visayas),NEGROS ORIENTAL,2539.0,4614.0,1185.0,4559.0,403.0,1291.0,892.0,244.0,,80.0,2048.0,2.0,,2015
11856,SIBULAN,REGION VII (Central Visayas),NEGROS ORIENTAL,4777.0,2360.0,580.0,1258.0,14.0,104.0,257.0,87.0,,22.0,4390.0,54.0,,2015
11869,CITY OF TANJAY,REGION VII (Central Visayas),NEGROS ORIENTAL,4609.0,2486.0,481.0,2584.0,247.0,759.0,1867.0,607.0,,41.0,5362.0,,,2015
11882,TAYASAN,REGION VII (Central Visayas),NEGROS ORIENTAL,1767.0,900.0,49.0,422.0,55.0,682.0,2575.0,1693.0,1.0,9.0,466.0,4.0,,2015
11895,VALENCIA (LUZURRIAGA),REGION VII (Central Visayas),NEGROS ORIENTAL,4683.0,378.0,14.0,73.0,11.0,26.0,188.0,157.0,,3.0,2455.0,2.0,,2015
11908,VALLEHERMOSO,REGION VII (Central Visayas),NEGROS ORIENTAL,970.0,1256.0,128.0,1361.0,235.0,1350.0,2133.0,486.0,,134.0,513.0,5.0,,2015
11921,ZAMBOANGUITA,REGION VII (Central Visayas),NEGROS ORIENTAL,1685.0,861.0,408.0,1584.0,10.0,622.0,105.0,22.0,,342.0,962.0,6.0,,2015
11934,ALMERIA,REGION VIII (Eastern Visayas),BILIRAN,3447.0,513.0,,4.0,1.0,,28.0,2.0,3.0,,45.0,,,2015
11947,CABUCGAYAN,REGION VIII (Eastern Visayas),BILIRAN,1911.0,1464.0,49.0,450.0,119.0,280.0,71.0,5.0,35.0,2.0,365.0,,,2015
11960,CAIBIRAN,REGION VIII (Eastern Visayas),BILIRAN,1778.0,1853.0,3.0,111.0,,18.0,44.0,113.0,,1.0,797.0,90.0,,2015
11973,CULABA,REGION VIII (Eastern Visayas),BILIRAN,1554.0,814.0,32.0,16.0,,123.0,126.0,35.0,8.0,1.0,18.0,,,2015
11986,KAWAYAN,REGION VIII (Eastern Visayas),BILIRAN,2651.0,1462.0,104.0,158.0,17.0,6.0,,24.0,7.0,70.0,132.0,,,2015
11999,MARIPIPI,REGION VIII (Eastern Visayas),BILIRAN,186.0,287.0,131.0,574.0,167.0,30.0,284.0,4.0,,1.0,4.0,,,2015
12012,NAVAL (Capital),REGION VIII (Eastern Visayas),BILIRAN,6874.0,4076.0,14.0,67.0,9.0,64.0,305.0,82.0,7.0,31.0,485.0,10.0,,2015
12025,ARTECHE,REGION VIII (Eastern Visayas),EASTERN SAMAR,68.0,864.0,102.0,925.0,533.0,374.0,132.0,107.0,1.0,29.0,370.0,,,2015
12038,BALANGIGA,REGION VIII (Eastern Visayas),EASTERN SAMAR,601.0,1573.0,21.0,603.0,3.0,16.0,125.0,13.0,10.0,,312.0,,,2015
12051,BALANGKAYAN,REGION VIII (Eastern Visayas),EASTERN SAMAR,507.0,546.0,22.0,800.0,,,17.0,2.0,256.0,,225.0,,,2015
12064,CITY OF BORONGAN (Capital),REGION VIII (Eastern Visayas),EASTERN SAMAR,752.0,1730.0,715.0,2890.0,1718.0,31.0,1262.0,186.0,22.0,33.0,5781.0,,,2015
12077,CAN-AVID,REGION VIII (Eastern Visayas),EASTERN SAMAR,112.0,728.0,141.0,1696.0,185.0,257.0,885.0,130.0,1.0,2.0,368.0,,,2015
12090,DOLORES,REGION VIII (Eastern Visayas),EASTERN SAMAR,358.0,2331.0,301.0,3704.0,177.0,164.0,566.0,189.0,198.0,,1463.0,,,2015
12103,GENERAL MACARTHUR,REGION VIII (Eastern Visayas),EASTERN SAMAR,415.0,1372.0,9.0,71.0,1.0,3.0,26.0,78.0,215.0,,844.0,,,2015
12116,GIPORLOS,REGION VIII (Eastern Visayas),EASTERN SAMAR,133.0,902.0,174.0,1513.0,4.0,67.0,113.0,4.0,37.0,2.0,275.0,,,2015
12129,GUIUAN,REGION VIII (Eastern Visayas),EASTERN SAMAR,685.0,1334.0,53.0,827.0,327.0,346.0,679.0,2.0,634.0,13.0,7547.0,1.0,,2015
12142,HERNANI,REGION VIII (Eastern Visayas),EASTERN SAMAR,148.0,535.0,7.0,453.0,4.0,,784.0,26.0,4.0,1.0,98.0,,,2015
12155,JIPAPAD,REGION VIII (Eastern Visayas),EASTERN SAMAR,3.0,1446.0,6.0,59.0,102.0,2.0,3.0,81.0,19.0,,7.0,,,2015
12168,LAWAAN,REGION VIII (Eastern Visayas),EASTERN SAMAR,155.0,408.0,40.0,907.0,50.0,157.0,18.0,10.0,6.0,,1270.0,,,2015
12181,LLORENTE,REGION VIII (Eastern Visayas),EASTERN SAMAR,520.0,664.0,813.0,2192.0,3.0,1.0,97.0,123.0,22.0,1.0,332.0,,,2015
12194,MASLOG,REGION VIII (Eastern Visayas),EASTERN SAMAR,10.0,902.0,,1.0,11.0,,140.0,5.0,,,8.0,,,2015
12207,MAYDOLONG,REGION VIII (Eastern Visayas),EASTERN SAMAR,145.0,1038.0,19.0,344.0,2.0,8.0,244.0,87.0,22.0,22.0,1315.0,1.0,,2015
12220,MERCEDES,REGION VIII (Eastern Visayas),EASTERN SAMAR,6.0,255.0,25.0,130.0,2.0,9.0,1.0,,2.0,408.0,692.0,,,2015
12233,ORAS,REGION VIII (Eastern Visayas),EASTERN SAMAR,621.0,1219.0,367.0,3721.0,1520.0,68.0,546.0,51.0,17.0,,488.0,,,2015
12246,QUINAPONDAN,REGION VIII (Eastern Visayas),EASTERN SAMAR,486.0,1723.0,34.0,97.0,3.0,161.0,468.0,168.0,15.0,8.0,225.0,,,2015
12259,SALCEDO,REGION VIII (Eastern Visayas),EASTERN SAMAR,458.0,1406.0,95.0,925.0,22.0,299.0,338.0,141.0,61.0,37.0,1429.0,,,2015
12272,SAN JULIAN,REGION VIII (Eastern Visayas),EASTERN SAMAR,395.0,918.0,22.0,746.0,12.0,247.0,204.0,49.0,1.0,,775.0,,,2015
