PSGC,Region/ Province,Municipality/City,Poverty Incidence,Standard Error,Coefficient of Variation,90% confidence interval min,90% confidence interval max
60614,Antique,San Remigio,33.1,2.3,7.0,29.3,36.9
60615,Antique,Sebaste,21.2,3.2,15.1,15.9,26.4
60616,Antique,Sibalom,17.7,1.5,8.4,15.2,20.1
60617,Antique,Tibiao,20.7,2.3,11.2,16.9,24.5
60618,Antique,Valderrama,42.6,4.1,9.6,35.9,49.3
61901,Capiz,Cuartero,6.4,1.5,23.3,3.9,8.8
61902,Capiz,Dao,6.6,1.8,26.9,3.7,9.5
61903,Capiz,Dumalag,4.1,1.3,32.1,2.0,6.3
61904,Capiz,Dumarao,8.2,1.6,19.4,5.6,10.8
61905,Capiz,Ivisan,6.4,1.7,26.4,3.6,9.1
61906,Capiz,Jamindan,12.8,2.0,15.3,9.6,16.0
61907,Capiz,Ma-ayon,10.4,1.7,16.1,7.6,13.1
61908,Capiz,Mambusao,4.8,1.3,26.5,2.7,6.9
61909,Capiz,Panay,6.2,1.2,20.1,4.1,8.2
61910,Capiz,Panitan,4.8,1.3,26.0,2.7,6.9
61911,Capiz,Pilar,8.9,1.7,18.8,6.1,11.6
61912,Capiz,Pontevedra,6.1,1.4,23.8,3.7,8.4
61913,Capiz,President Roxas,6.9,1.8,25.5,4.0,9.8
61914,Capiz,Roxas City,7.3,1.7,22.7,4.6,10.1
61915,Capiz,Sapi-An,9.0,2.4,27.0,5.0,12.9
61916,Capiz,Sigma,6.4,1.6,24.8,3.8,9.0
61917,Capiz,Tapaz,12.4,1.6,13.1,9.8,15.1
63001,Iloilo,Ajuy,23.1,1.8,7.7,20.2,26.0
63002,Iloilo,Alimodian,23.7,1.8,7.6,20.7,26.7
63003,Iloilo,Anilao,22.6,2.2,9.8,19.0,26.3
63004,Iloilo,Badiangan,16.0,1.6,10.0,13.3,18.6
63005,Iloilo,Balasan,20.7,2.0,9.5,17.5,24.0
63006,Iloilo,Banate,18.8,2.1,11.2,15.3,22.3
63007,Iloilo,Barotac Nuevo,15.7,1.4,9.1,13.3,18.0
63008,Iloilo,Barotac Viejo,19.5,2.1,10.8,16.0,23.0
63009,Iloilo,Batad,23.8,2.8,11.7,19.2,28.3
63010,Iloilo,Bingawan,22.4,3.3,14.5,17.0,27.7
63012,Iloilo,Cabatuan,13.5,1.1,8.2,11.7,15.3
63013,Iloilo,Calinog,27.0,2.0,7.3,23.8,30.2
63014,Iloilo,Carles,35.8,2.7,7.6,31.3,40.3
63015,Iloilo,Concepcion,29.2,2.8,9.7,24.5,33.9
63016,Iloilo,Dingle,17.5,1.8,10.1,14.6,20.4
63017,Iloilo,Dueñas,20.5,1.4,7.0,18.2,22.9
63018,Iloilo,Dumangas,14.1,1.4,9.7,11.9,16.4
63019,Iloilo,Estancia,22.8,2.2,9.7,19.2,26.4
63020,Iloilo,Guimbal,11.5,1.3,11.3,9.3,13.6
63021,Iloilo,Igbaras,25.5,2.3,9.0,21.7,29.2
63023,Iloilo,Janiuay,21.6,1.6,7.5,19.0,24.3
63025,Iloilo,Lambunao,22.0,1.4,6.2,19.7,24.2
63026,Iloilo,Leganes,12.4,1.7,14.0,9.5,15.3
63027,Iloilo,Lemery,19.8,1.8,9.0,16.9,22.7
63028,Iloilo,Leon,22.1,1.6,7.2,19.5,24.7
63029,Iloilo,Maasin,20.9,1.7,7.9,18.2,23.6
63030,Iloilo,Miagao,17.4,1.1,6.5,15.6,19.3
63031,Iloilo,Mina,16.1,1.9,11.5,13.0,19.1
63032,Iloilo,New Lucena,12.0,1.9,15.4,9.0,15.1
63034,Iloilo,Oton,11.7,1.3,11.5,9.5,13.9
63035,Iloilo,Passi City,21.1,1.5,7.2,18.6,23.6
63036,Iloilo,Pavia,7.8,1.3,16.0,5.8,9.9
63037,Iloilo,Pototan,15.4,1.2,7.6,13.4,17.3
63038,Iloilo,San Dionisio,26.7,2.4,8.9,22.8,30.7
63039,Iloilo,San Enrique,22.2,2.1,9.7,18.7,25.7
63040,Iloilo,San Joaquin,26.2,1.9,7.3,23.0,29.3
63041,Iloilo,San Miguel,14.0,1.9,13.7,10.9,17.1
63042,Iloilo,San Rafael,21.3,3.3,15.3,15.9,26.7
63043,Iloilo,Santa Barbara,11.4,1.1,9.7,9.6,13.2
63044,Iloilo,Sara,19.8,1.6,8.0,17.2,22.4
63045,Iloilo,Tigbauan,15.6,1.4,8.7,13.4,17.8
63046,Iloilo,Tubungan,25.4,2.3,9.1,21.6,29.2
63047,Iloilo,Zarraga,10.8,1.5,13.7,8.4,13.3
64502,Negros Occidental,Bago City,13.0,2.0,15.4,9.7,16.3
64503,Negros Occidental,Binalbagan,16.4,2.7,16.5,12.0,20.9
64504,Negros Occidental,Cadiz City,24.9,2.6,10.5,20.6,29.1
64505,Negros Occidental,Calatrava,34.0,3.5,10.4,28.1,39.8
64506,Negros Occidental,Candoni,24.8,4.1,16.6,18.0,31.6
64507,Negros Occidental,Cauayan,27.3,2.6,9.4,23.0,31.5
64508,Negros Occidental,Enrique B. Magalona,21.6,2.9,13.3,16.9,26.3
64509,Negros Occidental,Escalante City,25.3,3.4,13.2,19.8,30.8
64510,Negros Occidental,Himamaylan City,24.0,2.7,11.4,19.5,28.4
64511,Negros Occidental,Hinigaran,19.4,2.8,14.4,14.8,23.9
64512,Negros Occidental,Hinoba-An (Asia),24.6,3.6,14.5,18.8,30.5
64513,Negros Occidental,Ilog,16.9,2.5,14.6,12.8,21.0
64514,Negros Occidental,Isabela,28.0,3.1,10.9,23.0,33.0
64515,Negros Occidental,Kabankalan City,28.6,3.2,11.1,23.4,33.8
64516,Negros Occidental,La Carlota City,12.4,2.1,17.3,8.8,15.9
64517,Negros Occidental,La Castellana,27.0,4.3,16.0,19.9,34.1
64518,Negros Occidental,Manapla,24.0,3.8,15.8,17.7,30.2
64519,Negros Occidental,Moises Padilla (Magallon),32.3,3.8,11.6,26.1,38.5
64520,Negros Occidental,Murcia,21.3,3.3,15.5,15.9,26.7
64521,Negros Occidental,Pontevedra,12.5,1.8,14.6,9.5,15.5
64522,Negros Occidental,Pulupandan,7.7,1.4,18.6,5.4,10.1
64523,Negros Occidental,Sagay City,24.1,2.7,11.4,19.6,28.6
64524,Negros Occidental,San Carlos City,28.1,4.0,14.2,21.5,34.6
64525,Negros Occidental,San Enrique,10.4,2.6,24.7,6.2,14.6
64526,Negros Occidental,Silay City,17.6,2.8,16.1,12.9,22.3
64527,Negros Occidental,Sipalay City,23.5,3.4,14.5,17.9,29.1
64528,Negros Occidental,Talisay City,3.5,1.2,34.4,1.5,5.5
64529,Negros Occidental,Toboso,20.3,4.2,20.9,13.3,27.2
64530,Negros Occidental,Valladolid,10.3,1.9,18.9,7.1,13.5
64531,Negros Occidental,Victorias City,12.9,2.2,17.0,9.3,16.5
64532,Negros Occidental,Salvador Benedicto,32.4,5.3,16.4,23.7,41.1
67901,Guimaras,Buenavista,7.0,1.3,18.3,4.9,9.1
67902,Guimaras,Jordan,10.3,2.2,21.0,6.8,13.9
67903,Guimaras,Nueva Valencia,15.2,2.4,16.0,11.2,19.2
67904,Guimaras,San Lorenzo,15.9,3.6,22.7,10.0,21.8
67905,Guimaras,Sibunag,14.6,2.8,18.9,10.1,19.1
71201,Bohol,Alburquerque,10.4,1.8,17.3,7.4,13.4
71202,Bohol,Alicia,27.6,3.3,11.9,22.2,33.0
71203,Bohol,Anda,25.4,2.9,11.2,20.6,30.2
71204,Bohol,Antequera,15.6,2.2,14.0,12.0,19.2
71205,Bohol,Baclayon,11.2,1.6,14.2,8.6,13.8
71206,Bohol,Balilihan,20.5,1.9,9.2,17.4,23.6
71207,Bohol,Batuan,23.3,2.5,10.6,19.2,27.4
71208,Bohol,Bilar,20.1,2.2,10.8,16.5,23.7
71209,Bohol,Buenavista,32.6,2.5,7.8,28.5,36.7
71210,Bohol,Calape,17.4,1.5,8.4,14.9,19.9
71211,Bohol,Candijay,21.4,2.2,10.4,17.8,25.0
71212,Bohol,Carmen,25.0,2.3,9.2,21.2,28.8
71213,Bohol,Catigbian,23.0,2.4,10.6,19.1,27.0
71214,Bohol,Clarin,17.4,2.0,11.5,14.1,20.7
71215,Bohol,Corella,10.1,2.2,21.4,6.5,13.7
71216,Bohol,Cortes,12.5,1.8,14.4,9.5,15.5
71217,Bohol,Dagohoy,27.5,3.2,11.7,22.2,32.8
71218,Bohol,Danao,29.2,2.6,8.9,24.9,33.5
71219,Bohol,Dauis,10.8,1.9,17.5,7.7,13.9
71220,Bohol,Dimiao,22.2,1.9,8.7,19.1,25.3
71221,Bohol,Duero,21.6,2.1,9.5,18.2,25.1
71222,Bohol,Garcia Hernandez,17.6,1.8,10.3,14.6,20.6
71223,Bohol,Guindulman,23.2,2.2,9.4,19.6,26.8
71224,Bohol,Inabanga,25.4,1.8,7.2,22.4,28.4
71225,Bohol,Jagna,17.9,1.7,9.3,15.1,20.7
71226,Bohol,Getafe,33.9,2.4,7.1,30.0,37.9
71227,Bohol,Lila,17.9,2.2,12.2,14.3,21.5
71228,Bohol,Loay,10.4,1.4,13.5,8.1,12.7
71229,Bohol,Loboc,12.8,1.7,12.9,10.0,15.6
71230,Bohol,Loon,17.8,1.2,6.8,15.8,19.8
71231,Bohol,Mabini,26.9,2.6,9.6,22.6,31.2
71232,Bohol,Maribojoc,10.8,1.5,14.0,8.3,13.3
71233,Bohol,Panglao,12.6,2.3,18.3,8.8,16.4
71234,Bohol,Pilar,31.3,2.9,9.2,26.5,36.1
71235,Bohol,Pres. Carlos P. Garcia,36.5,2.9,7.9,31.7,41.3
71236,Bohol,Sagbayan,21.5,2.0,9.1,18.2,24.8
71237,Bohol,San Isidro,25.8,3.1,12.1,20.7,30.9
71238,Bohol,San Miguel,27.1,2.6,9.5,22.8,31.4
71239,Bohol,Sevilla,22.1,2.8,12.6,17.5,26.7
71240,Bohol,Sierra Bullones,27.3,2.3,8.4,23.5,31.1
71241,Bohol,Sikatuna,15.6,2.7,17.1,11.2,20.0
71242,Bohol,Tagbilaran City,3.4,0.8,22.9,2.1,4.7
71243,Bohol,Talibon,26.5,1.8,6.9,23.5,29.5
71244,Bohol,Trinidad,25.2,2.3,9.0,21.4,29.0
71245,Bohol,Tubigon,16.3,1.6,9.9,13.7,18.9
71246,Bohol,Ubay,25.7,1.8,7.0,22.7,28.7
71247,Bohol,Valencia,22.0,1.4,6.5,19.7,24.3
71248,Bohol,Bien Unido,32.0,3.0,9.5,27.1,36.9
72201,Cebu,Alcantara,22.3,3.4,15.3,16.7,27.9
72202,Cebu,Alcoy,22.9,3.6,15.8,17.0,28.8
72203,Cebu,Alegria,23.2,3.3,14.2,17.8,28.6
72204,Cebu,Aloguinsan,22.7,2.8,12.2,18.1,27.3
72205,Cebu,Argao,15.9,1.3,8.4,13.8,18.0
72206,Cebu,Asturias,26.0,2.5,9.6,21.9,30.1
72207,Cebu,Badian,26.5,2.2,8.1,22.9,30.1
72208,Cebu,Balamban,18.9,2.1,11.2,15.5,22.4
72209,Cebu,Bantayan,23.5,2.1,9.0,20.1,27.0
72210,Cebu,Barili,23.5,1.6,6.9,20.9,26.1
72211,Cebu,Bogo City,13.1,1.6,12.1,10.5,15.7
72212,Cebu,Boljoon,23.3,3.0,12.9,18.4,28.2
72213,Cebu,Borbon,20.7,2.3,11.1,16.9,24.5
72214,Cebu,Carcar City,13.8,2.0,14.5,10.5,17.1
72215,Cebu,Carmen,14.1,1.6,11.0,11.5,16.7
72216,Cebu,Catmon,16.1,1.9,12.0,13.0,19.2
72218,Cebu,Compostela,12.4,1.4,10.9,10.1,14.7
72219,Cebu,Consolacion,6.6,1.3,19.3,4.5,8.7
72220,Cebu,Cordoba,9.0,1.7,18.7,6.2,11.8
72221,Cebu,Daanbantayan,17.8,2.0,11.3,14.5,21.1
72222,Cebu,Dalaguete,25.2,1.9,7.5,22.1,28.3
72223,Cebu,Danao City,14.3,1.1,7.8,12.5,16.1
72224,Cebu,Dumanjug,22.3,1.7,7.5,19.5,25.1
72225,Cebu,Ginatilan,19.8,2.7,13.8,15.4,24.2
72227,Cebu,Liloan,7.2,1.4,19.3,4.9,9.5
72228,Cebu,Madridejos,19.5,2.5,12.6,15.4,23.6
72229,Cebu,Malabuyoc,27.0,2.9,10.9,22.2,31.8
72231,Cebu,Medellin,20.2,2.0,9.7,16.9,23.5
72232,Cebu,Minglanilla,7.7,1.3,17.3,5.6,9.8
72233,Cebu,Moalboal,16.9,2.4,14.1,13.0,20.9
72234,Cebu,Naga City,15.3,1.6,10.4,12.7,17.9
72235,Cebu,Oslob,22.6,2.1,9.2,19.2,26.1
72236,Cebu,Pilar,23.5,3.1,13.2,18.4,28.6
72237,Cebu,Pinamungajan,24.0,2.2,9.1,20.4,27.6
72238,Cebu,Poro,21.0,2.4,11.5,17.1,25.0
72239,Cebu,Ronda,21.2,2.4,11.4,17.3,25.2
72240,Cebu,Samboan,21.6,2.3,10.8,17.8,25.4
72241,Cebu,San Fernando,15.0,1.7,11.6,12.2,17.8
72242,Cebu,San Francisco,31.7,3.1,9.7,26.6,36.8
72243,Cebu,San Remigio,15.9,1.9,11.8,12.8,19.0
72244,Cebu,Santa Fe,24.9,3.1,12.3,19.8,30.0
72245,Cebu,Santander,18.7,2.7,14.4,14.3,23.1
72246,Cebu,Sibonga,18.6,1.6,8.8,16.0,21.2
72247,Cebu,Sogod,19.2,2.3,12.2,15.4,23.0
72248,Cebu,Tabogon,21.5,2.1,10.0,18.1,25.0
72249,Cebu,Tabuelan,22.2,2.8,12.7,17.6,26.8
72250,Cebu,Talisay City,8.2,1.0,12.3,6.6,9.9
72251,Cebu,Toledo City,17.2,1.5,8.7,14.7,19.7
72252,Cebu,Tuburan,24.4,1.8,7.2,21.4,27.4
72253,Cebu,Tudela,19.7,3.6,18.1,13.8,25.6
74601,Negros Oriental,Amlan,12.7,2.6,20.6,8.4,17.0
74602,Negros Oriental,Ayungon,30.5,2.6,8.5,26.2,34.8
74603,Negros Oriental,Bacong,13.9,1.8,13.0,10.9,16.9
74604,Negros Oriental,Bais City,22.8,2.1,9.0,19.4,26.3
74605,Negros Oriental,Basay,29.1,3.8,13.0,22.9,35.4
74606,Negros Oriental,Bayawan City,29.5,2.5,8.5,25.4,33.6
74607,Negros Oriental,Bindoy,37.8,3.5,9.2,32.0,43.6
74608,Negros Oriental,Canlaon City,23.6,3.0,12.6,18.7,28.5
74609,Negros Oriental,Dauin,17.5,1.9,11.0,14.4,20.6
74610,Negros Oriental,Dumaguete City,3.2,0.7,21.2,2.1,4.4
74611,Negros Oriental,Guihulngan City,31.7,2.5,7.8,27.6,35.8
74612,Negros Oriental,Jimalalud,33.3,2.6,7.8,29.0,37.6
74613,Negros Oriental,La Libertad,31.4,2.7,8.6,27.0,35.8
74614,Negros Oriental,Mabinay,32.7,2.7,8.3,28.3,37.1
74615,Negros Oriental,Manjuyod,25.1,2.3,9.3,21.3,28.9
74616,Negros Oriental,Pamplona,25.6,2.3,8.9,21.8,29.4
74617,Negros Oriental,San Jose,17.1,2.2,12.9,13.5,20.7
74618,Negros Oriental,Santa Catalina,28.6,2.9,10.0,23.8,33.4
74619,Negros Oriental,Siaton,30.7,2.4,8.0,26.8,34.7
74620,Negros Oriental,Sibulan,10.9,1.5,13.7,8.4,13.4
74621,Negros Oriental,Tanjay City,18.9,1.8,9.4,15.9,21.9
74622,Negros Oriental,Tayasan,29.2,2.3,7.8,25.4,33.0
74623,Negros Oriental,Valencia,13.0,1.5,11.1,10.5,15.5
74624,Negros Oriental,Vallehermoso,32.3,3.4,10.5,26.7,37.9
74625,Negros Oriental,Zamboanguita,17.5,3.2,18.2,12.2,22.8
76101,Siquijor,Enrique Villanueva,14.4,2.0,13.7,11.1,17.7
76102,Siquijor,Larena,9.5,1.1,12.1,7.7,11.3
76103,Siquijor,Lazi,20.3,2.6,12.6,16.0,24.6
76104,Siquijor,Maria,24.9,2.2,8.8,21.3,28.5
76105,Siquijor,San Juan,13.0,2.2,17.2,9.4,16.6
76106,Siquijor,Siquijor,13.1,1.4,10.4,10.8,15.4
82601,Eastern Samar,Arteche,58.7,2.9,5.0,53.9,63.5
82602,Eastern Samar,Balangiga,50.1,3.2,6.5,44.7,55.4
82603,Eastern Samar,Balangkayan,50.4,3.3,6.6,45.0,55.9
82604,Eastern Samar,Borongan City,37.4,1.7,4.6,34.6,40.3
82605,Eastern Samar,Can-avid,52.2,2.0,3.9,48.8,55.6
82606,Eastern Samar,Dolores,55.3,2.1,3.8,51.9,58.8
82607,Eastern Samar,General MacArthur,58.0,2.5,4.2,53.9,62.0
82608,Eastern Samar,Giporlos,51.6,2.8,5.4,47.0,56.1
82609,Eastern Samar,Guiuan,43.4,1.8,4.0,40.5,46.2
82610,Eastern Samar,Hernani,49.7,3.6,7.2,43.8,55.6
82611,Eastern Samar,Jipapad,65.5,3.3,5.0,60.1,70.8
82612,Eastern Samar,Lawaan,46.6,3.3,7.0,41.2,52.0
82613,Eastern Samar,Llorente,51.8,2.4,4.6,47.9,55.7
82614,Eastern Samar,Maslog,73.4,4.2,5.7,66.6,80.3
82615,Eastern Samar,Maydolong,46.4,2.9,6.2,41.7,51.1
82616,Eastern Samar,Mercedes,37.9,2.5,6.7,33.8,42.1
82617,Eastern Samar,Oras,55.2,2.0,3.6,51.9,58.5
82618,Eastern Samar,Quinapondan,51.3,2.3,4.5,47.5,55.0
82619,Eastern Samar,Salcedo,44.9,2.1,4.7,41.4,48.4
82620,Eastern Samar,San Julian,48.4,3.2,6.7,43.1,53.7
82621,Eastern Samar,San Policarpo,55.8,3.3,6.0,50.4,61.3
82622,Eastern Samar,Sulat,45.6,2.8,6.1,41.0,50.1
82623,Eastern Samar,Taft,47.6,2.6,5.4,43.4,51.8
83701,Leyte,Abuyog,28.2,1.8,6.3,25.3,31.1
83702,Leyte,Alangalang,31.1,2.0,6.5,27.7,34.4
83703,Leyte,Albuera,27.2,3.4,12.5,21.6,32.8
83705,Leyte,Babatngon,33.1,2.7,8.2,28.6,37.6
83706,Leyte,Barugo,26.5,2.1,7.9,23.1,29.9
83707,Leyte,Bato,29.2,2.5,8.5,25.1,33.2
83708,Leyte,Baybay City,22.8,1.6,6.9,20.2,25.4
83710,Leyte,Burauen,27.8,1.6,5.8,25.2,30.4
83713,Leyte,Calubian,29.4,2.0,6.6,26.1,32.6
83714,Leyte,Capoocan,32.9,3.0,9.1,27.9,37.8
83715,Leyte,Carigara,25.0,1.7,6.7,22.2,27.8
83717,Leyte,Dagami,33.7,1.8,5.4,30.7,36.7
83718,Leyte,Dulag,24.6,1.8,7.4,21.6,27.6
83719,Leyte,Hilongos,26.1,1.9,7.3,22.9,29.2
83720,Leyte,Hindang,23.6,2.6,11.0,19.4,27.9
83721,Leyte,Inopacan,26.2,3.0,11.3,21.3,31.0
83722,Leyte,Isabel,17.8,2.1,12.0,14.3,21.3
83723,Leyte,Jaro,31.6,1.9,6.0,28.5,34.7
83724,Leyte,Javier (Bugho),30.7,2.5,8.0,26.7,34.7
83725,Leyte,Julita,28.4,2.5,8.9,24.2,32.5
83726,Leyte,Kananga,31.1,2.8,8.9,26.5,35.6
83728,Leyte,La Paz,31.6,2.5,7.8,27.6,35.7
83729,Leyte,Leyte,36.9,2.8,7.6,32.3,41.6
83730,Leyte,MacArthur,29.6,2.4,8.2,25.7,33.6
83731,Leyte,Mahaplag,31.9,2.8,8.6,27.3,36.4
83733,Leyte,Matag-ob,29.2,2.8,9.6,24.6,33.8
83734,Leyte,Matalom,26.5,2.1,8.0,23.0,30.0
83735,Leyte,Mayorga,29.6,3.0,10.1,24.6,34.5
83736,Leyte,Merida,23.0,2.8,12.2,18.4,27.6
83738,Leyte,Ormoc City,22.1,1.6,7.3,19.5,24.8
83739,Leyte,Palo,18.6,1.8,9.7,15.6,21.5
83740,Leyte,Palompon,20.8,1.8,8.6,17.9,23.8
83741,Leyte,Pastrana,28.5,2.4,8.4,24.6,32.4
83742,Leyte,San Isidro,32.7,2.9,8.9,27.9,37.5
83743,Leyte,San Miguel,33.2,2.5,7.6,29.1,37.4
83744,Leyte,Santa Fe,27.9,2.9,10.3,23.2,32.7
83745,Leyte,Tabango,30.8,3.2,10.4,25.6,36.1
83746,Leyte,Tabontabon,30.6,2.7,8.8,26.2,35.1
83748,Leyte,Tanauan,20.9,1.7,8.0,18.2,23.7
83749,Leyte,Tolosa,21.0,2.7,12.6,16.6,25.3
83750,Leyte,Tunga,18.2,3.2,17.4,13.0,23.5
83751,Leyte,Villaba,26.3,2.2,8.4,22.6,29.9
84801,Northern Samar,Allen,24.0,2.5,10.6,19.8,28.1
84802,Northern Samar,Biri,41.8,4.1,9.7,35.1,48.4
84803,Northern Samar,Bobon,34.6,3.1,8.8,29.6,39.6
84804,Northern Samar,Capul,37.4,3.8,10.3,31.1,43.7
84805,Northern Samar,Catarman,30.3,1.5,5.1,27.7,32.8
84806,Northern Samar,Catubig,44.1,2.4,5.3,40.3,48.0
84807,Northern Samar,Gamay,33.5,2.4,7.1,29.5,37.4
84808,Northern Samar,Laoang,39.8,1.9,4.8,36.7,42.9
84809,Northern Samar,Lapinig,37.7,3.3,8.7,32.3,43.1
84810,Northern Samar,Las Navas,50.1,1.9,3.8,46.9,53.3
84811,Northern Samar,Lavezares,34.1,2.4,7.1,30.1,38.1
84812,Northern Samar,Mapanas,42.5,3.4,7.9,37.0,48.1
84813,Northern Samar,Mondragon,39.5,3.4,8.6,34.0,45.1
84814,Northern Samar,Palapag,40.0,2.4,5.9,36.1,43.9
84815,Northern Samar,Pambujan,44.7,2.5,5.5,40.7,48.7
84816,Northern Samar,Rosario,33.0,3.3,10.0,27.5,38.4
84817,Northern Samar,San Antonio,26.8,3.5,13.0,21.1,32.6
84818,Northern Samar,San Isidro,32.6,3.0,9.1,27.7,37.4
84819,Northern Samar,San Jose,32.1,2.8,8.8,27.5,36.7
84820,Northern Samar,San Roque,44.1,3.2,7.4,38.8,49.4
84821,Northern Samar,San Vicente,37.3,4.1,11.1,30.5,44.1
84822,Northern Samar,Silvino Lobos,56.9,3.2,5.6,51.7,62.2
84823,Northern Samar,Victoria,33.6,3.0,9.1,28.6,38.6
84824,Northern Samar,Lope De Vega,47.9,3.5,7.3,42.1,53.6
86001,Samar (Western),Almagro,30.3,3.1,10.1,25.2,35.3
86002,Samar (Western),Basey,26.9,1.9,6.9,23.8,29.9
86003,Samar (Western),Calbayog City,23.7,1.2,5.1,21.7,25.6
86004,Samar (Western),Calbiga,24.9,2.2,8.9,21.2,28.5
86005,Samar (Western),Catbalogan City,19.0,1.7,9.1,16.2,21.8
86006,Samar (Western),Daram,41.2,2.5,6.0,37.1,45.2
86007,Samar (Western),Gandara,31.3,1.8,5.6,28.5,34.2
86008,Samar (Western),Hinabangan,28.3,2.9,10.1,23.6,33.0
86009,Samar (Western),Jiabong,25.7,2.2,8.7,22.0,29.3
86010,Samar (Western),Marabut,27.4,3.0,11.0,22.5,32.4
86011,Samar (Western),Matuguinao,39.8,3.4,8.5,34.2,45.4
86012,Samar (Western),Motiong,30.9,2.8,8.9,26.3,35.4
86013,Samar (Western),Pinabacdao,30.4,2.5,8.3,26.3,34.6
86014,Samar (Western),San Jose de Buan,38.8,4.2,10.7,31.9,45.6
86015,Samar (Western),San Sebastian,27.8,3.1,11.2,22.6,32.9
86016,Samar (Western),Santa Margarita,25.5,2.5,9.8,21.4,29.6
86017,Samar (Western),Santa Rita,34.4,2.2,6.5,30.7,38.1
86018,Samar (Western),Santo Niño,30.7,3.3,10.6,25.3,36.0
86019,Samar (Western),Talalora,37.2,4.1,11.1,30.4,43.9
86020,Samar (Western),Tarangnan,29.9,2.6,8.8,25.6,34.2
86021,Samar (Western),Villareal,32.6,2.1,6.5,29.1,36.1
86022,Samar (Western),Paranas (Wright),26.4,1.9,7.2,23.3,29.6
86023,Samar (Western),Zumarraga,38.9,3.2,8.2,33.6,44.1
86024,Samar (Western),Tagapul-an,31.6,3.5,11.2,25.8,37.4
86025,Samar (Western),San Jorge,29.6,2.1,7.0,26.2,33.0
86026,Samar (Western),Pagsanghan,29.2,3.2,10.8,24.0,34.4
86401,Southern Leyte,Anahawan,23.6,2.7,11.2,19.3,28.0
86402,Southern Leyte,Bontoc,29.7,1.9,6.5,26.5,32.9
86403,Southern Leyte,Hinunangan,25.2,1.8,7.2,22.2,28.2
86404,Southern Leyte,Hinundayan,23.2,2.3,10.0,19.4,27.0
86405,Southern Leyte,Libagon,28.1,3.1,11.1,23.0,33.3
86406,Southern Leyte,Liloan,29.3,2.2,7.4,25.8,32.9
86407,Southern Leyte,Maasin City,20.5,1.3,6.2,18.4,22.6
86408,Southern Leyte,Macrohon,23.2,2.1,9.1,19.7,26.6
86409,Southern Leyte,Malitbog,29.8,1.7,5.8,27.0,32.7
86410,Southern Leyte,Padre Burgos,24.0,2.6,10.8,19.7,28.2
86411,Southern Leyte,Pintuyan,27.3,2.6,9.5,23.0,31.5
86412,Southern Leyte,Saint Bernard,25.5,2.3,9.0,21.7,29.3
86413,Southern Leyte,San Francisco,27.5,2.2,8.0,23.9,31.1
86414,Southern Leyte,San Juan (Cabalian),24.5,2.2,9.2,20.8,28.2
86415,Southern Leyte,San Ricardo,30.6,3.2,10.4,25.4,35.9
86416,Southern Leyte,Silago,26.8,3.0,11.3,21.8,31.7
86417,Southern Leyte,Sogod,27.2,1.9,7.1,24.1,30.4
86418,Southern Leyte,Tomas Oppus,26.5,2.0,7.5,23.2,29.8
86419,Southern Leyte,Limasawa,22.5,3.6,16.2,16.5,28.5
87801,Biliran,Almeria,16.8,2.4,14.5,12.8,20.8
87802,Biliran,Biliran,22.4,2.5,11.2,18.3,26.6
87803,Biliran,Cabucgayan,27.9,3.7,13.1,21.8,33.9
87804,Biliran,Caibiran,31.1,3.0,9.7,26.2,36.1
87805,Biliran,Culaba,28.8,2.6,9.2,24.4,33.1
87806,Biliran,Kawayan,27.0,2.5,9.4,22.9,31.2
87807,Biliran,Maripipi,20.4,2.9,14.2,15.7,25.2
87808,Biliran,Naval,22.9,2.3,9.8,19.2,26.6
97201,Zamboanga del Norte,Dapitan City,27.1,2.6,9.7,22.8,31.5
97202,Zamboanga del Norte,Dipolog City,17.9,2.2,12.4,14.3,21.6
97203,Zamboanga del Norte,Katipunan,52.9,2.9,5.5,48.0,57.7
97204,Zamboanga del Norte,La Libertad,53.0,4.5,8.5,45.6,60.4
97205,Zamboanga del Norte,Labason,45.2,3.2,7.1,39.9,50.4
97206,Zamboanga del Norte,Liloy,44.4,2.6,5.9,40.1,48.8
97207,Zamboanga del Norte,Manukan,49.2,3.5,7.1,43.5,55.0
97208,Zamboanga del Norte,Mutia,46.8,4.3,9.2,39.7,53.9
97209,Zamboanga del Norte,Piñan,46.5,3.2,7.0,41.2,51.8
97210,Zamboanga del Norte,Polanco,42.4,2.5,5.9,38.3,46.6
97211,Zamboanga del Norte,Pres. Manuel A. Roxas,55.6,2.9,5.2,50.8,60.4
97212,Zamboanga del Norte,Rizal,39.5,2.8,7.2,34.9,44.2
97213,Zamboanga del Norte,Salug,49.4,3.1,6.2,44.3,54.4
97214,Zamboanga del Norte,Sergio Osmeña Sr.,59.2,2.6,4.3,55.0,63.4
97215,Zamboanga del Norte,Siayan,62.0,3.7,6.0,55.8,68.1
97216,Zamboanga del Norte,Sibuco,58.6,3.9,6.6,52.2,64.9
97217,Zamboanga del Norte,Sibutad,46.3,4.5,9.7,39.0,53.7
97218,Zamboanga del Norte,Sindangan,37.1,3.2,8.7,31.8,42.4
97219,Zamboanga del Norte,Siocon,51.4,3.0,5.7,46.5,56.2
97220,Zamboanga del Norte,Sirawai,57.6,4.9,8.4,49.6,65.6
97221,Zamboanga del Norte,Tampilisan,48.2,3.3,6.9,42.8,53.6
