Region,Region code,Province,Province code,City_Municipality,City_Mun Code,Elementary_school,Secondary_school,Enrollment_Elementary_Male,Enrollment_Elementary_Female,Enrollment_Secondary_Male,Enrollment_Secondary_Female
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Bantayan,PH072209000,25,12,6.753,6.177,3.539,3.394
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Barili,PH072210000,34,12,7.047,6.072,2.940,2.861
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Boljoon,PH072212000,11,3,1.474,1.263,678,595
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Borbon,PH072213000,18,6,3.123,2.840,1.115,994
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Carmen,PH072215000,19,4,4.335,3.785,1.980,2.013
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Catmon,PH072216000,19,4,2.459,2.172,950,1.009
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,City of Cebu (Capital),PH072217000,68,54,58.420,54.055,26.185,27.562
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,City of Bogo,PH072211000,23,12,6.618,5.921,1.774,1.709
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,City of Carcar,PH072214000,33,14,10.553,9.384,4.221,4.285
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,City of Naga,PH072234000,26,21,9.347,8.454,4.517,4.541
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,City of Talisay,PH072250000,25,18,15.793,14.256,7.030,7.230
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Compostela,PH072218000,18,8,4.067,3.694,1.987,2.078
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Consolacion,PH072219000,18,11,9.585,8.801,4.369,4.368
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Cordova,PH072220000,11,2,4.872,4.390,1.106,1.123
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Daanbantayan,PH072221000,30,13,8.123,7.262,3.721,3.508
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Dalaguete,PH072222000,42,8,6.623,5.761,3.143,3.265
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Danao City,PH072223000,44,32,11.339,10.351,4.961,5.001
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Dumanjug,PH072224000,29,6,4.975,4.467,2.241,2.215
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Ginatilan,PH072225000,11,5,1.205,1.064,491,432
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,City of Lapu-Lapu (Opon),PH072226000,44,25,30.965,28.761,14.513,15.068
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Liloan,PH072227000,15,6,8.259,7.669,3.258,3.127
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Madridejos,PH072228000,14,4,3.597,3.279,2.102,2.080
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Malabuyoc,PH072229000,15,4,1.634,1.421,613,569
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,City of Mandaue,PH072230000,27,18,21.716,20.342,10.710,10.595
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Medellin,PH072231000,21,9,4.963,4.588,1.817,1.858
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Minglanilla,PH072232000,17,11,9.287,8.404,3.369,3.548
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Moalboal,PH072233000,15,3,2.794,2.398,834,807
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Oslob,PH072235000,16,5,2.324,2.085,984,928
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Pilar,PH072236000,11,4,960,845,557,505
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Pinamungajan,PH072237000,27,6,6.065,5.331,2.103,2.057
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Poro,PH072238000,17,3,1.990,1.745,824,777
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Ronda,PH072239000,10,2,1.387,1.260,526,506
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Samboan,PH072240000,15,4,1.568,1.398,870,872
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,San Fernando,PH072241000,22,9,5.998,5.311,2.090,2.109
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,San Francisco,PH072242000,22,6,5.223,4.663,1.960,2.112
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,San Remigio,PH072243000,27,14,5.264,4.827,2.609,2.452
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Santa Fe,PH072244000,10,4,3.036,2.669,1.532,1.626
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Santander,PH072245000,9,2,1.423,1.276,691,674
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Sibonga,PH072246000,23,6,3.985,3.520,1.890,1.892
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Sogod,PH072247000,22,5,2.894,2.649,960,942
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Tabogon,PH072248000,20,8,3.338,2.983,1.193,1.021
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Tabuelan,PH072249000,17,3,2.286,1.928,624,689
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,City of Toledo,PH072251000,50,12,17.063,15.191,7.061,7.376
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Tuburan,PH072252000,49,7,5.766,5.307,2.146,2.192
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Tudela,PH072253000,11,2,790,727,367,373
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,Amlan (Ayuquitan),PH074601000,10,4,1.740,1.508,736,714
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,Ayungon,PH074602000,31,5,3.837,3.478,1.408,1.704
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,Bacong,PH074603000,10,3,2.226,2.067,734,692
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,City of Bais,PH074604000,41,18,6.314,5.821,2.938,3.218
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,Basay,PH074605000,13,4,2.631,2.434,1.097,1.214
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,Bindoy (Payabon),PH074607000,29,3,3.269,3.034,1.367,1.629
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,City of Canlaon,PH074608000,23,8,4.459,4.165,1.836,2.156
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,City of Bayawan (Tulong),PH074606000,53,22,11.020,9.728,4.543,5.017
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,City of Guihulngan,PH074611000,57,12,8.854,8.245,3.124,3.536
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,City of Tanjay,PH074621000,45,16,5.770,5.197,2.583,2.602
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,Dauin,PH074609000,13,7,1.820,1.685,1.044,991
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,City of Dumaguete (Capital),PH074610000,18,8,8.073,7.351,4.605,4.741
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,Jimalalud,PH074612000,24,3,2.609,2.358,946,1.144
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,La Libertad,PH074613000,27,2,3.126,2.862,1.246,1.374
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,Mabinay,PH074614000,50,14,7.406,6.840,2.841,3.225
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,Manjuyod,PH074615000,27,5,3.669,3.158,1.074,1.204
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,Pamplona,PH074616000,22,7,2.966,2.597,1.339,1.376
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,San Jose,PH074617000,13,4,1.622,1.462,781,717
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,Santa Catalina,PH074618000,43,15,7.230,6.551,2.731,3.016
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,Siaton,PH074619000,44,15,7.146,6.501,2.955,3.105
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,Sibulan,PH074620000,20,11,3.539,3.316,1.596,1.540
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,Tayasan,PH074622000,27,4,3.223,2.961,825,974
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,Valencia (Luzurriaga),PH074623000,20,4,2.543,2.237,980,1.076
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,Vallehermoso,PH074624000,19,4,3.124,3.023,1.316,1.438
Region VII (Central Visayas),PH070000000,Negros Oriental,PH074600000,Zamboanguita,PH074625000,13,4,2.172,1.915,897,974
Region VII (Central Visayas),PH070000000,Siquijor,PH076100000,Enrique Villanueva,PH076101000,4,1,413,328,320,286
Region VII (Central Visayas),PH070000000,Siquijor,PH076100000,Larena,PH076102000,8,2,732,634,234,177
Region VII (Central Visayas),PH070000000,Siquijor,PH076100000,Lazi,PH076103000,15,4,1.563,1.400,863,861
Region VII (Central Visayas),PH070000000,Siquijor,PH076100000,Maria,PH076104000,12,1,1.019,965,352,344
Region VII (Central Visayas),PH070000000,Siquijor,PH076100000,San Juan,PH076105000,10,2,1.093,1.028,522,410
Region VII (Central Visayas),PH070000000,Siquijor,PH076100000,Siquijor (Capital),PH076106000,15,5,1.585,1.506,599,669
Region VIII (Eastern Visayas),PH080000000,Biliran,PH087800000,Almeria,PH087801000,15,3,1.369,1.157,775,702
Region VIII (Eastern Visayas),PH080000000,Biliran,PH087800000,Biliran,PH087802000,12,2,1.484,1.396,834,825
Region VIII (Eastern Visayas),PH080000000,Biliran,PH087800000,Cabucgayan,PH087803000,12,2,1.827,1.822,850,920
Region VIII (Eastern Visayas),PH080000000,Biliran,PH087800000,Caibiran,PH087804000,18,3,2.276,2.083,1.074,1.067
Region VIII (Eastern Visayas),PH080000000,Biliran,PH087800000,Culaba,PH087805000,12,2,1.149,1.034,545,532
Region VIII (Eastern Visayas),PH080000000,Biliran,PH087800000,Kawayan,PH087806000,19,3,1.688,1.583,826,840
Region VIII (Eastern Visayas),PH080000000,Biliran,PH087800000,Maripipi,PH087807000,10,2,561,490,291,243
Region VIII (Eastern Visayas),PH080000000,Biliran,PH087800000,Naval (Capital),PH087808000,27,5,4.920,4.335,1.927,2.046
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Arteche,PH082601000,17,3,1.418,1.268,869,802
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Balangiga,PH082602000,9,1,1.264,1.084,542,583
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Balangkayan,PH082603000,12,1,858,756,371,313
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Can-Avid,PH082605000,19,2,2.002,1.798,854,884
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,City of Borongan (Capital),PH082604000,51,7,5.569,4.924,2.943,2.916
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Dolores,PH082606000,42,5,3.940,3.504,1.854,2.057
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,General Macarthur,PH082607000,24,1,1.382,1.188,501,518
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Giporlos,PH082608000,12,2,1.193,1.056,609,621
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Guiuan,PH082609000,45,7,4.240,3.876,2.030,1.757
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Hernani,PH082610000,10,1,681,678,481,436
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Jipapad,PH082611000,12,1,864,814,383,370
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Lawaan,PH082612000,7,2,1.065,978,543,502
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Llorente,PH082613000,22,2,1.774,1.544,898,916
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Maslog,PH082614000,11,1,573,522,177,186
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Maydolong,PH082615000,14,2,1.327,1.160,640,636
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Mercedes,PH082616000,11,2,453,363,355,347
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Oras,PH082617000,39,6,3.337,3.030,1.528,1.493
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Quinapondan,PH082618000,20,2,1.291,1.131,647,605
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Salcedo,PH082619000,32,4,1.784,1.630,931,820
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,San Julian,PH082620000,13,2,1.304,1.133,507,487
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,San Policarpo,PH082621000,13,2,1.415,1.293,648,612
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Sulat,PH082622000,14,3,1.181,1.007,563,547
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Taft,PH082623000,19,2,1.556,1.434,907,821
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Abuyog,PH083701000,58,5,5.082,4.474,1.702,1.677
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Alangalang,PH083702000,48,7,5.047,4.482,1.971,2.269
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Albuera,PH083703000,20,4,3.712,3.538,1.515,1.756
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Babatngon,PH083705000,20,4,2.648,2.364,1.163,1.160
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Burauen,PH083710000,60,3,4.388,3.989,1.742,1.899
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Barugo,PH083706000,33,4,2.868,2.590,1.131,1.111
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Bato,PH083707000,26,5,3.108,2.923,1.801,1.867
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Calubian,PH083713000,28,3,2.612,2.463,1.304,1.403
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Capoocan,PH083714000,20,4,3.012,2.748,1.222,1.232
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Carigara,PH083715000,30,4,4.529,4.138,2.001,1.937
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,City of Baybay,PH083708000,70,14,8.428,7.335,4.182,4.028
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Dagami,PH083717000,33,3,3.219,3.091,1.209,1.201
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Dulag,PH083718000,39,6,3.991,3.741,1.961,2.087
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Hilongos,PH083719000,50,6,4.790,4.297,2.169,2.081
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Hindang,PH083720000,18,3,1.559,1.372,753,649
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Inopacan,PH083721000,19,5,1.593,1.423,856,810
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Isabel,PH083722000,21,5,3.293,3.095,1.738,1.602
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Jaro,PH083723000,42,5,3.845,3.451,1.917,1.845
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Javier (Bugho),PH083724000,26,2,2.238,2.014,804,830
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Julita,PH083725000,20,1,1.327,1.187,548,566
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Kananga,PH083726000,23,6,5.212,4.747,1.746,2.148
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,La Paz,PH083728000,29,3,1.807,1.717,861,923
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Leyte,PH083729000,30,3,4.043,3.699,1.206,1.323
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Macarthur,PH083730000,28,2,1.914,1.795,918,897
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Mahaplag,PH083731000,29,3,2.533,2.444,1.325,1.265
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Matag-Ob,PH083733000,19,2,1.592,1.486,766,879
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Matalom,PH083734000,26,6,2.554,2.325,1.173,1.155
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Mayorga,PH083735000,14,1,1.648,1.400,576,522
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Merida,PH083736000,22,5,2.186,2.073,992,965
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Ormoc City,PH083738000,83,14,17.007,15.405,7.622,8.026
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Palo,PH083739000,31,5,5.900,5.283,2.280,2.262
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Palompon,PH083740000,44,7,4.619,4.079,1.657,1.584
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Pastrana,PH083741000,22,3,1.773,1.582,807,755
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,San Isidro,PH083742000,20,2,2.462,2.243,955,945
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,San Miguel,PH083743000,21,2,1.941,1.705,947,960
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Santa Fe,PH083744000,17,1,1.831,1.763,687,768
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Tabango,PH083745000,23,4,3.280,2.926,1.258,1.365
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Tabontabon,PH083746000,12,1,1.125,966,495,479
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,City of Tacloban (Capital),PH083747000,46,20,16.973,15.343,8.976,9.210
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Tanauan,PH083748000,39,4,4.454,4.023,1.778,1.936
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Tolosa,PH083749000,13,2,1.769,1.659,845,887
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Tunga,PH083750000,4,1,743,692,622,607
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Villaba,PH083751000,30,4,3.323,3.030,933,1.051
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Allen,PH084801000,14,3,2.003,1.759,1.219,1.273
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Biri,PH084802000,11,2,1.102,1.012,567,581
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Bobon,PH084803000,17,2,2.227,2.135,1.110,1.278
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Capul,PH084804000,12,2,1.168,981,673,634
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Catarman (Capital),PH084805000,47,6,8.466,7.783,3.109,3.450
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Catubig,PH084806000,40,3,3.289,3.029,1.309,1.433
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Gamay,PH084807000,21,5,1.981,1.906,1.301,1.248
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Laoang,PH084808000,54,13,5.651,5.010,2.881,2.965
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Lapinig,PH084809000,13,2,1.114,1.068,560,573
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Las Navas,PH084810000,54,9,4.057,3.719,1.707,1.734
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Lavezares,PH084811000,26,2,2.722,2.440,960,982
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Lope De Vega,PH084824000,24,1,1.404,1.297,463,514
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Mapanas,PH084812000,13,3,1.584,1.307,570,558
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Mondragon,PH084813000,25,4,4.128,3.477,1.012,1.247
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Palapag,PH084814000,31,5,3.229,2.889,1.759,1.782
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Pambujan,PH084815000,20,3,3.334,3.186,1.243,1.389
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Rosario,PH084816000,10,3,1.002,877,585,485
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,San Antonio,PH084817000,9,1,691,607,267,241
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,San Isidro,PH084818000,14,4,2.490,2.141,1.404,1.426
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,San Jose,PH084819000,12,1,1.614,1.484,651,668
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,San Roque,PH084820000,13,4,2.632,2.494,1.339,1.550
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,San Vicente,PH084821000,5,2,653,559,320,337
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Silvino Lobos,PH084822000,20,1,1.526,1.352,232,345
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Victoria,PH084823000,15,2,1.383,1.293,615,545
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Anahawan,PH086401000,7,1,613,506,179,156
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Bontoc,PH086402000,33,4,2.625,2.266,1.203,1.186
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,City of Maasin (Capital),PH086407000,62,18,5.477,4.959,2.641,2.220
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Hinunangan,PH086403000,30,3,2.096,1.900,969,866
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Hinundayan,PH086404000,14,1,877,777,372,372
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Libagon,PH086405000,8,2,1.159,1.001,536,504
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Liloan,PH086406000,23,3,1.855,1.660,964,875
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Limasawa,PH086419000,5,1,425,344,259,242
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Macrohon,PH086408000,21,3,1.987,1.753,950,832
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Malitbog,PH086409000,19,2,1.313,1.131,664,540
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Padre Burgos,PH086410000,9,1,740,661,127,105
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Pintuyan,PH086411000,10,2,740,662,391,352
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Saint Bernard,PH086412000,27,3,2.156,1.960,975,934
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,San Francisco,PH086413000,11,2,938,829,369,340
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,San Juan (Cabalian),PH086414000,11,1,1.150,994,575,633
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,San Ricardo,PH086415000,8,3,791,689,372,353
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Silago,PH086416000,14,4,1.031,903,688,616
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Sogod,PH086417000,28,3,3.682,3.385,2.002,1.836
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Tomas Oppus,PH086418000,18,3,1.311,1.170,503,486
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Almagro,PH086001000,15,2,766,715,341,300
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Basey,PH086002000,60,7,4.964,4.627,2.474,2.616
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,City of Calbayog,PH086003000,155,26,15.392,14.274,7.817,8.230
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Calbiga,PH086004000,37,2,2.080,1.844,1.227,1.187
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,City of Catbalogan (Capital),PH086005000,50,8,8.233,7.651,4.502,4.935
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Daram,PH086006000,58,9,4.068,3.731,2.043,1.975
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Gandara,PH086007000,56,4,3.212,2.937,1.447,1.413
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Hinabangan,PH086008000,19,2,1.200,1.109,710,786
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Jiabong,PH086009000,28,3,1.506,1.375,654,646
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Marabut,PH086010000,15,2,1.621,1.416,782,761
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Matuguinao,PH086011000,12,1,575,595,241,267
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Motiong,PH086012000,29,3,1.478,1.260,912,943
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Pagsanghan,PH086026000,9,3,747,632,543,595
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Paranas (Wright),PH086022000,39,6,2.846,2.627,1.411,1.378
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Pinabacdao,PH086013000,23,3,1.746,1.506,838,824
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,San Jorge,PH086025000,35,2,1.657,1.464,836,874
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,San Jose De Buan,PH086014000,14,1,746,686,225,239
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,San Sebastian,PH086015000,10,1,736,660,229,205
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Santa Margarita,PH086016000,30,3,2.430,2.305,1.303,1.319
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Santa Rita,PH086017000,44,5,3.996,3.605,1.566,1.557
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Santo Niño,PH086018000,13,4,1.137,998,599,596
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Tagapul-An,PH086024000,13,3,695,556,350,354
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Talalora,PH086019000,10,1,786,737,399,410
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Tarangnan,PH086020000,33,4,2.359,2.147,996,1.026
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Villareal,PH086021000,38,7,2.684,2.489,1.469,1.521
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Zumarraga,PH086023000,22,4,1.475,1.417,774,750
Region IX (Zamboanga Peninsula),PH090000000,Basilan,PH099700000,City of Isabela,PH099701000,52,10,9.702,9.251,4.516,5.077
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Bacungan (Leon T. Postigo),PH097226000,20,4,2.945,2.614,1.079,1.146
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Baliguian,PH097224000,18,2,1.879,1.628,361,349
