,Main Datasets,Poverty file,Not in column A
Santa Maria,Santo Domingo (NE),Santo Domingo,
Santa Maria (Imelda),Santo Nino (CG),Santo NiÃ±o,
Santa Monica (Sapao),Santo Nino (SC),Santo NiÃ±o,
Santa Praxedes,Santo Nino (WS),Santo NiÃ±o,
Santa Rita,Santo Tomas (BS),Santo Tomas,
Santa Rita,Santo Tomas (DN),Santo Tomas,
Santa Rosa,Santo Tomas (IA),Santo Tomas,
Santa Teresita,Santo Tomas (LU),Santo Tomas,
Santa Teresita,Santo Tomas (PA),Santo Tomas,
Santander,Santo Tomas (PS),Santo Tomas,
Santiago,Santol,Santol,
Santiago,Sapad,Sapad,
Santo Domingo,Sapang Dalaga,Sapang Dalaga,
Santo Domingo,Sapa-Sapa,Sapa-Sapa,
Santo Domingo (Libog),Sapi-An,Sapi-An,
Santo Niño,Sara,Sara,
Santo Niño,Sarangani,Sarangani,
Santo Niño (Faire),Sariaya,Sariaya,
Santo Tomas,Sarrat,Sarrat,
Santo Tomas,Sasmuan,Sasmuan,
Santo Tomas,Science City of Munoz,,
Santo Tomas,Sebaste,Sebaste,
Santo Tomas,Senator Ninoy Aquino,Sen. Ninoy Aquino,
Santol,Sergio Osmena,Sergio OsmeÃ±a Sr.,
Sapad,Sevilla,Sevilla,
Sapang Dalaga,Shariff Aguak,Shariff Aguak (Maganoy),
Sapa-sapa,Shariff Saydona Mustapha,Shariff Saydona Mustapha,
Sapi-an,Siasi,Siasi,
Sara,Siaton,Siaton,
Sarangani,Siay,Siay,
Sariaya,Siayan,Siayan,
Sarrat,Sibagat,Sibagat,
Sasmuan (Sexmoan),Sibalom,Sibalom,
Science City of Muñoz,Sibonga,Sibonga,
Sebaste,Sibuco,Sibuco,
Sen. Ninoy Aquino,Sibulan,Sibulan,
Sergio Osmeña Sr.,Sibunag,Sibunag,
Sevilla,Sibutad,Sibutad,
Shariff Aguak (Maganoy) (Capital),Sibutu,Sibutu,
Shariff Saydona Mustapha,Sierra Bullones,Sierra Bullones,
Siasi,Sigay,Sigay,
Siaton,Sigma,Sigma,
Siay,Sikatuna,Sikatuna,
Siayan,Silago,Silago,
Sibagat,Silang,Silang,
Sibalom,Silay,Silay City,
Sibonga,Silvino Lobos,Silvino Lobos,
Sibuco,Simunul,Simunul,
Sibulan,Sinacaban,Sinacaban,
Sibunag,Sinait,Sinait,
Sibutad,Sindangan,Sindangan,
Sibutu,Siniloan,Siniloan,
Sierra Bullones,Siocon,Siocon,
Sigay,Sipalay,Sipalay City,
Sigma,Sipocot,Sipocot,
Sikatuna,Siquijor,Siquijor,
Silago,Sirawai,Sirawai,
Silang,Siruma,Siruma,
Silvino Lobos,Sison (PS),Sison,
Simunul,Sison (SN),Sison,
Sinacaban,Sitangkai,Sitangkai,
Sinait,Socorro (OR),Socorro,
Sindangan,Socorro (SN),Socorro,
Siniloan,Sofronio Espanola,Sofronio EspaÃ±ola,
Siocon,Sogod (CU),Sogod,
Sipocot,Sogod (SL),Sogod,
Siquijor (Capital),Solana,Solana,
Sirawai,Solano,Solano,
Siruma,Solsona,Solsona,
Sison,Sominot,Sominot,
Sison,Sorsogon,Sorsogon City,
Sitangkai,South Ubian,South Ubian,
Socorro,South Upi,South Upi,
Socorro,Sual,Sual,
Sofronio Española,Subic,Subic,
Sogod,Sudipen,Sudipen,
Sogod,Sugbongcogon,Sugbongcogon,
Solana,Sugpon,Sugpon,
Solano,Sulat,Sulat,
Solsona,Sulop,Sulop,
Sominot (Don Mariano Marcos),Sultan Dumalondong,Sultan Dumalondong,
South Ubian,Sultan Kudarat,Sultan Kudarat (Nuling),
South Upi,Sultan Mastura,Sultan Mastura,
Sual,Sultan Naga Dimaporo,Sultan Naga Dimaporo,
Subic,Sultan Sa Barongis,Sultan Sa Barongis (Lambayong),
Sudipen,Sumilao,Sumilao,
Sugbongcogon,Sumisip,Sumisip,
Sugpon,Surallah,Surallah,
Sulat,Surigao,Surigao City,
Sulop,Suyo,Suyo,
Sultan Dumalondong,Taal,Taal,
Sultan Kudarat (Nuling),Tabaco,Tabaco City,
Sultan Mastura,Tabango,Tabango,
Sultan Naga Dimaporo (Karomatan),Tabina,Tabina,
Sultan sa Barongis (Lambayong),Tabogon,Tabogon,
Sumilao,Tabontabon,Tabontabon,
Sumisip,Tabuan-Lasa,Tabuan-Lasa,
Surallah,Tabuelan,Tabuelan,
Suyo,Tabuk,Tabuk City,
Taal,Tacloban,,
Tabango,Tacurong,Tacurong City,
Tabina,Tadian,Tadian,
Tabogon,Taft,Taft,
Tabontabon,Tagana-An,Tagana-an,
Tabuan-Lasa,Tagapul-An,Tagapul-an,
Tabuelan,Tagaytay,Tagaytay City,
Tadian,Tagbilaran,Tagbilaran City,
Taft,Tagbina,Tagbina,
Tagana-an,Tagkawayan,Tagkawayan,
Tagapul-an,Tago,Tago,
Tagbina,Tagoloan (LN),Tagoloan,
Tagkawayan,Tagoloan (MO),Tagoloan,
Tago,Tagoloan Ii,Tagoloan II,
Tagoloan,Tagudin,Tagudin,
Tagoloan,Taguig,,
Tagoloan II,Tagum,Tagum City,
Tagudin,Talacogon,Talacogon,
Talacogon,Talaingod,Talaingod,
Talaingod,Talakag,Talakag,
Talakag,Talalora,Talalora,
Talalora,Talavera,Talavera,
Talavera,Talayan,Talayan,
Talayan,Talibon,Talibon,
Talibon,Talipao,Talipao,
Talipao,Talisay  (CU),Talisay,
Talisay,Talisay (BS),Talisay,
Talisay,Talisay (CN),Talisay City,
Talisayan,Talisay (NO),Talisay City,
Talitay,Talisayan,Talisayan,
Talugtug,Talitay,Talitay,
Talusan,Talugtug,Talugtug,
Tambulig,Talusan,Talusan,
Tampakan,Tambulig,Tambulig,
Tamparan,Tampakan,Tampakan,
Tampilisan,Tamparan,Tamparan,
Tanauan,Tampilisan,Tampilisan,
Tanay,Tanauan (BS),Tanauan,
Tandubas,Tanauan (LE),Tanauan City,
Tangalan,Tanay,Tanay,
Tangcal,Tandag,Tandag City,
Tantangan,Tandubas,Tandubas,
Tanudan,Tangalan,Tangalan,
Tanza,Tangcal,Tangcal,
Tapaz,Tangub,Tangub City,
Tapul,Tanjay,Tanjay City,
Taraka,Tantangan,Tantangan,
Tarangnan,Tanudan,Tanudan,
Tarragona,Tanza,Tanza,
Tayasan,Tapaz,Tapaz,
Taysan,Tapul,Tapul,
Taytay,Taraka,Taraka,
Taytay,Tarangnan,Tarangnan,
Tayug,Tarlac,Tarlac City,
Tayum,Tarragona,Tarragona,
T'boli,Tayabas,Tayabas City,
Teresa,Tayasan,Tayasan,
Ternate,Taysan,Taysan,
Tiaong,Taytay (PN),Taytay,
Tibiao,Taytay (RL),Taytay,
Tigaon,Tayug,Tayug,
Tigbao,Tayum,Tayum,
Tigbauan,T'Boli,T'boli,
Tinambac,Teresa,Teresa,
Tineg,Ternate,Ternate,
Tinglayan,Tiaong,Tiaong,
Tingloy,Tibiao,Tibiao,
Tinoc,Tigaon,Tigaon,
Tipo-tipo,Tigbao,Tigbao,
Titay,Tigbauan,Tigbauan,
Tiwi,Tinambac,Tinambac,
Tobias Fornier (Dao),Tineg,Tineg,
Toboso,Tinglayan,Tinglayan,
Tolosa,Tingloy,Tingloy,
Tomas Oppus,Tinoc,Tinoc,
Tongkil,Tipo-Tipo,Tipo-Tipo,
Torrijos,Titay,Titay,
Trento,Tiwi,Tiwi,
Trinidad,Tobias Fornier,Tobias Fornier,
Tuao,Toboso,Toboso,
Tuba,Toledo,Toledo City,
Tubajon,Tolosa,Tolosa,
Tubao,Tomas Oppus,Tomas Oppus,
Tubaran,Tongkil,Tongkil,Tondo
Tubay,Torrijos,Torrijos,
Tubigon,Trece Martires,Trece Martires City,
Tublay,Trento,Trento,
Tubo,Trinidad,Trinidad,
Tubod,Tuao,Tuao,
Tubod (Capital),Tuba,Tuba,
Tubungan,Tubajon,Tubajon,
Tuburan,Tubao,Tubao,
Tuburan,Tubaran,Tubaran,
Tudela,Tubay,Tubay,
Tudela,Tubigon,Tubigon,
Tugaya,Tublay,Tublay,
Tuguegarao City (Capital),Tubo,Tubo,
Tukuran,Tubod (LN),Tubod,
Tulunan,Tubod (SN),Tubod,
Tumauini,Tubungan,Tubungan,
Tunga,Tuburan (BA),Tuburan,
Tungawan,Tuburan (CU),Tuburan,
Tupi,Tudela (CU),Tudela,
Turtle Islands,Tudela (MC),Tudela,
Tuy,Tugaya,Tugaya,
Ubay,Tuguegarao,Tuguegarao City,
Umingan,Tukuran,Tukuran,
Ungkaya Pukan,Tulunan,Tulunan,
Unisan,Tumauini,Tumauini,
Upi,Tunga,Tunga,
Urbiztondo,Tungawan,Tungawan,
Uson,Tupi,Tupi,
Uyugan,Turtle Islands,Turtle Islands,
Valderrama,Tuy,Tuy,
Valencia,Ubay,Ubay,
Valencia (Luzurriaga),Umingan,Umingan,
Valladolid,Ungkaya Pukan,Ungkaya Pukan,
Vallehermoso,Unisan,Unisan,
Veruela,Upi,Upi,
Victoria,Urbiztondo,Urbiztondo,
Victoria,Urdaneta,Urdaneta City,
Victoria,Uson,Uson,
Victoria,Uyugan,Uyugan,
Viga,Valderrama,Valderrama,
Villaba,Valencia (BK),Valencia,
Villanueva,Valencia (BL),Valencia,
Villareal,Valencia (NR),Valencia City,
Villasis,Valenzuela,,
Villaverde,Valladolid,Valladolid,
Villaviciosa,Vallehermoso,Vallehermoso,
Vincenzo A. Sagun,Veruela,Veruela,
Vintar,Victoria (LA),Victoria,
Vinzons,Victoria (NS),Victoria,
Virac (Capital),Victoria (OR),Victoria,
Wao,Victoria (TC),Victoria,
Zamboanguita,Victorias,Victorias City,
Zaragoza,Viga,Viga,
Zarraga,Vigan,Vigan City,
Zumarraga,Villaba,Villaba,
,Villanueva,Villanueva,
,Villareal,Villareal,
,Villasis,Villasis,
,Villaverde,Villaverde,
,Villaviciosa,Villaviciosa,
,Vincenzo A Sagun,Vincenzo A. Sagun,
,Vintar,Vintar,
,Vinzons,Vinzons,
,Virac,Virac,
,Wao,Wao,
,Zamboanga,,
,Zamboanguita,Zamboanguita,
,Zaragoza,Zaragoza,
,Zarraga,Zarraga,
,Zumarraga,Zumarraga,
