,name,city,Own use faucet community water system_count,Shared faucet community water system_count,Own use tubed/piped deep well_count,Shared tubed/piped deep well_count,Tubed/piped shallow well_count,Dug well_count,Protected spring_count,Unprotected spring_count,Lake river rain and others_count,Peddler_count,Bottled water_count,Others_count,Not Reported_count,year
632,Julita,JULITA,312.0,378.0,545.0,2295.0,17.0,264.0,12.0,2.0,10.0,2.0,3.0,,,2015.0
633,Kabacan,KABACAN,5812.0,1179.0,3219.0,6906.0,1123.0,500.0,1094.0,222.0,4.0,1.0,24.0,10.0,,2015.0
634,Kabankalan,CITY OF KABANKALAN,5551.0,4467.0,2634.0,10878.0,1603.0,7590.0,4539.0,1715.0,111.0,440.0,821.0,2.0,,2015.0
635,Kabasalan,KABASALAN,2475.0,4199.0,253.0,516.0,54.0,799.0,691.0,242.0,246.0,3.0,38.0,1.0,,2015.0
636,Kabayan,KABAYAN,8.0,3.0,1.0,9.0,,5.0,1946.0,1515.0,1.0,,1.0,,,2015.0
637,Kabugao,KABUGAO (Capital),49.0,68.0,73.0,7.0,45.0,452.0,1763.0,559.0,126.0,,,,,2015.0
638,Kabuntalan,KABUNTALAN (TUMBAO),40.0,9.0,30.0,209.0,259.0,1851.0,4.0,1.0,164.0,,15.0,,,2015.0
639,Kadingilan,KADINGILAN,2717.0,1400.0,53.0,196.0,304.0,374.0,1517.0,850.0,3.0,1.0,39.0,,,2015.0
640,Kalamansig,KALAMANSIG,1147.0,3090.0,271.0,1423.0,992.0,341.0,1472.0,1652.0,479.0,,15.0,75.0,,2015.0
641,Kalawit,KALAWIT,203.0,1501.0,351.0,1094.0,310.0,967.0,52.0,330.0,12.0,4.0,6.0,,,2015.0
642,Kalayaan (LA),KALAYAAN,2949.0,1569.0,23.0,83.0,11.0,253.0,158.0,22.0,1.0,20.0,56.0,2.0,,2015.0
643,Kalayaan (PN),KALAYAAN,29.0,,,,,,,,,,2.0,,,2015.0
644,Kalibo,KALIBO (Capital),12769.0,2400.0,1575.0,709.0,197.0,97.0,30.0,,,,153.0,,,2015.0
645,Kalilangan,KALILANGAN,2840.0,1747.0,219.0,881.0,25.0,483.0,2063.0,583.0,15.0,2.0,11.0,,,2015.0
646,Kalingalan Caluang,KALINGALAN CALUANG,33.0,32.0,87.0,1244.0,37.0,2902.0,312.0,21.0,786.0,87.0,7.0,,,2015.0
647,Kananga,KANANGA,3754.0,5363.0,269.0,1482.0,63.0,1006.0,661.0,116.0,103.0,60.0,44.0,,,2015.0
648,Kapai,KAPAI,294.0,102.0,1.0,403.0,1.0,11.0,1321.0,215.0,372.0,2.0,,1.0,,2015.0
649,Kapalong,KAPALONG,3678.0,1700.0,1417.0,5886.0,1713.0,318.0,1370.0,9.0,412.0,605.0,156.0,1.0,,2015.0
650,Kapangan,KAPANGAN,1830.0,285.0,138.0,185.0,,111.0,399.0,1082.0,131.0,17.0,20.0,,,2015.0
651,Kapatagan (LN),KAPATAGAN,4259.0,6021.0,471.0,2749.0,225.0,197.0,559.0,168.0,14.0,292.0,43.0,,,2015.0
652,Kapatagan (LS),KAPATAGAN,251.0,1552.0,47.0,12.0,106.0,304.0,30.0,,127.0,173.0,,2.0,,2015.0
653,Kasibu,KASIBU,932.0,1021.0,397.0,323.0,430.0,170.0,2065.0,2952.0,45.0,5.0,107.0,1.0,,2015.0
654,Katipunan,KATIPUNAN,1051.0,1868.0,529.0,2179.0,257.0,561.0,1474.0,1700.0,76.0,37.0,71.0,,,2015.0
655,Kauswagan,KAUSWAGAN,1811.0,2525.0,39.0,394.0,18.0,160.0,352.0,364.0,159.0,89.0,5.0,,,2015.0
656,Kawayan,KAWAYAN,2758.0,1478.0,112.0,145.0,17.0,7.0,,29.0,7.0,69.0,9.0,,,2015.0
657,Kawit,KAWIT,10828.0,1366.0,865.0,3962.0,536.0,21.0,4.0,,2.0,76.0,3351.0,7.0,,2015.0
658,Kayapa,KAYAPA,27.0,1.0,6.0,50.0,15.0,186.0,2997.0,2252.0,6.0,,,4.0,,2015.0
659,Kiamba,KIAMBA,527.0,3732.0,1716.0,4621.0,662.0,402.0,1013.0,494.0,393.0,8.0,20.0,,,2015.0
660,Kiangan,KIANGAN,1153.0,835.0,60.0,24.0,17.0,1.0,1028.0,318.0,5.0,5.0,39.0,,,2015.0
661,Kibawe,KIBAWE,2904.0,1902.0,283.0,816.0,66.0,1141.0,1240.0,476.0,3.0,24.0,17.0,,,2015.0
662,Kiblawan,KIBLAWAN,4912.0,4180.0,169.0,1199.0,375.0,1643.0,467.0,365.0,142.0,4.0,18.0,,,2015.0
663,Kibungan,KIBUNGAN,631.0,152.0,53.0,9.0,4.0,2.0,1462.0,1093.0,181.0,,,,,2015.0
664,Kidapawan,CITY OF KIDAPAWAN (Capital),23022.0,5861.0,1032.0,868.0,44.0,684.0,1009.0,206.0,31.0,384.0,89.0,20.0,,2015.0
665,Kinoguitan,KINOGUITAN,1323.0,1291.0,56.0,224.0,6.0,130.0,6.0,,1.0,1.0,8.0,,,2015.0
666,Kitaotao,KITAOTAO,2261.0,4121.0,378.0,951.0,83.0,477.0,2399.0,164.0,8.0,9.0,43.0,3.0,,2015.0
667,Kitcharao,,,,,,,,,,,,,,,
668,Kolambugan,KOLAMBUGAN,1813.0,1112.0,112.0,1677.0,46.0,218.0,1299.0,158.0,,1.0,10.0,,,2015.0
669,Koronadal,CITY OF KORONADAL (Capital),13915.0,3925.0,10344.0,10552.0,917.0,421.0,1517.0,160.0,15.0,56.0,956.0,124.0,,2015.0
670,Kumalarang,KUMALARANG,797.0,752.0,13.0,187.0,3.0,127.0,3495.0,434.0,189.0,,8.0,,,2015.0
671,Laak,LAAK (SAN VICENTE),2038.0,5139.0,226.0,2409.0,238.0,4033.0,1959.0,964.0,375.0,101.0,55.0,,,2015.0
672,Labangan,LABANGAN,1625.0,2022.0,505.0,2429.0,518.0,874.0,330.0,160.0,8.0,210.0,86.0,,,2015.0
673,Labason,LABASON,2762.0,2139.0,867.0,1720.0,536.0,443.0,364.0,205.0,8.0,9.0,130.0,3.0,,2015.0
674,Labo,,,,,,,,,,,,,,,
675,Labrador,LABRADOR,181.0,33.0,2884.0,2082.0,1.0,4.0,57.0,6.0,,,231.0,1.0,,2015.0
676,La Carlota,LA CARLOTA CITY,9470.0,1914.0,252.0,1481.0,144.0,288.0,1893.0,609.0,10.0,53.0,101.0,72.0,,2015.0
677,La Castellana,LA CASTELLANA,3205.0,2298.0,825.0,2708.0,255.0,432.0,4636.0,2004.0,172.0,642.0,25.0,6.0,,2015.0
678,Lacub,LACUB,6.0,,3.0,2.0,,,592.0,44.0,,,,,,2015.0
679,Lagangilang,LAGANGILANG,783.0,264.0,396.0,799.0,134.0,91.0,484.0,155.0,4.0,,37.0,,,2015.0
680,Lagawe,LAGAWE (Capital),1838.0,945.0,144.0,54.0,10.0,26.0,474.0,187.0,11.0,183.0,74.0,6.0,,2015.0
681,Lagayan,LAGAYAN,3.0,55.0,48.0,117.0,139.0,5.0,211.0,349.0,5.0,,,,,2015.0
682,Lagonglong,LAGONGLONG,1901.0,886.0,148.0,1319.0,19.0,100.0,144.0,48.0,15.0,,4.0,,,2015.0
683,Lagonoy,,,,,,,,,,,,,,,
684,Laguindingan,LAGUINDINGAN,3175.0,1797.0,6.0,360.0,21.0,1.0,48.0,7.0,14.0,11.0,174.0,,,2015.0
685,Lake Sebu,LAKE SEBU,1099.0,5662.0,764.0,1792.0,461.0,3426.0,4114.0,1139.0,28.0,73.0,16.0,4.0,,2015.0
686,Lakewood,LAKEWOOD,538.0,594.0,24.0,134.0,4.0,84.0,1876.0,671.0,53.0,118.0,2.0,1.0,,2015.0
687,Lala,LALA,1769.0,504.0,3034.0,9150.0,112.0,36.0,269.0,167.0,,278.0,124.0,,,2015.0
688,La Libertad (NR),LA LIBERTAD,2144.0,2017.0,1165.0,1611.0,196.0,660.0,978.0,274.0,,98.0,14.0,7.0,,2015.0
689,La Libertad (ZN),LA LIBERTAD,28.0,262.0,34.0,252.0,23.0,570.0,387.0,246.0,12.0,,57.0,,,2015.0
690,Lallo,LAL-LO,1459.0,183.0,2067.0,3451.0,1454.0,1265.0,195.0,22.0,6.0,,169.0,,,2015.0
691,Lambayong,LAMBAYONG (MARIANO MARCOS),439.0,422.0,2925.0,8078.0,4716.0,7.0,1126.0,12.0,3.0,,84.0,3.0,,2015.0
692,Lambunao,LAMBUNAO,1680.0,1508.0,2946.0,6016.0,579.0,2257.0,379.0,10.0,355.0,140.0,47.0,17.0,,2015.0
693,Lamitan,CITY OF LAMITAN,3621.0,3585.0,592.0,2991.0,586.0,2899.0,542.0,31.0,127.0,40.0,47.0,4.0,,2015.0
694,Lamut,LAMUT,432.0,320.0,2164.0,1635.0,19.0,90.0,724.0,123.0,6.0,17.0,70.0,,,2015.0
695,Langiden,LANGIDEN,12.0,173.0,16.0,234.0,,,114.0,153.0,3.0,,,,,2015.0
696,Languyan,LANGUYAN,1060.0,262.0,71.0,56.0,89.0,3956.0,2.0,2.0,703.0,161.0,5.0,,,2015.0
697,Lantapan,LANTAPAN,5214.0,5194.0,118.0,538.0,10.0,131.0,817.0,356.0,253.0,283.0,53.0,,,2015.0
698,Lantawan,LANTAWAN,585.0,834.0,278.0,1673.0,23.0,781.0,193.0,118.0,107.0,16.0,1.0,,,2015.0
699,Lanuza,LANUZA,972.0,883.0,358.0,286.0,2.0,1.0,97.0,162.0,20.0,,2.0,,,2015.0
700,Laoac,LAOAC,450.0,53.0,3775.0,3004.0,23.0,1.0,2.0,,,,119.0,2.0,,2015.0
701,Laoag,LAOAG CITY (Capital),10588.0,1359.0,6988.0,3428.0,781.0,952.0,22.0,1.0,,30.0,1133.0,3.0,,2015.0
702,Laoang,LAOANG,227.0,1873.0,879.0,3406.0,312.0,4704.0,392.0,45.0,54.0,10.0,380.0,1.0,,2015.0
703,La Paz (AA),LA PAZ,321.0,238.0,464.0,968.0,108.0,699.0,301.0,101.0,230.0,,11.0,1.0,,2015.0
704,La Paz (AS),LA PAZ,29.0,1027.0,36.0,302.0,26.0,727.0,347.0,630.0,1687.0,429.0,42.0,15.0,,2015.0
705,La Paz (LE),LA PAZ,804.0,1773.0,114.0,515.0,1329.0,248.0,117.0,53.0,16.0,3.0,8.0,,,2015.0
706,La Paz (TC),LA PAZ,2519.0,324.0,5770.0,4054.0,1181.0,4.0,,,,5.0,205.0,,,2015.0
707,Lapinig,LAPINIG,17.0,469.0,230.0,1645.0,5.0,23.0,93.0,,1.0,,,,,2015.0
708,Lapu Lapu,LAPU-LAPU CITY (OPON),21001.0,16515.0,10583.0,28751.0,3600.0,5414.0,37.0,23.0,943.0,2624.0,9757.0,325.0,,2015.0
709,Lapuyan,LAPUYAN,945.0,3027.0,82.0,835.0,2.0,271.0,452.0,102.0,19.0,1.0,57.0,,,2015.0
710,Larena,LARENA,2155.0,705.0,6.0,45.0,,19.0,142.0,19.0,5.0,18.0,1.0,,,2015.0
711,Lasam,LASAM,541.0,568.0,4338.0,2817.0,92.0,469.0,54.0,3.0,56.0,5.0,83.0,,,2015.0
712,Las Navas,LAS NAVAS,414.0,3414.0,57.0,448.0,7.0,696.0,630.0,841.0,433.0,145.0,48.0,,,2015.0
713,Las Nieves,,,,,,,,,,,,,,,
714,Las Pinas,CITY OF LAS PIÑAS,111950.0,11997.0,617.0,1869.0,52.0,181.0,137.0,1.0,1.0,2016.0,12977.0,127.0,,2015.0
715,La Trinidad,LA TRINIDAD (Capital),19925.0,4382.0,1236.0,1264.0,45.0,246.0,2571.0,1638.0,83.0,997.0,1709.0,61.0,,2015.0
716,Laua-An,LAUA-AN,135.0,1209.0,1022.0,2221.0,103.0,108.0,730.0,464.0,66.0,2.0,18.0,2.0,,2015.0
717,Laur,LAUR,2475.0,1095.0,1720.0,2634.0,173.0,75.0,563.0,39.0,11.0,1.0,7.0,,,2015.0
718,Laurel,LAUREL,3555.0,1443.0,1298.0,1242.0,251.0,139.0,22.0,1.0,127.0,477.0,4.0,4.0,,2015.0
719,Lavezares,LAVEZARES,213.0,2409.0,466.0,1711.0,137.0,87.0,765.0,53.0,33.0,162.0,97.0,,,2015.0
720,Lawaan,LAWAAN,702.0,696.0,138.0,1143.0,54.0,178.0,17.0,14.0,8.0,1.0,70.0,,,2015.0
721,Lazi,LAZI,1680.0,2503.0,36.0,287.0,31.0,192.0,131.0,116.0,17.0,17.0,1.0,,,2015.0
722,Lebak,LEBAK,1527.0,2906.0,1173.0,4190.0,1391.0,3306.0,3855.0,1796.0,163.0,12.0,69.0,,,2015.0
723,Leganes,LEGANES,620.0,364.0,1414.0,1852.0,34.0,652.0,4.0,9.0,7.0,838.0,1228.0,11.0,,2015.0
724,Legazpi,,,,,,,,,,,,,,,
725,Lemery (BS),LEMERY,13655.0,4799.0,574.0,562.0,8.0,3.0,18.0,,305.0,80.0,118.0,19.0,,2015.0
726,Lemery (IO),LEMERY,476.0,741.0,2007.0,3583.0,101.0,483.0,284.0,159.0,2.0,1.0,2.0,,,2015.0
727,Leon,LEON,969.0,1123.0,1776.0,3225.0,201.0,1348.0,1489.0,448.0,4.0,5.0,167.0,,,2015.0
728,Leyte,LEYTE,680.0,4483.0,320.0,2048.0,12.0,1297.0,30.0,89.0,21.0,89.0,32.0,,,2015.0
729,Lezo,LEZO,697.0,201.0,1153.0,1399.0,16.0,66.0,21.0,,,,37.0,,,2015.0
730,Lian,LIAN,2553.0,1645.0,3489.0,3725.0,762.0,331.0,123.0,57.0,,28.0,242.0,1.0,,2015.0
731,Lianga,LIANGA,2230.0,2653.0,31.0,695.0,7.0,50.0,505.0,68.0,28.0,,35.0,,,2015.0
732,Libacao,LIBACAO,876.0,312.0,420.0,547.0,536.0,1479.0,1416.0,984.0,,,5.0,,,2015.0
733,Libagon,LIBAGON,2417.0,439.0,10.0,203.0,21.0,9.0,73.0,,2.0,,4.0,,,2015.0
734,Libertad (AE),LIBERTAD,186.0,687.0,806.0,1196.0,362.0,2.0,92.0,289.0,2.0,,13.0,4.0,,2015.0
735,Libertad (MO),LIBERTAD,1673.0,750.0,20.0,205.0,,19.0,29.0,1.0,15.0,5.0,1.0,,,2015.0
736,Libjo,LIBJO (ALBOR),1590.0,2201.0,37.0,208.0,3.0,26.0,19.0,9.0,6.0,,4.0,,,2015.0
737,Libmanan,,,,,,,,,,,,,,,
738,Libon,,,,,,,,,,,,,,,
739,Libona,LIBONA,4395.0,2341.0,415.0,529.0,9.0,458.0,1009.0,449.0,52.0,247.0,47.0,6.0,,2015.0
740,Libungan,LIBUNGAN,1329.0,1155.0,1565.0,3675.0,1069.0,1033.0,1023.0,136.0,26.0,208.0,253.0,4.0,,2015.0
741,Licab,LICAB,1734.0,539.0,1661.0,2368.0,79.0,,,,,,6.0,,,2015.0
742,Licuan-Baay,LICUAN-BAAY (LICUAN),,,6.0,2.0,1.0,,909.0,49.0,1.0,,,,,2015.0
743,Lidlidda,LIDLIDDA,8.0,,25.0,217.0,21.0,,699.0,24.0,,,3.0,7.0,,2015.0
744,Ligao,,,,,,,,,,,,,,,
745,Lila,LILA,1574.0,463.0,1.0,2.0,1.0,2.0,41.0,,,,6.0,,,2015.0
746,Liliw,LILIW,8250.0,877.0,13.0,74.0,,35.0,15.0,8.0,1.0,,34.0,2.0,,2015.0
747,Liloan (CU),LILOAN,14586.0,4669.0,1657.0,5294.0,372.0,295.0,215.0,19.0,1.0,179.0,557.0,3.0,,2015.0
748,Liloan (SL),LILOAN,3474.0,1426.0,21.0,27.0,8.0,32.0,93.0,,2.0,1.0,6.0,,,2015.0
749,Liloy,LILOY,4596.0,1954.0,283.0,1340.0,98.0,633.0,161.0,65.0,9.0,16.0,50.0,164.0,,2015.0
750,Limasawa,LIMASAWA,130.0,1.0,169.0,928.0,,2.0,127.0,8.0,,,1.0,,,2015.0
751,Limay,LIMAY,9079.0,2743.0,127.0,1349.0,802.0,50.0,944.0,51.0,14.0,1.0,143.0,42.0,,2015.0
752,Linamon,LINAMON,2104.0,751.0,43.0,522.0,95.0,7.0,739.0,185.0,2.0,1.0,24.0,,,2015.0
753,Linapacan,LINAPACAN,25.0,1208.0,9.0,47.0,21.0,1771.0,206.0,23.0,50.0,3.0,7.0,,,2015.0
754,Lingayen,LINGAYEN (Capital),4572.0,1096.0,7540.0,6276.0,493.0,65.0,3.0,1.0,3.0,8.0,1721.0,2.0,,2015.0
755,Lingig,LINGIG,457.0,2446.0,188.0,303.0,110.0,176.0,1085.0,1305.0,1.0,882.0,141.0,,,2015.0
756,Lipa,LIPA CITY,63051.0,6112.0,845.0,1219.0,123.0,361.0,169.0,37.0,50.0,62.0,1461.0,117.0,,2015.0
757,Llanera,LLANERA,1067.0,496.0,5024.0,2930.0,30.0,13.0,2.0,,,,28.0,,,2015.0
758,Llorente,LLORENTE,639.0,700.0,905.0,2259.0,4.0,1.0,103.0,124.0,21.0,,12.0,,,2015.0
759,Loay,LOAY,2718.0,384.0,77.0,181.0,9.0,18.0,85.0,1.0,1.0,3.0,101.0,,,2015.0
760,Lobo,LOBO,4542.0,537.0,288.0,371.0,68.0,25.0,2972.0,229.0,,3.0,11.0,6.0,,2015.0
761,Loboc,LOBOC,2303.0,763.0,23.0,53.0,34.0,79.0,171.0,8.0,19.0,8.0,22.0,,,2015.0
762,Looc (OM),LOOC,729.0,792.0,112.0,242.0,207.0,297.0,21.0,1.0,19.0,,,1.0,,2015.0
763,Looc (RN),LOOC,2018.0,661.0,692.0,1653.0,11.0,95.0,144.0,70.0,4.0,,30.0,2.0,,2015.0
764,Loon,LOON,4884.0,1495.0,41.0,161.0,30.0,67.0,1107.0,129.0,1638.0,285.0,112.0,3.0,,2015.0
765,Lope De Vega,LOPE DE VEGA,73.0,1321.0,27.0,342.0,19.0,8.0,666.0,285.0,99.0,,7.0,,,2015.0
766,Lopez,LOPEZ,3298.0,3318.0,1086.0,1873.0,564.0,6856.0,1888.0,404.0,376.0,435.0,739.0,26.0,,2015.0
767,Lopez Jaena,LOPEZ JAENA,2724.0,1913.0,51.0,288.0,9.0,136.0,624.0,3.0,2.0,16.0,64.0,,,2015.0
768,Loreto (AS),LORETO,230.0,1261.0,527.0,2384.0,227.0,1422.0,1174.0,899.0,820.0,62.0,22.0,,,2015.0
769,Loreto (DI),LORETO,1704.0,350.0,41.0,20.0,60.0,46.0,26.0,,11.0,1.0,,,,2015.0
770,Los Banos,LOS BAÑOS,23344.0,2069.0,1379.0,1630.0,48.0,211.0,225.0,1.0,79.0,7.0,27.0,,,2015.0
771,Luba,LUBA,,,,,,,1364.0,5.0,1.0,,,,,2015.0
772,Lubang,LUBANG,3426.0,414.0,96.0,92.0,24.0,408.0,,5.0,275.0,1.0,35.0,1.0,,2015.0
773,Lubao,LUBAO,17286.0,1812.0,6690.0,6318.0,885.0,116.0,26.0,1.0,1.0,111.0,1227.0,19.0,,2015.0
774,Lubuagan,LUBUAGAN,17.0,140.0,,3.0,9.0,4.0,1266.0,292.0,,,,,,2015.0
775,Lucban,LUCBAN,9890.0,607.0,266.0,275.0,25.0,128.0,499.0,27.0,10.0,180.0,59.0,3.0,,2015.0
776,Lucena,LUCENA CITY (Capital),29972.0,15444.0,1577.0,5085.0,996.0,267.0,114.0,16.0,93.0,5311.0,948.0,13.0,,2015.0
777,Lugait,LUGAIT,1478.0,1487.0,181.0,1119.0,4.0,26.0,139.0,100.0,8.0,16.0,92.0,,,2015.0
778,Lugus,LUGUS,7.0,11.0,14.0,33.0,27.0,1903.0,,3.0,705.0,956.0,276.0,,,2015.0
779,Luisiana,LUISIANA,2179.0,1493.0,312.0,507.0,16.0,103.0,79.0,2.0,14.0,83.0,59.0,,,2015.0
780,Lumba-Bayabao,LUMBA-BAYABAO (MAGUING),147.0,9.0,54.0,192.0,6.0,7.0,433.0,165.0,4683.0,6.0,66.0,,,2015.0
781,Lumbaca-Unayan,LUMBACA UNAYAN,60.0,1.0,1.0,,,21.0,6.0,493.0,516.0,,1.0,,,2015.0
782,Lumban,LUMBAN,2152.0,663.0,1688.0,2152.0,74.0,11.0,303.0,107.0,13.0,7.0,180.0,,,2015.0
783,Lumbatan,LUMBATAN,171.0,597.0,129.0,639.0,21.0,827.0,373.0,16.0,139.0,1.0,,,,2015.0
784,Lumbayanague,LUMBAYANAGUE,95.0,19.0,10.0,127.0,549.0,861.0,26.0,709.0,103.0,,,,,2015.0
785,Luna (AO),LUNA,58.0,98.0,1322.0,1244.0,254.0,800.0,111.0,46.0,118.0,1.0,122.0,,,2015.0
786,Luna (IA),LUNA,961.0,50.0,2361.0,1206.0,,4.0,,,,,64.0,,,2015.0
787,Luna (LU),LUNA,525.0,482.0,4214.0,2452.0,83.0,344.0,257.0,,,1.0,131.0,1.0,,2015.0
788,Lupao,LUPAO,1709.0,264.0,4410.0,3398.0,145.0,34.0,89.0,8.0,2.0,,19.0,2.0,,2015.0
789,Lupi,,,,,,,,,,,,,,,
790,Lupon,LUPON,2780.0,2934.0,1503.0,5703.0,367.0,391.0,1174.0,175.0,56.0,,165.0,2.0,,2015.0
791,Lutayan,LUTAYAN,255.0,2104.0,2854.0,6314.0,818.0,478.0,166.0,15.0,26.0,2.0,46.0,14.0,,2015.0
792,Luuk,LUUK,243.0,69.0,97.0,843.0,273.0,3750.0,38.0,7.0,446.0,4.0,3.0,,,2015.0
793,Maasim,MAASIM,1804.0,3607.0,1577.0,3743.0,221.0,186.0,866.0,60.0,166.0,12.0,886.0,132.0,,2015.0
794,Maasin (IO),MAASIN,639.0,458.0,1729.0,3261.0,213.0,197.0,649.0,51.0,121.0,11.0,55.0,,,2015.0
795,Maasin (SL),CITY OF MAASIN (Capital),8842.0,5146.0,572.0,2398.0,196.0,161.0,850.0,257.0,37.0,2.0,158.0,,,2015.0
796,Ma-Ayon,MA-AYON,120.0,421.0,1595.0,3821.0,564.0,1457.0,532.0,695.0,58.0,1.0,15.0,1.0,,2015.0
797,Mabalacat,MABALACAT CITY,43072.0,2420.0,2022.0,2526.0,270.0,175.0,18.0,5.0,122.0,13.0,5999.0,8.0,,2015.0
798,Mabinay,MABINAY,2248.0,4114.0,911.0,3945.0,605.0,4146.0,742.0,563.0,,372.0,60.0,3.0,,2015.0
799,Mabini (BS),MABINI,7035.0,652.0,281.0,242.0,152.0,30.0,1426.0,18.0,4.0,1.0,110.0,3.0,,2015.0
800,Mabini (BL),MABINI,2871.0,934.0,70.0,1468.0,43.0,200.0,616.0,23.0,5.0,1.0,23.0,,,2015.0
801,Mabini (CV),MABINI (DOÑA ALICIA),1211.0,1463.0,436.0,3823.0,295.0,127.0,2203.0,9.0,30.0,13.0,41.0,3.0,,2015.0
802,Mabini (PS),MABINI,1797.0,700.0,542.0,1598.0,324.0,529.0,258.0,92.0,40.0,23.0,14.0,,,2015.0
803,Mabitac,MABITAC,513.0,900.0,339.0,1861.0,138.0,10.0,710.0,2.0,6.0,3.0,89.0,4.0,,2015.0
804,Mabuhay,MABUHAY,1100.0,1373.0,151.0,2175.0,289.0,1797.0,9.0,1.0,,63.0,28.0,,,2015.0
805,Macabebe,MACABEBE,10810.0,1345.0,998.0,2523.0,127.0,138.0,2.0,,1.0,1.0,360.0,16.0,,2015.0
806,Macalelon,MACALELON,417.0,1642.0,173.0,1038.0,202.0,1702.0,56.0,70.0,306.0,74.0,247.0,4.0,,2015.0
807,Macarthur,MACARTHUR,1017.0,1360.0,404.0,1840.0,81.0,138.0,183.0,36.0,17.0,20.0,13.0,,,2015.0
808,Maco,MACO,7185.0,4122.0,655.0,2730.0,633.0,647.0,2266.0,475.0,97.0,59.0,250.0,31.0,,2015.0
809,Maconacon,MACONACON,16.0,8.0,334.0,439.0,,21.0,60.0,5.0,94.0,,,,,2015.0
810,Macrohon,MACROHON,3812.0,1362.0,139.0,415.0,125.0,29.0,100.0,21.0,4.0,2.0,49.0,,,2015.0
811,Madalag,MADALAG,147.0,745.0,363.0,372.0,90.0,676.0,1157.0,493.0,,,217.0,,,2015.0
812,Madalum,MADALUM,519.0,1381.0,190.0,456.0,86.0,3.0,818.0,17.0,230.0,1.0,,,,2015.0
813,Madamba,MADAMBA,64.0,1408.0,32.0,278.0,113.0,12.0,377.0,72.0,267.0,,7.0,,,2015.0
814,Maddela,MADDELA,565.0,357.0,1176.0,1349.0,3842.0,48.0,1158.0,366.0,5.0,1.0,33.0,14.0,,2015.0
815,Madrid,MADRID,659.0,431.0,1035.0,414.0,955.0,3.0,,,,,7.0,,,2015.0
816,Madridejos,MADRIDEJOS,2555.0,3341.0,193.0,529.0,68.0,1205.0,2.0,,1.0,128.0,91.0,,,2015.0
817,Magalang,MAGALANG,10010.0,1096.0,6831.0,3709.0,203.0,16.0,23.0,2.0,29.0,4.0,2478.0,83.0,,2015.0
818,Magallanes (AN),,,,,,,,,,,,,,,
819,Magallanes (CE),MAGALLANES,3373.0,1018.0,14.0,5.0,2.0,242.0,86.0,7.0,2.0,3.0,25.0,,,2015.0
820,Magallanes (SO),,,,,,,,,,,,,,,
821,Magarao,,,,,,,,,,,,,,,
822,Magdalena,MAGDALENA,1616.0,630.0,183.0,1204.0,12.0,12.0,246.0,3.0,2.0,1816.0,126.0,,,2015.0
823,Magdiwang,MAGDIWANG,593.0,703.0,296.0,796.0,3.0,78.0,483.0,32.0,66.0,,12.0,17.0,,2015.0
824,Magpet,MAGPET,4814.0,4180.0,182.0,627.0,61.0,390.0,651.0,230.0,16.0,18.0,10.0,2.0,,2015.0
825,Magsaysay (DS),MAGSAYSAY,1910.0,3577.0,2258.0,3643.0,104.0,467.0,1510.0,68.0,28.0,,6.0,,,2015.0
826,Magsaysay (LN),MAGSAYSAY,680.0,1076.0,52.0,302.0,211.0,905.0,284.0,44.0,273.0,1.0,11.0,,,2015.0
827,Magsaysay (MO),MAGSAYSAY (LINUGOS),443.0,2888.0,317.0,1583.0,135.0,1060.0,435.0,25.0,6.0,36.0,57.0,,,2015.0
828,Magsaysay (OM),MAGSAYSAY,1504.0,552.0,794.0,2417.0,821.0,147.0,1022.0,359.0,54.0,1.0,148.0,,,2015.0
829,Magsaysay (PN),MAGSAYSAY,93.0,130.0,50.0,20.0,4.0,2261.0,,,3.0,172.0,,,,2015.0
830,Magsingal,MAGSINGAL,392.0,44.0,393.0,658.0,5951.0,226.0,48.0,102.0,,,129.0,,,2015.0
831,Maguing,MAGUING,6.0,230.0,94.0,16.0,142.0,44.0,9.0,88.0,2855.0,43.0,211.0,,,2015.0
832,Mahaplag,MAHAPLAG,1560.0,4164.0,58.0,149.0,7.0,159.0,47.0,6.0,51.0,32.0,5.0,,,2015.0
833,Mahatao,MAHATAO,435.0,8.0,,,,,,,,,,,,2015.0
834,Mahayag,MAHAYAG,2888.0,3243.0,446.0,1552.0,464.0,617.0,380.0,82.0,55.0,24.0,18.0,,,2015.0
835,Mahinog,MAHINOG,2314.0,771.0,,23.0,,2.0,8.0,17.0,,,,,,2015.0
836,Maigo,MAIGO,2236.0,1139.0,53.0,577.0,7.0,174.0,319.0,367.0,113.0,,23.0,,,2015.0
837,Maimbung,MAIMBUNG,340.0,2315.0,29.0,1160.0,545.0,704.0,6.0,5.0,864.0,495.0,13.0,4.0,,2015.0
838,Mainit,MAINIT,4166.0,1456.0,35.0,64.0,6.0,5.0,209.0,12.0,4.0,,16.0,2.0,,2015.0
839,Maitum,MAITUM,818.0,3097.0,969.0,3643.0,368.0,493.0,342.0,569.0,149.0,6.0,177.0,,,2015.0
840,Majayjay,MAJAYJAY,4531.0,1793.0,11.0,6.0,,20.0,213.0,,1.0,8.0,39.0,2.0,,2015.0
841,Makati,CITY OF MAKATI,132241.0,13107.0,258.0,473.0,37.0,11.0,35.0,2.0,1.0,327.0,6926.0,677.0,,2015.0
842,Makato,MAKATO,764.0,705.0,1195.0,2848.0,315.0,130.0,488.0,35.0,,,101.0,,,2015.0
