,name,city,bldg_type,Occupied Housing Units,Number of Households*,Household Population*,Average Household Size,Ratio of Households to Occupied Housing Units,Ratio of Household Population to Occupied Housing Units,year
169,Alburquerque,ALBURQUERQUE,Duplex,60.0,61.0,223.0,3.66,1.02,3.72,2015.0
170,Alburquerque,ALBURQUERQUE,Multi-unit residential,7.0,8.0,22.0,2.75,1.14,3.14,2015.0
171,Alburquerque,ALBURQUERQUE,Commercial/industrial/agricultural,10.0,10.0,33.0,3.3,1.0,3.3,2015.0
172,Alburquerque,ALBURQUERQUE,Institutional living quarter,1.0,1.0,1.0,1.0,1.0,1.0,2015.0
173,Alburquerque,ALBURQUERQUE,Others,,,,,,,2015.0
174,Alburquerque,ALBURQUERQUE,Not Reported,,,,,,,2015.0
175,Alcala (CG),ALCALA,Single house,8662.0,8740.0,36765.0,4.21,1.01,4.24,2015.0
176,Alcala (CG),ALCALA,Duplex,429.0,436.0,1659.0,3.81,1.02,3.87,2015.0
177,Alcala (CG),ALCALA,Multi-unit residential,70.0,70.0,257.0,3.67,1.0,3.67,2015.0
178,Alcala (CG),ALCALA,Commercial/industrial/agricultural,1.0,1.0,4.0,4.0,1.0,4.0,2015.0
179,Alcala (CG),ALCALA,Institutional living quarter,,,,,,,2015.0
180,Alcala (CG),ALCALA,Others,1.0,1.0,2.0,2.0,1.0,2.0,2015.0
181,Alcala (CG),ALCALA,Not Reported,,,,,,,2015.0
182,Alcala (PS),ALCALA,Single house,9139.0,9251.0,39900.0,4.31,1.01,4.37,2015.0
183,Alcala (PS),ALCALA,Duplex,682.0,685.0,2620.0,3.82,1.0,3.84,2015.0
184,Alcala (PS),ALCALA,Multi-unit residential,226.0,226.0,827.0,3.66,1.0,3.66,2015.0
185,Alcala (PS),ALCALA,Commercial/industrial/agricultural,5.0,6.0,25.0,4.17,1.2,5.0,2015.0
186,Alcala (PS),ALCALA,Institutional living quarter,,,,,,,2015.0
187,Alcala (PS),ALCALA,Others,,,,,,,2015.0
188,Alcala (PS),ALCALA,Not Reported,5.0,6.0,24.0,4.0,1.2,4.8,2015.0
189,Alcantara (CU),ALCANTARA,Single house,3283.0,3306.0,14641.0,4.43,1.01,4.46,2015.0
190,Alcantara (CU),ALCANTARA,Duplex,112.0,117.0,429.0,3.67,1.04,3.83,2015.0
191,Alcantara (CU),ALCANTARA,Multi-unit residential,19.0,19.0,80.0,4.21,1.0,4.21,2015.0
192,Alcantara (CU),ALCANTARA,Commercial/industrial/agricultural,1.0,1.0,4.0,4.0,1.0,4.0,2015.0
193,Alcantara (CU),ALCANTARA,Institutional living quarter,,,,,,,2015.0
194,Alcantara (CU),ALCANTARA,Others,1.0,1.0,1.0,1.0,1.0,1.0,2015.0
195,Alcantara (CU),ALCANTARA,Not Reported,,,,,,,2015.0
196,Alcantara (RN),ALCANTARA,Single house,3450.0,3456.0,15467.0,4.48,1.0,4.48,2015.0
197,Alcantara (RN),ALCANTARA,Duplex,166.0,166.0,678.0,4.08,1.0,4.08,2015.0
198,Alcantara (RN),ALCANTARA,Multi-unit residential,48.0,49.0,186.0,3.8,1.02,3.88,2015.0
199,Alcantara (RN),ALCANTARA,Commercial/industrial/agricultural,,,,,,,2015.0
200,Alcantara (RN),ALCANTARA,Institutional living quarter,,,,,,,2015.0
201,Alcantara (RN),ALCANTARA,Others,,,,,,,2015.0
202,Alcantara (RN),ALCANTARA,Not Reported,2.0,2.0,12.0,6.0,1.0,6.0,2015.0
203,Alcoy,ALCOY,Single house,3251.0,3256.0,16346.0,5.02,1.0,5.03,2015.0
204,Alcoy,ALCOY,Duplex,96.0,96.0,494.0,5.15,1.0,5.15,2015.0
205,Alcoy,ALCOY,Multi-unit residential,23.0,23.0,81.0,3.52,1.0,3.52,2015.0
206,Alcoy,ALCOY,Commercial/industrial/agricultural,13.0,13.0,58.0,4.46,1.0,4.46,2015.0
207,Alcoy,ALCOY,Institutional living quarter,,,,,,,2015.0
208,Alcoy,ALCOY,Others,,,,,,,2015.0
209,Alcoy,ALCOY,Not Reported,,,,,,,2015.0
210,Alegria (CU),ALEGRIA,Single house,4827.0,4883.0,22610.0,4.63,1.01,4.68,2015.0
211,Alegria (CU),ALEGRIA,Duplex,124.0,126.0,583.0,4.63,1.02,4.7,2015.0
212,Alegria (CU),ALEGRIA,Multi-unit residential,15.0,15.0,59.0,3.93,1.0,3.93,2015.0
213,Alegria (CU),ALEGRIA,Commercial/industrial/agricultural,3.0,4.0,10.0,2.5,1.33,3.33,2015.0
214,Alegria (CU),ALEGRIA,Institutional living quarter,,,,,,,2015.0
215,Alegria (CU),ALEGRIA,Others,,,,,,,2015.0
216,Alegria (CU),ALEGRIA,Not Reported,,,,,,,2015.0
217,Alegria (SN),ALEGRIA,Single house,3267.0,3279.0,15370.0,4.69,1.0,4.7,2015.0
218,Alegria (SN),ALEGRIA,Duplex,108.0,109.0,505.0,4.63,1.01,4.68,2015.0
219,Alegria (SN),ALEGRIA,Multi-unit residential,23.0,23.0,114.0,4.96,1.0,4.96,2015.0
220,Alegria (SN),ALEGRIA,Commercial/industrial/agricultural,3.0,3.0,8.0,2.67,1.0,2.67,2015.0
221,Alegria (SN),ALEGRIA,Institutional living quarter,1.0,1.0,7.0,7.0,1.0,7.0,2015.0
222,Alegria (SN),ALEGRIA,Others,,,,,,,2015.0
223,Alegria (SN),ALEGRIA,Not Reported,,,,,,,2015.0
224,Aleosan,ALEOSAN,Single house,8762.0,8804.0,39243.0,4.46,1.0,4.48,2015.0
225,Aleosan,ALEOSAN,Duplex,36.0,36.0,142.0,3.94,1.0,3.94,2015.0
226,Aleosan,ALEOSAN,Multi-unit residential,3.0,3.0,11.0,3.67,1.0,3.67,2015.0
227,Aleosan,ALEOSAN,Commercial/industrial/agricultural,1.0,1.0,4.0,4.0,1.0,4.0,2015.0
228,Aleosan,ALEOSAN,Institutional living quarter,1.0,1.0,1.0,1.0,1.0,1.0,2015.0
229,Aleosan,ALEOSAN,Others,,,,,,,2015.0
230,Aleosan,ALEOSAN,Not Reported,,,,,,,2015.0
231,Alfonso,ALFONSO,Single house,10325.0,10376.0,45655.0,4.4,1.0,4.42,2015.0
232,Alfonso,ALFONSO,Duplex,868.0,870.0,3720.0,4.28,1.0,4.29,2015.0
233,Alfonso,ALFONSO,Multi-unit residential,534.0,539.0,2255.0,4.18,1.01,4.22,2015.0
234,Alfonso,ALFONSO,Commercial/industrial/agricultural,33.0,33.0,121.0,3.67,1.0,3.67,2015.0
235,Alfonso,ALFONSO,Institutional living quarter,1.0,1.0,3.0,3.0,1.0,3.0,2015.0
236,Alfonso,ALFONSO,Others,1.0,1.0,2.0,2.0,1.0,2.0,2015.0
237,Alfonso,ALFONSO,Not Reported,,,,,,,2015.0
238,Alfonso Castaneda,ALFONSO CASTANEDA,Single house,1658.0,1661.0,7450.0,4.49,1.0,4.49,2015.0
239,Alfonso Castaneda,ALFONSO CASTANEDA,Duplex,68.0,68.0,268.0,3.94,1.0,3.94,2015.0
240,Alfonso Castaneda,ALFONSO CASTANEDA,Multi-unit residential,53.0,54.0,209.0,3.87,1.02,3.94,2015.0
241,Alfonso Castaneda,ALFONSO CASTANEDA,Commercial/industrial/agricultural,4.0,4.0,13.0,3.25,1.0,3.25,2015.0
242,Alfonso Castaneda,ALFONSO CASTANEDA,Institutional living quarter,,,,,,,2015.0
243,Alfonso Castaneda,ALFONSO CASTANEDA,Others,,,,,,,2015.0
244,Alfonso Castaneda,ALFONSO CASTANEDA,Not Reported,,,,,,,2015.0
245,Alfonso Lista,ALFONSO LISTA (POTIA),Single house,7005.0,7016.0,31528.0,4.49,1.0,4.5,2015.0
246,Alfonso Lista,ALFONSO LISTA (POTIA),Duplex,119.0,119.0,513.0,4.31,1.0,4.31,2015.0
247,Alfonso Lista,ALFONSO LISTA (POTIA),Multi-unit residential,9.0,9.0,29.0,3.22,1.0,3.22,2015.0
248,Alfonso Lista,ALFONSO LISTA (POTIA),Commercial/industrial/agricultural,3.0,3.0,5.0,1.67,1.0,1.67,2015.0
249,Alfonso Lista,ALFONSO LISTA (POTIA),Institutional living quarter,,,,,,,2015.0
250,Alfonso Lista,ALFONSO LISTA (POTIA),Others,,,,,,,2015.0
251,Alfonso Lista,ALFONSO LISTA (POTIA),Not Reported,2.0,2.0,6.0,3.0,1.0,3.0,2015.0
252,Aliaga,ALIAGA,Single house,13452.0,13514.0,61462.0,4.55,1.0,4.57,2015.0
253,Aliaga,ALIAGA,Duplex,376.0,378.0,1624.0,4.3,1.01,4.32,2015.0
254,Aliaga,ALIAGA,Multi-unit residential,90.0,90.0,361.0,4.01,1.0,4.01,2015.0
255,Aliaga,ALIAGA,Commercial/industrial/agricultural,11.0,11.0,40.0,3.64,1.0,3.64,2015.0
256,Aliaga,ALIAGA,Institutional living quarter,,,,,,,2015.0
257,Aliaga,ALIAGA,Others,1.0,1.0,5.0,5.0,1.0,5.0,2015.0
258,Aliaga,ALIAGA,Not Reported,10.0,10.0,46.0,4.6,1.0,4.6,2015.0
259,Alicia (BL),ALICIA,Single house,4997.0,5007.0,23022.0,4.6,1.0,4.61,2015.0
260,Alicia (BL),ALICIA,Duplex,79.0,79.0,332.0,4.2,1.0,4.2,2015.0
261,Alicia (BL),ALICIA,Multi-unit residential,12.0,12.0,35.0,2.92,1.0,2.92,2015.0
262,Alicia (BL),ALICIA,Commercial/industrial/agricultural,3.0,3.0,14.0,4.67,1.0,4.67,2015.0
263,Alicia (BL),ALICIA,Institutional living quarter,2.0,2.0,10.0,5.0,1.0,5.0,2015.0
264,Alicia (BL),ALICIA,Others,,,,,,,2015.0
265,Alicia (BL),ALICIA,Not Reported,2.0,2.0,8.0,4.0,1.0,4.0,2015.0
266,Alicia (IA),ALICIA,Single house,15401.0,16342.0,65802.0,4.03,1.06,4.27,2015.0
267,Alicia (IA),ALICIA,Duplex,1106.0,1131.0,4276.0,3.78,1.02,3.87,2015.0
268,Alicia (IA),ALICIA,Multi-unit residential,348.0,354.0,1222.0,3.45,1.02,3.51,2015.0
269,Alicia (IA),ALICIA,Commercial/industrial/agricultural,21.0,22.0,69.0,3.14,1.05,3.29,2015.0
270,Alicia (IA),ALICIA,Institutional living quarter,5.0,5.0,13.0,2.6,1.0,2.6,2015.0
271,Alicia (IA),ALICIA,Others,,,,,,,2015.0
272,Alicia (IA),ALICIA,Not Reported,7.0,10.0,32.0,3.2,1.43,4.57,2015.0
273,Alicia (ZS),ALICIA,Single house,7400.0,7528.0,34890.0,4.63,1.02,4.71,2015.0
274,Alicia (ZS),ALICIA,Duplex,186.0,191.0,894.0,4.68,1.03,4.81,2015.0
275,Alicia (ZS),ALICIA,Multi-unit residential,26.0,26.0,116.0,4.46,1.0,4.46,2015.0
276,Alicia (ZS),ALICIA,Commercial/industrial/agricultural,7.0,8.0,36.0,4.5,1.14,5.14,2015.0
277,Alicia (ZS),ALICIA,Institutional living quarter,,,,,,,2015.0
278,Alicia (ZS),ALICIA,Others,,,,,,,2015.0
279,Alicia (ZS),ALICIA,Not Reported,11.0,13.0,62.0,4.77,1.18,5.64,2015.0
280,Alilem,ALILEM,Single house,1395.0,1396.0,6366.0,4.56,1.0,4.56,2015.0
