,name,Elementary_school,Secondary_school,Enrollment_Elementary_Male,Enrollment_Elementary_Female,Enrollment_Secondary_Male,Enrollment_Secondary_Female,year
952,Monkayo,370,120,7.336,6.595,3.648,3.406,2018
953,Monreal,150,50,2.787,2.518,1.161,1.146,2018
954,Montevista,240,40,3.763,3.447,1.640,1.656,2018
955,Morong (BN),90,40,2.599,2.446,1.059,1.137,2018
956,Morong (RL),120,30,4.182,3.860,2.244,2.195,2018
957,Motiong,290,30,1.478,1.260,912,943,2018
958,Mulanay,250,70,4.995,4.614,2.127,2.238,2018
959,Mulondo,110,20,1.144,1.303,337,473,2018
960,Munai,130,10,1.382,1.385,112,190,2018
961,Muntinlupa,190,80,25.851,24.213,11.074,11.618,2018
962,Murcia,280,50,7.424,6.841,2.841,3.032,2018
963,Mutia,130,30,927,794,503,508,2018
964,Naawan,120,20,1.986,1.657,754,750,2018
965,Nabas,190,50,3.407,2.979,1.680,1.456,2018
966,Nabua,340,70,6.864,6.020,3.918,3.967,2018
967,Nabunturan,340,80,6.583,5.786,3.328,3.451,2018
968,Naga (CS),290,80,15.485,13.748,7.266,7.662,2018
969,Naga (CU),260,210,9.347,8.454,4.517,4.541,2018
970,Naga (ZS),260,70,3.901,3.583,1.544,1.527,2018
971,Nagbukel,80,10,395,365,249,193,2018
972,Nagcarlan,200,50,4.731,4.273,2.307,2.170,2018
973,Nagtipunan,300,90,1.931,1.745,757,787,2018
974,Naguilian (IA),250,30,2.390,2.283,793,784,2018
975,Naguilian (LU),280,70,3.012,2.715,1.865,1.758,2018
976,Naic,230,40,8.806,8.118,2.691,2.607,2018
977,Nampicuan,80,20,739,712,368,317,2018
978,Narra,360,120,6.446,5.867,3.143,3.031,2018
979,Narvacan,340,50,2.888,2.680,1.661,1.622,2018
980,Nasipit,180,40,3.408,3.178,979,905,2018
981,Nasugbu,320,120,9.653,8.805,4.776,4.851,2018
982,Natividad,180,40,1.756,1.543,581,617,2018
983,Natonin,140,40,822,723,263,258,2018
984,Naujan,740,110,8.505,7.615,3.606,3.435,2018
985,Naval,270,50,4.920,4.335,1.927,2.046,2018
986,Navotas,150,80,16.774,15.512,7.020,6.793,2018
987,New Bataan,240,60,3.821,3.305,1.741,1.679,2018
988,New Corella,270,50,4.520,4.072,1.840,1.907,2018
989,New Lucena,140,40,1.852,1.606,966,962,2018
990,New Washington,160,40,2.906,2.752,1.410,1.251,2018
991,Norala,250,60,3.776,3.247,1.934,1.789,2018
992,Northern Kabuntalan,0,10,0,0,77,99,2018
993,Norzagaray,250,60,8.933,8.188,3.681,3.728,2018
994,Noveleta,70,10,2.199,2.111,800,779,2018
995,Nueva Era,100,30,655,622,356,362,2018
996,Nueva Valencia,250,50,3.171,2.856,1.650,1.526,2018
997,Numancia,120,20,2.158,1.858,714,732,2018
998,Nunungan,70,10,444,466,107,107,2018
999,Oas,430,90,6.000,5.343,2.595,2.537,2018
1000,Obando,90,20,2.780,2.562,1.094,1.061,2018
1001,Ocampo,200,20,4.534,4.177,1.446,1.578,2018
1002,Odiongan,260,30,3.315,2.864,1.295,1.332,2018
1003,Old Panamao,130,40,1.649,1.667,361,502,2018
1004,Olongapo,280,120,15.997,14.673,8.168,8.091,2018
1005,Olutanga,190,20,2.042,1.879,811,832,2018
1006,Omar,110,10,1.199,1.145,211,267,2018
1007,Opol,160,50,4.201,3.686,1.654,1.621,2018
1008,Orani,160,30,4.874,4.594,1.995,1.856,2018
1009,Oras,390,60,3.337,3.030,1.528,1.493,2018
1010,Orion,140,20,3.809,3.548,1.444,1.402,2018
1011,Ormoc,830,140,17.007,15.405,7.622,8.026,2018
1012,Oroquieta,440,110,4.849,4.477,3.099,3.028,2018
1013,Oslob,160,50,2.324,2.085,984,928,2018
1014,Oton,160,50,5.222,4.735,2.660,2.648,2018
1015,Ozamiz,490,140,9.781,8.747,4.438,4.431,2018
1016,Padada,120,30,2.005,1.844,678,688,2018
1017,Padre Burgos (QN),120,40,1.736,1.607,678,623,2018
1018,Padre Burgos (SL),90,10,740,661,127,105,2018
1019,Padre Garcia,170,30,3.728,3.326,1.913,1.853,2018
1020,Paete,50,20,1.899,1.805,823,748,2018
1021,Pagadian,630,200,14.614,13.485,6.559,7.125,2018
1022,Pagagawan,140,10,2.417,2.303,307,315,2018
1023,Pagalungan,180,40,3.320,3.268,873,815,2018
1024,Pagayawan,100,10,1.189,1.395,224,350,2018
1025,Pagbilao,160,50,5.801,5.257,2.262,2.448,2018
1026,Paglat,90,20,1.399,1.289,384,415,2018
1027,Pagsanghan,90,30,747,632,543,595,2018
1028,Pagsanjan,120,20,2.954,2.745,1.096,988,2018
1029,Pagudpud,180,30,1.799,1.663,807,768,2018
1030,Pakil,90,10,1.568,1.394,465,514,2018
1031,Palanan,210,30,1.636,1.491,713,697,2018
1032,Palanas,260,60,2.615,2.430,1.288,1.249,2018
1033,Palapag,310,50,3.229,2.889,1.759,1.782,2018
1034,Palauig,190,20,2.828,2.603,799,746,2018
1035,Palayan,210,40,3.043,2.861,1.681,1.762,2018
1036,Palimbang,330,110,5.584,5.323,1.492,1.848,2018
1037,Palo,310,50,5.900,5.283,2.280,2.262,2018
1038,Palompon,440,70,4.619,4.079,1.657,1.584,2018
1039,Paluan,190,10,1.387,1.273,500,530,2018
1040,Pambujan,200,30,3.334,3.186,1.243,1.389,2018
1041,Pamplona (CG),160,30,1.936,1.638,672,650,2018
1042,Pamplona (CS),150,60,3.411,3.067,1.746,1.741,2018
1043,Pamplona (NR),220,70,2.966,2.597,1.339,1.376,2018
1044,Panabo,450,120,14.539,13.467,6.316,6.537,2018
1045,Panaon,130,10,721,615,81,71,2018
1046,Panay,290,30,3.002,2.721,1.179,1.070,2018
1047,Pandag,60,10,1.081,1.112,149,129,2018
1048,Pandami,210,10,939,1.078,129,202,2018
1049,Pandan (AE),320,40,2.744,2.598,1.103,1.090,2018
1050,Pandan (CT),220,30,2.063,1.892,1.086,1.068,2018
1051,Pandi,230,30,9.764,8.782,3.591,3.729,2018
1052,Panganiban,120,20,902,723,408,357,2018
1053,Pangantucan,290,40,5.326,4.862,1.380,1.618,2018
1054,Pangil,70,30,1.861,1.700,770,803,2018
1055,Panglao,120,10,2.476,2.335,864,964,2018
1056,Panglima Estino,100,20,950,940,235,279,2018
1057,Panglima Sugala,320,20,3.102,3.064,477,618,2018
1058,Pangutaran,310,20,3.373,3.321,492,692,2018
1059,Paniqui,360,30,6.044,5.561,1.510,1.356,2018
1060,Panitan,250,20,2.500,2.154,1.321,1.282,2018
1061,Pantabangan,170,50,2.180,1.978,771,813,2018
1062,Pantao Ragat,140,10,2.429,2.358,489,644,2018
1063,Pantar,140,10,1.674,1.816,461,627,2018
1064,Pantukan,340,90,7.260,6.559,3.201,3.216,2018
1065,Panukulan,120,40,1.283,1.188,655,564,2018
1066,Paoay,150,30,1.560,1.441,728,681,2018
1067,Paombong,120,40,2.768,2.641,1.127,1.052,2018
1068,Paracale,230,50,5.625,5.230,2.110,2.205,2018
1069,Paracelis,340,90,2.848,2.450,1.068,1.060,2018
1070,Paranas,390,60,2.846,2.627,1.411,1.378,2018
1071,Parang (MA),280,60,5.967,5.809,1.856,2.622,2018
1072,Parang (SU),300,20,3.164,3.131,582,667,2018
1073,Paranaque,220,120,31.088,28.929,17.684,17.858,2018
1074,Pasacao,200,70,4.600,4.022,1.903,2.000,2018
1075,Pasay,210,120,18.104,16.431,9.014,9.091,2018
1076,Pasig,280,130,39.433,37.027,23.337,23.448,2018
1077,Pasil,190,30,800,704,305,281,2018
1078,Passi,380,80,6.664,5.857,3.617,3.525,2018
1079,Pastrana,220,30,1.773,1.582,807,755,2018
1080,Pasuquin,230,20,1.835,1.530,759,747,2018
1081,Pata,140,10,846,782,30,44,2018
1082,Pateros,70,30,3.058,2.792,1.473,1.389,2018
1083,Patikul,240,20,4.941,4.704,488,684,2018
1084,Patnanungan,100,20,1.456,1.418,598,642,2018
1085,Patnongon,370,30,3.111,2.712,1.465,1.321,2018
1086,Pavia,110,10,3.321,3.086,1.850,1.953,2018
1087,Payao,310,60,3.066,2.776,1.547,1.503,2018
1088,Perez,70,10,1.200,1.076,383,401,2018
1089,Penablanca,260,40,3.376,3.121,1.513,1.456,2018
1090,Penaranda,80,10,2.034,1.769,851,834,2018
1091,Penarrubia,70,10,506,469,133,106,2018
1092,Piagapo,290,40,3.163,3.015,996,1.378,2018
1093,Piat,120,10,1.708,1.655,489,447,2018
1094,Picong,150,40,1.814,2.076,464,591,2018
1095,Piddig,180,10,1.551,1.324,364,324,2018
1096,Pidigan,110,10,802,756,334,246,2018
1097,Pigcawayan,410,100,5.295,5.041,2.378,2.446,2018
1098,Pikit,540,110,13.357,13.362,3.682,3.995,2018
1099,Pila,120,30,3.887,3.578,1.502,1.533,2018
1100,Pilar (AA),130,30,751,672,472,372,2018
1101,Pilar (BN),120,20,2.758,2.562,1.272,1.242,2018
1102,Pilar (BL),210,20,2.456,2.167,1.039,1.081,2018
1103,Pilar (CZ),240,50,3.798,3.364,1.827,1.682,2018
1104,Pilar (CU),110,40,960,845,557,505,2018
1105,Pilar (SO),540,100,7.099,6.147,3.255,3.248,2018
1106,Pilar (SN),120,20,752,754,345,292,2018
1107,Pili,320,120,8.096,7.290,4.358,4.252,2018
1108,Pililla,90,50,4.815,4.442,2.513,2.419,2018
1109,Pinabacdao,230,30,1.746,1.506,838,824,2018
1110,Pinamalayan,330,120,6.798,6.108,2.706,2.521,2018
1111,Pinamungajan,270,60,6.065,5.331,2.103,2.057,2018
1112,Pinili,190,20,1.044,1.022,490,535,2018
1113,Pintuyan,100,20,740,662,391,352,2018
1114,Pinukpuk,360,100,2.736,2.515,1.185,1.055,2018
1115,Pio Duran,320,50,4.485,4.041,1.484,1.594,2018
1116,Pio V Corpuz,180,30,2.206,2.030,911,889,2018
1117,Pitogo (QN),150,40,1.832,1.603,816,812,2018
1118,Pitogo (ZR),150,30,2.334,2.089,699,697,2018
1119,Pinan,210,20,1.724,1.553,724,726,2018
1120,Placer (MS),360,60,5.687,5.101,1.544,1.637,2018
1121,Placer (SN),190,40,2.425,2.105,1.098,1.121,2018
1122,Plaridel (BU),160,50,6.380,5.951,2.710,2.705,2018
1123,Plaridel (MC),220,20,2.878,2.601,1.206,1.261,2018
1124,Plaridel (QN),40,10,752,697,323,315,2018
1125,Pola,220,50,2.696,2.405,1.165,1.123,2018
1126,Polanco,300,60,3.026,2.714,1.410,1.451,2018
1127,Polangui,420,80,7.372,6.658,3.990,3.960,2018
1128,Polillo,200,50,2.934,2.620,1.102,1.138,2018
1129,Polomolok,380,100,12.082,11.104,4.598,4.551,2018
1130,Pontevedra (CZ),200,20,3.596,3.213,1.665,1.833,2018
1131,Pontevedra (NO),210,50,4.299,3.747,1.818,1.836,2018
1132,Poona Bayabao,180,30,2.879,3.415,630,945,2018
1133,Poona Piagapo,100,10,1.206,1.165,101,134,2018
1134,Porac,300,70,8.234,7.400,3.287,3.374,2018
1135,Poro,170,30,1.990,1.745,824,777,2018
1136,Pototan,290,50,5.457,5.021,2.459,2.475,2018
1137,Pozorrubio,270,90,4.861,4.428,2.599,2.394,2018
1138,Presentacion,170,60,2.203,2.020,875,929,2018
1139,President Garcia,230,60,2.297,2.032,972,899,2018
1140,President Quirino,220,40,3.489,3.371,1.254,1.545,2018
1141,President Roxas (CZ),190,10,2.276,1.928,992,1.002,2018
1142,President Roxas (NC),370,100,4.521,3.978,1.380,1.306,2018
1143,Roxas (ZN),370,50,3.453,3.227,1.162,1.135,2018
1144,Prieto Diaz,190,30,2.080,1.808,863,908,2018
1145,Prosperidad,400,120,7.661,7.200,3.090,3.040,2018
1146,Pualas,200,60,1.119,1.105,605,721,2018
1147,Pudtol,180,40,1.294,1.071,555,464,2018
1148,Puerto Galera,220,40,3.474,3.164,1.041,995,2018
1149,Puerto Princesa,750,230,19.823,17.990,9.297,9.682,2018
1150,Pugo,110,50,1.366,1.292,741,757,2018
1151,Pulilan,130,40,6.684,6.208,3.485,3.399,2018
1152,Pulupandan,80,20,1.684,1.514,766,725,2018
1153,Pura,150,40,1.513,1.418,960,868,2018
1154,Quezon (BK),410,60,9.668,8.751,2.557,3.042,2018
1155,Quezon (IA),130,40,2.038,1.891,872,885,2018
1156,Quezon (MM),950,480,136.636,127.059,72.132,73.149,2018
1157,Quezon (NE),170,10,2.765,2.626,765,838,2018
1158,Quezon (NV),180,20,1.751,1.678,588,651,2018
1159,Quezon (PN),340,100,6.217,5.479,2.609,2.858,2018
1160,Quezon (QN),110,40,1.263,1.106,503,434,2018
1161,Quinapondan,200,20,1.291,1.131,647,605,2018
1162,Quirino (IS),150,10,711,620,190,178,2018
1163,Quirino (IA),200,50,1.664,1.520,765,659,2018
1164,Ragay,330,80,5.660,5.069,2.533,2.607,2018
1165,Rajah Buayan,100,0,2.248,2.159,0,0,2018
1166,Ramon,210,50,4.073,3.729,1.689,1.712,2018
1167,Ramon Magsaysay,260,30,2.329,2.058,821,742,2018
1168,Ramos,80,10,1.522,1.434,652,594,2018
1169,Rapu-Rapu,360,70,3.851,3.386,1.537,1.587,2018
1170,Real,170,30,3.037,2.697,1.096,1.048,2018
1171,Reina Mercedes,150,40,1.855,1.725,1.146,1.053,2018
1172,Remedios T. Romualdez,90,20,1.712,1.358,779,696,2018
1173,Rizal (CG),160,20,1.317,1.228,309,286,2018
1174,Rizal (KA),170,40,1.431,1.334,697,650,2018
1175,Rizal (LA),30,10,1.077,1.066,642,649,2018
1176,Rizal (NE),250,50,3.963,3.760,1.974,1.954,2018
1177,Rizal (OM),170,40,3.867,3.452,1.540,1.643,2018
1178,Rizal (PN),320,80,5.118,4.893,1.647,1.822,2018
1179,Rizal (ZN),170,20,1.058,911,417,359,2018
1180,Rodriguez,280,150,29.055,26.476,14.263,14.169,2018
1181,Romblon,290,40,3.640,3.249,1.679,1.604,2018
1182,Ronda,100,20,1.387,1.260,526,506,2018
1183,Rosales,290,40,4.523,4.042,2.518,2.464,2018
1184,Rosario (AS),220,50,4.609,4.188,1.379,1.361,2018
1185,Rosario (BS),450,130,8.331,7.593,3.026,2.869,2018
1186,Rosario (CE),80,20,7.367,6.987,2.945,2.940,2018
1187,Rosario (LU),160,50,3.592,3.243,1.498,1.541,2018
1188,Rosario (NS),100,30,1.002,877,585,485,2018
1189,R.T. Lim,330,50,4.538,3.982,1.868,1.993,2018
1190,Roxas (CZ),410,140,11.327,10.492,5.802,5.809,2018
1191,Roxas (IA),190,60,4.165,4.025,1.989,2.072,2018
1192,Roxas (OR),240,40,4.684,4.341,1.774,1.750,2018
1193,Roxas (PN),520,120,5.830,5.313,3.151,3.081,2018
1194,Sabangan,190,40,700,685,311,308,2018
1195,Sablan,130,20,593,558,213,195,2018
1196,Sablayan,420,100,7.578,6.846,3.131,3.240,2018
1197,Sabtang,50,10,108,110,61,56,2018
1198,Sadanga,80,40,667,623,370,321,2018
1199,Sagada,140,50,996,869,481,462,2018
1200,Sagay (CM),70,40,1.219,1.030,488,491,2018
1201,Sagay (NO),520,140,13.364,11.875,5.847,6.090,2018
1202,Sagbayan,210,50,1.994,1.829,1.008,958,2018
1203,Saguday,110,10,1.108,1.024,488,560,2018
1204,Saguiaran,290,30,3.483,3.687,871,1.040,2018
1205,Sagnay,170,50,3.432,2.998,1.443,1.454,2018
1206,Saint Bernard,270,30,2.156,1.960,975,934,2018
1207,Salay,150,50,2.315,2.164,1.211,1.182,2018
1208,Salcedo (ES),320,40,1.784,1.630,931,820,2018
1209,Salcedo (IS),160,20,765,706,399,336,2018
1210,Sallapadan,130,10,461,415,74,80,2018
1211,Salug,220,50,2.889,2.516,1.174,1.296,2018
1212,Salvador,140,10,1.700,1.568,465,564,2018
1213,Salvador Benedicto,130,10,2.568,2.457,559,621,2018
1214,Samal,100,20,2.293,2.164,808,767,2018
1215,Samboan,150,40,1.568,1.398,870,872,2018
1216,Sampaloc,90,20,832,801,315,308,2018
1217,San Agustin (IA),230,40,1.321,1.198,586,522,2018
1218,San Agustin (RN),140,50,2.199,1.947,786,748,2018
1219,San Agustin (SS),130,30,1.712,1.539,637,636,2018
1220,San Andres (CT),300,60,3.271,2.993,1.704,1.524,2018
1221,San Andres (QN),130,20,3.520,3.238,1.166,1.340,2018
1222,San Andres (RN),130,20,1.366,1.251,704,721,2018
1223,San Antonio (NS),90,10,691,607,267,241,2018
1224,San Antonio (NE),190,50,5.291,4.862,1.670,1.652,2018
1225,San Antonio (QN),130,30,2.642,2.345,939,912,2018
1226,San Antonio (ZA),110,40,2.356,2.157,999,921,2018
1227,San Benito,60,10,508,457,115,133,2018
1228,San Carlos (NO),590,50,10.654,9.915,3.827,4.368,2018
1229,San Carlos (PS),590,200,15.447,13.835,6.661,6.405,2018
1230,Sanchez-Mira,190,20,1.573,1.474,843,762,2018
1231,San Clemente,120,20,887,795,249,234,2018
1232,San Dionisio,220,30,3.384,2.946,1.668,1.663,2018
1233,San Emilio,110,20,569,441,176,152,2018
1234,San Enrique (IO),200,40,2.762,2.532,1.137,1.076,2018
1235,San Enrique (NO),80,10,1.714,1.555,426,367,2018
1236,San Esteban,40,10,572,512,257,259,2018
1237,San Fabian,290,60,6.129,5.598,2.658,2.475,2018
1238,San Felipe,130,50,1.739,1.625,826,727,2018
1239,San Fernando (BK),340,20,6.033,5.532,1.310,1.431,2018
1240,San Fernando (CS),190,50,3.106,2.801,1.692,1.593,2018
1241,San Fernando (CU),220,90,5.998,5.311,2.090,2.109,2018
1242,San Fernando (LU),270,120,6.282,5.640,2.845,2.656,2018
1243,San Fernando (MS),240,40,2.017,1.816,800,733,2018
1244,San Fernando (PA),420,250,19.344,17.710,10.564,10.533,2018
1245,San Fernando (RN),120,30,2.283,2.100,1.038,1.097,2018
1246,San Francisco (AS),300,60,6.657,6.151,3.461,3.510,2018
1247,San Francisco (CU),220,60,5.223,4.663,1.960,2.112,2018
1248,San Francisco (QN),230,130,6.378,5.734,2.358,2.645,2018
1249,San Francisco (SL),110,20,938,829,369,340,2018
1250,San Francisco (SN),110,20,1.194,1.042,564,543,2018
1251,San Gabriel,140,30,1.265,1.168,619,550,2018
1252,San Guillermo,280,60,1.746,1.555,741,720,2018
1253,San Ildefonso (BU),380,50,7.442,6.899,2.152,2.178,2018
1254,San Ildefonso (IS),40,20,440,429,146,108,2018
1255,San Isidro (AA),70,10,344,297,165,172,2018
1256,San Isidro (BL),120,30,712,578,439,383,2018
1257,San Isidro (DN),150,40,2.317,2.040,950,866,2018
1258,San Isidro (DO),220,30,2.885,2.623,1.028,1.133,2018
1259,San Isidro (IA),130,30,1.560,1.442,635,558,2018
1260,San Isidro (LE),200,20,2.462,2.243,955,945,2018
1261,San Isidro (NS),140,40,2.490,2.141,1.404,1.426,2018
1262,San Isidro (NE),120,30,3.322,2.970,1.013,859,2018
1263,San Isidro (SN),120,20,657,566,331,318,2018
1264,San Jacinto (MS),220,30,2.888,2.493,946,1.001,2018
1265,San Jacinto (PS),160,20,3.079,2.851,1.620,1.583,2018
1266,San Joaquin,360,100,3.898,3.398,2.300,2.128,2018
1267,San Jorge,350,20,1.657,1.464,836,874,2018
1268,San Jose (AE),240,30,4.788,4.369,2.563,2.822,2018
1269,San Jose (BS),170,30,5.048,4.609,1.385,1.388,2018
1270,San Jose (CS),220,60,3.701,3.419,1.586,1.549,2018
1271,San Jose (DI),130,30,1.928,1.763,1.098,1.089,2018
1272,San Jose (NR),130,40,1.622,1.462,781,717,2018
1273,San Jose (NS),120,10,1.614,1.484,651,668,2018
1274,San Jose (NE),480,80,10.006,9.065,4.245,4.148,2018
1275,San Jose (OM),700,110,12.979,11.849,5.309,5.508,2018
1276,San Jose (RN),80,10,1.191,991,523,488,2018
1277,San Jose (TC),270,50,2.970,2.717,1.322,1.385,2018
1278,San Jose De Buan,140,10,746,686,225,239,2018
1279,San Jose Del Monte,350,180,39.176,36.407,16.688,17.227,2018
1280,San Juan (AA),110,20,848,801,440,390,2018
1281,San Juan (BS),420,140,8.518,7.744,4.472,4.254,2018
1282,San Juan (IS),230,30,1.771,1.592,818,825,2018
1283,San Juan (LU),160,20,2.077,1.879,934,819,2018
1284,San Juan (MM),80,10,3.947,3.574,1.460,1.431,2018
1285,San Juan (SR),100,20,1.093,1.028,522,410,2018
1286,San Juan (SL),110,10,1.150,994,575,633,2018
1287,San Julian,130,20,1.304,1.133,507,487,2018
1288,San Leonardo,110,50,3.746,3.482,1.583,1.507,2018
1289,San Lorenzo,130,20,1.923,1.803,845,822,2018
1290,San Lorenzo Ruiz,110,20,1.270,1.194,447,459,2018
1291,San Luis (AS),320,50,3.673,3.289,1.174,1.205,2018
1292,San Luis (AU),190,50,2.344,2.085,1.025,983,2018
1293,San Luis (BS),190,20,2.217,2.083,637,611,2018
1294,San Luis (PA),170,80,3.595,3.235,2.279,2.164,2018
1295,San Manuel (IA),180,50,2.387,2.195,953,932,2018
1296,San Manuel (PS),230,50,3.331,2.954,1.615,1.550,2018
1297,San Manuel (TC),150,30,1.966,1.721,627,625,2018
1298,San Marcelino,190,50,2.561,2.305,1.027,982,2018
1299,San Mariano,410,160,4.934,4.362,2.030,2.102,2018
1300,San Mateo (IA),280,40,3.824,3.682,1.538,1.539,2018
1301,San Mateo (RL),140,60,14.354,13.081,5.479,5.319,2018
1302,San Miguel (BL),190,40,2.129,1.932,1.232,1.224,2018
1303,San Miguel (BU),470,50,11.664,10.756,5.768,5.793,2018
1304,San Miguel (CT),230,20,1.378,1.261,582,602,2018
1305,San Miguel (IO),90,10,2.169,2.020,1.130,1.126,2018
1306,San Miguel (LE),210,20,1.941,1.705,947,960,2018
1307,San Miguel (SS),420,80,4.118,3.863,1.404,1.404,2018
1308,San Miguel (ZR),180,30,1.700,1.496,469,485,2018
1309,San Narciso (QN),200,50,4.227,3.996,1.545,1.716,2018
1310,San Narciso (ZA),150,20,1.845,1.586,522,508,2018
1311,San Nicolas (BS),100,20,1.412,1.310,716,604,2018
1312,San Nicolas (IN),110,20,2.308,2.086,1.121,1.072,2018
1313,San Nicolas (PS),320,90,2.654,2.303,992,897,2018
1314,San Pablo (IA),160,40,1.834,1.774,836,792,2018
1315,San Pablo (LA),640,150,18.977,17.419,7.999,7.776,2018
1316,San Pablo (ZR),280,70,2.402,2.130,966,960,2018
1317,San Pascual (BS),210,60,3.127,2.918,2.022,1.915,2018
1318,San Pascual (MS),370,110,5.217,4.595,2.054,2.257,2018
1319,San Pedro,200,70,17.233,16.151,8.019,7.878,2018
1320,San Policarpo,130,20,1.415,1.293,648,612,2018
1321,San Quintin (AA),60,10,350,320,152,141,2018
1322,San Quintin (PS),160,30,2.580,2.303,858,846,2018
1323,San Rafael (BU),250,50,6.034,5.411,3.116,3.097,2018
1324,San Rafael (IO),100,20,1.443,1.343,921,834,2018
1325,San Remigio (AE),440,30,3.130,2.721,1.003,979,2018
1326,San Remigio (CU),270,140,5.264,4.827,2.609,2.452,2018
1327,San Ricardo,80,30,791,689,372,353,2018
1328,San Roque,130,40,2.632,2.494,1.339,1.550,2018
1329,San Sebastian,100,10,736,660,229,205,2018
1330,San Simon,140,50,3.531,3.131,1.692,1.625,2018
1331,San Teodoro,120,20,1.631,1.533,546,556,2018
1332,Santiago (AN),110,20,1.856,1.607,909,984,2018
1333,Santiago (IS),110,10,1.275,1.113,372,297,2018
1334,Santiago (IA),320,120,10.232,9.495,3.709,3.886,2018
1335,San Vicente (CN),60,20,876,821,481,468,2018
1336,San Vicente (IS),60,20,774,728,326,256,2018
1337,San Vicente (NS),50,20,653,559,320,337,2018
1338,San Vicente (PN),270,50,3.052,2.688,1.374,1.350,2018
1339,Sapad,140,10,1.693,1.743,323,323,2018
1340,Sapang Dalaga,290,40,1.676,1.528,462,504,2018
1341,Sapa-Sapa,230,30,2.095,2.100,358,369,2018
1342,Sapi-An,220,20,2.187,1.984,958,984,2018
1343,Sara,220,40,4.379,3.961,1.796,1.752,2018
1344,Sarangani,160,20,2.084,1.937,504,615,2018
1345,Sariaya,370,60,11.296,10.210,3.803,3.686,2018
1346,Sarrat,150,30,1.520,1.375,1.005,887,2018
1347,Sasmuan,90,30,2.018,1.824,858,823,2018
1348,Science City of Munoz,340,70,5.970,5.460,3.080,3.197,2018
1349,Sebaste,100,10,1.374,1.180,354,286,2018
1350,Senator Ninoy Aquino,390,70,3.095,2.892,1.005,935,2018
1351,Sergio Osmena,380,50,2.970,2.695,1.014,1.076,2018
1352,Sevilla,130,30,774,698,435,381,2018
1353,Shariff Aguak,70,10,2.113,2.384,653,876,2018
1354,Shariff Saydona Mustapha,70,0,899,914,0,0,2018
1355,Siasi,510,30,5.293,5.446,254,323,2018
1356,Siaton,440,150,7.146,6.501,2.955,3.105,2018
1357,Siay,300,50,3.862,3.423,1.628,1.620,2018
1358,Siayan,320,40,4.177,3.794,867,962,2018
1359,Sibagat,290,50,3.141,2.917,1.026,1.026,2018
1360,Sibalom,540,70,4.797,4.300,2.239,2.058,2018
1361,Sibonga,230,60,3.985,3.520,1.890,1.892,2018
1362,Sibuco,300,50,3.897,3.554,1.107,1.240,2018
1363,Sibulan,200,110,3.539,3.316,1.596,1.540,2018
1364,Sibunag,150,30,1.479,1.269,634,557,2018
1365,Sibutad,150,30,1.435,1.295,516,535,2018
1366,Sibutu,100,0,1.588,1.514,0,0,2018
1367,Sierra Bullones,230,40,2.101,1.863,1.019,1.047,2018
1368,Sigay,60,10,188,141,56,42,2018
1369,Sigma,220,30,2.170,1.923,1.134,1.030,2018
1370,Sikatuna,50,10,454,368,279,267,2018
1371,Silago,140,40,1.031,903,688,616,2018
1372,Silang,450,80,16.729,15.225,6.313,6.585,2018
1373,Silay,320,150,9.374,8.450,4.472,4.460,2018
1374,Silvino Lobos,200,10,1.526,1.352,232,345,2018
1375,Simunul,240,40,2.984,3.303,432,477,2018
1376,Sinacaban,200,20,1.404,1.232,560,551,2018
1377,Sinait,180,20,1.681,1.591,1.202,1.179,2018
1378,Sindangan,580,80,9.499,8.670,3.208,3.509,2018
1379,Siniloan,90,20,2.707,2.485,1.369,1.424,2018
1380,Siocon,300,50,3.855,3.813,1.647,1.775,2018
1381,Sipalay,350,120,7.148,6.426,3.094,3.215,2018
1382,Sipocot,450,100,6.192,5.480,3.013,3.240,2018
1383,Siquijor,150,50,1.585,1.506,599,669,2018
1384,Sirawai,140,30,2.273,2.164,899,966,2018
1385,Siruma,170,40,1.886,1.680,771,795,2018
1386,Sison (PS),270,140,3.403,3.013,1.820,1.650,2018
1387,Sison (SN),130,30,1.211,1.054,564,514,2018
1388,Sitangkai,130,40,2.423,2.442,643,661,2018
1389,Socorro (OR),220,30,3.339,2.995,1.157,1.201,2018
1390,Socorro (SN),180,40,2.062,1.867,912,899,2018
1391,Sofronio Espanola,290,50,3.490,3.299,1.557,1.665,2018
1392,Sogod (CU),220,50,2.894,2.649,960,942,2018
1393,Sogod (SL),280,30,3.682,3.385,2.002,1.836,2018
1394,Solana,340,60,6.195,5.939,2.453,2.473,2018
1395,Solano,230,30,4.121,3.854,1.517,1.613,2018
1396,Solsona,140,30,1.603,1.422,822,828,2018
1397,Sominot,190,20,1.388,1.273,436,452,2018
1398,Sorsogon,670,170,14.087,12.736,7.011,7.090,2018
1399,South Ubian,120,10,1.482,1.485,110,109,2018
1400,South Upi,380,50,5.639,5.374,1.040,1.185,2018
1401,Santa,100,30,939,807,280,241,2018
1402,Santa Ana (CG),190,20,2.734,2.370,897,879,2018
1403,Santa Ana (PA),120,30,3.732,3.423,1.363,1.375,2018
1404,Santa Barbara (IO),290,60,3.988,3.560,2.201,2.160,2018
1405,Santa Barbara (PS),260,70,5.884,5.487,3.146,3.012,2018
1406,Santa Catalina (IS),70,10,769,607,152,112,2018
1407,Santa Catalina (NR),430,150,7.230,6.551,2.731,3.016,2018
