,name,poverty-inc,cov,conf-int-lowerlimit,conf-int-upper-limit,year
2507,Mandaon,44.7,5.9,40.3,49.0,2012
2508,Mandaue,5.5,21.9,3.5,7.5,2012
2509,Mangaldan,12.5,17.5,8.9,16.1,2012
2510,Mangatarem,10.6,15.7,7.9,13.4,2012
2511,Mangudadatu,64.7,15.7,48.0,81.4,2012
2512,Manila,,,,,2012
2513,Manito,39.0,8.7,33.4,44.5,2012
2514,Manjuyod,33.6,7.1,29.6,37.5,2012
2515,Mankayan,6.2,39.2,2.2,10.2,2012
2516,Manolo Fortich,34.0,9.8,28.5,39.4,2012
2517,Mansalay,35.5,9.7,29.9,41.2,2012
2518,Manticao,28.2,14.8,21.4,35.1,2012
2519,Manukan,51.7,6.4,46.3,57.1,2012
2520,Mapanas,53.3,8.3,45.9,60.6,2012
2521,Mapandan,12.9,20.7,8.5,17.3,2012
2522,Mapun,30.6,14.7,23.2,38.0,2012
2523,Marabut,37.2,7.6,32.5,41.8,2012
2524,Maragondon,8.9,21.3,5.8,12.0,2012
2525,Maragusan,31.2,12.9,24.6,37.8,2012
2526,Maramag,37.3,9.8,31.2,43.3,2012
2527,Marantao,60.2,7.4,52.9,67.5,2012
2528,Marawi,60.0,7.8,52.3,67.8,2012
2529,Marcos,23.7,16.0,17.5,30.0,2012
2530,Margosatubig,30.2,13.1,23.7,36.7,2012
2531,Maria,25.4,10.4,21.1,29.7,2012
2532,Maria Aurora,10.1,10.1,8.5,11.8,2012
2533,Maribojoc,17.3,13.4,13.5,21.1,2012
2534,Marihatag,38.0,10.2,31.6,44.4,2012
2535,Marikina,1.4,30.5,0.7,2.1,2012
2536,Marilao,2.8,30.0,1.4,4.2,2012
2537,Maripipi,41.8,8.5,35.9,47.6,2012
2538,Mariveles,2.6,21.8,1.6,3.5,2012
2539,Marogong,76.2,9.0,64.9,87.5,2012
2540,Masbate,22.2,9.5,18.7,25.7,2012
2541,Masinloc,18.0,11.8,14.5,21.5,2012
2542,Masiu,59.5,8.5,51.2,67.7,2012
2543,Maslog,60.5,9.3,51.2,69.8,2012
2544,Masantol,8.1,15.9,6.0,10.2,2012
2545,Mataasnakahoy,4.8,29.4,2.5,7.1,2012
2546,Matag-Ob,49.6,7.1,43.8,55.3,2012
2547,Matalam,43.0,7.4,37.8,48.3,2012
2548,Matalom,41.3,6.7,36.7,45.8,2012
2549,Matanao,25.7,9.6,21.6,29.7,2012
2550,Matanog,59.3,10.8,48.8,69.9,2012
2551,Mati,27.0,13.1,21.2,32.8,2012
2552,Matnog,45.2,5.5,41.1,49.3,2012
2553,Matuguinao,51.8,9.1,44.0,59.5,2012
2554,Matungao,64.5,10.2,53.7,75.3,2012
2555,Mauban,26.5,13.9,20.5,32.6,2012
2556,Mawab,32.2,12.9,25.3,39.0,2012
2557,Mayantoc,12.6,9.9,10.6,14.7,2012
2558,Maydolong,40.1,7.1,35.4,44.7,2012
2559,Mayorga,31.5,11.2,25.7,37.3,2012
2560,Mayoyao,34.3,13.0,27.0,41.7,2012
2561,Medellin,23.9,11.4,19.4,28.4,2012
2562,Medina,19.3,17.0,13.9,24.6,2012
2563,Mendez,5.2,22.8,3.3,7.2,2012
2564,Mercedes,27.9,11.4,22.6,33.1,2012
2565,Mercedes (ES),44.9,7.0,39.8,50.1,2012
2566,Merida,38.7,8.1,33.6,43.8,2012
2567,Mexico,3.9,16.3,2.9,5.0,2012
2568,Meycauayan,1.7,30.4,0.9,2.6,2012
2569,Miag-ao,18.8,9.8,15.8,21.8,2012
2570,Midsalip,54.9,5.8,49.7,60.2,2012
2571,Midsayap,39.6,6.1,35.6,43.5,2012
2572,Milagros,49.6,5.3,45.3,53.9,2012
2573,Milaor,27.1,9.1,23.1,31.2,2012
2574,Mina,24.3,13.4,19.0,29.6,2012
2575,Minalabac,40.1,7.8,34.9,45.2,2012
2576,Minalin,6.0,19.1,4.1,7.8,2012
2577,Minglanilla,9.7,19.2,6.6,12.7,2012
2578,Mlang,38.3,6.8,34.0,42.5,2012
2579,Moalboal,27.9,11.4,22.6,33.1,2012
2580,Mobo,43.5,5.1,39.9,47.1,2012
2581,Mogpog,10.5,15.3,7.9,13.2,2012
2582,Moises Padilla,32.5,15.9,24.0,41.1,2012
2583,Molave,22.3,11.4,18.2,26.5,2012
2584,Moncada,11.3,11.7,9.1,13.4,2012
2585,Mondragon,53.6,6.5,47.9,59.3,2012
2586,Monkayo,25.9,12.5,20.6,31.2,2012
2587,Monreal,57.9,7.3,51.0,64.8,2012
2588,Montevista,40.2,9.7,33.8,46.6,2012
2589,Morong (BN),12.7,17.8,9.0,16.4,2012
2590,Morong (RL),3.5,46.3,0.8,6.2,2012
2591,Motiong,42.0,8.6,36.1,48.0,2012
2592,Mulanay,39.7,10.8,32.6,46.7,2012
2593,Mulondo,65.4,8.5,56.3,74.5,2012
2594,Munai,65.2,5.8,58.9,71.4,2012
2595,Muntinlupa,1.9,29.6,1.0,2.8,2012
2596,Murcia,23.3,15.6,17.3,29.2,2012
2597,Mutia,43.8,9.0,37.3,50.3,2012
2598,Naawan,25.9,17.2,18.6,33.2,2012
2599,Nabas,25.4,13.2,19.9,30.9,2012
2600,Nabua,29.5,6.1,26.5,32.4,2012
2601,Nabunturan,24.4,12.8,19.3,29.6,2012
2602,Naga (CS),15.7,11.7,12.7,18.7,2012
2603,Naga (CU),17.2,13.0,13.5,20.9,2012
2604,Naga (ZS),27.8,11.5,22.5,33.1,2012
2605,Nagbukel,30.3,13.9,23.4,37.2,2012
2606,Nagcarlan,10.0,19.6,6.8,13.3,2012
2607,Nagtipunan,26.2,13.4,20.4,32.0,2012
2608,Naguilian (IA),19.2,9.9,16.1,22.4,2012
2609,Naguilian (LU),5.1,24.1,3.1,7.1,2012
2610,Naic,8.3,19.7,5.6,11.0,2012
2611,Nampicuan,16.3,10.8,13.4,19.2,2012
2612,Narra,20.6,12.7,16.3,24.9,2012
2613,Narvacan,11.0,16.3,8.0,13.9,2012
2614,Nasipit,20.7,12.6,16.4,25.0,2012
2615,Nasugbu,15.3,14.3,11.7,18.9,2012
2616,Natividad,11.9,19.9,8.0,15.8,2012
2617,Natonin,39.7,14.8,30.1,49.4,2012
2618,Naujan,20.5,9.3,17.4,23.6,2012
2619,Naval,21.7,10.2,18.1,25.4,2012
2620,Navotas,6.0,27.2,3.3,8.7,2012
2621,New Bataan,32.9,13.3,25.7,40.1,2012
2622,New Corella,41.6,9.8,34.9,48.2,2012
2623,New Lucena,16.6,15.5,12.3,20.8,2012
2624,New Washington,14.7,17.1,10.5,18.8,2012
2625,Norala,28.5,16.0,21.0,36.0,2012
2626,Northern Kabuntalan,64.0,15.0,48.2,79.7,2012
2627,Norzagaray,6.7,23.0,4.2,9.2,2012
2628,Noveleta,3.4,32.5,1.6,5.2,2012
2629,Nueva Era,25.2,15.2,18.9,31.5,2012
2630,Nueva Valencia,19.0,14.4,14.5,23.6,2012
2631,Numancia,9.1,24.2,5.5,12.7,2012
2632,Nunungan,79.7,5.9,72.0,87.4,2012
2633,Oas,36.3,5.7,32.9,39.7,2012
2634,Obando,4.1,27.8,2.2,5.9,2012
2635,Ocampo,31.5,9.0,26.8,36.1,2012
2636,Odiongan,15.4,19.0,10.6,20.1,2012
2637,Old Panamao,48.3,15.3,36.2,60.4,2012
2638,Olongapo,3.1,30.6,1.5,4.7,2012
2639,Olutanga,50.2,8.5,43.2,57.2,2012
2640,Omar,48.8,12.8,38.5,59.1,2012
2641,Opol,14.3,23.7,8.7,19.8,2012
2642,Orani,7.4,14.4,5.6,9.1,2012
2643,Oras,53.5,4.6,49.5,57.6,2012
2644,Orion,9.8,12.6,7.8,11.9,2012
2645,Ormoc,25.7,6.9,22.8,28.6,2012
2646,Oroquieta,22.2,10.7,18.3,26.2,2012
2647,Oslob,40.4,8.9,34.5,46.4,2012
2648,Oton,10.5,16.8,7.6,13.4,2012
2649,Ozamiz,20.9,10.7,17.3,24.6,2012
2650,Padada,14.1,17.2,10.1,18.1,2012
2651,Padre Burgos (QN),27.0,13.2,21.1,32.8,2012
2652,Padre Burgos (SL),30.9,12.4,24.6,37.2,2012
2653,Padre Garcia,13.8,17.6,9.8,17.8,2012
2654,Paete,7.7,33.2,3.5,11.9,2012
2655,Pagadian,12.0,1.7,11.7,12.3,2012
2656,Pagagawan,76.2,11.2,62.1,90.3,2012
2657,Pagalungan,37.5,22.3,23.8,51.2,2012
2658,Pagayawan,71.6,8.3,61.8,81.3,2012
2659,Pagbilao,12.1,20.2,8.1,16.1,2012
2660,Paglat,69.6,12.0,55.8,83.4,2012
2661,Pagsanghan,38.0,9.4,32.1,43.9,2012
2662,Pagsanjan,7.2,24.7,4.3,10.1,2012
2663,Pagudpud,17.8,13.8,13.7,21.8,2012
2664,Pakil,12.7,21.7,8.1,17.2,2012
2665,Palanan,48.6,10.5,40.2,57.0,2012
2666,Palanas,45.0,6.5,40.1,49.8,2012
2667,Palapag,51.7,5.2,47.3,56.2,2012
2668,Palauig,20.8,9.2,17.6,23.9,2012
2669,Palayan,16.9,9.8,14.2,19.7,2012
2670,Palimbang,57.6,9.7,48.4,66.8,2012
2671,Palo,17.9,9.8,15.0,20.8,2012
2672,Palompon,27.7,5.9,25.0,30.4,2012
2673,Paluan,29.6,14.6,22.5,36.7,2012
2674,Pambujan,55.5,5.6,50.4,60.6,2012
2675,Pamplona (CG),26.7,10.3,22.2,31.3,2012
2676,Pamplona (CS),32.9,9.4,27.8,38.0,2012
2677,Pamplona (NR),34.1,10.5,28.2,40.0,2012
2678,Panabo,16.6,12.7,13.1,20.1,2012
2679,Panaon,31.8,12.1,25.5,38.1,2012
2680,Panay,30.8,8.6,26.5,35.1,2012
2681,Pandag,70.2,14.9,53.0,87.4,2012
2682,Pandami,42.0,13.4,32.7,51.2,2012
2683,Pandan (AE),20.9,13.1,16.4,25.4,2012
2684,Pandan (CT),43.7,6.4,39.1,48.3,2012
2685,Pandi,6.9,16.4,5.0,8.7,2012
2686,Panganiban,31.4,9.4,26.5,36.3,2012
2687,Pangantucan,51.7,8.8,44.2,59.2,2012
2688,Pangil,16.2,25.8,9.3,23.0,2012
2689,Panglao,16.4,17.4,11.7,21.0,2012
2690,Panglima Estino,44.3,14.3,33.9,54.7,2012
2691,Panglima Sugala,54.0,17.3,38.6,69.4,2012
2692,Pangutaran,51.9,20.9,34.0,69.7,2012
2693,Paniqui,10.7,10.1,8.9,12.4,2012
2694,Panitan,29.7,10.8,24.4,34.9,2012
2695,Pantabangan,19.5,9.3,16.5,22.5,2012
2696,Pantao Ragat,67.3,8.9,57.5,77.2,2012
2697,Pantar,67.2,7.1,59.3,75.0,2012
2698,Pantukan,36.5,13.3,28.5,44.4,2012
2699,Panukulan,42.4,13.6,32.9,51.9,2012
2700,Paoay,6.8,21.8,4.4,9.2,2012
2701,Paombong,10.4,14.7,7.9,12.9,2012
2702,Paracale,24.0,14.7,18.2,29.8,2012
2703,Paracelis,40.6,14.8,30.7,50.5,2012
2704,Paranas,31.8,7.4,27.9,35.7,2012
2705,Parang (MA),74.0,13.5,57.6,90.3,2012
2706,Parang (SU),48.4,11.7,39.1,57.7,2012
2707,Paranaque,1.1,37.2,0.4,1.8,2012
2708,Pasacao,44.6,6.9,39.5,49.6,2012
2709,Pasay,1.9,16.0,1.4,2.4,2012
2710,Pasig,1.8,24.6,1.1,2.6,2012
2711,Pasil,41.2,19.6,27.9,54.5,2012
2712,Passi,25.1,9.3,21.3,29.0,2012
2713,Pastrana,49.5,6.9,43.8,55.2,2012
2714,Pasuquin,10.4,21.0,6.8,14.0,2012
2715,Pata,52.1,13.5,40.6,63.7,2012
2716,Pateros,2.4,43.2,0.7,4.1,2012
2717,Patikul,48.0,11.4,39.0,57.0,2012
2718,Patnanungan,55.4,14.9,41.8,69.0,2012
2719,Patnongon,26.4,11.8,21.3,31.5,2012
2720,Pavia,8.6,23.8,5.2,12.0,2012
2721,Payao,50.4,7.6,44.1,56.7,2012
2722,Perez,37.7,13.6,29.3,46.2,2012
2723,Penablanca,20.1,9.1,17.1,23.1,2012
2724,Penaranda,15.0,15.3,11.2,18.8,2012
2725,Penarrubia,31.0,18.1,21.7,40.2,2012
2726,Piagapo,81.4,6.7,72.4,90.4,2012
2727,Piat,15.6,14.6,11.8,19.3,2012
2728,Picong,72.7,7.7,63.5,81.9,2012
2729,Piddig,13.6,17.8,9.6,17.5,2012
2730,Pidigan,23.1,21.5,14.9,31.2,2012
2731,Pigcawayan,41.9,6.9,37.1,46.6,2012
2732,Pikit,57.8,7.3,50.9,64.7,2012
2733,Pila,8.4,19.8,5.6,11.1,2012
2734,Pilar (AA),38.4,14.9,29.0,47.9,2012
2735,Pilar (BN),7.7,15.7,5.7,9.6,2012
2736,Pilar (BL),38.8,7.3,34.2,43.4,2012
2737,Pilar (CZ),36.6,10.3,30.4,42.8,2012
2738,Pilar (CU),30.8,13.5,24.0,37.6,2012
2739,Pilar (SO),42.5,4.9,39.1,45.9,2012
2740,Pilar (SN),46.4,8.4,40.0,52.8,2012
2741,Pili,24.6,7.9,21.4,27.8,2012
2742,Pililla,10.8,29.3,5.6,16.0,2012
2743,Pinabacdao,47.0,7.1,41.5,52.5,2012
2744,Pinamalayan,17.0,11.2,13.9,20.2,2012
2745,Pinamungajan,25.7,9.6,21.7,29.8,2012
2746,Pinili,23.7,13.3,18.5,28.8,2012
2747,Pintuyan,44.4,6.1,39.9,48.9,2012
2748,Pinukpuk,31.9,17.9,22.5,41.3,2012
2749,Pio Duran,45.1,5.9,40.7,49.5,2012
2750,Pio V Corpuz,40.7,7.8,35.5,46.0,2012
2751,Pitogo (QN),28.1,12.3,22.4,33.8,2012
2752,Pitogo (ZR),34.1,11.8,27.5,40.6,2012
2753,Pinan,40.2,8.1,34.9,45.5,2012
2754,Placer (MS),47.7,5.9,43.0,52.3,2012
2755,Placer (SN),29.5,11.0,24.1,34.8,2012
2756,Plaridel (BU),6.0,15.0,4.5,7.5,2012
2757,Plaridel (MC),37.4,11.1,30.6,44.2,2012
2758,Plaridel (QN),16.6,21.3,10.8,22.4,2012
2759,Pola,29.2,10.4,24.2,34.1,2012
2760,Polanco,36.8,7.7,32.1,41.4,2012
2761,Polangui,26.7,7.0,23.6,29.8,2012
2762,Polillo,30.8,15.1,23.1,38.4,2012
2763,Polomolok,22.8,19.1,15.6,30.0,2012
2764,Pontevedra (CZ),29.1,12.7,23.0,35.1,2012
2765,Pontevedra (NO),18.3,17.3,13.1,23.6,2012
2766,Poona Bayabao,64.3,8.0,55.9,72.8,2012
2767,Poona Piagapo,73.8,6.0,66.5,81.0,2012
2768,Porac,7.1,14.3,5.4,8.7,2012
2769,Poro,30.1,9.4,25.4,34.7,2012
2770,Pototan,18.9,9.7,15.9,21.9,2012
2771,Pozorrubio,15.4,12.6,12.2,18.5,2012
2772,Presentacion,48.8,8.0,42.4,55.2,2012
2773,President Garcia,51.8,6.9,45.9,57.7,2012
2774,President Quirino,32.7,10.3,27.2,38.3,2012
2775,President Roxas (CZ),28.6,13.5,22.3,35.0,2012
2776,President Roxas (NC),47.6,7.9,41.4,53.7,2012
2777,Roxas (ZN),51.3,5.7,46.4,56.1,2012
2778,Prieto Diaz,30.7,8.4,26.5,34.9,2012
2779,Prosperidad,39.3,7.5,34.4,44.2,2012
2780,Pualas,72.5,9.2,61.6,83.4,2012
2781,Pudtol,41.1,14.5,31.3,50.9,2012
2782,Puerto Galera,11.0,19.4,7.5,14.5,2012
2783,Puerto Princesa,7.8,18.5,5.4,10.2,2012
2784,Pugo,7.5,26.0,4.3,10.8,2012
2785,Pulilan,4.8,16.7,3.5,6.1,2012
2786,Pulupandan,10.3,20.8,6.8,13.8,2012
2787,Pura,10.8,13.9,8.3,13.3,2012
2788,Quezon (BK),49.2,7.6,43.0,55.4,2012
2789,Quezon (IA),24.2,11.9,19.5,28.9,2012
2790,Quezon (MM),1.6,18.5,1.1,2.1,2012
2791,Quezon (NE),24.1,9.1,20.5,27.7,2012
2792,Quezon (NV),21.0,14.9,15.9,26.2,2012
2793,Quezon (PN),36.0,11.4,29.3,42.7,2012
2794,Quezon (QN),26.4,16.1,19.4,33.4,2012
2795,Quinapondan,50.9,5.5,46.3,55.5,2012
2796,Quirino (IS),35.2,14.3,26.9,43.5,2012
2797,Quirino (IA),15.9,13.4,12.4,19.4,2012
2798,Ragay,37.4,5.7,33.9,40.9,2012
2799,Rajah Buayan,70.5,12.6,55.9,85.1,2012
2800,Ramon,18.1,11.6,14.6,21.5,2012
2801,Ramon Magsaysay,32.8,8.3,28.4,37.3,2012
2802,Ramos,13.0,15.5,9.7,16.3,2012
2803,Rapu-Rapu,50.3,5.4,45.8,54.8,2012
2804,Real,29.8,15.0,22.4,37.1,2012
2805,Reina Mercedes,16.2,13.2,12.7,19.8,2012
2806,Remedios T. Romualdez,36.1,12.2,28.8,43.3,2012
2807,Rizal (CG),18.8,11.0,15.4,22.2,2012
2808,Rizal (KA),9.1,31.3,4.4,13.7,2012
2809,Rizal (LA),4.9,35.0,2.1,7.7,2012
2810,Rizal (NE),18.2,9.0,15.5,20.9,2012
2811,Rizal (OM),31.2,12.0,25.0,37.3,2012
2812,Rizal (PN),36.7,13.0,28.9,44.6,2012
2813,Rizal (ZN),33.4,9.5,28.1,38.6,2012
2814,Rodriguez,5.1,41.5,1.6,8.6,2012
2815,Romblon,26.9,12.4,21.4,32.4,2012
2816,Ronda,32.7,10.9,26.8,38.6,2012
2817,Rosales,8.8,16.4,6.4,11.1,2012
2818,Rosario (AS),40.0,12.4,31.8,48.1,2012
2819,Rosario (BS),14.9,14.5,11.4,18.5,2012
2820,Rosario (CE),7.5,22.7,4.7,10.3,2012
2821,Rosario (LU),8.2,18.5,5.7,10.7,2012
2822,Rosario (NS),43.5,8.4,37.5,49.4,2012
2823,R.T. Lim,50.0,7.0,44.2,55.8,2012
2824,Roxas (CZ),12.6,14.7,9.5,15.6,2012
2825,Roxas (IA),15.6,12.0,12.5,18.7,2012
2826,Roxas (OR),21.1,12.6,16.7,25.5,2012
2827,Roxas (PN),21.0,11.8,16.9,25.1,2012
2828,Sabangan,10.9,24.9,6.4,15.4,2012
2829,Sablan,9.2,34.5,4.0,14.4,2012
2830,Sablayan,28.0,10.6,23.1,32.9,2012
2831,Sabtang,30.7,15.2,23.0,38.3,2012
2832,Sadanga,42.7,18.4,29.8,55.6,2012
2833,Sagada,10.2,24.5,6.1,14.3,2012
2834,Sagay (CM),49.9,10.8,41.1,58.8,2012
2835,Sagay (NO),25.2,13.9,19.4,30.9,2012
2836,Sagbayan,24.0,10.9,19.7,28.3,2012
2837,Saguday,12.6,22.0,8.0,17.2,2012
2838,Saguiaran,72.0,8.5,61.9,82.2,2012
2839,Sagnay,37.3,6.4,33.3,41.2,2012
2840,Saint Bernard,39.5,6.7,35.1,43.9,2012
2841,Salay,27.9,16.1,20.5,35.2,2012
2842,Salcedo (ES),43.9,5.9,39.7,48.2,2012
2843,Salcedo (IS),26.8,13.2,21.0,32.7,2012
2844,Sallapadan,43.2,16.6,31.4,55.0,2012
2845,Salug,49.5,7.3,43.5,55.4,2012
2846,Salvador,68.7,7.0,60.8,76.5,2012
2847,Salvador Benedicto,40.7,21.1,26.5,54.8,2012
2848,Samal,4.6,16.4,3.3,5.8,2012
2849,Samboan,31.7,11.6,25.7,37.8,2012
2850,Sampaloc,15.2,24.8,9.0,21.4,2012
2851,San Agustin (IA),14.6,14.5,11.1,18.1,2012
2852,San Agustin (RN),33.4,12.0,26.8,40.0,2012
2853,San Agustin (SS),37.4,12.4,29.8,45.0,2012
2854,San Andres (CT),29.9,7.0,26.5,33.4,2012
2855,San Andres (QN),54.7,14.0,42.1,67.3,2012
2856,San Andres (RN),30.9,12.5,24.6,37.2,2012
2857,San Antonio (NS),36.6,10.6,30.2,42.9,2012
2858,San Antonio (NE),18.1,10.8,14.8,21.3,2012
2859,San Antonio (QN),24.0,15.8,17.8,30.3,2012
2860,San Antonio (ZA),11.2,14.4,8.6,13.8,2012
2861,San Benito,42.4,13.9,32.7,52.1,2012
2862,San Carlos (NO),23.2,18.0,16.3,30.0,2012
2863,San Carlos (PS),16.0,10.0,13.3,18.6,2012
2864,Sanchez-Mira,17.2,11.7,13.9,20.5,2012
2865,San Clemente,11.8,15.0,8.9,14.7,2012
2866,San Dionisio,32.7,10.1,27.3,38.1,2012
2867,San Emilio,24.4,18.0,17.2,31.6,2012
2868,San Enrique (IO),26.2,11.6,21.2,31.2,2012
2869,San Enrique (NO),12.3,27.9,6.7,17.9,2012
2870,San Esteban,18.6,17.5,13.2,23.9,2012
2871,San Fabian,11.7,14.6,8.9,14.4,2012
2872,San Felipe,13.7,14.4,10.4,16.9,2012
2873,San Fernando (BK),63.2,7.1,55.8,70.5,2012
2874,San Fernando (CS),34.9,8.5,30.1,39.8,2012
2875,San Fernando (CU),20.7,11.5,16.7,24.6,2012
2876,San Fernando (LU),3.8,25.7,2.2,5.4,2012
2877,San Fernando (MS),40.5,7.0,35.9,45.2,2012
2878,San Fernando (PA),2.5,19.7,1.7,3.3,2012
2879,San Fernando (RN),35.4,13.0,27.8,43.0,2012
2880,San Francisco (AS),30.8,7.2,27.1,34.5,2012
2881,San Francisco (CU),49.3,8.2,42.7,56.0,2012
2882,San Francisco (QN),45.1,10.9,37.0,53.1,2012
2883,San Francisco (SL),40.0,7.6,35.0,45.0,2012
2884,San Francisco (SN),31.6,10.4,26.2,37.0,2012
2885,San Gabriel,15.0,19.1,10.3,19.7,2012
2886,San Guillermo,27.6,12.0,22.2,33.0,2012
2887,San Ildefonso (BU),11.9,8.7,10.2,13.7,2012
2888,San Ildefonso (IS),10.4,21.6,6.7,14.0,2012
2889,San Isidro (AA),42.3,16.4,30.9,53.8,2012
2890,San Isidro (BL),44.9,9.9,37.6,52.2,2012
2891,San Isidro (DN),43.2,10.8,35.5,50.9,2012
2892,San Isidro (DO),35.2,12.4,28.0,42.4,2012
2893,San Isidro (IA),14.6,13.8,11.3,18.0,2012
2894,San Isidro (LE),47.1,7.4,41.3,52.9,2012
2895,San Isidro (NS),40.9,7.7,35.7,46.1,2012
2896,San Isidro (NE),12.6,14.5,9.6,15.6,2012
2897,San Isidro (SN),46.2,8.5,39.7,52.6,2012
2898,San Jacinto (MS),38.8,7.6,33.9,43.6,2012
2899,San Jacinto (PS),13.6,17.6,9.7,17.6,2012
2900,San Joaquin,28.1,9.1,23.9,32.3,2012
2901,San Jorge,41.1,7.0,36.4,45.9,2012
2902,San Jose (AE),8.3,24.3,5.0,11.6,2012
2903,San Jose (BS),8.6,17.2,6.2,11.1,2012
2904,San Jose (CS),29.2,8.0,25.3,33.0,2012
2905,San Jose (DI),35.3,9.5,29.8,40.9,2012
2906,San Jose (NR),28.8,11.2,23.4,34.1,2012
2907,San Jose (NS),48.1,8.1,41.7,54.5,2012
2908,San Jose (NE),14.2,8.8,12.1,16.2,2012
2909,San Jose (OM),21.2,11.4,17.2,25.2,2012
2910,San Jose (RN),41.0,14.5,31.2,50.8,2012
2911,San Jose (TC),24.0,8.8,20.5,27.5,2012
2912,San Jose De Buan,43.2,13.2,33.8,52.6,2012
2913,San Jose Del Monte,5.1,17.5,3.7,6.6,2012
2914,San Juan (AA),22.0,21.6,14.1,29.8,2012
2915,San Juan (BS),21.2,13.5,16.5,25.9,2012
2916,San Juan (IS),17.0,11.7,13.7,20.2,2012
2917,San Juan (LU),7.1,21.4,4.6,9.7,2012
2918,San Juan (MM),0.3,60.7,0.0,0.6,2012
2919,San Juan (SR),31.4,10.9,25.8,37.0,2012
2920,San Juan (SL),35.9,7.5,31.5,40.3,2012
2921,San Julian,43.5,8.2,37.6,49.4,2012
2922,San Leonardo,12.2,14.0,9.4,15.0,2012
2923,San Lorenzo,28.7,16.7,20.8,36.6,2012
2924,San Lorenzo Ruiz,23.7,18.9,16.3,31.1,2012
2925,San Luis (AS),55.7,6.1,50.1,61.2,2012
2926,San Luis (AU),13.2,12.7,10.4,16.0,2012
2927,San Luis (BS),10.3,18.8,7.1,13.5,2012
2928,San Luis (PA),6.0,19.1,4.1,7.9,2012
2929,San Manuel (IA),16.2,12.6,12.8,19.5,2012
2930,San Manuel (PS),9.1,26.4,5.1,13.0,2012
2931,San Manuel (TC),10.0,13.9,7.7,12.3,2012
2932,San Marcelino,14.1,10.3,11.7,16.5,2012
2933,San Mariano,30.6,7.1,27.0,34.2,2012
2934,San Mateo (IA),12.7,14.3,9.7,15.7,2012
2935,San Mateo (RL),3.1,32.6,1.4,4.8,2012
2936,San Miguel (BL),42.7,8.9,36.5,48.9,2012
2937,San Miguel (BU),12.6,8.9,10.7,14.4,2012
2938,San Miguel (CT),32.1,9.1,27.3,36.9,2012
2939,San Miguel (IO),14.3,16.9,10.3,18.2,2012
2940,San Miguel (LE),46.4,7.4,40.8,52.0,2012
2941,San Miguel (SS),37.5,10.4,31.1,43.8,2012
2942,San Miguel (ZR),46.5,7.8,40.6,52.4,2012
2943,San Narciso (QN),44.0,10.8,36.2,51.8,2012
2944,San Narciso (ZA),11.5,14.1,8.8,14.1,2012
2945,San Nicolas (BS),10.6,22.6,6.7,14.6,2012
2946,San Nicolas (IN),6.2,23.3,3.8,8.6,2012
2947,San Nicolas (PS),13.9,16.9,10.0,17.8,2012
2948,San Pablo (IA),24.4,13.5,19.0,29.8,2012
2949,San Pablo (LA),5.6,16.6,4.1,7.1,2012
2950,San Pablo (ZR),46.9,6.6,41.8,52.0,2012
2951,San Pascual (BS),3.0,27.4,1.6,4.3,2012
2952,San Pascual (MS),52.8,6.3,47.3,58.3,2012
2953,San Pedro,1.0,52.9,0.1,1.9,2012
2954,San Policarpo,52.4,6.3,47.0,57.9,2012
2955,San Quintin (AA),22.5,26.5,12.7,32.3,2012
2956,San Quintin (PS),11.8,18.6,8.2,15.4,2012
2957,San Rafael (BU),7.3,13.6,5.7,8.9,2012
2958,San Rafael (IO),28.4,17.1,20.4,36.4,2012
2959,San Remigio (AE),35.9,9.4,30.4,41.4,2012
2960,San Remigio (CU),27.3,9.6,23.0,31.6,2012
2961,San Ricardo,46.0,8.3,39.7,52.3,2012
2962,San Roque,51.0,6.4,45.7,56.3,2012
2963,San Sebastian,40.8,9.3,34.5,47.0,2012
2964,San Simon,4.4,26.7,2.4,6.3,2012
2965,San Teodoro,14.8,21.2,9.7,20.0,2012
2966,Santiago (AN),40.5,12.5,32.2,48.9,2012
2967,Santiago (IS),24.7,11.5,20.0,29.3,2012
2968,Santiago (IA),15.0,11.3,12.2,17.8,2012
2969,San Vicente (CN),21.6,16.8,15.6,27.6,2012
2970,San Vicente (IS),14.1,21.1,9.2,18.9,2012
2971,San Vicente (NS),45.7,9.9,38.3,53.1,2012
2972,San Vicente (PN),30.1,14.9,22.8,37.5,2012
2973,Sapad,58.4,8.4,50.4,66.5,2012
2974,Sapang Dalaga,46.6,9.0,39.7,53.5,2012
2975,Sapa-Sapa,33.3,17.6,23.7,42.9,2012
2976,Sapi-An,29.7,16.8,21.5,37.9,2012
2977,Sara,26.1,10.8,21.4,30.7,2012
2978,Sarangani,65.9,8.4,56.8,75.0,2012
2979,Sariaya,23.2,12.4,18.5,28.0,2012
2980,Sarrat,9.0,19.5,6.1,11.9,2012
2981,Sasmuan,6.7,18.7,4.7,8.8,2012
2982,Science City of Munoz,15.1,8.7,12.9,17.3,2012
2983,Sebaste,24.2,20.0,16.2,32.1,2012
2984,Senator Ninoy Aquino,54.6,8.7,46.8,62.4,2012
2985,Sergio Osmena,59.9,6.0,54.0,65.9,2012
2986,Sevilla,31.7,9.9,26.6,36.9,2012
2987,Shariff Aguak,74.5,12.4,59.3,89.7,2012
2988,Shariff Saydona Mustapha,66.0,12.3,52.6,79.4,2012
2989,Siasi,55.8,11.8,44.9,66.6,2012
