PCODE,Region,Province,Municipality_City,Prelim_2012,Pov_2012,SE_2012,CoV_2012,Con_90lower_2012,Con_90upper_2012,Pov_2009,SE_2009,CoV_2009,Pov_2006,SE_2006,CoV_2006
PH063017000,Region VI,Iloilo,Duenas,FALSE,25.29,2.78,10.99248715,20.7169,29.8631,22.3,3.1,13.9,30.7,2.6,8.4
PH063018000,Region VI,Iloilo,Dumangas,FALSE,21.35,2.39,11.19437939,17.41845,25.28155,16.0,2.3,14.5,25.2,2.0,7.7
PH063019000,Region VI,Iloilo,Estancia,FALSE,26.08,3.17,12.15490798,20.86535,31.29465,22.1,3.2,14.3,30.3,3.4,11.3
PH063020000,Region VI,Iloilo,Guimbal,FALSE,11.42,1.74,15.23642732,8.5577,14.2823,15.8,2.4,15.0,21.0,2.7,12.9
PH063021000,Region VI,Iloilo,Igbaras,FALSE,22.52,2.37,10.52397869,18.62135,26.41865,29.2,3.8,12.8,33.0,3.6,11.0
PH063022000,Region VI,Iloilo,Iloilo City,FALSE,5.98,1.15,19.23076923,4.08825,7.87175,7.6,1.0,13.3,4.9,0.9,17.4
PH063023000,Region VI,Iloilo,Janiuay,FALSE,25.26,2.29,9.065716548,21.49295,29.02705,25.8,2.8,10.9,27.1,2.6,9.5
PH063025000,Region VI,Iloilo,Lambunao,FALSE,26.61,2.51,9.432544156,22.48105,30.73895,23.2,3.3,14.1,40.7,3.4,8.3
PH063026000,Region VI,Iloilo,Leganes,FALSE,10.11,2.5,24.72799209,5.9975,14.2225,15.2,2.9,18.8,14.0,2.3,16.2
PH063027000,Region VI,Iloilo,Lemery,FALSE,28.32,3.15,11.12288136,23.13825,33.50175,33.8,4.2,12.3,34.8,3.6,10.2
PH063028000,Region VI,Iloilo,Leon,FALSE,23.97,2.02,8.427200668,20.6471,27.2929,33.7,4.4,13.1,35.3,2.8,8.0
PH063029000,Region VI,Iloilo,Maasin,FALSE,28.29,2.73,9.650053022,23.79915,32.78085,22.6,2.7,12.1,37.4,2.8,7.4
PH063030000,Region VI,Iloilo,Miag-ao,FALSE,18.78,1.84,9.797657082,15.7532,21.8068,26.1,2.9,11.0,28.1,2.2,7.9
PH063031000,Region VI,Iloilo,Mina,FALSE,24.3,3.25,13.3744856,18.95375,29.64625,15.5,2.9,18.5,21.2,3.2,14.9
PH063032000,Region VI,Iloilo,New Lucena,FALSE,16.55,2.57,15.52870091,12.32235,20.77765,16.8,2.9,17.3,26.9,3.5,12.9
PH063034000,Region VI,Iloilo,Oton,FALSE,10.52,1.77,16.82509506,7.60835,13.43165,15.8,2.2,14.2,18.0,2.2,12.4
PH063035000,Region VI,Iloilo,Passi City,FALSE,25.12,2.33,9.275477707,21.28715,28.95285,24.5,2.9,12.0,36.5,2.7,7.3
PH063036000,Region VI,Iloilo,Pavia,FALSE,8.61,2.05,23.80952381,5.23775,11.98225,10.2,2.1,20.3,10.6,1.9,18.1
PH063037000,Region VI,Iloilo,Pototan,FALSE,18.9,1.84,9.735449735,15.8732,21.9268,17.3,2.4,13.9,18.8,2.0,10.8
PH063038000,Region VI,Iloilo,San Dionisio,FALSE,32.72,3.3,10.08557457,27.2915,38.1485,42.3,4.6,10.9,43.2,4.0,9.2
PH063039000,Region VI,Iloilo,San Enrique,FALSE,26.2,3.05,11.64122137,21.18275,31.21725,28.3,3.7,13.0,34.5,3.0,8.7
PH063040000,Region VI,Iloilo,San Joaquin,FALSE,28.09,2.55,9.077963688,23.89525,32.28475,38.3,4.2,10.8,36.1,2.6,7.2
PH063041000,Region VI,Iloilo,San Miguel,FALSE,14.26,2.41,16.90042076,10.29555,18.22445,17.9,2.9,15.9,18.4,2.8,15.0
PH063042000,Region VI,Iloilo,San Rafael,FALSE,28.4,4.86,17.11267606,20.4053,36.3947,30.1,5.3,17.5,39.0,5.6,14.3
PH063043000,Region VI,Iloilo,Santa Barbara,FALSE,13.14,1.78,13.54642314,10.2119,16.0681,13.5,2.0,14.5,14.7,1.8,12.3
PH063044000,Region VI,Iloilo,Sara,FALSE,26.05,2.81,10.78694818,21.42755,30.67245,24.1,3.1,12.9,31.7,2.6,8.1
PH063045000,Region VI,Iloilo,Tigbauan,FALSE,19.14,2.02,10.553814,15.8171,22.4629,23.3,3.0,12.9,24.9,2.0,7.9
PH063046000,Region VI,Iloilo,Tubungan,FALSE,28.43,2.69,9.461836089,24.00495,32.85505,35.5,4.2,11.8,37.4,2.4,6.5
PH063047000,Region VI,Iloilo,Zarraga,FALSE,16.77,2.37,14.13237925,12.87135,20.66865,15.4,2.6,16.7,12.2,2.4,19.4
PH064501000,Region VI,Negros Occidental,Bacolod City,FALSE,3.19,0.98,30.72100313,1.5779,4.8021,11.2,2.0,18.2,3.4,1.0,29.3
PH064502000,Region VI,Negros Occidental,Bago City,FALSE,20.55,3.18,15.47445255,15.3189,25.7811,20.7,3.0,14.5,21.2,2.9,13.6
PH064503000,Region VI,Negros Occidental,Binalbagan,FALSE,16.59,3.13,18.86678722,11.44115,21.73885,28.9,4.4,15.1,23.4,4.0,17.0
PH064504000,Region VI,Negros Occidental,Cadiz City,FALSE,24.65,3.74,15.17241379,18.4977,30.8023,27.3,3.4,12.5,26.2,4.2,16.0
PH064505000,Region VI,Negros Occidental,Calatrava,FALSE,32.96,3.77,11.4381068,26.75835,39.16165,39.1,3.4,8.7,38.3,3.2,8.4
PH064506000,Region VI,Negros Occidental,Candoni,FALSE,29.37,4.37,14.87912836,22.18135,36.55865,41.9,5.2,12.4,45.0,6.2,13.7
PH064507000,Region VI,Negros Occidental,Cauayan,FALSE,31.16,3.38,10.84724005,25.5999,36.7201,55.2,4.7,8.6,44.2,4.5,10.3
PH064508000,Region VI,Negros Occidental,Enrique B. Magalona,FALSE,20.32,2.84,13.97637795,15.6482,24.9918,24.7,3.2,12.8,21.9,2.8,12.6
PH064509000,Region VI,Negros Occidental,Escalante City,FALSE,23.54,3.56,15.12319456,17.6838,29.3962,25.6,3.8,14.8,27.8,3.8,13.8
PH064510000,Region VI,Negros Occidental,Himamaylan City,FALSE,23.5,3.67,15.61702128,17.46285,29.53715,31.4,3.6,11.4,30.5,3.6,11.8
PH064511000,Region VI,Negros Occidental,Hinigaran,FALSE,16.57,2.85,17.1997586,11.88175,21.25825,30.6,3.9,12.6,29.1,3.2,11.1
PH064512000,Region VI,Negros Occidental,Hinoba-An (Asia),FALSE,30.36,4.48,14.75625823,22.9904,37.7296,52.8,5.8,10.9,34.0,4.9,14.3
PH064513000,Region VI,Negros Occidental,Ilog,FALSE,24.2,3.99,16.48760331,17.63645,30.76355,39.1,4.9,12.4,27.0,3.7,13.7
PH064514000,Region VI,Negros Occidental,Isabela,FALSE,27.3,3.3,12.08791209,21.8715,32.7285,33.8,4.0,11.7,36.1,3.1,8.6
PH064515000,Region VI,Negros Occidental,Kabankalan City,FALSE,25.79,3.4,13.18340442,20.197,31.383,40.9,3.2,7.8,35.4,3.6,10.3
PH064516000,Region VI,Negros Occidental,La Carlota City,FALSE,10.33,2.17,21.00677638,6.76035,13.89965,19.3,3.4,17.5,17.9,2.8,15.4
PH064517000,Region VI,Negros Occidental,La Castellana,FALSE,29.58,4.76,16.09195402,21.7498,37.4102,29.7,5.2,17.6,32.4,5.5,16.9
PH064518000,Region VI,Negros Occidental,Manapla,FALSE,24.63,4.56,18.51400731,17.1288,32.1312,28.4,4.8,16.8,26.9,5.0,18.6
PH064519000,Region VI,Negros Occidental,Moises Padilla (Magallon),FALSE,32.54,5.19,15.94960049,24.00245,41.07755,40.6,5.5,13.5,40.4,5.7,14.0
PH064520000,Region VI,Negros Occidental,Murcia,FALSE,23.26,3.63,15.60619089,17.28865,29.23135,20.7,3.8,18.4,25.1,3.4,13.5
PH064521000,Region VI,Negros Occidental,Pontevedra,FALSE,18.34,3.17,17.28462377,13.12535,23.55465,20.4,3.3,16.1,20.1,3.7,18.5
PH064522000,Region VI,Negros Occidental,Pulupandan,FALSE,10.28,2.14,20.81712062,6.7597,13.8003,24.6,3.2,13.1,17.8,2.1,11.8
PH064523000,Region VI,Negros Occidental,Sagay City,FALSE,25.15,3.49,13.87673956,19.40895,30.89105,28.0,3.2,11.6,27.7,4.1,14.9
PH064524000,Region VI,Negros Occidental,San Carlos City,FALSE,23.16,4.18,18.04835924,16.2839,30.0361,34.0,4.4,12.8,28.0,3.9,14.1
PH064525000,Region VI,Negros Occidental,San Enrique,FALSE,12.28,3.42,27.85016287,6.6541,17.9059,21.8,5.1,23.4,21.3,4.5,21.0
PH064526000,Region VI,Negros Occidental,Silay City,FALSE,13.95,2.97,21.29032258,9.06435,18.83565,17.6,3.7,21.2,18.7,3.2,17.3
PH064527000,Region VI,Negros Occidental,Sipalay City,FALSE,29.14,4.6,15.78586136,21.573,36.707,45.9,5.0,11.0,39.4,4.4,11.2
PH064528000,Region VI,Negros Occidental,Talisay City,FALSE,10.35,2.27,21.93236715,6.61585,14.08415,15.7,2.9,18.7,11.1,2.0,18.1
PH064529000,Region VI,Negros Occidental,Toboso,FALSE,31.39,5.8,18.47722205,21.849,40.931,31.8,6.1,19.2,34.5,6.2,18.1
PH064530000,Region VI,Negros Occidental,Valladolid,FALSE,10.66,2.28,21.38836773,6.9094,14.4106,21.2,3.4,16.3,14.4,2.7,18.7
PH064531000,Region VI,Negros Occidental,Victorias City,FALSE,15.6,3.07,19.67948718,10.54985,20.65015,19.2,3.0,15.4,18.4,3.0,16.2
PH064532000,Region VI,Negros Occidental,Salvador Benedicto,FALSE,40.65,8.59,21.13161132,26.51945,54.78055,55.9,8.1,14.6,50.1,7.9,15.7
PH067901000,Region VI,Guimaras,Buenavista,FALSE,16.25,2.21,13.6,12.61455,19.88545,23.9,2.5,10.4,22.5,2.4,10.6
PH067902000,Region VI,Guimaras,Jordan,FALSE,17.5,3.03,17.31428571,12.51565,22.48435,17.7,3.3,18.4,24.6,3.4,13.9
PH067903000,Region VI,Guimaras,Nueva Valencia,FALSE,19.04,2.75,14.44327731,14.51625,23.56375,36.4,3.9,10.7,29.7,3.4,11.4
PH067904000,Region VI,Guimaras,San Lorenzo,FALSE,28.69,4.78,16.66085744,20.8269,36.5531,44.0,5.5,12.5,45.4,5.1,11.3
PH067905000,Region VI,Guimaras,Sibunag,FALSE,28.42,3.54,12.45601689,22.5967,34.2433,49.3,5.7,11.6,42.1,4.6,11.0
PH071201000,Region VII,Bohol,Alburquerque,FALSE,15.94,2.52,15.80928482,11.7946,20.0854,25.4,3.3,13.1,24.8,3.9,15.8
PH071202000,Region VII,Bohol,Alicia,FALSE,33.93,3.75,11.05216622,27.76125,40.09875,53.7,4.5,8.4,49.5,5.4,10.9
PH071203000,Region VII,Bohol,Anda,FALSE,30.94,3.4,10.98901099,25.347,36.533,49.6,4.2,8.5,47.4,4.5,9.6
PH071204000,Region VII,Bohol,Antequera,FALSE,18.45,2.12,11.49051491,14.9626,21.9374,36.8,3.1,8.4,49.9,5.2,10.4
PH071205000,Region VII,Bohol,Baclayon,FALSE,15.08,2.21,14.65517241,11.44455,18.71545,23.9,2.7,11.3,25.1,3.5,14.1
PH071206000,Region VII,Bohol,Balilihan,FALSE,31.3,2.52,8.051118211,27.1546,35.4454,51.9,2.9,5.5,48.3,3.5,7.3
PH071207000,Region VII,Bohol,Batuan,FALSE,32.29,2.96,9.166924745,27.4208,37.1592,46.8,3.4,7.3,75.3,5.6,7.4
PH071208000,Region VII,Bohol,Bilar,FALSE,22.55,2.49,11.0421286,18.45395,26.64605,47.9,3.5,7.4,43.9,4.3,9.7
PH071209000,Region VII,Bohol,Buenavista,FALSE,45.45,2.74,6.02860286,40.9427,49.9573,55.9,3.1,5.5,56.2,3.2,5.7
PH071210000,Region VII,Bohol,Calape,FALSE,25.42,2.48,9.756097561,21.3404,29.4996,40.4,2.7,6.6,39.9,2.8,7.0
PH071211000,Region VII,Bohol,Canduay,FALSE,34.5,2.73,7.913043478,30.00915,38.99085,52.3,3.0,5.8,38.0,4.1,10.8
PH071212000,Region VII,Bohol,Carmen,FALSE,38.38,2.9,7.55601876,33.6095,43.1505,55.2,3.3,5.9,75.0,5.8,7.7
PH071213000,Region VII,Bohol,Catigbian,FALSE,36.98,3.03,8.193618172,31.99565,41.96435,51.3,3.4,6.7,64.3,6.7,10.4
PH071214000,Region VII,Bohol,Clarin,FALSE,26.37,2.51,9.518392112,22.24105,30.49895,39.2,3.3,8.4,40.5,3.5,8.6
PH071215000,Region VII,Bohol,Corella,FALSE,17.88,3.08,17.22595078,12.8134,22.9466,32.0,4.1,12.9,27.1,4.9,18.2
PH071216000,Region VII,Bohol,Cortes,FALSE,15.88,2.41,15.17632242,11.91555,19.84445,26.9,3.6,13.4,26.4,3.6,13.7
PH071217000,Region VII,Bohol,Dagohoy,FALSE,40.67,4.16,10.22866978,33.8268,47.5132,56.0,4.2,7.5,65.9,4.7,7.1
PH071218000,Region VII,Bohol,Danao,FALSE,42.74,4.25,9.943846514,35.74875,49.73125,62.1,4.0,6.4,64.7,4.8,7.4
PH071219000,Region VII,Bohol,Dauis,FALSE,17.01,2.65,15.57907113,12.65075,21.36925,30.1,3.6,12.1,40.5,3.9,9.5
PH071220000,Region VII,Bohol,Dimiao,FALSE,30.6,2.59,8.464052288,26.33945,34.86055,42.4,3.6,8.4,45.1,3.2,7.0
PH071221000,Region VII,Bohol,Duero,FALSE,29.61,2.89,9.760216143,24.85595,34.36405,51.7,3.2,6.2,38.0,3.1,8.0
PH071222000,Region VII,Bohol,Garcia Hernandez,FALSE,28.01,2.77,9.889325241,23.45335,32.56665,46.8,2.8,6.0,35.3,3.1,8.8
PH071223000,Region VII,Bohol,Guindulman,FALSE,30.26,3.08,10.1784534,25.1934,35.3266,47.2,3.4,7.1,41.2,3.3,7.9
PH071224000,Region VII,Bohol,Inabanga,FALSE,34.74,2.39,6.879677605,30.80845,38.67155,47.1,2.4,5.0,48.5,2.8,5.9
PH071225000,Region VII,Bohol,Jagna,FALSE,19.63,2.2,11.20733571,16.011,23.249,36.4,2.2,6.1,34.2,2.7,8.0
PH071226000,Region VII,Bohol,Jetafe,FALSE,43.5,2.81,6.459770115,38.87755,48.12245,60.1,2.9,4.8,50.1,3.9,7.7
PH071227000,Region VII,Bohol,Lila,FALSE,19.62,2.83,14.42405708,14.96465,24.27535,42.6,3.8,8.9,36.6,4.1,11.1
PH071228000,Region VII,Bohol,Loay,FALSE,19.3,2.19,11.34715026,15.69745,22.90255,28.4,3.0,10.4,29.7,3.4,11.5
PH071229000,Region VII,Bohol,Loboc,FALSE,21.52,2.24,10.40892193,17.8352,25.2048,32.8,2.9,8.7,26.0,2.7,10.5
PH071230000,Region VII,Bohol,Loon,FALSE,21.98,1.61,7.324840764,19.33155,24.62845,38.8,2.2,5.6,39.4,3.0,7.6
PH071231000,Region VII,Bohol,Mabini,FALSE,46.76,3.48,7.44225834,41.0354,52.4846,58.4,3.2,5.5,46.5,3.9,8.5
PH071232000,Region VII,Bohol,Maribojoc,FALSE,17.3,2.32,13.41040462,13.4836,21.1164,24.9,2.9,11.7,25.2,3.4,13.6
PH071233000,Region VII,Bohol,Panglao,FALSE,16.36,2.85,17.4205379,11.67175,21.04825,33.3,4.2,12.5,30.2,4.6,15.1
PH071234000,Region VII,Bohol,Pilar,FALSE,38.81,2.82,7.266168513,34.1711,43.4489,67.1,3.9,5.8,62.2,4.0,6.5
PH071235000,Region VII,Bohol,Pres. Carlos P. Garcia,FALSE,51.83,3.59,6.92649045,45.92445,57.73555,62.1,3.7,5.9,49.8,3.8,7.6
PH071236000,Region VII,Bohol,Sagbayan,FALSE,24.01,2.62,10.91211995,19.7001,28.3199,48.8,3.8,7.7,57.1,6.0,10.6
PH071237000,Region VII,Bohol,San Isidro,FALSE,44.89,4.45,9.913120962,37.56975,52.21025,64.0,4.8,7.6,47.8,5.2,10.9
PH071238000,Region VII,Bohol,San Miguel,FALSE,42.71,3.78,8.850386326,36.4919,48.9281,53.6,4.1,7.6,64.2,3.8,6.0
PH071239000,Region VII,Bohol,Sevilla,FALSE,31.72,3.14,9.899117276,26.5547,36.8853,52.2,3.6,6.9,59.9,4.5,7.5
PH071240000,Region VII,Bohol,Sierra Bullones,FALSE,35.05,3.31,9.443651926,29.60505,40.49495,54.4,4.3,7.9,47.7,4.0,8.4
PH071241000,Region VII,Bohol,Sikatuna,FALSE,28.98,3.78,13.04347826,22.7619,35.1981,45.9,4.7,10.3,38.0,5.6,14.8
PH071242000,Region VII,Bohol,Tagbilaran City,FALSE,7.85,1.45,18.47133758,5.46475,10.23525,11.0,2.2,19.5,10.4,1.9,18.3
PH071243000,Region VII,Bohol,Talibon,FALSE,36.35,2.69,7.400275103,31.92495,40.77505,51.4,3.2,6.2,43.9,3.8,8.7
PH071244000,Region VII,Bohol,Trinidad,FALSE,39.69,3.1,7.81053162,34.5905,44.7895,56.6,3.8,6.7,57.9,4.0,7.0
PH071245000,Region VII,Bohol,Tubigon,FALSE,26.69,2.12,7.943049831,23.2026,30.1774,37.4,2.5,6.8,41.5,3.2,7.7
PH071246000,Region VII,Bohol,Ubay,FALSE,39.64,2.18,5.499495459,36.0539,43.2261,50.1,2.9,5.8,57.2,3.3,5.7
PH071247000,Region VII,Bohol,Valencia,FALSE,28.51,2.27,7.962118555,24.77585,32.24415,50.4,2.9,5.7,43.0,2.9,6.8
PH071248000,Region VII,Bohol,Bien Unido,FALSE,48.8,3.54,7.254098361,42.9767,54.6233,63.7,4.0,6.2,45.2,4.6,10.3
PH072201000,Region VII,Cebu,Alcantara,FALSE,34.03,4.24,12.45959448,27.0552,41.0048,51.2,4.5,8.8,47.9,6.4,13.2
PH072202000,Region VII,Cebu,Alcoy,FALSE,24.53,4.41,17.97798614,17.27555,31.78445,47.1,5.2,10.9,53.0,5.9,11.2
PH072203000,Region VII,Cebu,Alegria,FALSE,39.95,5.19,12.99123905,31.41245,48.48755,62.4,4.7,7.5,62.7,5.0,8.0
PH072204000,Region VII,Cebu,Aloguinsan,FALSE,29.13,3.64,12.49570889,23.1422,35.1178,49.4,4.9,9.9,61.7,6.1,9.8
PH072205000,Region VII,Cebu,Argao,FALSE,24.74,2.25,9.09458367,21.03875,28.44125,43.6,2.4,5.4,41.7,2.5,6.0
PH072206000,Region VII,Cebu,Asturias,FALSE,30.77,3.24,10.52973676,25.4402,36.0998,44.2,3.5,7.9,52.3,4.6,8.8
PH072207000,Region VII,Cebu,Badian,FALSE,38.32,3.03,7.907098121,33.33565,43.30435,53.5,3.2,5.9,60.5,3.5,5.8
PH072208000,Region VII,Cebu,Balamban,FALSE,20.04,2.32,11.57684631,16.2236,23.8564,37.6,3.5,9.2,41.6,3.7,8.9
PH072209000,Region VII,Cebu,Bantayan,FALSE,36.04,2.54,7.04772475,31.8617,40.2183,55.1,3.0,5.5,48.9,3.4,6.9
PH072210000,Region VII,Cebu,Barili,FALSE,26.44,2.21,8.358547655,22.80455,30.07545,40.7,2.6,6.5,51.3,3.4,6.6
PH072211000,Region VII,Cebu,Bogo,FALSE,20.15,2.41,11.96029777,16.18555,24.11445,37.0,3.1,8.5,37.7,3.3,8.7
PH072212000,Region VII,Cebu,Boljoon,FALSE,33.63,4.13,12.28070175,26.83615,40.42385,48.6,4.4,9.0,52.1,5.8,11.0
PH072213000,Region VII,Cebu,Borbon,FALSE,27.43,3.18,11.59314619,22.1989,32.6611,43.7,3.4,7.8,51.2,4.2,8.1
PH072214000,Region VII,Cebu,Carcar,FALSE,17.02,2.42,14.21856639,13.0391,21.0009,27.2,3.6,13.1,35.0,4.2,12.0
PH072215000,Region VII,Cebu,Carmen,FALSE,19.96,2.39,11.9739479,16.02845,23.89155,31.4,3.2,10.2,32.6,3.5,10.6
PH072216000,Region VII,Cebu,Catmon,FALSE,27.47,2.57,9.355660721,23.24235,31.69765,39.9,3.8,9.6,43.7,3.8,8.8
PH072217000,Region VII,Cebu,Cebu City,FALSE,6.8,1.04,15.29411765,5.0892,8.5108,13.9,1.5,10.7,14.5,1.9,13.0
PH072218000,Region VII,Cebu,Compostela,FALSE,18.2,2.82,15.49450549,13.5611,22.8389,27.8,4.0,14.5,29.0,4.0,13.8
PH072219000,Region VII,Cebu,Consolacion,FALSE,9.28,2.04,21.98275862,5.9242,12.6358,17.4,3.1,18.0,22.7,3.4,15.1
PH072220000,Region VII,Cebu,Cordoba,FALSE,14.29,2.53,17.70468859,10.12815,18.45185,25.9,3.8,14.7,29.0,4.6,15.9
PH072221000,Region VII,Cebu,Daanbantayan,FALSE,28.35,3.02,10.65255732,23.3821,33.3179,42.9,3.2,7.4,42.1,3.2,7.7
PH072222000,Region VII,Cebu,Dalaguete,FALSE,42.32,3.21,7.585066163,37.03955,47.60045,55.6,3.0,5.4,54.2,3.6,6.7
PH072223000,Region VII,Cebu,Danao City,FALSE,16.61,1.66,9.99397953,13.8793,19.3407,31.6,2.8,9.0,30.7,3.2,10.5
PH072224000,Region VII,Cebu,Dumanjug,FALSE,33.18,2.73,8.227848101,28.68915,37.67085,47.6,3.1,6.6,48.0,3.5,7.3
PH072225000,Region VII,Cebu,Ginatilan,FALSE,40.47,3.24,8.005930319,35.1402,45.7998,58.0,4.0,6.9,41.5,4.8,11.5
PH072226000,Region VII,Cebu,Lapu-Lapu City,FALSE,9.09,1.75,19.25192519,6.21125,11.96875,19.6,2.4,12.2,16.6,2.4,14.2
PH072227000,Region VII,Cebu,Liloan,FALSE,10.54,2.28,21.63187856,6.7894,14.2906,18.0,3.1,17.3,22.0,3.9,17.8
PH072228000,Region VII,Cebu,Madridejos,FALSE,36.25,3.19,8.8,31.00245,41.49755,50.6,4.1,8.0,45.1,4.0,8.8
PH072229000,Region VII,Cebu,Malabuyoc,FALSE,37.13,3.81,10.26124428,30.86255,43.39745,50.7,4.3,8.4,59.4,4.8,8.1
PH072230000,Region VII,Cebu,Mandaue City,FALSE,5.49,1.2,21.8579235,3.516,7.464,14.1,2.0,14.4,14.5,2.5,17.4
PH072231000,Region VII,Cebu,Medellin,FALSE,23.88,2.73,11.4321608,19.38915,28.37085,35.8,3.2,9.0,39.6,4.3,10.9
PH072232000,Region VII,Cebu,Minglanilla,FALSE,9.66,1.85,19.15113872,6.61675,12.70325,20.4,2.7,13.4,25.9,3.8,14.7
PH072233000,Region VII,Cebu,Moalboal,FALSE,27.87,3.19,11.44599928,22.62245,33.11755,48.9,3.4,6.9,45.0,4.5,10.0
PH072234000,Region VII,Cebu,Naga,FALSE,17.23,2.24,13.00058038,13.5452,20.9148,27.1,2.4,8.7,31.4,2.9,9.1
PH072235000,Region VII,Cebu,Oslob,FALSE,40.42,3.61,8.931222167,34.48155,46.35845,50.9,3.4,6.8,55.1,4.0,7.3
PH072236000,Region VII,Cebu,Pilar,FALSE,30.8,4.15,13.47402597,23.97325,37.62675,48.9,4.4,9.0,42.7,4.7,11.0
PH072237000,Region VII,Cebu,Pinamungahan,FALSE,25.74,2.47,9.595959596,21.67685,29.80315,46.4,3.3,7.1,41.6,3.6,8.6
PH072238000,Region VII,Cebu,Poro,FALSE,30.07,2.84,9.444629199,25.3982,34.7418,45.1,4.1,9.1,49.3,4.5,9.1
PH072239000,Region VII,Cebu,Ronda,FALSE,32.71,3.58,10.94466524,26.8209,38.5991,46.5,3.9,8.4,57.3,4.1,7.2
PH072240000,Region VII,Cebu,Samboan,FALSE,31.74,3.67,11.56269691,25.70285,37.77715,53.1,4.0,7.5,49.5,4.9,9.9
PH072241000,Region VII,Cebu,San Fernando,FALSE,20.65,2.38,11.52542373,16.7349,24.5651,26.2,3.5,13.2,31.0,3.0,9.7
PH072242000,Region VII,Cebu,San Francisco,FALSE,49.34,4.04,8.188082692,42.6942,55.9858,59.5,4.0,6.8,60.7,4.1,6.8
PH072243000,Region VII,Cebu,San Remigio,FALSE,27.28,2.61,9.56744868,22.98655,31.57345,45.7,3.2,7.0,50.8,3.1,6.1
PH072244000,Region VII,Cebu,Santa Fe,FALSE,39.83,3.77,9.465227216,33.62835,46.03165,56.2,5.4,9.6,65.0,4.7,7.3
PH072245000,Region VII,Cebu,Santander,FALSE,27.92,3.25,11.64040115,22.57375,33.26625,41.9,4.2,10.1,56.3,5.2,9.3
PH072246000,Region VII,Cebu,Sibonga,FALSE,25.68,2.43,9.462616822,21.68265,29.67735,41.8,3.2,7.7,42.2,3.8,8.9
PH072247000,Region VII,Cebu,Sogod,FALSE,33.4,3.09,9.251497006,28.31695,38.48305,44.7,3.8,8.5,44.6,4.8,10.7
PH072248000,Region VII,Cebu,Tabogon,FALSE,34.77,3.12,8.973252804,29.6376,39.9024,47.0,3.3,7.1,48.1,4.1,8.5
PH072249000,Region VII,Cebu,Tabuelan,FALSE,33.44,3.9,11.66267943,27.0245,39.8555,53.8,4.8,9.0,66.5,5.0,7.6
PH072250000,Region VII,Cebu,Talisay City,FALSE,10.65,1.75,16.43192488,7.77125,13.52875,18.0,2.6,14.3,18.6,3.1,16.7
PH072251000,Region VII,Cebu,Toledo City,FALSE,18.89,2.02,10.69348862,15.5671,22.2129,31.5,2.3,7.1,34.3,2.8,8.1
PH072252000,Region VII,Cebu,Tuburan,FALSE,34.26,2.51,7.326328079,30.13105,38.38895,45.9,2.6,5.7,58.4,3.6,6.1
PH072253000,Region VII,Cebu,Tudela,FALSE,24.33,4.41,18.12577065,17.07555,31.58445,42.7,6.1,14.2,41.7,6.2,14.9
PH074601000,Region VII,Negros Oriental,Amlan,FALSE,20.31,3.17,15.60807484,15.09535,25.52465,24.1,4.9,20.3,25.7,4.9,18.9
PH074602000,Region VII,Negros Oriental,Ayungon,FALSE,51.33,3,5.844535359,46.395,56.265,51.6,3.7,7.2,49.7,4.1,8.3
PH074603000,Region VII,Negros Oriental,Bacong,FALSE,18.48,2.14,11.58008658,14.9597,22.0003,20.8,2.5,11.9,24.2,2.9,12.1
PH074604000,Region VII,Negros Oriental,Bais City,FALSE,31.71,2.46,7.757805109,27.6633,35.7567,37.2,3.0,8.1,54.3,3.7,6.9
PH074605000,Region VII,Negros Oriental,Basay,FALSE,46.43,4.7,10.12276545,38.6985,54.1615,45.8,5.8,12.6,50.9,6.4,12.6
PH074606000,Region VII,Negros Oriental,Bayawan City,FALSE,37.41,2.57,6.869820904,33.18235,41.63765,42.6,3.3,7.7,50.9,7.8,15.3
PH074607000,Region VII,Negros Oriental,Bindoy,FALSE,55.77,3.92,7.028868567,49.3216,62.2184,59.9,3.7,6.2,56.7,5.7,10.1
PH074608000,Region VII,Negros Oriental,Canlaon City,FALSE,42.29,4.26,10.07330338,35.2823,49.2977,35.4,4.4,12.3,54.0,6.6,12.3
PH074609000,Region VII,Negros Oriental,Dauin,FALSE,28.88,2.44,8.448753463,24.8662,32.8938,32.4,3.4,10.6,33.1,3.8,11.4
PH074610000,Region VII,Negros Oriental,Dumaguete City,FALSE,6.51,1.16,17.8187404,4.6018,8.4182,7.4,1.4,18.6,9.5,1.6,17.0
PH074611000,Region VII,Negros Oriental,Guihulngan,FALSE,40.83,2.57,6.294391379,36.60235,45.05765,45.0,3.2,7.1,58.6,4.8,8.2
PH074612000,Region VII,Negros Oriental,Jimalalud,FALSE,48.08,2.89,6.010815308,43.32595,52.83405,50.2,3.7,7.3,65.3,4.1,6.3
PH074613000,Region VII,Negros Oriental,La Libertad,FALSE,50.97,3.31,6.494016088,45.52505,56.41495,50.2,3.5,6.9,55.9,4.1,7.4
PH074614000,Region VII,Negros Oriental,Mabinay,FALSE,40.81,2.71,6.640529282,36.35205,45.26795,48.8,3.4,7.0,56.6,4.0,7.1
PH074615000,Region VII,Negros Oriental,Manjuyod,FALSE,33.59,2.4,7.144983626,29.642,37.538,42.5,3.4,8.1,35.5,4.3,12.2
PH074616000,Region VII,Negros Oriental,Pamplona,FALSE,34.12,3.59,10.52168816,28.21445,40.02555,35.5,3.0,8.5,47.3,4.6,9.7
